date,close,open,high,low,volume,change_pct
2026-06-30,7.88,7.82,7.9,7.8,1234810,+1.29%
2026-06-29,7.78,8,8.02,7.75,4539135,-2.87%
2026-06-24,8.01,8.12,8.19,7.97,2953622,-1.11%
2026-06-23,8.1,8.09,8.18,8,3505959,+1.12%
2026-06-22,8.01,8.05,8.09,7.91,4830110,+0.12%
2026-06-19,8,8.16,8.23,7.96,2954980,-2.32%
2026-06-18,8.19,8.15,8.28,8.1,4340668,+0.12%
2026-06-17,8.18,8.45,8.45,8.15,2429254,-2.15%
2026-06-16,8.36,8.58,8.58,8.3,4743989,-1.42%
2026-06-15,8.48,8.49,8.54,8.3,7109545,+2.54%
2026-06-12,8.27,8.44,8.5,8.25,3065437,-0.36%
2026-06-11,8.3,8.22,8.46,8.15,4950299,+0.24%
2026-06-10,8.28,8.08,8.58,8,22015150,+2.99%
2026-06-09,8.04,7.96,8.1,7.96,3646216,+1.77%
2026-06-08,7.9,7.98,8,7.87,1697410,-2.11%
2026-06-05,8.07,8,8.19,7.97,5646607,+1.64%
2026-06-04,7.94,7.86,8.05,7.86,2366320,+1.02%
2026-06-03,7.86,7.81,8.02,7.81,2286540,+0.26%
2026-06-02,7.84,7.9,7.92,7.8,1718095,-0.25%
2026-06-01,7.86,7.9,8.03,7.84,5543404,-0.76%
2026-05-29,7.92,8.04,8.07,7.88,4564387,-0.13%
2026-05-25,7.93,8.01,8.07,7.9,3777609,+0.89%
2026-05-22,7.86,8.1,8.24,7.82,10625170,-1.75%
2026-05-21,8,8.01,8.1,7.9,10271990,+2.56%
2026-05-20,7.8,7.8,7.9,7.7,4863240,+0.00%
2026-05-19,7.8,7.88,7.98,7.4,15573480,+0.91%
2026-05-18,7.73,8.19,8.19,7.65,9453522,-6.42%
2026-05-15,8.26,8.55,8.69,8.2,10761630,-2.82%
2026-05-14,8.5,8.71,8.99,8.41,22934480,-2.30%
2026-05-13,8.7,8.23,9.06,8.11,58654920,+5.20%
2026-05-12,8.27,8.98,9.1,8.21,34899410,-7.18%
2026-05-11,8.91,7.81,8.95,7.76,51877000,+12.08%
2026-05-08,7.95,8.25,8.31,7.94,12204480,-2.81%
2026-05-07,8.18,7.99,8.6,7.99,30674200,+4.60%
2026-05-06,7.82,7.57,7.93,7.5,6419623,+4.83%
2026-05-05,7.46,7.23,7.53,7.23,3349015,+0.95%
2026-05-04,7.39,7.39,7.7,7.3,2770505,+0.96%
2026-04-30,7.32,7.5,7.5,7.04,4128059,-1.48%
2026-04-29,7.43,7.9,7.9,7.31,4865931,-5.11%
2026-04-28,7.83,7.75,7.88,7.6,2309855,-0.76%
2026-04-27,7.89,8.1,8.16,7.81,4722497,-2.23%
2026-04-24,8.07,8.21,8.53,8,10320130,-2.65%
2026-04-23,8.29,7.98,8.37,7.8,24954760,+6.69%
2026-04-22,7.77,7.22,7.98,7.02,38192130,+9.44%
2026-04-21,7.1,7.08,7.22,7.02,3173509,+1.14%
2026-04-20,7.02,7.15,7.32,6.81,7685823,-2.77%
2026-04-17,7.22,7.11,7.36,7.1,7673319,+1.83%
2026-04-16,7.09,7.07,7.2,6.88,4694955,+1.87%
2026-04-15,6.96,6.96,7.09,6.9,4295387,+1.90%
2026-04-14,6.83,6.75,6.87,6.72,904885,+2.25%
2026-04-13,6.68,6.8,6.8,6.6,1550666,-4.16%
2026-04-10,6.97,6.88,7.05,6.82,4754316,+2.80%
2026-04-09,6.78,7,7,6.69,3090506,-4.24%
2026-04-08,7.08,7,7.18,6.77,8855260,+8.92%
2026-04-07,6.5,6.36,6.55,6.36,760182,+1.25%
2026-04-06,6.42,6.37,6.45,6.27,1293720,+2.39%
2026-04-03,6.27,6.15,6.44,6.15,1123434,-2.64%
2026-04-02,6.44,6.32,6.55,6.26,1394724,-0.92%
2026-04-01,6.5,6.4,6.68,6.28,1983226,+3.34%
2026-03-31,6.29,6.21,6.4,6.16,1547680,+1.29%
