date,close,open,high,low,volume,change_pct
"Jun 24, 2026",15.99,15.8,16.14,15.7,1868446,+1.27%
"Jun 23, 2026",15.79,16.1,16.14,15.7,2603595,-1.31%
"Jun 22, 2026",16,16.21,16.4,15.95,3017837,-0.44%
"Jun 19, 2026",16.07,16.4,16.79,16.02,10412674,-0.99%
"Jun 18, 2026",16.23,15.9,16.3,15.77,9517822,+2.46%
"Jun 17, 2026",15.84,15.48,15.98,15.35,12269876,+3.19%
"Jun 16, 2026",15.35,15.4,15.45,15.09,6933339,+1.05%
"Jun 15, 2026",15.19,15.25,15.55,15.06,4120304,+1.47%
"Jun 12, 2026",14.97,15.02,15.3,14.75,2083873,+1.29%
"Jun 11, 2026",14.78,15,15.01,14.6,1914356,-2.18%
"Jun 10, 2026",15.11,15.2,15.29,14.9,5722616,-0.40%
"Jun 09, 2026",15.17,14.55,15.24,14.45,8480947,+5.35%
"Jun 08, 2026",14.4,14.15,14.57,14.15,1437745,-0.69%
"Jun 05, 2026",14.5,14.49,14.66,14.4,1623081,+0.14%
"Jun 04, 2026",14.48,14.48,14.7,14.3,1684967,+1.19%
"Jun 03, 2026",14.31,14.4,14.48,14.23,1628573,-0.97%
"Jun 02, 2026",14.45,14.55,14.7,14.3,2836691,+0.56%
"Jun 01, 2026",14.37,14.35,14.85,12.92,5720651,+0.14%
"May 29, 2026",14.35,14.02,14.54,14.02,2357063,+0.35%
"May 25, 2026",14.3,14.28,14.4,14.02,1631615,+2.14%
"May 22, 2026",14,14.25,14.3,13.95,1282693,-1.62%
"May 21, 2026",14.23,14.29,14.4,14.1,1330959,+1.28%
"May 20, 2026",14.05,14.1,14.13,13.95,762239,-0.28%
"May 19, 2026",14.09,14.09,14.29,13.95,1469292,+0.64%
"May 18, 2026",14,14.15,14.34,13.96,970127,-1.62%
"May 15, 2026",14.23,14.41,14.45,14.1,1052061,-0.91%
"May 14, 2026",14.36,14.44,14.68,14.35,724449,+0.21%
"May 13, 2026",14.33,14.28,14.58,14.21,1745643,-0.14%
"May 12, 2026",14.35,14.7,14.9,14.25,1673950,-2.18%
"May 11, 2026",14.67,14.75,14.95,14.51,1697952,-1.08%
"May 08, 2026",14.83,14.9,15,14.65,1675846,-1.13%
"May 07, 2026",15,15.35,15.4,14.91,3175893,-0.53%
"May 06, 2026",15.08,14.5,15.26,14.3,5309653,+5.75%
"May 05, 2026",14.26,14.28,14.69,14,2921652,-0.77%
"May 04, 2026",14.37,14.35,14.85,14.26,4862288,+1.20%
"Apr 30, 2026",14.2,14,14.34,13.05,12745896,-0.42%
"Apr 29, 2026",14.26,14.84,14.84,14.18,5281032,-1.72%
"Apr 28, 2026",14.51,14.15,14.75,14.15,2369334,+0.28%
"Apr 27, 2026",14.47,14.39,14.79,14.11,1871690,+0.14%
"Apr 24, 2026",14.45,14.31,14.55,14.1,2508918,+0.21%
"Apr 23, 2026",14.42,14.6,14.68,14.35,2326086,-1.70%
"Apr 22, 2026",14.67,14.72,14.81,14.5,2595135,-0.47%
"Apr 21, 2026",14.74,14.91,15.14,14.7,5027975,-0.47%
"Apr 20, 2026",14.81,15.39,15.4,14.25,11133043,-4.08%
"Apr 17, 2026",15.44,15.52,15.79,15.3,17782223,+0.52%
"Apr 16, 2026",15.36,14.65,15.76,14.3,16509274,+6.00%
"Apr 15, 2026",14.49,14.49,14.73,14.35,12259222,+2.99%
"Apr 14, 2026",14.07,13.73,14.1,13.73,2328964,+2.85%
"Apr 13, 2026",13.68,13.9,13.9,13.52,2796137,-4.07%
"Apr 10, 2026",14.26,14.03,14.35,14.03,4204122,+1.93%
"Apr 09, 2026",13.99,14.35,14.35,13.99,4937887,-3.38%
"Apr 08, 2026",14.48,14.02,14.48,14.02,13039250,+10.03%
"Apr 07, 2026",13.16,13.13,13.16,13.13,1113946,+0.00%
"Apr 06, 2026",13.16,12.95,13.16,12.95,2834158,+1.78%
"Apr 03, 2026",12.93,13,13,12.93,2882900,-2.34%
"Apr 02, 2026",13.24,13.19,13.24,13.19,1731260,-1.05%
"Apr 01, 2026",13.38,12.98,13.38,12.98,3030301,+4.94%
"Mar 31, 2026",12.75,12.77,12.77,12.75,2745457,+0.87%
"Mar 30, 2026",12.64,13.58,13.58,12.64,2134114,-5.60%
"Mar 27, 2026",13.39,13.25,13.39,13.25,2246220,+1.90%
"Mar 26, 2026",13.14,13.9,13.9,13.14,4113144,-6.94%
"Mar 25, 2026",14.12,13.7,14.12,13.7,3778890,+4.36%
"Mar 24, 2026",13.53,13.9,13.9,13.53,2155133,+2.11%
"Mar 19, 2026",13.25,13.2,13.25,13.2,1031379,+0.23%
"Mar 18, 2026",13.22,12.96,13.22,12.96,2242535,+2.08%
"Mar 17, 2026",12.95,12.78,12.95,12.78,975309,+1.49%
"Mar 16, 2026",12.76,13.16,13.16,12.76,1323927,-2.89%
"Mar 13, 2026",13.14,13.42,13.42,13.14,928993,-1.13%
"Mar 12, 2026",13.29,13.57,13.57,13.29,2211318,-2.06%
"Mar 11, 2026",13.57,13.5,13.57,13.5,1498955,+1.34%
"Mar 10, 2026",13.39,12.98,13.39,12.98,1925995,+10.02%
"Mar 09, 2026",12.17,13.02,13.02,12.17,3307669,-9.92%
"Mar 06, 2026",13.51,14.25,14.25,13.51,2747193,-5.19%
"Mar 05, 2026",14.25,13.35,14.25,13.35,4381384,+7.95%
"Mar 04, 2026",13.2,13.59,13.59,13.2,4771048,-2.94%
"Mar 03, 2026",13.6,14,14,13.6,5832276,-5.03%
"Mar 02, 2026",14.32,14.32,14.32,14.32,4521947,-9.99%
"Feb 27, 2026",15.91,15.9,15.91,15.9,1206085,-0.87%
"Feb 26, 2026",16.05,16.1,16.1,16.05,4183615,-0.25%
"Feb 25, 2026",16.09,16.88,16.88,16.09,3254814,-3.65%
"Feb 24, 2026",16.7,16.54,16.7,16.54,6116030,+0.91%
"Feb 23, 2026",16.55,16.9,16.9,16.55,3447003,-2.36%
