date,close,open,high,low,volume,change_pct
2026-06-30,156.94,154.92,157.49,154.92,1527658,+1.30%
2026-06-29,154.92,156,157.49,153.93,746571,-0.93%
2026-06-24,156.38,158.27,159.95,155.9,1908093,-1.19%
2026-06-23,158.27,161.74,161.98,157.01,1656926,-1.51%
2026-06-22,160.69,162.91,165,160,1469870,-1.36%
2026-06-19,162.91,165.97,166.5,160.06,1877479,-1.10%
2026-06-18,164.73,167,167.89,163.8,1770595,-0.33%
2026-06-17,165.27,167.98,168.99,161.05,1723774,-0.85%
2026-06-16,166.69,159.5,169.4,158.5,6287661,+5.08%
2026-06-15,158.63,159.99,161.47,155.5,2574152,+2.15%
2026-06-12,155.29,156.5,157.7,154.99,2498618,+0.06%
2026-06-11,155.2,154,162.5,154,6158439,+0.30%
2026-06-10,154.73,155.25,157.05,152.5,589256,-0.73%
2026-06-09,155.86,155.5,158.5,155,1326422,+1.10%
2026-06-08,154.17,152,155.43,148.63,1018716,+1.01%
2026-06-05,152.63,155.45,156.5,151.2,1024947,-0.75%
2026-06-04,153.79,149.92,154.05,149.92,859621,+2.58%
2026-06-03,149.92,152.5,152.5,147.2,1318716,-2.04%
2026-06-02,153.04,155,157.35,152.5,1114596,-1.19%
2026-06-01,154.88,151.99,158.51,150,4717621,+1.49%
2026-05-29,152.6,151.8,153.6,150,1609709,+1.44%
2026-05-25,150.43,152,152.4,149.5,1850282,+0.39%
2026-05-22,149.85,149.4,153.98,147.51,4121715,+0.66%
2026-05-21,148.87,146.5,150.8,146.5,1571566,+1.82%
2026-05-20,146.21,141.03,147,140,1858586,+3.86%
2026-05-19,140.77,140,143,139,794794,+1.39%
2026-05-18,138.84,146.99,146.99,138.35,1278649,-5.89%
2026-05-15,147.53,148,149.99,145.51,588588,-1.06%
2026-05-14,149.11,148.5,151.5,144.56,1648697,+1.60%
2026-05-13,146.76,151.4,152.3,146.1,1709051,-2.19%
2026-05-12,150.04,148,155.01,148,6450489,+2.34%
2026-05-11,146.61,141,150.56,140,2459799,+2.80%
2026-05-08,142.61,142,143.83,140.21,824179,-1.11%
2026-05-07,144.21,141,145.3,139.5,1281431,+3.35%
2026-05-06,139.54,134.99,140.5,134.99,1158456,+5.71%
2026-05-05,132,132.39,132.9,130.81,373918,-1.06%
2026-05-04,133.41,132.1,136.5,132.1,858448,+1.90%
2026-04-30,130.92,133.8,133.8,128.25,915103,-2.70%
2026-04-29,134.55,139.9,141.45,134,1088084,-3.56%
2026-04-28,139.52,137.07,140.95,137.07,561734,-1.36%
2026-04-27,141.45,143,143.5,140.15,508509,-0.99%
2026-04-24,142.87,138.99,143.98,136.91,760854,+2.12%
2026-04-23,139.9,140.8,141.5,138.2,634776,-1.38%
2026-04-22,141.86,143,143.5,141,648725,-2.07%
2026-04-21,144.86,146,147,144.5,876236,+0.35%
2026-04-20,144.36,148.8,148.95,139.75,2814482,-3.15%
2026-04-17,149.05,145.85,151.74,144.26,4927415,+3.49%
