date,close,open,high,low,volume,change_pct
2026-07-01,112.99,110,115,109,22929380,+2.50%
2026-06-30,110.23,107.88,112.04,107.55,11735380,+2.21%
2026-06-29,107.85,109.99,113.24,106.5,14704610,-1.07%
2026-06-24,109.02,107.5,110.7,106.96,3014347,+1.13%
2026-06-23,107.8,109,109.2,107,1082949,-0.79%
2026-06-22,108.66,109,109.44,107.05,1761713,+0.94%
2026-06-19,107.65,109.01,112.29,107.05,5190262,-0.87%
2026-06-18,108.6,107.99,112.49,107.5,4376306,+2.76%
2026-06-17,105.68,106.51,108.5,103.3,4299405,-0.02%
2026-06-16,105.7,100,107,99.89,10157700,+5.94%
2026-06-15,99.77,100,101,98.5,2550274,+1.60%
2026-06-12,98.2,98.74,99,97.25,2322317,+1.47%
2026-06-11,96.78,95,97.98,93.85,1138565,+1.52%
2026-06-10,95.33,97.62,98.1,94.82,703707,-2.35%
2026-06-09,97.62,97.95,99,97.01,2093032,+0.99%
2026-06-08,96.66,95.11,97,94.51,592021,+0.17%
2026-06-05,96.5,96.9,97.5,95.66,891884,+0.33%
2026-06-04,96.18,96.99,97.4,95.9,525934,-0.07%
2026-06-03,96.25,97.5,97.67,95.61,302689,-1.36%
2026-06-02,97.58,99.5,101.99,96.85,1207296,-2.20%
2026-06-01,99.77,100.2,103,98.5,1359947,+0.04%
2026-05-29,99.73,98.94,101.25,98.6,2728128,+0.80%
2026-05-25,98.94,94,100.99,94,4299876,+6.55%
2026-05-22,92.86,93,94.24,91,1431295,+0.30%
2026-05-21,92.58,92,93.4,91.4,2207833,+1.71%
2026-05-20,91.02,90.69,91.45,89.52,1131804,+1.68%
2026-05-19,89.52,90.97,91,89.1,1432715,+0.64%
2026-05-18,88.95,90.02,91.95,88.5,854557,-3.05%
2026-05-15,91.75,91.04,93.4,89.32,1612582,+0.78%
2026-05-14,91.04,92.97,94,90.32,2246292,-1.65%
2026-05-13,92.57,94,94.79,91.85,2616865,-1.11%
2026-05-12,93.61,95.01,96.39,93.01,780542,-2.42%
2026-05-11,95.93,96.25,97,95.11,672905,-0.34%
2026-05-08,96.26,98.35,98.98,95.26,965979,-2.15%
2026-05-07,98.38,99,102.5,97.5,1899842,+0.20%
2026-05-06,100.27,95.6,102.5,95.25,4526780,+6.03%
2026-05-05,94.57,92.5,95.54,91.15,1401888,+1.75%
2026-05-04,92.94,94.1,97,92,1110732,-1.23%
2026-04-30,94.1,89.9,94.9,87.5,2000526,+1.29%
2026-04-29,92.9,97.7,97.7,92.5,1898759,-3.79%
2026-04-28,96.56,97,98.48,96.08,850411,-0.65%
2026-04-27,97.19,96.7,100.5,94.05,4363388,+0.48%
2026-04-24,96.73,94.99,98,93.25,824390,+1.15%
2026-04-23,95.63,96,97,92.07,1636444,+0.03%
2026-04-22,95.6,97.3,98.39,95.05,422714,-1.52%
2026-04-21,97.08,97.97,100.32,96.51,2037162,+0.44%
2026-04-20,96.65,97.01,102.94,94,3658014,-2.05%
2026-04-17,98.67,96.88,99.9,95.1,4018774,+3.89%
2026-04-16,94.98,96.38,97.5,93.7,2793522,+0.15%
2026-04-15,94.84,96,99.2,94.5,4180229,+0.31%
2026-04-14,94.55,92.01,95,92.01,1453827,+4.19%
2026-04-13,90.75,90,94,89,1614412,-3.86%
2026-04-10,94.39,90.95,96,90.95,2200961,+4.87%
2026-04-09,90.01,88.11,92.3,86.11,3162453,+1.06%
2026-04-08,89.07,89.07,89.07,88,2822829,+10.00%
2026-04-07,80.97,80.85,81.97,80.01,658857,-0.59%
2026-04-06,81.45,81.5,82.39,78.5,1078510,+0.49%
2026-04-03,81.05,78.99,83,78.3,569307,-0.30%
2026-04-02,81.29,82.01,83.5,79.9,2019423,-4.40%
2026-04-01,85.03,83.45,87.99,83.45,5183978,+3.94%
2026-03-31,81.81,77,83.95,76.5,3755194,+7.12%
2026-03-30,76.37,80.9,80.9,74.98,3308164,-4.89%
2026-03-27,80.3,82,83,74,3426765,-0.90%
2026-03-26,81.03,82.99,84.3,80.5,879824,-3.68%
2026-03-25,84.13,82.5,85,82,345218,+2.74%
2026-03-24,81.89,84.88,86.5,81,1517956,-0.91%
2026-03-19,82.64,82.6,84.89,81,1206588,-1.36%
2026-03-18,83.78,80,86.44,79.5,662040,+5.80%
2026-03-17,79.19,79.22,83,77.11,942220,-0.04%
2026-03-16,79.22,80.25,81,77,1356532,-1.31%
2026-03-13,80.27,80.74,82,78.1,1569669,-0.58%
2026-03-12,80.74,83.2,83.2,80.11,332621,-1.91%
2026-03-11,82.31,78.91,83,77.11,2567427,+7.71%
2026-03-10,76.42,80.54,80.54,74.9,9211427,+4.37%
2026-03-09,73.22,73.22,75,73.22,597440,-10.00%
2026-03-06,83.11,85.04,85.84,82.63,1048023,-2.76%
2026-03-05,85.47,83,87.21,82.99,2022757,+3.78%
2026-03-04,82.36,87.6,89.25,81,1651015,-5.94%
2026-03-03,87.56,88,91,83,3331580,-4.09%
2026-03-02,91.29,91.29,92.74,91.29,2712888,-10.00%
2026-02-27,101.43,96.88,105,93.4,2958753,+4.55%
2026-02-26,97.02,90.87,99.38,88.5,2336163,+6.77%
2026-02-25,90.87,92.52,93.45,89.5,1677480,-0.29%
2026-02-24,91.13,89.7,92.5,87.11,1509815,+1.30%
2026-02-23,89.96,94,95.94,88.91,3046143,-4.91%
2026-02-20,94.61,91.5,99,90,1278375,+2.77%
2026-02-19,92.06,100.07,100.9,90.5,1308833,-8.00%
2026-02-18,100.07,94.88,101.89,94,1987362,+7.51%
2026-02-17,93.08,92.5,95.3,88.79,6690828,+1.22%
2026-02-16,91.96,99.97,100.7,90,6094859,-7.99%
2026-02-13,99.95,101.45,102.8,98.11,3595019,-0.21%
2026-02-12,100.16,105.39,107.99,99.01,3956288,-4.57%
2026-02-11,104.96,103.6,106.66,103,3388864,+1.85%
2026-02-10,103.05,107.24,108.97,101.8,5271140,-4.21%
2026-02-09,107.58,119.88,120.99,106.67,8364268,-9.23%
2026-02-06,118.52,122,122,116.55,613769,-1.76%
2026-02-04,120.64,119,122.43,118.75,1881889,+1.21%
2026-02-03,119.2,116.35,120,114.75,4495924,+3.35%
2026-02-02,115.34,117,118.5,114.9,1133659,-0.99%
2026-01-30,116.49,119.9,120,114.54,4755318,-1.02%
2026-01-29,117.69,121.62,122.4,115.5,1829626,-3.23%
2026-01-28,121.62,123.01,123.01,120.12,1078463,-0.22%
2026-01-27,121.89,124.79,126.13,120.1,4559297,-0.64%
2026-01-26,122.67,121.52,125.75,121.52,1350875,+1.10%
2026-01-23,121.33,125.1,125.45,120,1677109,-2.69%
2026-01-22,124.68,123.56,126.9,123.56,1263200,+0.91%
2026-01-21,123.56,125.84,125.89,123.2,1723080,-1.38%
2026-01-20,125.29,125.98,127.9,124.03,1925337,+0.62%
2026-01-19,124.52,125.01,127.49,123.02,2019835,-0.09%
2026-01-16,124.63,118.88,127.5,118.88,7718555,+5.25%
2026-01-15,118.41,120.45,121.79,117.36,2131622,-1.28%
2026-01-14,119.95,116.5,121.29,116.5,8135815,+3.24%
2026-01-13,116.18,111.61,116.79,110.5,14654390,+4.09%
2026-01-12,111.61,110.51,112.7,109.06,4675225,+1.03%
2026-01-09,110.47,111.3,112.7,108.11,3245564,-0.88%
2026-01-08,111.45,111.61,114.88,108.85,9461842,-0.14%
2026-01-07,111.61,111.5,112.3,110.2,5206938,+0.27%
2026-01-06,111.31,107.8,112,105.05,6684350,+3.89%
2026-01-05,107.14,102.99,108.19,102.55,7237681,+4.67%
2026-01-02,102.36,101.4,103.25,100.59,3079032,+1.76%
2026-01-01,100.59,100.55,102.5,99.7,1698688,+0.03%
2025-12-31,100.56,101,101.97,99,1618855,-0.68%
2025-12-30,101.25,101.52,103.05,100.56,2462874,-0.27%
2025-12-29,101.52,98.11,103.94,98,9832848,+3.75%
2025-12-26,97.85,96.53,99,96.2,1982572,+1.37%
2025-12-24,96.53,97.16,98.9,96.11,571044,-1.49%
2025-12-23,97.99,98.84,99.25,97.05,694392,-0.13%
2025-12-22,98.12,98.15,99,97.15,457058,-0.03%
2025-12-19,98.15,100.16,101,98,1127618,-1.89%
2025-12-18,100.04,98.74,102,98.28,3996061,+1.80%
2025-12-17,98.27,95.75,100.5,95.1,6036595,+3.52%
2025-12-16,94.93,94,97.5,93.7,2533568,+0.91%
2025-12-15,94.07,94.98,95.12,93.7,2180145,+0.07%
2025-12-12,94,94.98,95.7,93.7,1036792,-0.25%
2025-12-11,94.24,95,96,93.95,377775,-0.63%
2025-12-10,94.84,96,96,94.51,411825,-0.41%
2025-12-09,95.23,94.9,96,94.45,365599,+0.96%
2025-12-08,94.32,94.9,94.99,94.19,243812,+0.17%
2025-12-05,94.16,96,97.52,93.75,1599544,-1.20%
2025-12-04,95.3,95.98,95.98,94.35,192659,+0.43%
2025-12-03,94.89,97.99,98.15,94.36,586128,-2.08%
2025-12-02,96.91,97.62,99.5,96.02,1128932,-0.53%
