date,close,open,high,low,volume,change_pct
2026-06-30,40.58,39.41,40.75,39,1225487,+3.20%
2026-06-29,39.32,39.99,41.02,39.05,888317,-2.53%
2026-06-24,40.34,39.8,42.25,39.31,1319711,+0.98%
2026-06-23,39.95,41.8,42,39,768406,-4.63%
2026-06-22,41.89,43.4,44.4,41.36,873457,-4.12%
2026-06-19,43.69,45.51,45.9,42.85,2120003,-3.26%
2026-06-18,45.16,44,47.87,44,5996099,+3.77%
2026-06-17,43.52,41.88,44.98,41,3814949,+5.10%
2026-06-16,41.41,41.97,42.24,40.85,1340623,+0.02%
2026-06-15,41.4,40.51,42.22,40.25,1842641,+4.65%
2026-06-12,39.56,38.6,40.4,38.3,1515556,+4.88%
2026-06-11,37.72,37.01,39.2,37.01,876059,+0.21%
2026-06-10,37.64,38.01,39.05,37.5,446274,-2.71%
2026-06-09,38.69,39.01,39.7,38.25,572670,-0.05%
2026-06-08,38.71,37.98,39.5,36.17,1774195,-0.62%
2026-06-05,38.95,39.51,41.44,38.51,2359169,+0.21%
2026-06-04,38.87,36.5,38.87,36.5,5744161,+9.99%
2026-06-03,35.34,32.46,35.34,32.03,1984815,+9.99%
2026-06-02,32.13,32.5,32.5,32,59377,+0.06%
2026-06-01,32.11,32.16,33.1,32.01,101030,-2.40%
2026-05-29,32.9,32.98,32.99,32.08,80040,+2.62%
2026-05-25,32.06,31.86,32.99,31.8,614589,+0.63%
2026-05-22,31.86,33.4,33.4,31.76,228022,-4.01%
2026-05-21,33.19,32.23,33.5,32.23,105918,+1.16%
2026-05-20,32.81,34.49,34.49,32,180567,-3.07%
2026-05-19,33.85,33.95,34.7,33.11,49455,+2.45%
2026-05-18,33.04,34.86,34.86,32,53011,-3.79%
2026-05-15,34.34,34.02,34.7,34.02,7951,+0.53%
2026-05-14,34.16,34.97,34.97,34.02,35400,-0.20%
2026-05-13,34.23,34.55,34.92,34.21,8576,-0.93%
2026-05-12,34.55,35,35.2,34.4,28319,-0.55%
2026-05-11,34.74,33.77,35,33.77,91578,+0.84%
2026-05-08,34.45,34.01,34.6,34,82919,+0.12%
