date,close,open,high,low,volume,change_pct
2026-06-30,25.03,22.53,25.56,22.53,3009089,+7.70%
2026-06-29,23.24,23.19,23.5,22.05,749367,+1.31%
2026-06-24,22.94,22.99,23.2,22.6,259344,+0.79%
2026-06-23,22.76,22.83,22.93,22.5,126244,-0.04%
2026-06-22,22.77,23,23.25,22.52,157784,+0.22%
2026-06-19,22.72,23.09,23.45,22.5,351339,-0.83%
2026-06-18,22.91,23.7,23.99,22.5,526503,-1.84%
2026-06-17,23.34,23.4,23.8,22.75,346200,+1.04%
2026-06-16,23.1,22.1,23.9,21.5,3291959,+0.39%
2026-06-15,23.01,25.79,25.79,22.99,3838859,-9.91%
2026-06-12,25.54,25.94,26.7,23.4,4491011,-0.58%
2026-06-11,25.69,25.35,27.99,25.06,4443744,+0.51%
2026-06-10,25.56,22.72,25.7,22.65,5373380,+9.42%
2026-06-09,23.36,23.55,23.99,22.5,1576548,+0.21%
2026-06-08,23.31,23.49,24.8,22.7,6169414,+0.13%
2026-06-05,23.28,21.38,23.28,21,5020335,+10.02%
2026-06-04,21.16,19.69,21.16,19.69,2797094,+9.98%
2026-06-03,19.24,17.51,19.24,17.49,6225875,+10.01%
2026-06-02,17.49,16.1,17.49,15.41,1553058,+10.00%
2026-06-01,15.9,15.51,16.39,15.5,79167,-0.56%
2026-05-29,15.99,16.35,16.5,15.1,169035,-0.93%
2026-05-25,16.14,16.35,16.6,15.61,121369,+0.19%
2026-05-22,16.11,16.52,17.29,15.99,309098,-5.18%
2026-05-21,16.99,17.55,17.55,16.5,718772,-1.34%
2026-05-20,17.22,17.4,17.48,16.9,213072,-0.40%
2026-05-19,17.29,17.49,17.78,16.75,778649,+1.71%
2026-05-18,17,15.99,17.45,15.01,828489,+4.87%
2026-05-15,16.21,16.6,17.1,16.1,439339,-1.40%
2026-05-14,16.44,17,17,16.15,545797,-3.58%
2026-05-13,17.05,18.25,18.36,16.6,2955270,-7.19%
2026-05-12,18.37,17.25,18.95,17.25,7146429,+6.62%
2026-05-11,17.23,15.8,17.23,15.75,4836035,+10.03%
2026-05-08,15.66,15.85,15.85,14.15,566897,+0.51%
2026-05-07,15.58,15.31,15.94,15.3,2195445,+1.76%
2026-05-06,15.31,15.31,15.31,14.85,2096650,+9.99%
2026-05-05,13.92,12.6,14.01,12.52,643433,+9.26%
2026-05-04,12.74,12,12.8,12,596679,+2.41%
2026-04-30,12.44,13.15,13.15,12.2,105007,-4.45%
2026-04-29,13.02,13.2,13.68,13,49652,-2.91%
2026-04-28,13.41,13.8,14.05,13.4,274562,-3.04%
2026-04-27,13.83,13.98,14.09,13.61,255959,-1.07%
2026-04-24,13.98,13.65,13.98,13.6,33356,+2.72%
2026-04-23,13.61,14.33,14.33,13.35,68977,-2.51%
2026-04-22,13.96,14.19,14.2,13.69,412348,-0.99%
2026-04-21,14.1,14.3,14.35,14,122195,+0.50%
2026-04-20,14.03,13.75,14.38,12.61,713235,+3.85%
2026-04-17,13.51,13.34,13.6,13.12,205888,+1.27%
2026-04-16,13.34,13.3,13.5,13.1,349408,+0.00%
2026-04-15,13.34,13.35,13.5,13,428476,+1.06%
2026-04-14,13.2,12.36,13.2,12.26,164703,+4.18%
2026-04-13,12.67,12.52,13.1,12.3,112278,-1.86%
2026-04-10,12.91,13.3,13.59,12.56,309968,-1.68%
2026-04-09,13.13,13.5,13.5,12.35,137585,-1.80%
2026-04-08,13.37,13,13.43,12.27,400844,+8.61%
2026-04-07,12.31,12.43,12.43,12,58455,-1.20%
2026-04-06,12.46,12,12.54,12,135132,+1.05%
2026-04-03,12.33,12.2,12.44,12.03,102964,+0.90%
2026-04-02,12.22,12.5,12.5,12.01,39083,-2.78%
2026-04-01,12.57,12.05,12.79,12.05,107016,+3.88%
2026-03-31,12.1,12.09,12.3,12.05,21036,+0.08%
2026-03-30,12.09,12.5,12.8,11.7,101826,-1.79%
2026-03-27,12.31,12.4,12.4,11.98,206539,+2.33%
2026-03-26,12.03,12.4,12.4,12,225612,-2.75%
2026-03-25,12.37,12.03,12.46,11.91,58320,+4.04%
2026-03-24,11.89,12,12.49,11.63,251314,+3.03%
2026-03-19,11.54,11.19,11.7,11.15,354963,+3.87%
2026-03-18,11.11,11.05,11.35,9.92,402499,+0.82%
2026-03-17,11.02,11.59,11.65,11,113178,-1.43%
2026-03-16,11.18,11.29,11.79,11,47351,-1.93%
2026-03-13,11.4,11.44,11.45,11.1,12226,+0.26%
2026-03-12,11.37,10.76,11.73,10.55,149645,+3.36%
2026-03-11,11,11.1,11.39,10.65,29055,-3.00%
2026-03-10,11.34,10.34,11.36,10.01,148446,+9.78%
2026-03-09,10.33,10.8,11.98,10.11,41490,-6.68%
2026-03-06,11.07,11.43,11.43,10.5,23206,-3.15%
2026-03-05,11.43,10.7,11.48,10.5,108608,+6.82%
2026-03-04,10.7,10.75,10.85,10.68,36520,+2.69%
2026-03-03,10.42,10.8,10.8,9.9,269541,-3.96%
2026-03-02,10.85,11.16,13.25,10.85,124259,-10.03%
2026-02-27,12.06,12.89,12.89,12,193003,-4.74%
2026-02-26,12.66,12.5,12.85,12.01,160925,-0.78%
2026-02-25,12.76,12.5,13.4,12.5,28583,-1.16%
2026-02-24,12.91,12.4,13.09,11.71,307300,+0.86%
2026-02-23,12.8,13,13.3,12.05,107381,-1.54%
2026-02-20,13,12.82,13.2,12.4,87534,-0.46%
2026-02-19,13.06,13.81,13.98,12.66,105501,-6.31%
2026-02-18,13.94,14.97,15.65,13.82,396734,-3.40%
2026-02-17,14.43,14.74,14.99,14.05,86890,-0.89%
2026-02-16,14.56,14.9,15,14.06,190930,-5.02%
2026-02-13,15.33,15.4,15.67,14.35,1691814,+1.79%
2026-02-12,15.06,13.79,15.17,13.79,1687713,+9.21%
2026-02-11,13.79,13.39,13.84,13.39,309057,+2.99%
2026-02-10,13.39,13.88,13.88,13.01,139034,-3.67%
2026-02-09,13.9,14.12,14.12,13.86,28600,+0.51%
2026-02-06,13.83,14.79,14.79,13.01,147413,-1.21%
2026-02-04,14,14.19,14.19,13.8,121473,-0.36%
2026-02-03,14.05,14.19,14.22,13.9,175271,+1.01%
2026-02-02,13.91,14,14.25,13.7,85683,-0.64%
2026-01-30,14,14.15,14.5,13.25,798386,+0.00%
2026-01-29,14,14.4,14.65,13.81,179242,-3.11%
2026-01-28,14.45,15.19,15.19,14.12,538096,-4.05%
2026-01-27,15.06,15.48,15.59,14.61,497470,-1.89%
2026-01-26,15.35,15.5,15.8,15.3,88574,-1.85%
2026-01-23,15.64,15,15.85,15,871056,+4.06%
2026-01-22,15.03,15.49,15.6,15,185894,-2.21%
2026-01-21,15.37,15.82,15.95,15.1,1101761,-3.09%
2026-01-20,15.86,16.3,16.3,15.8,1451821,-2.04%
2026-01-19,16.19,16.25,16.4,15.6,840951,+0.50%
2026-01-16,16.11,15.78,16.5,15.51,1609310,+2.42%
2026-01-15,15.73,16.39,16.5,15.2,985388,-3.02%
2026-01-14,16.22,15.92,16.75,15.92,1962095,+0.31%
2026-01-13,16.17,15.5,16.84,15.3,3811775,+4.26%
2026-01-12,15.51,15.85,15.85,15,1938690,-2.15%
