date,close,open,high,low,volume,change_pct
"Jun 24, 2026",4.59,4.65,4.66,4.57,625647,+0.22%
"Jun 23, 2026",4.58,4.8,4.8,4.56,399120,-0.87%
"Jun 22, 2026",4.62,4.83,4.95,4.56,698728,-1.70%
"Jun 19, 2026",4.7,4.88,4.9,4.69,1343862,-2.08%
"Jun 18, 2026",4.8,4.82,4.95,4.78,1570214,-0.83%
"Jun 17, 2026",4.84,4.95,5.02,4.8,688736,-0.41%
"Jun 16, 2026",4.86,4.87,5.04,4.81,1033585,-0.21%
"Jun 15, 2026",4.87,4.94,4.94,4.8,483084,+1.46%
"Jun 12, 2026",4.8,4.85,4.85,4.75,279099,+1.48%
"Jun 11, 2026",4.73,4.89,4.89,4.72,294588,-1.46%
"Jun 10, 2026",4.8,4.99,4.99,4.77,317074,-0.83%
"Jun 09, 2026",4.84,5.01,5.01,4.8,701828,-0.41%
"Jun 08, 2026",4.86,4.71,5.12,4.55,2069178,-0.21%
"Jun 05, 2026",4.87,4.68,4.98,4.55,1762019,+5.18%
"Jun 04, 2026",4.63,4.69,4.7,4.55,482479,+0.00%
"Jun 03, 2026",4.63,4.71,4.73,4.55,560512,-0.43%
"Jun 02, 2026",4.65,4.55,4.69,4.53,241725,+0.87%
"Jun 01, 2026",4.61,4.6,4.7,4.57,212459,+0.88%
"May 29, 2026",4.57,4.72,4.72,4.52,272575,-0.87%
"May 25, 2026",4.61,4.73,4.75,4.55,520906,+1.54%
"May 22, 2026",4.54,4.7,4.7,4.52,455748,-1.09%
"May 21, 2026",4.59,4.74,4.74,4.51,757417,-0.43%
"May 20, 2026",4.61,4.52,4.79,4.52,288822,-0.43%
"May 19, 2026",4.63,4.64,4.73,4.58,607338,+1.09%
"May 18, 2026",4.58,4.8,4.84,4.51,1042149,-3.58%
"May 15, 2026",4.75,4.94,4.94,4.72,879648,-0.63%
"May 14, 2026",4.78,4.62,4.95,4.62,1265820,+3.24%
"May 13, 2026",4.63,4.85,4.88,4.61,1369296,-5.12%
