date,close,open,high,low,volume,change_pct
"Jun 24, 2026",11.1,11.17,11.25,11,611355,+1.83%
"Jun 23, 2026",10.9,10.9,11.15,10.87,524930,+0.00%
"Jun 22, 2026",10.9,10.9,11.1,10.75,374080,+0.28%
"Jun 19, 2026",10.87,11.26,11.35,10.8,1224674,-3.46%
"Jun 18, 2026",11.26,11.19,11.55,11.02,1685425,+1.53%
"Jun 17, 2026",11.09,11.2,11.47,11.02,1245313,+0.64%
"Jun 16, 2026",11.02,10.7,11.35,10.5,2380691,+4.16%
"Jun 15, 2026",10.58,10.84,10.84,10.41,738621,+1.73%
"Jun 12, 2026",10.4,10.5,10.55,10.27,594188,+1.17%
"Jun 11, 2026",10.28,10.3,10.45,10.21,385669,-0.87%
"Jun 10, 2026",10.37,10.5,10.6,10.26,886974,-0.86%
"Jun 09, 2026",10.46,10.1,10.5,10.1,922818,+3.87%
"Jun 08, 2026",10.07,10.17,10.19,10,434297,-1.47%
"Jun 05, 2026",10.22,10.2,10.35,10.15,427287,+0.79%
"Jun 04, 2026",10.14,10.01,10.49,10.01,913720,+1.40%
"Jun 03, 2026",10,10.29,10.39,9.95,677464,-1.77%
"Jun 02, 2026",10.18,10.3,10.3,10.06,112717,+0.20%
"Jun 01, 2026",10.16,10.27,10.3,10.12,645403,-1.07%
"May 29, 2026",10.27,10.28,10.32,10.1,107885,-0.10%
"May 25, 2026",10.28,10.15,10.38,10.12,240929,+1.28%
"May 22, 2026",10.15,10.08,10.4,10,263104,+0.10%
"May 21, 2026",10.14,10.34,10.34,10.02,471814,+1.20%
"May 20, 2026",10.02,10.1,10.3,9.85,320127,-0.30%
"May 19, 2026",10.05,10.05,10.4,10,122099,+0.60%
"May 18, 2026",9.99,10.3,10.38,9.9,293273,-2.82%
"May 15, 2026",10.28,10.4,10.67,10.15,199737,-1.72%
"May 14, 2026",10.46,10.5,10.69,10.41,159022,-0.85%
"May 13, 2026",10.55,10.59,10.78,10.45,582257,+0.38%
"May 12, 2026",10.51,10.89,10.95,10.41,1150062,-1.68%
"May 11, 2026",10.69,10.6,10.79,10.36,625652,+0.66%
"May 08, 2026",10.62,10.55,11.18,10.26,1496902,-0.28%
"May 07, 2026",10.65,10.33,10.75,10.32,2167392,+2.70%
"May 06, 2026",10.37,10.15,10.93,9.9,8578475,+4.43%
"May 05, 2026",9.93,9.9,10,9.7,134278,+0.10%
"May 04, 2026",9.92,9.75,10.3,9.65,959104,+4.31%
"Apr 30, 2026",9.51,10.15,10.15,9.19,1063748,-6.86%
"Apr 29, 2026",10.21,10.35,10.58,10.15,446347,-2.58%
"Apr 28, 2026",10.48,10.4,10.69,10.21,243404,+0.19%
"Apr 27, 2026",10.46,10.8,10.93,10.35,828288,-2.24%
"Apr 24, 2026",10.7,10.35,11.19,10.05,6619529,+4.59%
"Apr 23, 2026",10.23,10.2,10.4,10.08,1030629,+0.79%
"Apr 22, 2026",10.15,10.39,10.4,10,331446,-1.07%
"Apr 21, 2026",10.26,10,10.78,9.95,1392756,+3.32%
"Apr 20, 2026",9.93,10.15,10.15,9.65,529381,-2.17%
"Apr 17, 2026",10.15,10.35,10.35,9.5,429657,+1.91%
"Apr 16, 2026",9.96,10,10.3,9.9,594567,+0.20%
"Apr 15, 2026",9.94,9.85,10.15,9.85,1086275,+2.16%
"Apr 14, 2026",9.73,9.89,9.9,9.57,205554,+2.21%
"Apr 13, 2026",9.52,9.88,9.99,9.26,1102550,-6.21%
"Apr 10, 2026",10.15,9.5,10.33,9.5,1879211,+7.64%
"Apr 09, 2026",9.43,9.81,9.81,9.43,522608,-3.87%
"Apr 08, 2026",9.81,9.5,9.81,9.5,1116823,+9.36%
"Apr 07, 2026",8.97,8.99,8.99,8.97,156652,+0.34%
"Apr 06, 2026",8.94,9.2,9.2,8.94,98673,+0.22%
"Apr 03, 2026",8.92,8.8,8.92,8.8,225717,+0.22%
"Apr 02, 2026",8.9,8.88,8.9,8.88,273287,-1.44%
"Apr 01, 2026",9.03,8.81,9.03,8.81,597898,+2.61%
"Mar 31, 2026",8.8,9,9,8.8,400783,-1.57%
"Mar 30, 2026",8.94,9.35,9.35,8.94,540304,-4.89%
"Mar 27, 2026",9.4,9.78,9.78,9.4,900468,-3.49%
"Mar 26, 2026",9.74,9.8,9.8,9.74,6028452,+1.67%
"Mar 25, 2026",9.58,8.65,9.58,8.65,1280453,+11.66%
"Mar 24, 2026",8.58,8.8,8.8,8.58,485920,+0.23%
"Mar 19, 2026",8.56,8.45,8.56,8.45,181016,-0.23%
"Mar 18, 2026",8.58,8.5,8.58,8.5,98984,+1.90%
"Mar 17, 2026",8.42,8.6,8.6,8.42,278001,+0.48%
"Mar 16, 2026",8.38,8.35,8.38,8.35,200758,-0.95%
"Mar 13, 2026",8.46,8.4,8.46,8.4,56292,+0.71%
"Mar 12, 2026",8.4,8.65,8.65,8.4,71578,-0.47%
"Mar 11, 2026",8.44,8.45,8.45,8.44,208690,+0.00%
"Mar 10, 2026",8.44,8.4,8.44,8.4,5123387,+5.37%
"Mar 09, 2026",8.01,8.5,8.5,8.01,1914728,-11.10%
"Mar 06, 2026",9.01,9.15,9.15,9.01,105903,-1.10%
"Mar 05, 2026",9.11,9.15,9.15,9.11,236228,+3.29%
"Mar 04, 2026",8.82,8.95,8.95,8.82,147388,-1.34%
"Mar 03, 2026",8.94,8.5,8.94,8.5,366838,-3.35%
"Mar 02, 2026",9.25,9.25,9.25,9.25,307623,-10.02%
"Feb 27, 2026",10.28,10.6,10.6,10.28,225010,-3.29%
"Feb 26, 2026",10.63,10.39,10.63,10.39,192982,+3.51%
"Feb 25, 2026",10.27,10.35,10.35,10.27,274356,-0.39%
"Feb 24, 2026",10.31,10.58,10.58,10.31,311180,-1.15%
"Feb 23, 2026",10.43,11.29,11.29,10.43,555953,-7.62%
"Feb 20, 2026",11.29,11.63,11.63,11.29,768736,-2.00%
"Feb 19, 2026",11.52,12.05,12.05,11.52,462689,-3.76%
"Feb 18, 2026",11.97,11.74,11.97,11.74,574991,+3.46%
"Feb 17, 2026",11.57,11.8,11.8,11.57,925512,-0.77%
"Feb 16, 2026",11.66,12.24,12.24,11.66,2167488,-3.87%
"Feb 13, 2026",12.13,12.19,12.19,12.13,3686513,+1.17%
"Feb 12, 2026",11.99,12.29,12.29,11.99,4074737,-1.24%
"Feb 11, 2026",12.14,12.25,12.25,12.14,1068271,-0.82%
"Feb 10, 2026",12.24,12.63,12.63,12.24,2251717,-3.01%
"Feb 09, 2026",12.62,12.15,12.62,12.15,9252232,+5.43%
"Feb 06, 2026",11.97,11.82,11.97,11.82,2280757,+1.44%
"Feb 04, 2026",11.8,11.99,11.99,11.8,1302153,-0.42%
"Feb 03, 2026",11.85,11.62,11.85,11.62,3305326,+0.17%
"Feb 02, 2026",11.83,11.9,11.9,11.83,485118,+0.68%
"Jan 30, 2026",11.75,11.87,11.87,11.75,676823,-0.76%
"Jan 29, 2026",11.84,11.74,11.84,11.74,2036023,+0.85%
"Jan 28, 2026",11.74,11.88,11.88,11.74,600707,-0.25%
"Jan 27, 2026",11.77,11.95,11.95,11.77,136164,+0.00%
"Jan 26, 2026",11.77,11.9,11.9,11.77,263008,-0.51%
"Jan 23, 2026",11.83,12.1,12.1,11.83,360113,-1.17%
"Jan 22, 2026",11.97,11.97,11.97,11.97,310439,+0.00%
"Jan 21, 2026",11.97,12.04,12.04,11.97,573806,-0.33%
"Jan 20, 2026",12.01,12.29,12.29,12.01,1016233,-0.74%
"Jan 19, 2026",12.1,12.3,12.3,12.1,1451898,-0.90%
"Jan 16, 2026",12.21,12.15,12.21,12.15,1292242,+2.61%
"Jan 15, 2026",11.9,12.25,12.25,11.9,1304229,-1.65%
"Jan 14, 2026",12.1,12.37,12.37,12.1,1696063,-2.18%
"Jan 13, 2026",12.37,12.8,12.8,12.37,1523814,-1.51%
"Jan 12, 2026",12.56,12.6,12.6,12.56,8118997,+1.21%
"Jan 09, 2026",12.41,12,12.41,12,8139570,+4.55%
"Jan 08, 2026",11.87,11.83,11.87,11.83,3215443,+1.89%
"Jan 07, 2026",11.65,11.82,11.82,11.65,1374383,-0.17%
"Jan 06, 2026",11.67,11.76,11.76,11.67,400695,-0.68%
"Jan 05, 2026",11.75,11.68,11.75,11.68,1215727,+0.86%
"Jan 02, 2026",11.65,12,12,11.65,680049,-2.59%
"Jan 01, 2026",11.96,11.49,11.96,11.49,3884989,+4.09%
"Dec 31, 2025",11.49,11.42,11.49,11.42,2606907,+0.00%
"Dec 30, 2025",11.49,11.6,11.6,11.49,404246,+0.61%
"Dec 29, 2025",11.42,11.6,11.6,11.42,289480,-0.52%
"Dec 26, 2025",11.48,11.47,11.48,11.47,26579,+0.09%
"Dec 24, 2025",11.47,11.52,11.52,11.47,472147,-0.35%
"Dec 23, 2025",11.51,11.67,11.67,11.51,306936,-1.20%
"Dec 22, 2025",11.65,11.7,11.7,11.65,184801,-0.43%
"Dec 19, 2025",11.7,11.51,11.7,11.51,219184,+0.17%
"Dec 18, 2025",11.68,11.91,11.91,11.68,304982,-1.52%
"Dec 17, 2025",11.86,11.8,11.86,11.8,912136,+0.51%
"Dec 16, 2025",11.8,11.99,11.99,11.8,506866,-0.92%
"Dec 15, 2025",11.91,11.92,11.92,11.91,561938,+0.00%
"Dec 12, 2025",11.91,11.96,11.96,11.91,600301,-0.42%
"Dec 11, 2025",11.96,11.8,11.96,11.8,3933712,+1.87%
"Dec 10, 2025",11.74,11.76,11.76,11.74,643514,+0.26%
"Dec 09, 2025",11.71,11.46,11.71,11.46,857253,+1.83%
"Dec 08, 2025",11.5,11.36,11.5,11.36,412853,+1.23%
"Dec 05, 2025",11.36,11.5,11.5,11.36,231082,+0.26%
"Dec 04, 2025",11.33,11.3,11.33,11.3,331442,-0.61%
"Dec 03, 2025",11.4,11.5,11.5,11.4,335799,+0.53%
"Dec 02, 2025",11.34,11.45,11.45,11.34,203401,-0.35%
"Dec 01, 2025",11.38,11.4,11.4,11.38,553099,-0.26%
"Nov 28, 2025",11.41,11.45,11.45,11.41,251385,+0.62%
"Nov 27, 2025",11.34,11.4,11.4,11.34,335844,+0.53%
"Nov 26, 2025",11.28,11.46,11.46,11.28,349776,-1.57%
"Nov 25, 2025",11.46,11.5,11.5,11.46,361919,-1.21%
"Nov 24, 2025",11.6,11.66,11.66,11.6,411434,-0.51%
"Nov 21, 2025",11.66,11.9,11.9,11.66,588173,-1.10%
"Nov 20, 2025",11.79,11.8,11.8,11.79,484831,+0.34%
"Nov 19, 2025",11.75,11.7,11.75,11.7,366169,-0.17%
"Nov 18, 2025",11.77,11.95,11.95,11.77,661016,-0.93%
"Nov 17, 2025",11.88,11.94,11.94,11.88,937508,+0.51%
"Nov 14, 2025",11.82,12.65,12.65,11.82,3940965,-4.45%
"Nov 13, 2025",12.37,11.27,12.37,11.27,5441639,+9.76%
"Nov 12, 2025",11.27,11.5,11.5,11.27,225564,+0.00%
"Nov 11, 2025",11.27,11.52,11.52,11.27,552656,-2.84%
