date,close,open,high,low,volume,change_pct
2026-06-30,13.49,13.88,14.25,12.98,17921344,+0.52%
2026-06-29,13.42,13.19,13.42,13.1,4802017,+10.00%
2026-06-24,12.2,11.19,12.2,11.18,3303953,+10.01%
2026-06-23,11.09,11,11.2,10.77,2081962,+2.02%
2026-06-22,10.87,10.93,11,10.73,534932,+0.56%
2026-06-19,10.81,10.81,10.97,10.74,505684,-0.18%
2026-06-18,10.83,10.94,10.95,10.8,473640,+0.00%
2026-06-17,10.83,11.05,11.05,10.76,771769,-1.01%
2026-06-16,10.94,11.18,11.18,10.81,818089,-0.55%
2026-06-15,11,11.18,11.19,10.85,394353,+1.20%
2026-06-12,10.87,10.83,11.19,10.83,359156,-0.37%
2026-06-11,10.91,11.06,11.15,10.85,470233,-1.36%
2026-06-10,11.06,10.71,11.28,10.71,1188392,+1.47%
2026-06-09,10.9,10.75,11,10.7,525924,+1.30%
2026-06-08,10.76,10.95,11.02,10.72,508104,-1.74%
2026-06-05,10.95,10.88,11.25,10.72,1803302,+2.15%
2026-06-04,10.72,10.98,10.98,10.66,416128,+0.00%
2026-06-03,10.72,10.56,10.8,10.55,364505,-0.09%
2026-06-02,10.73,10.55,10.9,10.55,450711,+0.00%
2026-06-01,10.73,11,11.08,10.52,322792,-1.20%
2026-05-29,10.86,10.79,10.95,10.79,207652,+0.65%
2026-05-25,10.79,11.05,11.05,10.7,407931,-0.46%
2026-05-22,10.84,10.85,11.2,10.82,446614,-1.54%
2026-05-21,11.01,11.35,11.35,10.95,508355,+0.73%
2026-05-20,10.93,11,11.16,10.8,682684,+0.18%
2026-05-19,10.91,11,11.2,10.8,256320,-1.36%
2026-05-18,11.06,11.45,11.45,10.75,680403,+0.09%
2026-05-15,11.05,11.48,11.48,10.87,393183,+0.18%
2026-05-14,11.03,11.23,11.51,10.95,1364638,-2.99%
2026-05-13,11.37,10.83,11.68,10.83,2156973,+5.18%
2026-05-12,10.81,11.62,11.76,10.52,1893892,-6.65%
2026-05-11,11.58,11.5,11.85,11.25,2168816,+0.26%
2026-05-08,11.55,10.92,11.89,10.82,7719136,+5.87%
2026-05-07,10.91,10.9,11.05,10.8,1411309,-0.55%
2026-05-06,10.97,11.04,11.1,10.9,2847063,+1.57%
2026-05-05,10.8,10.25,11.05,10.15,2833612,+4.25%
2026-05-04,10.36,11.05,11.2,9.93,3256148,-6.07%
2026-04-30,11.03,10.22,11.23,10.1,16988750,+8.03%
2026-04-29,10.21,10.6,10.6,10.1,214896,-1.54%
2026-04-28,10.37,10.32,10.56,10.3,190989,-0.67%
2026-04-27,10.44,10.8,10.84,10.3,491602,-3.51%
2026-04-24,10.82,10.6,10.94,10.21,492033,+2.85%
2026-04-23,10.52,10.36,10.9,10.02,733372,-0.66%
2026-04-22,10.59,10.5,10.9,10.25,843974,+2.12%
2026-04-21,10.37,10.58,10.86,10.3,383294,-0.86%
2026-04-20,10.46,10.88,11.06,10.01,1492479,-4.65%
2026-04-17,10.97,11.49,11.55,10.9,6289563,-0.99%
2026-04-16,11.08,10.2,11.19,10.18,3578894,+8.95%
