date,close,open,high,low,volume,change_pct
2026-06-30,13.14,13.4,13.4,12.98,550811,+1.00%
2026-06-29,13.01,13.17,13.44,12.51,730907,-1.21%
2026-06-24,13.17,13.37,13.45,13.1,669980,-1.50%
2026-06-23,13.37,13.3,13.55,13.19,2222135,+1.29%
2026-06-22,13.2,13.5,13.5,12.95,1204906,-1.35%
2026-06-19,13.38,13.07,13.6,12.91,4014167,+2.37%
2026-06-18,13.07,13.05,13.47,12.99,2326692,+0.38%
2026-06-17,13.02,13.5,13.6,12.9,2959176,-3.34%
2026-06-16,13.47,13.6,13.85,13.4,2365206,-1.10%
2026-06-15,13.62,13.8,14.26,13.35,7622124,+2.41%
2026-06-12,13.3,13.5,13.55,13.11,3075531,+1.76%
2026-06-11,13.07,13,13.56,12.81,4303221,-1.58%
2026-06-10,13.28,12.25,13.56,12.25,17975730,+7.70%
2026-06-09,12.33,12.19,12.4,12.19,659506,+2.24%
2026-06-08,12.06,12.1,12.47,12.02,506803,-1.87%
2026-06-05,12.29,12.48,12.48,12.25,384914,-0.32%
2026-06-04,12.33,12.3,12.54,12.29,620561,+1.57%
2026-06-03,12.14,12.4,12.59,12,1160592,-2.41%
2026-06-02,12.44,12.75,12.75,12.38,988900,-0.72%
2026-06-01,12.53,12.38,12.94,12.2,4826312,+1.62%
2026-05-29,12.33,12.18,12.38,12.09,748895,+1.23%
2026-05-25,12.18,12.25,12.3,12.02,1448442,+1.50%
2026-05-22,12,12.26,12.39,11.98,702811,-2.04%
2026-05-21,12.25,12,12.34,11.9,31042430,+2.77%
2026-05-20,11.92,12,12.05,11.81,103521,-0.42%
2026-05-19,11.97,11.83,12.18,11.8,494669,+1.01%
2026-05-18,11.85,12.29,12.3,11.8,630077,-3.19%
2026-05-15,12.24,11.9,12.3,11.9,1886439,+2.26%
2026-05-14,11.97,12.06,12.14,11.85,1188367,+0.25%
2026-05-13,11.94,12.09,12.09,11.9,207944,-0.58%
2026-05-12,12.01,12.15,12.15,11.9,1493877,-0.58%
2026-05-11,12.08,12,12.19,11.81,524881,-0.25%
2026-05-08,12.11,12.05,12.24,11.75,1596322,+0.58%
2026-05-07,12.04,12.28,12.44,11.99,714678,-1.87%
2026-05-06,12.27,12,12.32,11.55,3202052,+3.46%
2026-05-05,11.86,11.51,12.12,11.51,2766191,+2.24%
2026-05-04,11.6,11.63,11.95,11.5,502248,+1.13%
2026-04-30,11.47,11.61,11.75,11.24,1557794,-2.55%
2026-04-29,11.77,11.63,12.15,11.5,3016988,+1.29%
2026-04-28,11.62,11.78,11.9,11.55,905780,-1.94%
2026-04-27,11.85,11.89,12.05,11.75,330649,-0.42%
2026-04-24,11.9,11.65,11.99,11.65,3833355,-0.58%
2026-04-23,11.97,11.7,12.05,11.65,8834987,+3.10%
2026-04-22,11.61,11.75,11.93,11.4,1892593,-1.36%
2026-04-21,11.77,12.01,12.18,11.7,796429,-0.68%
2026-04-20,11.85,12.25,12.27,11.5,3494264,-4.20%
2026-04-17,12.37,12.4,12.6,12.2,3613395,+2.15%
2026-04-16,12.11,11.38,12.39,11.28,8338807,+7.36%
2026-04-15,11.28,11.38,11.54,11.23,1928337,+1.62%
2026-04-14,11.1,11.22,11.3,10.99,1893561,+1.46%
2026-04-13,10.94,11.14,11.2,10.81,1141494,-5.03%
2026-04-10,11.52,11.3,11.62,11,3026489,+5.01%
2026-04-09,10.97,10.85,11.24,10.31,6233306,+1.39%
2026-04-08,10.82,10.49,10.82,10.18,7327466,+10.18%
2026-04-07,9.82,9.74,9.9,9.5,1120364,+0.00%
2026-04-06,9.82,9.5,9.87,9.3,2593778,+3.81%
2026-04-03,9.46,9.04,9.6,9.01,4068219,+3.96%
2026-04-02,9.1,9.3,9.3,9.05,924002,-3.60%
2026-04-01,9.44,9.32,9.78,9.32,1047643,+1.07%
2026-03-31,9.34,9.2,9.44,9.02,680223,+1.85%
2026-03-30,9.17,9.61,9.61,9,2192916,-4.58%
2026-03-27,9.61,9.5,9.68,9.25,623900,+0.84%
2026-03-26,9.53,9.7,9.74,9.45,1420685,-2.36%
2026-03-25,9.76,9.2,9.83,9.2,2173713,+6.32%
2026-03-24,9.18,9.3,9.34,9.11,352006,+2.00%
2026-03-19,9,9.4,9.4,8.51,1147139,-4.26%
2026-03-18,9.4,9.4,9.59,9.3,827564,+0.00%
2026-03-17,9.4,9.4,9.45,9.12,710209,+2.51%
2026-03-16,9.17,9.65,9.65,9.14,898816,-4.78%
2026-03-13,9.63,9.74,9.74,9.55,152204,-1.23%
2026-03-12,9.75,9.65,9.79,9.5,401493,+0.00%
2026-03-11,9.75,9.6,9.82,9.52,1316316,+1.77%
2026-03-10,9.58,9.5,10.2,9.3,7894125,+4.13%
2026-03-09,9.2,9.61,9.8,9.08,3988603,-8.82%
2026-03-06,10.09,10.45,10.45,10.05,213668,-2.70%
2026-03-05,10.37,10.1,10.44,9.99,1036379,+3.70%
2026-03-04,10,10.08,10.29,9.98,614825,-0.70%
2026-03-03,10.07,9.56,10.3,9.56,736001,+2.23%
2026-03-02,9.85,10.01,10.48,9.85,6383355,-9.96%
2026-02-27,10.94,11,11.2,10.4,5598445,-2.32%
2026-02-26,11.2,10.95,11.34,10.51,2255930,+2.00%
2026-02-25,10.98,11.24,11.3,10.8,2813901,-0.72%
2026-02-24,11.06,11.25,11.25,10.6,5919824,-0.18%
2026-02-23,11.08,11.65,11.75,11.02,1134640,-4.65%
2026-02-20,11.62,12.05,12.28,11.51,1196978,-4.68%
2026-02-19,12.19,12.04,12.7,12.01,808194,-3.48%
2026-02-18,12.63,12.6,12.8,12.4,1365419,+1.53%
2026-02-17,12.44,12.42,12.69,12.2,2060343,-0.88%
2026-02-16,12.55,13.05,13.15,12.2,1663201,-4.13%
2026-02-13,13.09,13.09,13.35,13,763679,+0.38%
2026-02-12,13.04,13.34,13.38,12.9,987388,-1.51%
2026-02-11,13.24,13.3,13.57,13.21,648246,-1.12%
2026-02-10,13.39,13.4,13.69,13.34,610838,-0.07%
2026-02-09,13.4,13.56,13.83,13.2,2077448,-0.96%
2026-02-06,13.53,13.98,13.98,13.5,1334231,-3.01%
2026-02-04,13.95,14.01,14.16,13.7,2230227,-0.14%
2026-02-03,13.97,13.35,14.09,13.32,4438034,+4.88%
2026-02-02,13.32,13.87,13.87,13.25,1718650,-2.49%
2026-01-30,13.66,13.32,14,13.32,1870250,+1.41%
2026-01-29,13.47,14.08,14.18,13.32,4143528,-3.85%
2026-01-28,14.01,13.5,14.18,13.5,17405060,+4.32%
2026-01-27,13.43,13.3,13.5,13.04,3323898,+0.00%
2026-01-26,13.43,13.5,13.65,13.34,1287045,-0.22%
2026-01-23,13.46,14,14.2,13.35,6499090,-3.10%
2026-01-22,13.89,13.5,14.11,13.35,11182720,+2.21%
2026-01-21,13.59,13.57,13.75,13.31,5148741,+0.15%
2026-01-20,13.57,13.65,13.78,13.36,2718580,-0.29%
2026-01-19,13.61,13.5,14.19,13.34,10980510,+1.57%
2026-01-16,13.4,12.6,13.53,12.6,18638350,+7.11%
2026-01-15,12.51,12.8,12.88,12.3,11292250,-1.96%
2026-01-14,12.76,13.15,13.3,12.61,4266000,-3.41%
2026-01-13,13.21,13.44,13.75,13.18,10198980,-1.12%
2026-01-12,13.36,13.14,13.5,13,7188327,+1.67%
2026-01-09,13.14,13.3,13.43,13.09,1827695,-0.83%
2026-01-08,13.25,13.34,13.65,13.2,5741910,+0.53%
2026-01-07,13.18,13.2,13.69,13.05,5038758,+0.53%
2026-01-06,13.11,13.27,13.38,13.03,1524236,-1.13%
2026-01-05,13.26,13.43,13.54,13.12,1696394,-0.30%
2026-01-02,13.3,13.25,13.44,13.11,1530260,+0.38%
2026-01-01,13.25,13.29,13.38,13.06,1558102,+0.45%
2025-12-31,13.19,13.11,13.5,13.1,1862612,+1.07%
2025-12-30,13.05,13.14,13.14,13,565643,+0.54%
2025-12-29,12.98,13.25,13.32,12.92,2109608,-1.52%
2025-12-26,13.18,13.49,13.49,12.96,2875886,-1.42%
2025-12-24,13.37,13.3,13.49,13.21,2532774,+1.36%
2025-12-23,13.19,13.27,13.33,13.06,1390520,-0.60%
2025-12-22,13.27,13.38,13.4,13.11,1226559,+0.23%
2025-12-19,13.24,13.55,13.8,13.11,2405235,-3.07%
2025-12-18,13.66,13.69,14,13.56,3220917,+0.96%
2025-12-17,13.53,13.67,13.92,13.46,6425271,-0.95%
2025-12-16,13.66,13.6,13.95,13.55,6094590,+1.71%
2025-12-15,13.43,13.85,13.89,13.35,6406769,-2.04%
2025-12-12,13.71,13.98,13.98,13.6,1645385,-0.29%
2025-12-11,13.75,14.49,14.49,13.49,8067405,-4.58%
2025-12-10,14.41,14.01,14.61,13.86,18140030,+3.97%
2025-12-09,13.86,13.15,14.27,12.93,20614930,+6.86%
2025-12-08,12.97,13,13.23,12.76,2630868,+0.78%
2025-12-05,12.87,12.71,13.08,12.71,1875486,+1.42%
2025-12-04,12.69,12.9,12.96,12.65,891266,-0.39%
2025-12-03,12.74,13,13,12.7,1035357,-1.70%
2025-12-02,12.96,12.61,13.4,12.61,3965458,+2.13%
2025-12-01,12.69,12.51,12.76,12.5,1123004,+1.68%
2025-11-28,12.48,12.69,12.8,12.42,2135205,-0.79%
2025-11-27,12.58,12.75,12.75,12.51,444282,-0.24%
2025-11-26,12.61,12.75,12.75,12.44,788920,-1.33%
2025-11-25,12.78,12.66,12.85,12.6,379898,+0.95%
2025-11-24,12.66,12.9,13.08,12.51,1192766,-1.17%
2025-11-21,12.81,13,13.13,12.72,717585,-1.31%
2025-11-20,12.98,13,13.17,12.96,635223,-0.61%
2025-11-19,13.06,13.38,13.38,13.01,647643,-0.99%
2025-11-18,13.19,13.16,13.64,12.98,3997587,+1.31%
2025-11-17,13.02,13.1,13.34,12.9,1638352,-0.46%
2025-11-14,13.08,12.81,13.2,12.81,677350,+0.54%
2025-11-13,13.01,12.5,13.1,12.5,1503629,+3.01%
2025-11-12,12.63,12.57,12.86,12.51,798069,+0.48%
