date,close,open,high,low,volume,change_pct
"Jun 24, 2026",16.44,17.01,17.13,16.35,4384994,-2.26%
"Jun 23, 2026",16.82,16.35,17.35,16.35,10237012,+2.69%
"Jun 22, 2026",16.38,16.25,16.9,16.25,1262841,-0.61%
"Jun 19, 2026",16.48,16.72,16.95,16.12,1226310,-1.44%
"Jun 18, 2026",16.72,16.9,16.95,16.7,668483,-0.06%
"Jun 17, 2026",16.73,16.8,17,16.7,1203498,-0.30%
"Jun 16, 2026",16.78,17,17.15,16.7,2787351,-1.18%
"Jun 15, 2026",16.98,17.18,17.28,16.7,4153457,+1.56%
"Jun 12, 2026",16.72,16.89,16.94,16.51,4718170,+1.58%
"Jun 11, 2026",16.46,16.79,17.19,16.32,13902059,-2.02%
"Jun 10, 2026",16.8,16.29,17.94,16.25,27199374,+3.07%
"Jun 09, 2026",16.3,16.05,16.75,16,4652463,+0.99%
"Jun 08, 2026",16.14,16.1,16.28,15.9,218260,-0.49%
"Jun 05, 2026",16.22,16.43,16.5,16.15,625835,+0.00%
"Jun 04, 2026",16.22,16.38,16.4,16,760983,+0.37%
"Jun 03, 2026",16.16,16.35,16.45,16.11,372620,-0.86%
"Jun 02, 2026",16.3,16.2,16.35,16,356562,+1.12%
"Jun 01, 2026",16.12,16.3,16.48,16,3051693,-1.23%
"May 29, 2026",16.32,16.24,16.4,16,502943,+1.81%
"May 25, 2026",16.03,16.31,16.48,15.99,373711,+0.63%
"May 22, 2026",15.93,16.03,16.44,15.9,147277,-1.67%
"May 21, 2026",16.2,16.48,16.5,16.11,1553948,+0.06%
"May 20, 2026",16.19,16.01,16.45,15.77,389964,+0.94%
"May 19, 2026",16.04,15.99,16.19,15.8,277931,+1.78%
"May 18, 2026",15.76,16.39,16.39,15.56,367339,-3.79%
"May 15, 2026",16.38,16.64,16.64,16.1,3250115,+0.74%
"May 14, 2026",16.26,16.46,16.65,16.13,493477,-1.22%
"May 13, 2026",16.46,16.2,16.6,16.11,880232,+1.42%
"May 12, 2026",16.23,16.95,17.18,16.2,1090607,-4.13%
"May 11, 2026",16.93,16.47,17.2,16.05,2050488,+2.54%
"May 08, 2026",16.51,16.54,16.97,16.21,1055993,+0.06%
"May 07, 2026",16.5,16.18,16.98,16.18,2093199,+1.98%
"May 06, 2026",16.18,15.98,16.3,15.75,2458994,+3.25%
"May 05, 2026",15.67,15.65,15.9,15.4,313997,+0.26%
"May 04, 2026",15.63,15.71,16.15,15.46,476950,+0.84%
"Apr 30, 2026",15.5,15.76,15.8,14.76,2789618,-2.08%
"Apr 29, 2026",15.83,16.45,16.8,15.7,2644115,-0.44%
"Apr 28, 2026",15.9,15.99,16.3,15.7,936040,-1.97%
"Apr 27, 2026",16.22,16.14,16.45,15.61,3913356,+1.37%
"Apr 24, 2026",16,15.99,16.08,15.6,1100886,+1.07%
"Apr 23, 2026",15.83,16.39,16.7,15.75,1737579,-3.42%
"Apr 22, 2026",16.39,16.5,16.6,16.21,942585,+0.06%
"Apr 21, 2026",16.38,16.4,16.75,16.16,728118,+0.00%
"Apr 20, 2026",16.38,16.76,17,15.94,1126110,-3.36%
"Apr 17, 2026",16.95,16.76,17.2,16.71,2897701,+1.86%
"Apr 16, 2026",16.64,16.3,16.9,16.25,3062882,+2.27%
"Apr 15, 2026",16.27,15.99,16.7,15.98,3996525,+5.10%
"Apr 14, 2026",15.48,15.65,15.75,15.4,716699,+2.65%
"Apr 13, 2026",15.08,15.5,15.88,15.01,1009801,-6.39%
"Apr 10, 2026",16.11,15.88,16.25,15.66,1845033,+3.34%
"Apr 09, 2026",15.59,15.99,15.99,15.59,1615407,-0.89%
"Apr 08, 2026",15.73,15.49,15.73,15.49,2869133,+10.00%
"Apr 07, 2026",14.3,14.31,14.31,14.3,484501,-0.83%
