date,close,open,high,low,volume,change_pct
2026-06-30,36.04,35.51,36.55,35.51,569256,+1.49%
2026-06-29,35.51,37.28,37.75,35.35,2628738,-5.51%
2026-06-24,37.58,37.01,37.99,36.5,1973476,+1.62%
2026-06-23,36.98,38.1,38.1,36.42,2671185,-2.48%
2026-06-22,37.92,39.51,40.44,37.65,7467835,-1.22%
2026-06-19,38.39,35,38.39,34.16,5756360,+10.00%
2026-06-18,34.9,34.47,35.19,34.02,1829173,+2.32%
2026-06-17,34.11,34.49,34.49,34,574923,-0.70%
2026-06-16,34.35,34.15,34.47,34.15,799112,+0.59%
2026-06-15,34.15,34.98,34.98,34.05,1150820,+0.32%
2026-06-12,34.04,34.45,35,34,1431074,-1.10%
2026-06-11,34.42,34,35.3,33.21,2946549,+1.41%
2026-06-10,33.94,34.1,34.5,33.58,516340,-0.15%
2026-06-09,33.99,33.25,35.2,33.12,1404010,+2.63%
2026-06-08,33.12,33.3,33.45,33,269537,-1.58%
2026-06-05,33.65,33.2,33.92,33.2,489177,+0.84%
2026-06-04,33.37,33.09,33.6,32.99,414011,+0.85%
2026-06-03,33.09,33.5,33.7,33,353528,-1.46%
2026-06-02,33.58,33.87,34.4,33.5,195393,-0.80%
2026-06-01,33.85,34.05,34.39,33.8,629758,-0.59%
2026-05-29,34.05,34.2,34.66,33.84,1131859,+0.59%
2026-05-25,33.85,34.32,34.69,33.51,913572,-0.47%
2026-05-22,34.01,34.65,34.65,33.61,529161,-0.58%
2026-05-21,34.21,34.3,34.76,34.06,534749,+1.54%
2026-05-20,33.69,33.4,34.3,32.9,523971,+0.33%
2026-05-19,33.58,33.01,34.47,33.01,331738,+0.48%
2026-05-18,33.42,34.69,34.7,33.26,699452,-4.02%
2026-05-15,34.82,35.2,35.5,34.5,620454,-1.69%
2026-05-14,36.42,36.5,37.09,36.1,789249,+0.03%
2026-05-13,36.41,37.67,37.95,36.31,1520366,-3.34%
2026-05-12,37.67,38.89,39.19,37.31,1826972,-2.03%
2026-05-11,38.45,36.8,39.38,36.41,4429340,+3.44%
2026-05-08,37.17,35.65,38,35.46,3862439,+3.14%
2026-05-07,36.04,34.48,36.6,34.4,3271221,+5.72%
2026-05-06,34.09,33.49,34.48,32.51,2341327,+3.27%
2026-05-05,33.01,33.01,33.2,32.62,365278,-1.11%
2026-05-04,33.38,33.3,34.59,33,935125,+1.64%
2026-04-30,32.84,32.3,35,32.01,1388407,+0.61%
2026-04-29,32.64,32.8,35.25,32.41,4312725,-0.21%
2026-04-28,32.71,32.4,33.06,32.2,533740,+0.62%
2026-04-27,32.51,32.01,32.74,31.64,397222,+1.56%
2026-04-24,32.01,32.19,32.19,31.56,525999,-0.12%
2026-04-23,32.05,32.24,32.24,31.6,332068,-0.59%
2026-04-22,32.24,32.2,32.44,31.05,365567,+0.37%
2026-04-21,32.12,32.33,32.5,32.06,325735,+0.00%
2026-04-20,32.12,32.86,32.95,31.69,609515,-2.61%
2026-04-17,32.98,32.65,33.34,32.5,920789,+1.79%
