date,close,open,high,low,volume,change_pct
2026-07-01,61.4,57.2,62,57.2,9066848,+8.35%
2026-06-30,56.67,57.98,60.4,55.03,8583374,-0.40%
2026-06-29,56.9,58.47,59.49,54.16,4238120,-3.21%
2026-06-24,58.79,59.25,59.7,58,4139894,-0.59%
2026-06-23,59.14,61,61,57.66,2441105,-1.97%
2026-06-22,60.33,61.1,61.4,60.15,2243188,-1.26%
2026-06-19,61.1,61.59,61.8,60.5,5274876,-0.42%
2026-06-18,61.36,61.87,61.91,61.02,3000309,+0.20%
2026-06-17,61.24,61.1,62.05,61,3022085,+0.43%
2026-06-16,60.98,61,61.55,60.15,4613928,+1.40%
2026-06-15,60.14,61.85,61.85,59.02,1867934,+1.95%
2026-06-12,58.99,58.8,59.24,58.1,1902108,+1.97%
2026-06-11,57.85,57.5,58.3,57.49,1397563,-0.21%
2026-06-10,57.97,58.1,58.69,57.83,1645173,-0.45%
2026-06-09,58.23,57.85,58.7,57.85,1889915,+0.90%
2026-06-08,57.71,58.13,58.89,57.15,1370801,-1.10%
2026-06-05,58.35,58.46,58.69,58.12,418517,-0.17%
2026-06-04,58.45,58.44,58.91,58.35,1439431,+0.02%
2026-06-03,58.44,59,59,58.08,971934,-0.98%
2026-06-02,59.02,59,59.3,59,1293094,-0.02%
2026-06-01,59.03,59.43,59.6,58.91,1583635,-0.67%
2026-05-29,59.43,59.5,59.85,58.74,3643460,+0.19%
2026-05-25,59.32,58,59.9,57.8,2985961,+3.74%
2026-05-22,57.18,57.9,57.9,57,756606,-0.68%
2026-05-21,57.57,57,58,57,2315285,+1.79%
2026-05-20,56.56,56.87,57.65,56.25,2207544,+0.37%
2026-05-19,56.35,56.9,57.95,56.01,1608888,-0.09%
2026-05-18,56.4,57.8,58.2,56.02,1496718,-2.39%
2026-05-15,57.78,57.84,58.15,56.9,2141215,+0.70%
2026-05-14,57.38,58.88,59.74,56.9,2581702,-2.53%
2026-05-13,58.87,59.9,59.9,58.3,1018326,-0.93%
2026-05-12,59.42,60.13,60.13,59.2,1166403,-0.55%
2026-05-11,59.75,59,60.14,58.9,1185984,+1.13%
2026-05-08,59.08,59.3,59.95,58.8,1697134,-1.24%
2026-05-07,59.82,60.4,60.9,59.5,2856276,-1.06%
2026-05-06,60.46,59.01,61.01,58.53,7953897,+3.78%
2026-05-05,58.26,58.95,58.95,57.01,1457360,-0.33%
2026-05-04,59.95,60.75,61.2,59.5,5796506,+0.65%
2026-04-30,59.56,59,59.97,57.9,2358325,+0.10%
2026-04-29,59.5,60.9,61.25,59,4442038,-1.99%
2026-04-28,60.71,61.4,61.45,60.45,4845211,+0.00%
2026-04-27,60.71,61.5,62.19,60.4,7108516,-0.83%
2026-04-24,61.22,61,62,57.99,12853840,-0.08%
2026-04-23,61.27,64.49,64.78,60.5,12253960,-4.25%
2026-04-22,63.99,66.4,66.4,63.7,2239354,-2.07%
