date,close,open,high,low,volume,change_pct
"Jun 24, 2026",45.38,45.16,45.38,45.16,1080457,+0.51%
"Jun 23, 2026",45.15,45.98,45.98,45.15,360517,-0.77%
"Jun 22, 2026",45.5,46.21,46.21,45.5,811134,-1.30%
"Jun 19, 2026",46.1,46.76,46.76,46.1,646186,-1.26%
"Jun 18, 2026",46.69,47.6,47.6,46.69,1420896,-1.33%
"Jun 17, 2026",47.32,46.99,47.32,46.99,3130578,+0.85%
"Jun 16, 2026",46.92,47.04,47.04,46.92,6349465,+0.95%
"Jun 15, 2026",46.48,46.94,46.94,46.48,1746349,+1.42%
"Jun 12, 2026",45.83,46.25,46.25,45.83,2026021,+0.00%
"Jun 11, 2026",45.83,45.9,45.9,45.83,1196696,-1.59%
"Jun 10, 2026",46.57,46.96,46.96,46.57,12529206,+0.65%
"Jun 09, 2026",46.27,46.52,46.52,46.27,693309,+1.18%
"Jun 08, 2026",45.73,45.16,45.73,45.16,1479915,-0.74%
"Jun 05, 2026",46.07,45,46.07,45,1734229,+2.90%
"Jun 04, 2026",44.77,44,44.77,44,66656,+1.94%
"Jun 03, 2026",43.92,44.6,44.6,43.92,405788,-1.83%
"Jun 02, 2026",44.74,44.25,44.74,44.25,44718,+0.29%
"Jun 01, 2026",44.61,44.4,44.61,44.4,179709,-0.02%
"May 29, 2026",44.62,44,44.62,44,720648,+1.09%
"May 25, 2026",44.14,44.91,44.91,44.14,213400,+1.85%
"May 22, 2026",43.34,44.4,44.4,43.34,64432,-1.50%
"May 21, 2026",44,44.49,44.49,44,199511,+1.69%
"May 20, 2026",43.27,42.98,43.27,42.98,71859,+0.67%
"May 19, 2026",42.98,42.26,42.98,42.26,60112,+1.03%
"May 18, 2026",42.54,44.97,44.97,42.54,169229,-3.69%
"May 15, 2026",44.17,45.01,45.01,44.17,239087,-2.34%
"May 14, 2026",45.23,46.02,46.02,45.23,255012,-1.42%
"May 13, 2026",45.88,46.2,46.2,45.88,233364,-0.33%
"May 12, 2026",46.03,44.9,46.03,44.9,2675700,+3.88%
"May 11, 2026",44.31,43.99,44.31,43.99,513755,-1.53%
"May 08, 2026",45,44.5,45,44.5,901135,+0.96%
"May 07, 2026",44.57,44,44.57,44,3548446,+1.53%
"May 06, 2026",43.9,42.15,43.9,42.15,4442184,+4.80%
"May 05, 2026",41.89,41.04,41.89,41.04,106997,-0.36%
"May 04, 2026",42.04,42.47,42.47,42.04,547834,+1.15%
"Apr 30, 2026",41.56,42.26,42.26,41.56,191299,-3.06%
"Apr 29, 2026",42.87,44,44,42.87,296340,-1.29%
"Apr 28, 2026",43.43,42.5,43.43,42.5,482167,+1.64%
"Apr 27, 2026",42.73,42.2,42.73,42.2,242633,+1.18%
"Apr 24, 2026",42.23,41.02,42.23,41.02,130971,+0.79%
"Apr 23, 2026",41.9,42.5,42.5,41.9,75137,-1.99%
"Apr 22, 2026",42.75,43.2,43.2,42.75,91859,-1.68%
"Apr 21, 2026",43.48,44,44,43.48,205427,-1.58%
"Apr 20, 2026",44.18,44.69,44.69,44.18,757723,-1.97%
"Apr 17, 2026",45.07,43.87,45.07,43.87,1765846,+2.41%
"Apr 16, 2026",44.01,41.92,44.01,41.92,2874675,+6.54%
"Apr 15, 2026",41.31,40.11,41.31,40.11,825475,+5.09%
"Apr 14, 2026",39.31,38.36,39.31,38.36,276788,+3.04%
"Apr 13, 2026",38.15,39,39,38.15,171961,-4.36%
"Apr 10, 2026",39.89,38.06,39.89,38.06,354364,+2.12%
"Apr 09, 2026",39.06,39.9,39.9,39.06,149286,-2.69%
"Apr 08, 2026",40.14,39.2,40.14,39.2,626335,+10.00%
"Apr 07, 2026",36.49,36.35,36.49,36.35,155451,-1.46%
"Apr 06, 2026",37.03,36.45,37.03,36.45,294831,+2.24%
"Apr 03, 2026",36.22,34.99,36.22,34.99,272970,+2.37%
