date,close,open,high,low,volume,change_pct
2026-07-01,5.39,5.41,5.44,5.34,2394075,+0.00%
2026-06-30,5.39,5.34,5.45,5.34,3950715,+1.32%
2026-06-29,5.32,5.37,5.46,5.3,4793477,-2.03%
2026-06-24,5.43,5.53,5.55,5.37,5129289,-1.09%
2026-06-23,5.49,5.5,5.62,5.48,4215847,-0.90%
2026-06-22,5.54,5.54,5.63,5.51,2456537,+0.18%
2026-06-19,5.53,5.66,5.69,5.51,4960605,-1.78%
2026-06-18,5.63,5.61,5.71,5.61,4034652,-0.18%
2026-06-17,5.64,5.71,5.76,5.6,4180782,-1.23%
2026-06-16,5.71,5.72,5.8,5.69,6703556,+0.00%
2026-06-15,5.71,5.79,5.87,5.64,5670782,+1.60%
2026-06-12,5.62,5.65,5.72,5.6,5611321,+0.72%
2026-06-11,5.58,5.61,5.66,5.55,4843935,-1.24%
2026-06-10,5.65,5.71,5.84,5.57,18936020,-0.53%
2026-06-09,5.68,5.66,5.83,5.61,8515476,+1.61%
2026-06-08,5.59,5.75,5.75,5.52,21042860,-4.12%
2026-06-05,5.83,6.09,6.17,5.79,26493650,-3.32%
2026-06-04,6.03,6.1,6.28,5.91,113092800,+4.51%
2026-06-03,5.77,5.28,5.89,5.28,23949470,+8.66%
2026-06-02,5.31,5.35,5.4,5.3,2523062,-0.93%
2026-06-01,5.36,5.4,5.44,5.33,2053005,-0.19%
2026-05-29,5.37,5.45,5.45,5.32,1858228,-0.74%
2026-05-25,5.41,5.39,5.45,5.36,1433729,+1.50%
2026-05-22,5.33,5.31,5.38,5.3,1646842,-1.48%
2026-05-21,5.41,5.42,5.44,5.3,2801981,+0.37%
2026-05-20,5.39,5.34,5.42,5.23,1444988,+1.70%
2026-05-19,5.3,5.3,5.37,5.25,2213307,+1.15%
2026-05-18,5.24,5.45,5.48,5.2,5447785,-4.55%
2026-05-15,5.49,5.48,5.56,5.42,2460945,+0.18%
2026-05-14,5.48,5.55,5.66,5.4,7056232,-1.97%
2026-05-13,5.59,5.67,5.77,5.53,3757978,-1.41%
2026-05-12,5.67,5.86,5.91,5.65,7272675,-1.90%
2026-05-11,5.78,5.65,5.85,5.59,11063560,+2.12%
2026-05-08,5.66,5.69,5.8,5.52,7539732,-1.05%
2026-05-07,5.72,5.3,5.95,5.29,30002530,+8.13%
2026-05-06,5.29,5.29,5.39,5.07,6973941,+2.92%
2026-05-05,5.14,5.2,5.2,5.1,2375163,-2.28%
2026-05-04,5.26,5.18,5.42,5.18,3736563,+1.54%
2026-04-30,5.18,5.47,5.5,5,7796571,-6.50%
2026-04-29,5.54,5.65,5.9,5.52,6769719,-2.12%
2026-04-28,5.66,5.43,5.8,5.43,8345771,-2.41%
2026-04-27,5.8,5.96,5.96,5.7,5822819,-2.36%
2026-04-24,5.94,5.7,6.18,5.7,26562330,-0.50%
2026-04-23,5.97,5.75,6.15,5.75,38993370,+6.23%
2026-04-22,5.62,5.09,5.8,5.05,34640490,+12.18%
2026-04-21,5.01,5,5.12,5,4234608,+0.40%
2026-04-20,4.99,5.1,5.14,4.9,8646196,-2.92%
2026-04-17,5.14,5.14,5.22,4.9,10419200,+4.68%
2026-04-16,4.91,4.92,4.97,4.78,5309245,+2.08%
2026-04-15,4.81,4.83,4.93,4.79,4132366,+0.63%
2026-04-14,4.78,4.65,4.85,4.55,2549826,+2.80%
2026-04-13,4.65,4.55,4.8,4.55,2137374,-4.71%
2026-04-10,4.88,4.85,4.92,4.8,3511638,+1.24%
