date,close,open,high,low,volume,change_pct
"Jun 29, 2026",7.16,7,7.16,6.8,6408501,+16.23%
"Jun 24, 2026",6.16,6.16,6.28,6.1,113439,-0.65%
"Jun 23, 2026",6.2,6.29,6.32,6.16,219558,+0.00%
"Jun 22, 2026",6.2,6.2,6.4,6.18,283368,+0.16%
"Jun 19, 2026",6.19,6.39,6.4,6.05,145118,-2.06%
"Jun 18, 2026",6.32,6.38,6.5,6,234350,+1.44%
"Jun 17, 2026",6.23,6.21,6.4,6.2,205969,-1.89%
"Jun 16, 2026",6.35,6.44,6.44,6.2,229341,-1.09%
"Jun 15, 2026",6.42,6.75,6.75,6.28,137855,+2.39%
"Jun 12, 2026",6.27,6.36,6.38,6.25,84309,-0.48%
"Jun 11, 2026",6.3,6.3,6.4,6.25,80289,-0.47%
"Jun 10, 2026",6.33,6.39,6.45,6.3,141507,-0.63%
"Jun 09, 2026",6.37,6.32,6.45,6.3,85983,+1.27%
"Jun 08, 2026",6.29,6.42,6.42,6.2,127134,-1.26%
"Jun 05, 2026",6.37,6.46,6.46,6.3,36456,-0.47%
"Jun 04, 2026",6.4,6.41,6.52,6.35,223405,+0.00%
"Jun 03, 2026",6.4,6.41,6.5,6.34,82248,+1.11%
"Jun 02, 2026",6.33,6.32,6.49,6.23,166606,-0.94%
"Jun 01, 2026",6.39,6.4,6.5,6.21,148115,+0.47%
"May 29, 2026",6.36,6.5,6.5,6.3,185314,-1.40%
"May 25, 2026",6.45,6.44,6.7,6.35,93417,+1.90%
"May 22, 2026",6.33,6.6,7.11,6.23,352803,-3.80%
"May 21, 2026",6.58,6.18,7.14,6.18,3359059,+7.17%
"May 20, 2026",6.14,6.06,6.18,6.05,32303,+1.32%
"May 19, 2026",6.06,6.1,6.26,6.03,83825,-1.30%
"May 18, 2026",6.14,6.28,6.48,6.1,76046,-2.23%
"May 15, 2026",6.28,6.4,6.44,6.2,78103,-0.32%
"May 14, 2026",6.3,6.4,6.52,6.16,157359,-1.87%
"May 13, 2026",6.42,6.61,6.61,6.4,38478,-1.38%
"May 12, 2026",6.51,6.7,6.7,6.49,118543,-1.06%
"May 11, 2026",6.58,6.6,6.74,6.53,105409,-0.60%
"May 08, 2026",6.62,6.52,7.25,6.25,1537179,+1.85%
"May 07, 2026",6.5,6.41,6.68,6.31,137131,+1.72%
"May 06, 2026",6.39,6.25,6.48,6.25,122325,+1.75%
"May 05, 2026",6.28,6.16,6.45,6.16,146865,-0.16%
"May 04, 2026",6.29,6.23,6.72,6.23,186829,-0.63%
"Apr 30, 2026",6.33,6.56,6.56,6.21,168264,-3.36%
"Apr 29, 2026",6.55,6.79,6.86,6.55,137725,-3.11%
"Apr 28, 2026",6.76,6.41,7.01,6.41,342356,+2.74%
"Apr 27, 2026",6.58,6.46,6.71,6.17,411257,-2.81%
"Apr 24, 2026",6.77,6.55,6.99,6.5,476415,-1.88%
"Apr 23, 2026",6.9,6.99,7.13,6.3,811627,-1.57%
"Apr 22, 2026",7.01,7,7.38,6.75,2593879,+3.39%
"Apr 21, 2026",6.78,6.25,7.15,6.1,3824521,+9.89%
"Apr 20, 2026",6.17,6.27,6.27,5.95,700689,-1.75%
"Apr 17, 2026",6.28,6.28,6.4,6.1,693511,+1.62%
"Apr 16, 2026",6.18,6.01,6.26,6.01,553618,+0.82%
"Apr 15, 2026",6.13,6.25,6.3,6,253968,+0.16%
"Apr 14, 2026",6.12,6,6.8,5.7,660569,+3.73%
"Apr 13, 2026",5.9,6.05,6.05,5.81,49001,-2.96%
"Apr 10, 2026",6.08,6.1,6.1,6.08,116241,+1.50%
"Apr 09, 2026",5.99,5.95,5.99,5.95,151068,-3.54%
"Apr 08, 2026",6.21,6.43,6.43,6.21,392484,+6.70%
"Apr 07, 2026",5.82,5.94,5.94,5.82,114483,-2.02%
"Apr 06, 2026",5.94,5.75,5.94,5.75,67800,+2.24%
"Apr 03, 2026",5.81,5.92,5.92,5.81,124856,-1.86%
"Apr 02, 2026",5.92,5.78,5.92,5.78,207107,+0.51%
"Apr 01, 2026",5.89,5.99,5.99,5.89,564704,+0.17%
"Mar 31, 2026",5.88,5.91,5.91,5.88,323897,-1.67%
"Mar 30, 2026",5.98,6.4,6.4,5.98,232158,-5.38%
"Mar 27, 2026",6.32,6.35,6.35,6.32,172197,+0.80%
"Mar 26, 2026",6.27,6.58,6.58,6.27,466704,-1.88%
"Mar 25, 2026",6.39,6.3,6.39,6.3,447984,+0.95%
"Mar 24, 2026",6.33,6.23,6.33,6.23,211956,+1.77%
"Mar 19, 2026",6.22,6.19,6.22,6.19,98086,+0.48%
"Mar 18, 2026",6.19,6.25,6.25,6.19,47760,-0.96%
"Mar 17, 2026",6.25,6.29,6.29,6.25,86074,+2.12%
"Mar 16, 2026",6.12,6.64,6.64,6.12,269507,-3.47%
"Mar 13, 2026",6.34,6.69,6.69,6.34,124516,-2.46%
"Mar 12, 2026",6.5,6.7,6.7,6.5,67064,-2.84%
"Mar 11, 2026",6.69,7.08,7.08,6.69,329575,-5.64%
"Mar 10, 2026",7.09,6.52,7.09,6.52,1359887,+10.61%
"Mar 09, 2026",6.41,7,7,6.41,817788,-10.72%
"Mar 06, 2026",7.18,7.3,7.3,7.18,1432620,-0.14%
"Mar 05, 2026",7.19,6.55,7.19,6.55,1911784,+6.20%
"Mar 04, 2026",6.77,6.3,6.77,6.3,1234709,+11.53%
"Mar 03, 2026",6.07,5.4,6.07,5.4,988178,+16.96%
"Mar 02, 2026",5.19,5.25,5.25,5.19,517585,-15.88%
"Feb 27, 2026",6.17,6.47,6.47,6.17,2650071,+0.00%
"Feb 26, 2026",6.17,5.2,6.17,5.2,1470789,+19.34%
"Feb 25, 2026",5.17,5.66,5.66,5.17,172446,-7.68%
"Feb 24, 2026",5.6,5.9,5.9,5.6,147750,-3.28%
"Feb 23, 2026",5.79,6.45,6.45,5.79,323157,
