date,close,open,high,low,volume,change_pct
2026-06-30,7.06,7.05,7.1,7.03,1419077,+0.28%
2026-06-29,7.04,7.09,7.13,7.02,3167118,-0.98%
2026-06-24,7.11,7.03,7.21,7.03,2793332,+0.14%
2026-06-23,7.1,7.28,7.28,7.08,1924677,-1.66%
2026-06-22,7.22,7.4,7.48,7.21,3094724,-1.50%
2026-06-19,7.33,7.65,7.65,7.2,9727229,-3.30%
2026-06-18,7.58,7.29,7.7,7.29,27328330,+5.72%
2026-06-17,7.17,7.02,7.23,7.01,4886953,+1.70%
2026-06-16,7.05,7.1,7.1,7.02,3193024,+0.00%
2026-06-15,7.05,7.2,7.21,7.01,2728600,+0.71%
2026-06-12,7,7.05,7.09,6.98,2453246,+0.00%
2026-06-11,7,7.02,7.05,6.95,1820886,-0.14%
2026-06-10,7.01,7.02,7.15,6.98,2617298,-0.14%
2026-06-09,7.02,7.01,7.05,6.96,2211985,+0.86%
2026-06-08,6.96,7,7.05,6.93,3507258,-1.42%
2026-06-05,7.06,7.08,7.13,7.03,2763679,+0.00%
2026-06-04,7.06,7.08,7.09,7,2117967,+0.43%
2026-06-03,7.03,7.09,7.1,7,1954099,-0.57%
2026-06-02,7.07,7.06,7.14,6.9,5158374,+0.86%
2026-06-01,7.01,7.13,7.13,6.96,3773423,-0.43%
2026-05-29,7.04,7.06,7.12,7.02,4908186,-0.85%
2026-05-25,7.1,7.27,7.3,7.06,6831357,-0.56%
2026-05-22,7.14,7.26,7.26,7,6968775,-0.28%
2026-05-21,7.16,7.19,7.28,7.12,6286033,+0.42%
2026-05-20,7.13,7.13,7.19,6.96,4532158,+1.42%
2026-05-19,7.03,7.17,7.3,7,5987605,-0.28%
2026-05-18,7.05,7.31,7.34,7.01,7576195,-3.56%
2026-05-15,7.31,7.2,7.54,7.19,28335150,+3.25%
2026-05-14,7.08,7.64,7.97,6.96,115352100,-5.22%
2026-05-13,7.47,8.25,8.4,7.38,38697660,-9.23%
2026-05-12,8.23,8.6,8.6,8.2,2073345,-2.26%
2026-05-11,8.42,8.52,8.72,8.26,4243834,+0.48%
2026-05-08,8.38,8.43,8.69,8.3,2477418,-0.71%
2026-05-07,8.44,8.55,8.68,8.32,2098324,+0.24%
2026-05-06,8.42,8.34,8.5,8.18,1761369,+3.57%
2026-05-05,8.13,7.89,8.25,7.81,752855,+2.14%
2026-05-04,7.96,8.38,8.38,7.88,2006286,-0.87%
