date,close,open,high,low,volume,change_pct
"Jun 24, 2026",35.38,35.2,35.64,35.03,18657800,+0.77%
"Jun 23, 2026",35.11,35.2,35.4,34.95,10499260,-0.28%
"Jun 22, 2026",35.21,35.46,35.75,35.03,17004606,+0.03%
"Jun 19, 2026",35.2,36.05,36.29,34.9,34168331,-2.33%
"Jun 18, 2026",36.04,36.24,36.6,35.98,28865742,-0.19%
"Jun 17, 2026",36.11,36.52,36.61,35.95,33354875,-0.74%
"Jun 16, 2026",36.38,36.69,36.69,36.16,40078444,+1.85%
"Jun 15, 2026",35.72,35.75,36,35.1,38636119,+3.21%
"Jun 12, 2026",34.61,34.05,35.08,34.02,52924034,+2.76%
"Jun 11, 2026",33.68,33.3,33.8,33.2,10170624,+0.03%
"Jun 10, 2026",33.67,33.4,34.13,33.35,18236761,+0.21%
"Jun 09, 2026",33.6,33.56,33.99,33.55,6579196,+1.05%
"Jun 08, 2026",33.25,33.5,33.5,32.4,10017278,-1.60%
"Jun 05, 2026",33.79,34.5,34.5,33.72,15286456,-1.34%
"Jun 04, 2026",34.25,34.12,34.6,34.12,18971411,+0.76%
"Jun 03, 2026",33.99,33.95,34.15,33.7,10959410,+0.09%
"Jun 02, 2026",33.96,33.93,34.17,33.75,12168368,-0.12%
"Jun 01, 2026",34,34.63,34.65,33.9,20772586,-1.71%
"May 29, 2026",34.59,34.46,34.92,34.2,23894150,+0.17%
"May 25, 2026",34.53,34.95,34.95,34.21,27289910,+2.46%
"May 22, 2026",33.7,34.35,34.38,33.6,17225340,-1.26%
"May 21, 2026",34.13,34.5,34.5,33.94,29938595,+2.09%
"May 20, 2026",33.43,33,33.59,32.61,24570490,+1.52%
"May 19, 2026",32.93,33.75,33.8,32.81,19059335,-0.30%
"May 18, 2026",33.03,33.61,33.8,32.91,21799814,-2.68%
"May 15, 2026",33.94,33.88,34.25,33.3,36512598,+1.01%
"May 14, 2026",33.6,34.55,34.6,33.45,22447132,-2.10%
"May 13, 2026",34.32,34.97,35.2,34.2,19858345,-1.66%
"May 12, 2026",34.9,35.71,36,34.7,22931678,-1.77%
"May 11, 2026",35.53,35.51,36.11,35.31,21776836,-1.66%
"May 08, 2026",36.13,36.4,36.69,35.7,30899031,-1.61%
"May 07, 2026",36.72,37,37.22,35.85,86327198,+0.49%
"May 06, 2026",36.54,36.4,36.9,35.73,68046455,+4.22%
"May 05, 2026",35.06,34.01,35.3,33.65,45253274,+1.65%
"May 04, 2026",34.49,34.9,35.7,34,39635378,+2.07%
"Apr 30, 2026",33.79,33.88,34.3,32,68530034,-2.45%
"Apr 29, 2026",34.64,35.65,36.11,34.2,32985150,-2.42%
"Apr 28, 2026",35.5,34.93,36.2,34.55,59572852,+1.57%
"Apr 27, 2026",34.95,35.9,37.41,34.12,126624089,-3.37%
"Apr 24, 2026",36.17,34,36.78,32.8,112666903,+5.70%
"Apr 23, 2026",34.22,35.7,35.8,33.8,35136344,-4.76%
"Apr 22, 2026",35.93,37.01,37.01,35.8,51350431,-2.97%
