date,close,open,high,low,volume,change_pct
2026-06-30,8.15,8.14,8.28,8.12,650867,+0.37%
2026-06-29,8.12,8.42,8.42,8.05,1379563,-1.93%
2026-06-24,8.28,8.3,8.45,8.25,838032,+0.98%
2026-06-23,8.2,8.36,8.36,8.15,1034731,-0.73%
2026-06-22,8.26,8.46,8.46,8.21,1112812,-1.08%
2026-06-19,8.35,8.6,8.6,8.32,1503699,-1.18%
2026-06-18,8.45,8.4,8.65,8.4,2544807,+0.72%
2026-06-17,8.39,8.58,8.58,8.36,1317370,-1.18%
2026-06-16,8.49,8.43,8.62,8.3,1674532,+1.19%
2026-06-15,8.39,8.6,8.64,8.35,1452832,-0.12%
2026-06-12,8.4,8.48,8.55,8.39,1060581,+0.24%
2026-06-11,8.38,8.4,8.47,8.35,748179,-1.06%
2026-06-10,8.47,8.59,8.66,8.34,2029398,-0.47%
2026-06-09,8.51,8.5,8.67,8.48,1033723,+0.35%
2026-06-08,8.48,8.53,8.65,8.42,1870977,-2.19%
2026-06-05,8.67,8.8,8.85,8.63,1339152,-0.57%
2026-06-04,8.72,8.78,8.84,8.7,1791731,+0.46%
2026-06-03,8.68,8.56,8.9,8.5,4111867,+0.58%
2026-06-02,8.63,8.5,8.84,8.5,2601872,+1.17%
2026-06-01,8.53,8.7,8.78,8.5,2603638,-0.81%
2026-05-29,8.6,8.69,8.71,8.45,2369200,+1.06%
2026-05-25,8.51,8.5,8.69,8.49,3924788,+1.79%
2026-05-22,8.36,8.46,8.59,8.3,1803337,-1.07%
2026-05-21,8.45,8.45,8.69,8.32,7129733,+2.30%
2026-05-20,8.26,8.35,8.35,8.13,1395417,+1.10%
2026-05-19,8.17,8.19,8.45,8.1,5706021,+1.74%
2026-05-18,8.03,8.45,8.5,8,2699301,-4.86%
2026-05-15,8.44,8.5,8.57,8.35,2647266,-0.59%
2026-05-14,8.49,8.65,8.85,8.4,2723225,-0.47%
2026-05-13,8.53,8.5,8.82,8.45,3205254,-0.23%
2026-05-12,8.55,8.9,9.07,8.49,6487350,-4.36%
2026-05-11,8.94,9.09,9.24,8.9,15410320,+0.56%
2026-05-08,8.89,8.35,9.17,8.25,30823420,+5.96%
2026-05-07,8.39,8.47,8.6,8.28,4627464,+0.36%
2026-05-06,8.36,8.33,8.54,8.2,8753752,+3.34%
2026-05-05,8.09,7.96,8.18,7.92,2791201,+0.25%
2026-05-04,8.07,8.22,8.5,7.95,11140530,+0.12%
2026-04-30,8.06,8.3,8.55,7.83,19136970,-4.62%
2026-04-29,8.45,9.5,10.01,8.34,91111960,-9.53%
2026-04-28,9.34,8.44,9.39,8.11,35017030,+11.32%
2026-04-27,8.39,8.18,8.86,7.9,20093600,+3.71%
2026-04-24,8.09,8.51,8.51,7.99,10414820,-6.58%
2026-04-23,8.66,9.22,9.43,8.11,50463720,-2.59%
2026-04-22,8.89,8.38,8.89,7.86,50836010,+12.67%
2026-04-21,7.89,6.95,7.89,6.62,19201910,+14.51%
2026-04-20,6.89,7.3,7.3,6.59,5758421,-1.59%
2026-04-17,7.001,6.915,7.178,6.711,6674760,+1.23%
2026-04-16,6.916,6.45,6.995,6.4,20670330,+8.76%
2026-04-15,6.359,6.3,6.53,6.3,2248710,+0.97%
2026-04-14,6.298,6.301,6.493,6.252,1757590,-0.52%
2026-04-13,6.331,6.3,6.386,6.215,507180,-2.24%
2026-04-10,6.476,6.5,6.69,6.404,2182000,+0.37%
2026-04-09,6.452,6.69,6.69,6.4,3546990,-2.93%
2026-04-08,6.647,6.839,6.94,6.49,10313700,+2.88%
2026-04-07,6.461,6.09,6.635,6.09,8548830,+4.24%
2026-04-06,6.198,6.17,6.298,6,1378830,+0.28%
2026-04-03,6.181,5.998,6.375,5.665,6855540,+2.88%
2026-04-02,6.008,5.999,6.05,5.8,4363860,-2.23%
2026-04-01,6.145,6.001,6.399,5.355,2014490,+3.92%
2026-03-31,5.913,5.828,6.055,5.828,1192960,+1.44%
2026-03-30,5.829,6.217,6.217,5.7,1265740,-6.24%
2026-03-27,6.217,6.3,6.4,6.1,916540,-1.27%
2026-03-26,6.297,6.566,6.566,6.2,2581890,-4.10%
2026-03-25,6.566,6.601,6.85,6.521,5246890,+1.17%
2026-03-24,6.49,6.198,6.49,5.926,7609780,+10.00%
2026-03-19,5.9,5.603,5.95,5.6,1328070,+2.54%
2026-03-18,5.754,5.75,5.795,5.63,1088390,+2.64%
2026-03-17,5.606,5.799,5.799,5.511,460230,-1.84%
2026-03-16,5.711,5.65,5.874,5.602,303200,-0.59%
2026-03-13,5.745,5.699,5.77,5.375,933460,+3.07%
2026-03-12,5.574,5.974,5.98,5.5,1826250,-5.54%
2026-03-11,5.901,5.416,5.996,5.416,945940,+3.95%
2026-03-10,5.677,5.7,5.718,5.61,1832490,+9.22%
2026-03-09,5.198,5.399,5.695,5.058,4827380,-7.51%
2026-03-06,5.62,5.89,5.89,5.415,921900,-4.58%
2026-03-05,5.89,5.6,6.041,5.6,8938960,+5.40%
2026-03-04,5.588,5.642,5.699,5.45,4182480,-0.96%
2026-03-03,5.642,5.414,5.86,5.414,11740320,-6.22%
2026-03-02,6.016,6.016,6.016,6.016,996720,-9.99%
2026-02-27,6.684,6.494,6.85,6.201,1682710,+2.34%
2026-02-26,6.531,6.491,6.749,6.06,3456920,+0.62%
2026-02-25,6.491,6.998,7.1,6.3,4363630,-5.76%
2026-02-24,6.888,6.79,7.1,6,4661810,+5.22%
2026-02-23,6.546,6.75,6.989,6.451,830140,-5.30%
2026-02-20,6.912,6.985,7.001,6.595,1407310,+1.17%
2026-02-19,6.832,7.26,7.315,6.7,4762180,-4.83%
2026-02-18,7.179,6.849,7.343,6.781,22052390,+7.55%
2026-02-17,6.675,6.765,6.839,6.255,6045200,-0.70%
2026-02-16,6.722,6.955,7.17,6.687,19041690,-9.53%
2026-02-13,7.43,8.24,8.864,7.252,54227240,-7.79%
2026-02-12,8.058,7.55,8.185,7.455,31286780,+8.29%
2026-02-11,7.441,7.3,7.56,7.15,3104100,+1.83%
2026-02-10,7.307,7.4,7.6,7.25,2145960,-1.64%
2026-02-09,7.429,8,8.17,7.151,11075020,-6.51%
2026-02-06,7.946,7.69,8.198,7.5,14973180,+2.49%
2026-02-04,7.753,8,8.2,7.5,19413750,-0.27%
2026-02-03,7.774,6.951,7.817,6.85,28522940,+9.40%
2026-02-02,7.106,7.05,7.448,6.91,6700890,+0.54%
2026-01-30,7.068,7.29,7.49,6.891,12911160,-4.60%
2026-01-29,7.409,7.155,7.461,6.679,28211390,+9.21%
2026-01-28,6.784,6.422,6.784,6.34,22029020,+10.00%
2026-01-27,6.167,5.605,6.167,5.56,24901050,+10.01%
2026-01-26,5.606,6.301,6.5,5.51,35278890,-7.89%
2026-01-23,6.086,5.745,6.086,5.72,13656270,+9.99%
2026-01-22,5.533,5.499,5.533,5.3,26737060,+10.00%
2026-01-21,5.03,4.561,5.03,4.561,26564940,+9.99%
2026-01-20,4.573,4.319,4.625,4.2,26200580,+6.60%
2026-01-19,4.29,4.193,4.32,3.91,5281610,+4.10%
2026-01-16,4.121,4.025,4.225,4.015,3965390,+3.73%
2026-01-15,3.973,3.95,4,3.921,428020,+0.53%
2026-01-14,3.952,4.016,4.05,3.925,2144980,-1.59%
2026-01-13,4.016,4.112,4.14,4,624610,-1.64%
2026-01-12,4.083,4.135,4.193,4.06,1436220,-1.52%
2026-01-09,4.146,4.2,4.373,4.099,6461780,+0.00%
2026-01-08,4.146,3.9,4.235,3.825,12048850,+6.31%
2026-01-07,3.9,3.894,3.945,3.856,759480,+1.06%
2026-01-06,3.859,3.906,3.924,3.84,705700,-0.67%
2026-01-05,3.885,3.89,3.945,3.86,448430,-0.05%
2026-01-02,3.887,3.881,3.96,3.83,590190,+0.49%
2026-01-01,3.868,3.847,3.897,3.825,247610,+0.89%
2025-12-31,3.834,3.899,3.899,3.81,634120,-0.39%
2025-12-30,3.849,3.899,3.899,3.801,832430,-0.10%
2025-12-29,3.853,3.899,3.899,3.812,216460,-0.36%
2025-12-26,3.867,3.87,3.9,3.801,159850,-0.28%
2025-12-24,3.878,3.949,3.969,3.822,454070,-0.62%
2025-12-23,3.902,3.924,3.989,3.892,456670,-0.71%
2025-12-22,3.93,3.92,3.969,3.92,52210,-0.83%
2025-12-19,3.963,3.98,3.995,3.926,210410,+0.08%
2025-12-18,3.96,3.995,3.995,3.92,750570,+0.69%
2025-12-17,3.933,3.999,3.999,3.913,1217030,-1.16%
2025-12-16,3.979,3.911,4,3.911,1052190,+0.45%
2025-12-15,3.961,4.069,4.069,3.825,1164610,-1.17%
2025-12-12,4.008,4.005,4.098,3.976,981110,+0.10%
2025-12-11,4.004,4.098,4.125,4,1140540,-1.60%
2025-12-10,4.069,4.04,4.085,3.956,2573540,+2.34%
2025-12-09,3.976,3.999,4.04,3.951,618090,-0.20%
2025-12-08,3.984,3.975,4.025,3.925,889250,+1.25%
2025-12-05,3.935,3.998,4.06,3.851,1120100,-1.06%
2025-12-04,3.977,4.089,4.089,3.971,1616950,-0.75%
2025-12-03,4.007,4.035,4.065,4,544380,-0.20%
2025-12-02,4.015,4.04,4.12,4.004,668330,+0.35%
2025-12-01,4.001,4.006,4.049,3.98,807870,-0.05%
2025-11-28,4.003,3.924,4.109,3.88,2455790,+2.75%
2025-11-27,3.896,3.925,3.925,3.825,389340,+1.17%
2025-11-26,3.851,3.998,3.998,3.825,402500,-1.76%
2025-11-25,3.92,4.224,4.224,3.9,3875460,-5.43%
2025-11-24,4.145,3.825,4.176,3.73,11189730,+9.19%
2025-11-21,3.796,3.75,3.825,3.745,868710,+1.25%
2025-11-20,3.749,3.799,3.799,3.7,1139290,+0.81%
2025-11-19,3.719,3.73,3.797,3.712,657880,-0.29%
2025-11-18,3.73,3.75,3.75,3.701,490310,+0.81%
2025-11-17,3.7,3.799,3.799,3.675,2425260,-1.67%
2025-11-14,3.763,3.711,3.824,3.71,763790,+1.43%
2025-11-13,3.71,3.737,3.749,3.677,404150,+0.51%
2025-11-12,3.691,3.75,3.79,3.676,728330,-1.63%
2025-11-11,3.752,3.813,3.825,3.7,802570,-1.60%
2025-11-10,3.813,3.848,3.849,3.8,350550,+0.00%
2025-11-07,3.813,3.9,3.9,3.8,2300100,-1.93%
2025-11-06,3.888,3.895,3.9,3.85,293160,-0.28%
2025-11-05,3.899,3.94,3.94,3.851,624280,+0.23%
2025-11-04,3.89,3.96,3.96,3.88,1299660,-0.79%
2025-11-03,3.921,3.96,4.045,3.849,2564390,-0.63%
2025-10-31,3.946,3.875,3.985,3.875,1170860,+1.57%
2025-10-30,3.885,3.95,4,3.781,3674630,-4.62%
2025-10-29,4.073,4.102,4.18,4.05,1362640,-1.78%
2025-10-28,4.147,4.2,4.274,4.125,956640,-1.26%
2025-10-27,4.2,4.225,4.259,4.175,931760,-1.39%
2025-10-24,4.259,4.351,4.37,4.25,841380,-2.23%
2025-10-23,4.356,4.377,4.39,4.351,659200,-0.43%
2025-10-22,4.375,4.425,4.49,4.36,1248880,-1.69%
2025-10-21,4.45,4.425,4.55,4.425,5039830,+0.18%
2025-10-20,4.442,4.2,4.501,4.1,6412080,+6.37%
2025-10-17,4.176,4.175,4.25,4.052,723720,-0.38%
2025-10-16,4.192,4.295,4.295,4.19,837880,-1.55%
2025-10-15,4.258,4.226,4.3,4.214,875710,-0.28%
2025-10-14,4.27,4.145,4.334,4.145,1574000,+4.53%
2025-10-13,4.085,4.175,4.2,4.05,1714740,-3.34%
2025-10-10,4.226,4.287,4.3,4.2,1634570,-1.42%
2025-10-09,4.287,4.303,4.39,4.271,1936280,-0.79%
2025-10-08,4.321,4.4,4.45,4.306,3402130,-1.68%
2025-10-07,4.395,4.485,4.5,4.376,3538890,-0.50%
2025-10-06,4.417,4.575,4.575,4.401,3511350,-2.64%
2025-10-03,4.537,4.4,4.687,4.4,13471580,+2.88%
2025-10-02,4.41,4.41,4.49,4.376,2100440,+0.02%
2025-10-01,4.409,4.63,4.63,4.4,12379310,-4.92%
2025-09-30,4.637,4.575,4.684,4.48,4810500,+2.29%
2025-09-29,4.533,4.5,4.551,4.45,2185610,+1.41%
2025-09-26,4.47,4.45,4.512,4.45,2054920,+0.04%
2025-09-25,4.468,4.476,4.494,4.436,1277220,-0.13%
2025-09-24,4.474,4.501,4.529,4.445,1757750,-0.67%
2025-09-23,4.504,4.689,4.694,4.3,3719760,-3.06%
2025-09-22,4.646,4.55,4.724,4.547,4802530,+2.18%
2025-09-19,4.547,4.56,4.59,4.507,5390740,+0.89%
2025-09-18,4.507,4.64,4.64,4.48,3975440,-1.46%
2025-09-17,4.574,4.7,4.7,4.558,7023300,-1.25%
2025-09-16,4.632,4.72,4.837,4.565,46636800,+5.34%
2025-09-15,4.397,4.377,4.44,4.302,5796420,+2.21%
2025-09-12,4.302,4.301,4.38,4.281,2783170,+0.05%
2025-09-11,4.3,4.29,4.35,4.275,1343990,+0.26%
2025-09-10,4.289,4.288,4.343,4.255,1612500,-0.56%
2025-09-09,4.313,4.398,4.44,4.3,2883400,-1.91%
2025-09-08,4.397,4.342,4.48,4.316,5012560,+1.27%
2025-09-05,4.342,4.398,4.469,4.33,8404610,+0.60%
2025-09-04,4.316,4.24,4.499,4.181,13618710,+2.11%
2025-09-03,4.227,4.22,4.247,4.17,1709640,+0.81%
2025-09-02,4.193,4.299,4.31,4.175,2245070,-1.09%
2025-09-01,4.239,4.174,4.32,4.09,4466660,+3.29%
2025-08-29,4.104,4.073,4.147,4.072,461300,+0.07%
2025-08-28,4.101,4.144,4.144,4.06,459900,-0.32%
2025-08-27,4.114,4.185,4.185,4.104,808950,-1.06%
2025-08-26,4.158,4.149,4.175,4.125,692900,+0.58%
2025-08-25,4.134,4.13,4.149,4.102,290960,+0.78%
2025-08-22,4.102,4.11,4.145,4.091,631190,-0.19%
2025-08-21,4.11,4.15,4.186,4.081,1439060,-0.68%
2025-08-20,4.138,4.149,4.194,4.102,1186500,+0.88%
2025-08-19,4.102,4.149,4.17,4.1,1521760,-0.68%
2025-08-18,4.13,4.13,4.15,4.09,813290,+0.85%
2025-08-15,4.095,4.098,4.101,4.052,646720,+1.06%
2025-08-13,4.052,4.1,4.128,4.05,1266880,-0.66%
2025-08-12,4.079,4.099,4.15,4.065,657360,+0.47%
2025-08-11,4.06,4.061,4.1,4.05,793540,-0.32%
2025-08-08,4.073,4.151,4.2,4.051,726500,-2.00%
2025-08-07,4.156,4.2,4.25,4.141,1537390,-0.38%
2025-08-06,4.172,4.099,4.278,4.05,4627990,+2.96%
2025-08-05,4.052,4.076,4.11,4.049,764010,-0.07%
2025-08-04,4.055,4.051,4.099,4.05,728560,-0.69%
2025-08-01,4.083,4.136,4.136,4.051,586380,-0.46%
2025-07-31,4.102,4.052,4.139,4.05,266810,+0.07%
2025-07-30,4.099,4.075,4.14,4.026,630860,+0.59%
2025-07-29,4.075,4.15,4.19,4.052,662770,-1.07%
2025-07-28,4.119,4.14,4.275,4.1,1666820,-0.10%
2025-07-25,4.123,4.09,4.14,4.066,559660,+0.93%
2025-07-24,4.085,4.099,4.13,4.07,814270,-0.27%
2025-07-23,4.096,4.1,4.13,4.08,396210,+0.24%
2025-07-22,4.086,4.098,4.149,4.06,752690,+0.12%
2025-07-21,4.081,4.13,4.13,4.05,554780,-0.83%
2025-07-18,4.115,4.188,4.188,4.09,724730,-0.89%
2025-07-17,4.152,4.151,4.191,4.13,1922590,-0.02%
2025-07-16,4.153,4.17,4.2,4.08,2435800,-0.41%
2025-07-15,4.17,4.351,4.385,4.13,6403470,-4.12%
2025-07-14,4.349,4.345,4.449,4.34,4602550,+0.09%
2025-07-11,4.345,4.399,4.439,4.301,3489920,-0.28%
2025-07-10,4.357,4.46,4.57,4.325,15791710,-2.22%
2025-07-09,4.456,4.225,4.585,4.135,35994920,+6.91%
2025-07-08,4.168,4.197,4.215,4.118,1521330,-0.74%
2025-07-07,4.199,4.202,4.29,4.191,1819250,-0.36%
2025-07-04,4.214,4.305,4.32,4.182,3344020,-0.75%
2025-07-03,4.246,4.185,4.325,4.102,7099680,+2.78%
2025-07-02,4.131,4.19,4.2,4.112,1914130,+0.44%
2025-07-01,4.113,4.168,4.199,4.099,1742110,-0.87%
2025-06-30,4.149,4.13,4.175,4.1,2011080,+1.07%
2025-06-27,4.105,4.119,4.15,4.06,2400650,+1.36%
2025-06-26,4.05,4.08,4.14,4.03,1259070,-0.74%
2025-06-25,4.08,4.1,4.15,4.041,2509170,+0.00%
2025-06-24,4.08,4,4.149,3.902,2932180,+7.42%
2025-06-23,3.798,3.925,3.975,3.775,1652660,-5.76%
2025-06-20,4.03,4.15,4.15,4,699940,-1.87%
2025-06-19,4.107,4.079,4.275,4.02,8330500,+1.36%
2025-06-18,4.052,4.051,4.099,4,1107820,+0.02%
2025-06-17,4.051,4.078,4.138,4.024,802330,-0.66%
2025-06-16,4.078,4.025,4.2,4,2414890,+0.92%
2025-06-13,4.041,4.1,4.1,3.96,3261730,-2.13%
2025-06-12,4.129,4.163,4.2,4.101,1352950,-0.82%
2025-06-11,4.163,4.239,4.239,4.151,1824730,-0.36%
2025-06-10,4.178,4.21,4.229,4.15,1459770,-0.14%
2025-06-05,4.184,4.153,4.233,4.15,1060800,+0.12%
2025-06-04,4.179,4.19,4.24,4.148,2190240,-0.24%
2025-06-03,4.189,4.298,4.298,4.125,2326830,-1.64%
2025-06-02,4.259,4.25,4.329,4.25,3853920,+0.59%
2025-05-30,4.234,4.351,4.399,4.21,3727990,-2.49%
2025-05-29,4.342,4.276,4.461,4.276,12066530,+1.21%
2025-05-27,4.29,4.32,4.45,4.227,20977700,-0.07%
2025-05-26,4.293,4.121,4.38,4.121,19772570,+4.17%
2025-05-23,4.121,3.95,4.22,3.95,11155480,+4.65%
