date,close,open,high,low,volume,change_pct
"Jun 24, 2026",8.19,8.19,8.26,8.14,12295320,+0.49%
"Jun 23, 2026",8.15,8.2,8.27,8.11,7962702,-0.49%
"Jun 22, 2026",8.19,8.33,8.34,8.18,10159697,-0.36%
"Jun 19, 2026",8.22,8.49,8.49,8.2,12088032,-2.61%
"Jun 18, 2026",8.44,8.58,8.64,8.4,23978768,-0.71%
"Jun 17, 2026",8.5,8.41,8.65,8.41,53028384,+2.04%
"Jun 16, 2026",8.33,8.37,8.48,8.3,14647079,+0.73%
"Jun 15, 2026",8.27,8.5,8.5,8.24,26359188,+2.35%
"Jun 12, 2026",8.08,8.15,8.24,8.05,8451160,+0.00%
"Jun 11, 2026",8.08,8.1,8.17,8.05,5597720,-0.74%
"Jun 10, 2026",8.14,8.24,8.31,8.06,4180394,-1.21%
"Jun 09, 2026",8.24,8.19,8.35,8.1,14867369,+2.36%
"Jun 08, 2026",8.05,8.01,8.15,8,5034725,-1.23%
"Jun 05, 2026",8.15,8.18,8.27,8.13,6902292,-0.12%
"Jun 04, 2026",8.16,8.19,8.25,8.09,11903447,+0.62%
"Jun 03, 2026",8.11,8.33,8.36,8.04,16285113,-2.41%
"Jun 02, 2026",8.31,8.34,8.5,8.27,11567013,-0.60%
"Jun 01, 2026",8.36,8.31,8.62,8.28,26728999,+0.00%
"May 29, 2026",8.36,8.51,8.57,8.33,15167012,-1.88%
"May 25, 2026",8.52,8.6,8.65,8.49,10867649,+1.43%
"May 22, 2026",8.4,8.57,8.58,8.38,14351123,-1.87%
"May 21, 2026",8.56,8.55,8.64,8.5,15255389,+1.42%
"May 20, 2026",8.44,8.35,8.49,8.3,13863399,+0.72%
"May 19, 2026",8.38,8.52,8.65,8.3,23945909,-0.59%
"May 18, 2026",8.43,8.79,8.83,8.37,24749056,-4.53%
"May 15, 2026",8.83,8.71,8.99,8.68,46442244,+0.34%
"May 14, 2026",8.8,8.79,8.99,8.67,46184369,+1.27%
"May 13, 2026",8.69,8.8,8.9,8.66,37749803,-1.36%
"May 12, 2026",8.81,8.8,9.24,8.69,154128151,+1.73%
"May 11, 2026",8.66,8.6,8.8,8.41,47390977,+1.64%
"May 08, 2026",8.52,8.25,8.75,8.15,84108382,+2.40%
"May 07, 2026",8.32,8.5,8.61,8.22,16905134,-1.42%
"May 06, 2026",8.44,8.35,8.58,8.21,51315756,+3.05%
"May 05, 2026",8.19,8.21,8.34,8.11,16839565,-0.97%
"May 04, 2026",8.27,8.24,8.58,8.13,50165739,+1.97%
"Apr 30, 2026",8.11,8.2,8.23,7.96,41437674,-3.57%
"Apr 29, 2026",8.41,8.88,8.94,8.29,105652895,-3.67%
"Apr 28, 2026",8.73,8.06,8.83,8.04,265575993,+8.45%
"Apr 27, 2026",8.05,8,8.28,7.96,26627242,-0.37%
"Apr 24, 2026",8.08,7.91,8.16,7.85,33196820,+1.13%
"Apr 23, 2026",7.99,8.25,8.29,7.94,48756066,-2.92%
"Apr 22, 2026",8.23,8.12,8.37,8.02,77182783,+1.60%
"Apr 21, 2026",8.1,7.78,8.23,7.68,83675094,+5.61%
"Apr 20, 2026",7.67,7.69,7.87,7.52,29129499,-0.90%
"Apr 17, 2026",7.74,7.5,7.84,7.5,33693931,+3.48%
"Apr 16, 2026",7.48,7.5,7.64,7.43,11895098,+0.54%
"Apr 15, 2026",7.44,7.5,7.62,7.41,27381914,+1.50%
"Apr 14, 2026",7.33,7.31,7.46,7.25,15548153,+1.66%
"Apr 13, 2026",7.21,7.3,7.39,7.19,12088601,-4.38%
"Apr 10, 2026",7.54,7.59,7.65,7.51,12042928,+0.40%
"Apr 09, 2026",7.51,7.51,7.51,7.51,21827824,-4.33%
"Apr 08, 2026",7.85,7.7,7.85,7.7,76757365,+8.28%
"Apr 07, 2026",7.25,7.05,7.25,7.05,16666679,+0.55%
"Apr 06, 2026",7.21,7.32,7.32,7.21,57956235,-3.22%
"Apr 03, 2026",7.45,6.81,7.45,6.81,97208841,+8.60%
"Apr 02, 2026",6.86,6.74,6.86,6.74,14448806,-1.29%
"Apr 01, 2026",6.95,6.75,6.95,6.75,38009642,+6.27%
"Mar 31, 2026",6.54,6.39,6.54,6.39,6787845,+2.35%
"Mar 30, 2026",6.39,6.69,6.69,6.39,10580402,-4.48%
"Mar 27, 2026",6.69,6.83,6.83,6.69,11652701,-1.91%
"Mar 26, 2026",6.82,7.02,7.02,6.82,15293118,-3.67%
"Mar 25, 2026",7.08,7.02,7.08,7.02,13146177,+1.29%
"Mar 24, 2026",6.99,7.07,7.07,6.99,12866482,+1.60%
"Mar 19, 2026",6.88,6.85,6.88,6.85,8444297,-1.43%
