date,close,open,high,low,volume,change_pct
"Jun 24, 2026",5.81,5.95,5.95,5.78,1208003,-1.02%
"Jun 23, 2026",5.87,6.05,6.1,5.85,2017049,-1.84%
"Jun 22, 2026",5.98,6.11,6.11,5.96,1161567,-0.99%
"Jun 19, 2026",6.04,6.08,6.19,6.01,2269156,-1.31%
"Jun 18, 2026",6.12,6.12,6.25,6.04,2800061,+0.66%
"Jun 17, 2026",6.08,6.06,6.14,5.98,3579141,+0.66%
"Jun 16, 2026",6.04,6.15,6.17,6.01,2523694,-1.47%
"Jun 15, 2026",6.13,6.28,6.28,6.05,1655572,+1.32%
"Jun 12, 2026",6.05,6.11,6.25,6,6318361,-1.63%
"Jun 11, 2026",6.15,6.14,6.32,6.08,2363853,-0.49%
"Jun 10, 2026",6.18,6.1,6.53,6.1,6609635,+1.48%
"Jun 09, 2026",6.09,6.19,6.19,6.04,3400392,+0.33%
"Jun 08, 2026",6.07,6.05,6.14,5.94,2518635,+0.17%
"Jun 05, 2026",6.06,6.2,6.24,6.05,1230591,-0.98%
"Jun 04, 2026",6.12,6.19,6.22,6.1,1073523,+0.00%
"Jun 03, 2026",6.12,6.11,6.43,6.09,2869997,-0.49%
"Jun 02, 2026",6.15,6.05,6.3,6,12992844,+1.15%
"Jun 01, 2026",6.08,6.06,6.25,5.93,2680925,+0.50%
"May 29, 2026",6.05,6.13,6.14,6.01,1064465,-0.66%
"May 25, 2026",6.09,6.29,6.35,6,4542436,-1.30%
"May 22, 2026",6.17,6.32,6.39,6.12,1218978,-2.37%
"May 21, 2026",6.32,6.47,6.53,6.3,1575968,-0.63%
"May 20, 2026",6.36,6.55,6.57,6.32,659290,-1.70%
"May 19, 2026",6.47,6.78,6.89,6.37,5457877,-0.92%
"May 18, 2026",6.53,6.4,7.29,6.1,26317046,+2.35%
"May 15, 2026",6.38,5.8,6.58,5.8,29839934,+10.19%
"May 14, 2026",5.79,5.9,6.13,5.71,11165691,-1.36%
"May 13, 2026",5.87,6.01,6.16,5.84,1362002,-2.33%
"May 12, 2026",6.01,6.27,6.35,5.95,2143411,-4.15%
"May 11, 2026",6.27,6.25,6.35,6.07,2712213,+1.79%
"May 08, 2026",6.16,6.1,6.33,6,4878353,+0.33%
"May 07, 2026",6.14,6.25,6.38,6.1,7214519,+0.33%
"May 06, 2026",6.12,6.11,6.45,6.06,9828630,+0.66%
"May 05, 2026",6.08,6.11,6.46,5.81,6310206,-3.65%
"May 04, 2026",6.31,6.95,7.04,6.15,14611197,-5.82%
"Apr 30, 2026",6.7,5.75,6.81,5.72,22586971,+10.93%
"Apr 29, 2026",6.04,7.01,7.15,5.99,25497226,-13.59%
"Apr 28, 2026",6.99,6.87,7.32,6.75,17706199,+1.75%
"Apr 27, 2026",6.87,7.1,7.18,6.8,8245245,-1.29%
"Apr 24, 2026",6.96,7.15,7.45,6.83,11471593,-2.52%
"Apr 23, 2026",7.14,6.45,7.33,6.21,22037593,+10.70%
"Apr 22, 2026",6.45,7,7,6.37,14722107,-8.38%
"Apr 21, 2026",7.04,7,7.65,6.9,41786165,+3.07%
"Apr 20, 2026",6.83,6.64,6.83,6.31,53930410,+17.15%
"Apr 17, 2026",5.83,5.19,5.83,5.19,25051473,+20.70%
"Apr 16, 2026",4.83,4.67,5.04,4.45,10209243,+7.33%
"Apr 15, 2026",4.5,4.55,4.75,4.4,8871281,+0.90%
"Apr 14, 2026",4.46,4.3,4.55,4.3,6955696,+4.69%
"Apr 13, 2026",4.26,4.3,4.5,4.23,6547240,-6.78%
"Apr 10, 2026",4.57,4.39,4.78,4.2,4855271,+5.30%
"Apr 09, 2026",4.34,4.58,4.58,4.34,2755093,-6.26%
"Apr 08, 2026",4.63,4.55,4.63,4.55,7504882,+13.20%
"Apr 07, 2026",4.09,4.16,4.16,4.09,670053,-1.92%
"Apr 06, 2026",4.17,4.01,4.17,4.01,1262432,+3.47%
"Apr 03, 2026",4.03,3.95,4.03,3.95,606272,-1.23%
"Apr 02, 2026",4.08,4.25,4.25,4.08,1352686,-4.00%
"Apr 01, 2026",4.25,4.11,4.25,4.11,2580911,+3.91%
"Mar 31, 2026",4.09,3.9,4.09,3.9,8437197,+2.25%
"Mar 30, 2026",4,4.16,4.16,4,4278326,-2.91%
"Mar 27, 2026",4.12,4.25,4.25,4.12,4383940,+0.98%
"Mar 26, 2026",4.08,4.35,4.35,4.08,2213212,-6.85%
"Mar 25, 2026",4.38,4.58,4.58,4.38,1563558,+0.46%
"Mar 24, 2026",4.36,4.6,4.6,4.36,1831289,-1.36%
"Mar 19, 2026",4.42,4.46,4.46,4.42,3534904,-0.90%
"Mar 18, 2026",4.46,4.5,4.5,4.46,2302322,+1.83%
"Mar 17, 2026",4.38,4.78,4.78,4.38,2469240,-5.40%
"Mar 16, 2026",4.63,4.24,4.63,4.24,11669883,+11.03%
"Mar 13, 2026",4.17,3.6,4.17,3.6,14688092,+15.19%
"Mar 12, 2026",3.62,3.58,3.62,3.58,4363704,+1.12%
"Mar 11, 2026",3.58,3.89,3.89,3.58,3122444,-5.54%
"Mar 10, 2026",3.79,3.71,3.79,3.71,2305514,+7.67%
"Mar 09, 2026",3.52,3.78,3.78,3.52,2455306,-11.56%
"Mar 06, 2026",3.98,4.19,4.19,3.98,1798670,-5.24%
"Mar 05, 2026",4.2,4.04,4.2,4.04,2106477,+4.22%
"Mar 04, 2026",4.03,3.98,4.03,3.98,2939334,+4.13%
"Mar 03, 2026",3.87,3.81,3.87,3.81,10804851,+1.57%
"Mar 02, 2026",3.81,3.81,3.81,3.81,2201735,-14.00%
"Feb 27, 2026",4.43,4.3,4.43,4.3,4581599,+0.68%
"Feb 26, 2026",4.4,4.21,4.4,4.21,3792851,+3.53%
"Feb 25, 2026",4.25,4.23,4.25,4.23,890104,+2.91%
"Feb 24, 2026",4.13,4.29,4.29,4.13,819819,+0.00%
"Feb 23, 2026",4.13,4.64,4.64,4.13,1290800,-9.23%
"Feb 20, 2026",4.55,4.97,4.97,4.55,1341822,-4.81%
"Feb 19, 2026",4.78,5.39,5.39,4.78,1444528,-8.60%
"Feb 18, 2026",5.23,5.27,5.27,5.23,1513383,+2.95%
"Feb 17, 2026",5.08,5.2,5.2,5.08,922868,-0.97%
"Feb 16, 2026",5.13,5.65,5.65,5.13,1670833,-6.04%
"Feb 13, 2026",5.46,5.37,5.46,5.37,858630,+0.74%
"Feb 12, 2026",5.42,5.73,5.73,5.42,2550287,-4.91%
"Feb 11, 2026",5.7,6,6,5.7,2126322,-5.00%
"Feb 10, 2026",6,6.11,6.11,6,2078822,-0.50%
"Feb 09, 2026",6.03,5.95,6.03,5.95,4436960,+2.38%
"Feb 06, 2026",5.89,5.85,5.89,5.85,6089379,+0.68%
"Feb 04, 2026",5.85,5.78,5.85,5.78,2889083,+2.81%
"Feb 03, 2026",5.69,5.52,5.69,5.52,4142382,+2.89%
"Feb 02, 2026",5.53,5.69,5.69,5.53,2879990,-2.81%
"Jan 30, 2026",5.69,5.85,5.85,5.69,2521985,-1.90%
"Jan 29, 2026",5.8,5.81,5.81,5.8,6817528,-2.03%
"Jan 28, 2026",5.92,6.5,6.5,5.92,10628003,-7.93%
"Jan 27, 2026",6.43,6.64,6.64,6.43,5505640,-3.02%
"Jan 26, 2026",6.63,6.8,6.8,6.63,4960030,-2.21%
"Jan 23, 2026",6.78,7.27,7.27,6.78,7073700,-5.04%
"Jan 22, 2026",7.14,7.55,7.55,7.14,6779450,-4.93%
"Jan 21, 2026",7.51,7.42,7.51,7.42,6170189,+1.21%
"Jan 20, 2026",7.42,7.7,7.7,7.42,15840379,-4.87%
"Jan 19, 2026",7.8,8.97,8.97,7.8,23803032,-11.36%
"Jan 16, 2026",8.8,8,8.8,8,14236405,-8.43%
"Jan 15, 2026",9.61,9.62,9.62,9.61,1025989,-10.10%
"Jan 14, 2026",10.69,11.81,11.81,10.69,15729141,-10.02%
"Jan 13, 2026",11.88,12.79,12.79,11.88,14307214,-4.04%
"Jan 12, 2026",12.38,12.74,12.74,12.38,13766748,-0.96%
"Jan 09, 2026",12.5,11.5,12.5,11.5,21786994,+5.40%
"Jan 08, 2026",11.86,13.25,13.25,11.86,20798919,-10.02%
"Jan 07, 2026",13.18,13.19,13.19,13.18,16557128,-1.79%
"Jan 06, 2026",13.42,13.51,13.51,13.42,54283502,+3.55%
"Jan 05, 2026",12.96,12.11,12.96,12.11,11153530,+10.02%
"Jan 02, 2026",11.78,10.85,11.78,10.85,19601232,+9.99%
"Jan 01, 2026",10.71,10.01,10.71,10.01,16917282,+10.30%
"Dec 31, 2025",9.71,8.9,9.71,8.9,13964226,+11.48%
"Dec 30, 2025",8.71,7.75,8.71,7.75,16012841,+12.97%
"Dec 29, 2025",7.71,7.6,7.71,7.6,21120479,-6.88%
"Dec 26, 2025",8.28,9.49,9.49,8.28,18926360,-10.78%
"Dec 24, 2025",9.28,8.8,9.28,8.8,29355568,+8.41%
"Dec 23, 2025",8.56,8.99,8.99,8.56,30348363,-5.73%
"Dec 22, 2025",9.08,8.51,9.08,8.51,18328778,+9.40%
"Dec 19, 2025",8.3,8.3,8.3,8.3,23054429,+13.70%
"Dec 18, 2025",7.3,6.47,7.3,6.47,27716376,+15.87%
"Dec 17, 2025",6.3,6.21,6.3,6.21,7744602,+0.00%
"Dec 16, 2025",6.3,6.78,6.78,6.3,39268511,-3.52%
"Dec 15, 2025",6.53,7.05,7.05,6.53,30123032,+7.93%
"Dec 12, 2025",6.05,5.2,6.05,5.2,13766817,+19.80%
"Dec 11, 2025",5.05,4.9,5.05,4.9,1110758,+1.61%
"Dec 10, 2025",4.97,4.91,4.97,4.91,989134,+0.40%
"Dec 09, 2025",4.95,5.01,5.01,4.95,481171,-0.60%
"Dec 08, 2025",4.98,4.95,4.98,4.95,435335,+0.81%
"Dec 05, 2025",4.94,5,5,4.94,104796,+0.00%
"Dec 04, 2025",4.94,4.99,4.99,4.94,94806,-0.20%
"Dec 03, 2025",4.95,5.05,5.05,4.95,354724,-0.20%
"Dec 02, 2025",4.96,5,5,4.96,187421,-0.80%
"Dec 01, 2025",5,4.97,5,4.97,6710446,+2.46%
"Nov 28, 2025",4.88,4.9,4.9,4.88,144945,+0.00%
"Nov 27, 2025",4.88,5,5,4.88,373629,-2.20%
"Nov 26, 2025",4.99,5.19,5.19,4.99,393788,+0.40%
"Nov 25, 2025",4.97,5.15,5.15,4.97,258271,-2.36%
"Nov 24, 2025",5.09,5.11,5.11,5.09,125944,-1.93%
"Nov 21, 2025",5.19,5.38,5.38,5.19,579229,-0.19%
"Nov 20, 2025",5.2,5.36,5.36,5.2,326745,-1.14%
"Nov 19, 2025",5.26,5.64,5.64,5.26,1703827,+2.33%
"Nov 18, 2025",5.14,5.03,5.14,5.03,600652,+1.78%
"Nov 17, 2025",5.05,5.43,5.43,5.05,494951,-1.17%
"Nov 14, 2025",5.11,4.85,5.11,4.85,2019001,+4.71%
"Nov 13, 2025",4.88,4.85,4.88,4.85,805207,+1.24%
"Nov 12, 2025",4.82,5.02,5.02,4.82,864806,-5.12%
"Nov 11, 2025",5.08,5.16,5.16,5.08,514408,-1.55%
"Nov 10, 2025",5.16,5.22,5.22,5.16,494459,-0.77%
"Nov 07, 2025",5.2,5.26,5.26,5.2,1233492,-0.95%
"Nov 06, 2025",5.25,5.32,5.32,5.25,657206,+1.35%
"Nov 05, 2025",5.18,5.3,5.3,5.18,301188,-1.52%
"Nov 04, 2025",5.26,5.16,5.26,5.16,711970,+0.38%
"Nov 03, 2025",5.24,5.39,5.39,5.24,385580,+0.58%
"Oct 31, 2025",5.21,5.17,5.21,5.17,427683,+3.58%
"Oct 30, 2025",5.03,5.17,5.17,5.03,811319,-1.18%
"Oct 29, 2025",5.09,5.12,5.12,5.09,961934,-5.39%
"Oct 28, 2025",5.38,5.79,5.79,5.38,589372,-4.27%
"Oct 27, 2025",5.62,5.76,5.76,5.62,1018687,-3.44%
"Oct 24, 2025",5.82,6.08,6.08,5.82,636242,-3.48%
"Oct 23, 2025",6.03,5.91,6.03,5.91,3382454,+1.34%
