date,close,open,high,low,volume,change_pct
"Jun 24, 2026",7.46,7.6,7.85,7.45,755822,-0.67%
"Jun 23, 2026",7.51,7.68,7.85,7.45,1047692,-0.92%
"Jun 22, 2026",7.58,7.56,7.75,7.55,137086,-0.52%
"Jun 19, 2026",7.62,7.8,7.89,7.51,392343,-1.80%
"Jun 18, 2026",7.76,7.65,7.92,7.65,1807787,+0.65%
"Jun 17, 2026",7.71,7.84,7.85,7.61,496735,-0.64%
"Jun 16, 2026",7.76,8,8,7.75,484347,-1.15%
"Jun 15, 2026",7.85,8.15,8.36,7.8,1106998,-1.75%
"Jun 12, 2026",7.99,8.05,8.4,7.83,2190664,+1.78%
"Jun 11, 2026",7.85,7.77,8.3,7.7,1662212,+0.00%
"Jun 10, 2026",7.85,8.1,8.37,7.77,901691,-0.76%
"Jun 09, 2026",7.91,7.6,8.2,7.4,1533445,+4.77%
"Jun 08, 2026",7.55,7.61,7.8,7.31,956479,-1.56%
"Jun 05, 2026",7.67,7.57,7.8,7.57,394474,+0.13%
"Jun 04, 2026",7.66,8.28,8.28,7.6,1161646,-3.89%
"Jun 03, 2026",7.97,7.79,8.43,7.79,3151505,+4.32%
"Jun 02, 2026",7.64,7.21,7.94,7.2,1733883,+5.52%
"Jun 01, 2026",7.24,7.51,7.68,7.2,824533,-3.60%
"May 29, 2026",7.51,7.87,7.87,7.41,419619,-3.47%
"May 25, 2026",7.78,7.65,8,7.55,789613,+2.77%
"May 22, 2026",7.57,7.81,7.81,7.42,933751,-2.70%
"May 21, 2026",7.78,8.25,8.25,7.65,1269249,-4.07%
"May 20, 2026",8.11,8.39,8.41,8.05,2443196,-4.48%
"May 19, 2026",8.49,7.85,8.6,7.73,5942241,+11.71%
"May 18, 2026",7.6,7.9,8.2,7.55,2833740,+0.93%
"May 15, 2026",7.53,6.98,7.7,6.95,1754281,+7.73%
"May 14, 2026",6.99,6.92,7.19,6.32,739859,+1.01%
"May 13, 2026",6.92,7.01,7.46,6.85,239025,-4.81%
"May 12, 2026",7.27,7.35,7.75,7.07,1384799,+1.39%
"May 11, 2026",7.17,7.38,7.38,7.11,166279,+0.99%
"May 08, 2026",7.1,7.1,7.3,6.9,471815,+1.87%
"May 07, 2026",6.97,7,7.14,6.85,676266,+1.75%
"May 06, 2026",6.85,6.97,7.4,6.6,1763214,+2.24%
