date,close,open,high,low,volume,change_pct
"Jun 24, 2026",11.55,11.55,11.68,11.5,3382697,+0.35%
"Jun 23, 2026",11.51,11.83,11.83,11.48,3041966,-1.12%
"Jun 22, 2026",11.64,11.68,11.78,11.58,3048768,+0.00%
"Jun 19, 2026",11.64,11.98,11.99,11.55,3202798,-2.35%
"Jun 18, 2026",11.92,11.8,12.22,11.76,11604787,+1.71%
"Jun 17, 2026",11.72,11.99,12.02,11.6,7633502,-1.18%
"Jun 16, 2026",11.86,12.4,12.4,11.82,6034829,-2.23%
"Jun 15, 2026",12.13,12.43,12.5,12.08,7449561,+0.66%
"Jun 12, 2026",12.05,11.8,12.29,11.64,10463451,+3.52%
"Jun 11, 2026",11.64,11.28,11.89,11.01,4870023,+2.28%
"Jun 10, 2026",11.38,11.38,11.5,11.3,1110175,+0.26%
"Jun 09, 2026",11.35,11.51,11.7,11.3,2967330,+0.44%
"Jun 08, 2026",11.3,11.35,11.6,11.2,5559848,-4.16%
"Jun 05, 2026",11.79,12.4,12.4,11.74,13148808,-4.46%
"Jun 04, 2026",12.34,12.2,12.59,12,21628213,+1.15%
"Jun 03, 2026",12.2,11.77,12.65,11.62,33760377,+3.39%
"Jun 02, 2026",11.8,11.06,12.18,10.91,30500756,+5.08%
"Jun 01, 2026",11.23,11,11.79,10.83,43322109,+4.47%
"May 29, 2026",10.75,9.75,10.75,9.68,9061806,+10.26%
"May 25, 2026",9.75,9.64,9.9,9.6,2433872,+3.83%
"May 22, 2026",9.39,9.69,9.69,9.37,1253686,-2.29%
"May 21, 2026",9.61,9.6,9.8,9.52,1668808,+1.16%
"May 20, 2026",9.5,9.44,9.55,9.01,953584,+3.49%
"May 19, 2026",9.18,9.17,9.5,9.1,605091,-0.97%
"May 18, 2026",9.27,9.88,9.88,9.2,1565816,-6.17%
"May 15, 2026",9.88,9.86,10.09,9.85,1448963,-0.90%
"May 14, 2026",9.97,10.11,10.25,9.95,1822268,-1.38%
"May 13, 2026",10.11,10.24,10.47,10.03,2254845,-1.56%
"May 12, 2026",10.27,10.5,10.79,10.22,2421279,-3.48%
"May 11, 2026",10.64,10.72,10.98,10.37,7118154,-0.75%
"May 08, 2026",10.72,10.8,11.31,10.54,16618578,+0.37%
"May 07, 2026",10.68,9.8,10.71,9.8,18219031,+9.99%
"May 06, 2026",9.71,9.35,9.82,9.3,12232676,+7.65%
"May 05, 2026",9.02,9,9.18,8.95,1357882,-0.55%
"May 04, 2026",9.07,9.19,9.44,9,5613217,+0.55%
"Apr 30, 2026",9.02,9.09,9.14,8.8,3828616,-0.77%
"Apr 29, 2026",9.09,9.42,9.6,9,2103799,-3.50%
"Apr 28, 2026",9.42,9.1,9.8,9,7698488,+3.97%
"Apr 27, 2026",9.06,9.06,9.13,8.98,558791,+0.00%
"Apr 24, 2026",9.06,8.61,9.17,8.61,5253567,+2.26%
"Apr 23, 2026",8.86,9.34,9.35,8.8,2050242,-3.59%
"Apr 22, 2026",9.19,9.6,9.6,8.66,1735518,-3.97%
"Apr 21, 2026",9.57,9.65,9.75,9.5,1515072,+1.48%
"Apr 20, 2026",9.43,9.3,9.78,9.22,4965378,+0.43%
"Apr 17, 2026",9.39,9.2,9.49,9.05,3164951,+4.22%
"Apr 16, 2026",9.01,8.92,9.1,8.5,3615022,+3.68%
"Apr 15, 2026",8.69,8.6,8.91,8.6,2714564,+2.24%
"Apr 14, 2026",8.5,8.12,8.52,8.12,1047755,+5.33%
"Apr 13, 2026",8.07,8.37,8.55,8,3343907,-7.98%
"Apr 10, 2026",8.77,8.63,8.97,8.6,1972513,+2.81%
"Apr 09, 2026",8.53,8.58,8.58,8.53,3599069,-0.58%
"Apr 08, 2026",8.58,8.18,8.58,8.18,6397559,+13.19%
"Apr 07, 2026",7.58,7.39,7.58,7.39,543582,+0.80%
"Apr 06, 2026",7.52,7.26,7.52,7.26,1114561,+1.90%
"Apr 03, 2026",7.38,7.35,7.38,7.35,997284,-0.94%
"Apr 02, 2026",7.45,7.29,7.45,7.29,724978,-4.12%
"Apr 01, 2026",7.77,7.5,7.77,7.5,2844427,+4.30%
"Mar 31, 2026",7.45,7.44,7.45,7.44,195370,+2.48%
"Mar 30, 2026",7.27,7.5,7.5,7.27,854787,-4.72%
"Mar 27, 2026",7.63,7.76,7.76,7.63,407794,-1.42%
"Mar 26, 2026",7.74,8.04,8.04,7.74,773747,-3.37%
"Mar 25, 2026",8.01,7.79,8.01,7.79,2063853,+4.30%
"Mar 24, 2026",7.68,7.75,7.75,7.68,368412,+3.50%
"Mar 19, 2026",7.42,7.56,7.56,7.42,159935,-2.11%
"Mar 18, 2026",7.58,7.35,7.58,7.35,589974,+3.13%
"Mar 17, 2026",7.35,7.39,7.39,7.35,609445,+0.82%
"Mar 16, 2026",7.29,7.49,7.49,7.29,420673,-2.67%
"Mar 13, 2026",7.49,7.4,7.49,7.4,445111,+0.00%
"Mar 12, 2026",7.49,7.75,7.75,7.49,1380207,-3.48%
"Mar 11, 2026",7.76,7.75,7.76,7.75,2577773,+0.39%
"Mar 10, 2026",7.73,7.01,7.73,7.01,2008313,+14.69%
"Mar 09, 2026",6.74,7.36,7.36,6.74,916754,-8.67%
"Mar 06, 2026",7.38,7.65,7.65,7.38,385953,-3.02%
"Mar 05, 2026",7.61,7.08,7.61,7.08,1236552,+7.79%
"Mar 04, 2026",7.06,7.6,7.6,7.06,2329923,-5.36%
"Mar 03, 2026",7.46,7.24,7.46,7.24,1418781,+0.00%
"Mar 02, 2026",7.46,7.75,7.75,7.46,1945654,-11.82%
"Feb 27, 2026",8.46,8.62,8.62,8.46,1412483,-3.53%
"Feb 26, 2026",8.77,9.25,9.25,8.77,1425647,-2.56%
"Feb 25, 2026",9,9.75,9.75,9,1927184,-3.85%
"Feb 24, 2026",9.36,9.85,9.85,9.36,2063933,-3.80%
"Feb 23, 2026",9.73,10.21,10.21,9.73,765400,-7.42%
"Feb 20, 2026",10.51,10.8,10.8,10.51,834266,-3.22%
"Feb 19, 2026",10.86,11.11,11.11,10.86,2182268,-3.29%
"Feb 18, 2026",11.23,11.19,11.23,11.19,1439622,+1.91%
"Feb 17, 2026",11.02,11.11,11.11,11.02,1442063,-0.72%
"Feb 16, 2026",11.1,11.89,11.89,11.1,2858972,-5.37%
"Feb 13, 2026",11.73,11.97,11.97,11.73,1800443,-1.10%
"Feb 12, 2026",11.86,12.38,12.38,11.86,1496004,-0.50%
"Feb 11, 2026",11.92,12.09,12.09,11.92,1064441,-0.58%
"Feb 10, 2026",11.99,12.14,12.14,11.99,1617154,-1.24%
"Feb 09, 2026",12.14,12.34,12.34,12.14,2225003,-0.41%
"Feb 06, 2026",12.19,12.35,12.35,12.19,5114302,-0.57%
"Feb 04, 2026",12.26,12.3,12.3,12.26,2069433,+0.49%
"Feb 03, 2026",12.2,12.1,12.2,12.1,6069350,+1.16%
"Feb 02, 2026",12.06,12.19,12.19,12.06,2066962,-0.50%
"Jan 30, 2026",12.12,12.44,12.44,12.12,2525022,-1.54%
"Jan 29, 2026",12.31,12.65,12.65,12.31,3016469,-2.22%
"Jan 28, 2026",12.59,12.71,12.71,12.59,1813656,-0.71%
"Jan 27, 2026",12.68,12.8,12.8,12.68,2131705,-2.16%
"Jan 26, 2026",12.96,12.94,12.96,12.94,2532947,+0.86%
"Jan 23, 2026",12.85,13.29,13.29,12.85,3176929,-2.65%
"Jan 22, 2026",13.2,12.83,13.2,12.83,8959113,+3.21%
"Jan 21, 2026",12.79,13.25,13.25,12.79,5183534,-3.98%
"Jan 20, 2026",13.32,13.06,13.32,13.06,2699210,+1.99%
"Jan 19, 2026",13.06,13.05,13.06,13.05,1278743,+0.08%
"Jan 16, 2026",13.05,13.05,13.05,13.05,1101384,+1.95%
"Jan 15, 2026",12.8,13.16,13.16,12.8,1571465,-0.70%
"Jan 14, 2026",12.89,13.15,13.15,12.89,3238525,-1.90%
"Jan 13, 2026",13.14,13.25,13.25,13.14,1074185,-0.08%
"Jan 12, 2026",13.15,13.34,13.34,13.15,3536720,-1.05%
"Jan 09, 2026",13.29,13.15,13.29,13.15,3301755,+0.45%
"Jan 08, 2026",13.23,13.3,13.3,13.23,2911601,-0.68%
"Jan 07, 2026",13.32,13.24,13.32,13.24,4394438,+0.60%
"Jan 06, 2026",13.24,13.3,13.3,13.24,3817740,+0.68%
"Jan 05, 2026",13.15,12.77,13.15,12.77,8932928,+3.14%
"Jan 02, 2026",12.75,12.89,12.89,12.75,930793,+0.16%
"Jan 01, 2026",12.73,12.9,12.9,12.73,2415353,-0.31%
