date,close,open,high,low,volume,change_pct
2026-06-30,19.67,19.69,19.9,19.56,682322,+1.29%
2026-06-29,19.42,19.7,20.24,19.3,1436991,-1.77%
2026-06-24,19.77,19.9,20.5,19.65,2323103,+0.41%
2026-06-23,19.69,20.08,20.08,19.65,749943,-0.76%
2026-06-22,19.84,20.2,20.48,19.75,1087170,-1.00%
2026-06-19,20.04,20.94,20.94,19.96,1709627,-4.07%
2026-06-18,20.89,22.4,22.47,20.81,6549058,-3.42%
2026-06-17,21.63,19.66,21.63,19.52,6477382,+10.02%
2026-06-16,19.66,19.55,19.9,19.51,1192226,+0.67%
2026-06-15,19.53,19.45,19.75,19.2,2092229,+2.36%
2026-06-12,19.08,19.29,19.5,19,1259541,+0.32%
2026-06-11,19.02,19,19.49,18.83,1050297,-0.37%
2026-06-10,19.09,19.55,19.89,18.99,2273251,-2.30%
2026-06-09,19.54,19.35,19.93,19.18,1288672,+1.82%
2026-06-08,19.19,20.5,20.65,19.14,5005058,-7.34%
2026-06-05,20.71,20.91,21.25,20.65,851391,-1.19%
2026-06-04,20.96,21,21.65,20.8,735740,+0.58%
2026-06-03,20.84,21.05,21.18,20.75,1002613,-0.86%
2026-06-02,21.02,20.87,21.97,20.6,2029473,+0.67%
2026-06-01,20.88,21.3,21.4,20.69,557567,-1.32%
2026-05-29,21.16,20.06,21.45,20.06,670804,-0.09%
2026-05-25,21.18,21.44,21.6,21,723402,+0.62%
2026-05-22,21.05,21.68,21.79,20.79,896894,-2.91%
2026-05-21,21.68,21.8,22.1,21.2,2793887,+1.50%
2026-05-20,21.36,20.6,21.5,20.15,2403978,+5.22%
2026-05-19,20.3,21.5,22.28,19.61,8440157,-1.46%
2026-05-18,20.6,22.36,22.59,20.56,5175120,-9.61%
2026-05-15,22.79,23.99,24.1,22.61,1588944,-4.20%
2026-05-14,23.79,24,24.75,23.65,2661859,-0.08%
2026-05-13,23.81,24.09,24.75,23.71,4641401,-1.16%
2026-05-12,24.09,23.99,25.25,23.5,9252628,+1.60%
2026-05-11,23.71,23.24,24.44,22.32,17519510,+6.71%
2026-05-08,22.22,21.25,22.22,20.56,9851592,+10.00%
2026-05-07,20.2,20.2,20.2,20.2,830953,+10.02%
2026-05-06,18.36,18.36,18.36,18.36,1009596,+10.01%
2026-05-05,16.69,16.51,16.85,16.36,193805,+0.54%
2026-05-04,16.6,16.58,17.2,16.5,304453,+0.12%
2026-04-30,16.58,17.22,17.22,16.31,548254,-3.72%
2026-04-29,17.22,18.15,18.15,17.03,1252974,-3.64%
2026-04-28,17.87,17.7,18.29,17.61,1039890,-0.83%
2026-04-27,18.02,17.7,18.7,17.49,3935372,+1.75%
2026-04-24,17.71,17.76,18.1,17.13,1621622,-0.28%
2026-04-23,17.76,17.51,18.1,17.41,1201425,+0.91%
2026-04-22,17.6,18.09,18.2,17.52,2363382,-2.11%
2026-04-21,17.98,17.98,18.35,17.75,3706132,+1.24%
2026-04-20,17.76,18.41,18.41,16.99,2168085,-1.88%
2026-04-17,18.1,17.95,18.39,17.7,2282783,+2.49%
2026-04-16,17.66,17.99,18.25,17.49,1479281,+0.11%
2026-04-15,17.64,17.94,18.19,17.61,1927204,+0.63%
2026-04-14,17.53,16.8,17.71,16.8,2085933,+5.92%
2026-04-13,16.55,16.99,17.3,16.42,1252638,-8.46%
2026-04-10,18.08,17.23,18.22,17.23,3309977,+4.99%
2026-04-09,17.22,16.5,18,16,2701652,+2.01%
2026-04-08,16.88,16.44,16.89,16.38,1493966,+9.97%
2026-04-07,15.35,14.9,15.47,14.89,484158,+0.52%
2026-04-06,15.27,14.7,16.12,14.25,1406946,+4.23%
2026-04-03,14.65,14.5,14.89,14.16,297115,-0.81%
2026-04-02,14.77,14.5,15.05,14.5,353133,-2.06%
2026-04-01,15.08,15.05,15.43,14.68,645388,+4.14%
2026-03-31,14.48,14.51,14.95,14.31,290583,+0.63%
2026-03-30,14.39,15.2,15.2,14.15,424752,-3.62%
2026-03-27,14.93,15.78,15.79,14.9,511630,-4.11%
2026-03-26,15.57,16.51,16.51,15.5,767662,-6.09%
2026-03-25,16.58,16.12,17.45,15.83,2713130,+1.47%
2026-03-24,16.34,16.49,16.75,16.11,1315152,+2.38%
2026-03-19,15.96,16.07,16.39,15.51,2030729,+0.88%
2026-03-18,15.82,14.75,15.82,14.74,2275409,+10.01%
2026-03-17,14.38,14.41,14.57,14.15,118111,+0.56%
2026-03-16,14.3,14.8,14.84,14.05,394530,-2.65%
2026-03-13,14.69,14.7,15.18,14.61,872247,-2.07%
2026-03-12,15,14.99,15.3,14.82,287794,-2.02%
2026-03-11,15.31,14.96,15.8,14.96,1025302,+2.13%
2026-03-10,14.99,14.5,15.18,14.41,883868,+8.47%
2026-03-09,13.82,14.7,14.7,13.79,904466,-9.79%
2026-03-06,15.32,14.75,16.1,14.11,2321727,+4.64%
2026-03-05,14.64,14.05,14.82,13.95,1237771,+5.78%
2026-03-04,13.84,14.16,14.5,13.35,1528713,-1.21%
2026-03-03,14.01,14.01,15,13.88,2884645,-9.14%
2026-03-02,15.42,15.42,15.42,15.42,623505,-9.98%
2026-02-27,17.13,17.01,17.68,16.5,2055762,-4.46%
2026-02-26,17.93,19.2,20.5,17.54,7634991,-8.00%
2026-02-25,19.49,18,19.49,16.9,3881576,+9.99%
2026-02-24,17.72,18,18.73,17.51,1645602,-8.14%
2026-02-23,19.29,19.99,22.02,18.03,3038220,-3.65%
2026-02-20,20.02,20.06,20.79,18.65,1764208,-3.14%
