date,close,open,high,low,volume,change_pct
2026-07-01,24.69,26.7,28.6,23.77,5727277,-5.04%
2026-06-30,26,24.14,26,22,5083536,+9.98%
2026-06-29,23.64,21.74,23.64,21.74,2175745,+10.00%
2026-06-24,21.49,19.98,21.66,18.18,5104160,+9.14%
2026-06-23,19.69,19.69,19.69,19.5,1157831,+10.00%
2026-06-22,17.9,16.5,17.9,16.5,2319419,+10.02%
2026-06-19,16.27,16.44,16.7,16,2295596,+0.68%
2026-06-18,16.16,16.25,16.5,16,598632,-0.80%
2026-06-17,16.29,16.87,16.95,16.25,548724,-2.75%
2026-06-16,16.75,17.1,17.2,16.65,267604,-0.53%
2026-06-15,16.84,17.44,17.44,16.7,1940105,-1.46%
2026-06-12,17.09,17.39,17.7,16.91,475579,+0.47%
2026-06-11,17.01,17.94,18.15,16.77,1711609,-5.29%
2026-06-10,17.96,19.4,20.59,17.67,8470718,-4.06%
2026-06-09,18.72,17.3,18.95,16.57,9042299,+8.65%
2026-06-08,17.23,16.5,17.35,15.7,1661306,+3.48%
2026-06-05,16.65,17,17.39,16.58,161522,-2.06%
2026-06-04,17,17.2,17.49,16.9,481219,-1.85%
2026-06-03,17.32,17.3,18,17.15,2549497,+1.29%
2026-06-02,17.1,17,17.32,16.21,1166399,+3.07%
2026-06-01,16.59,16.45,17.3,16,1777497,+0.73%
2026-05-29,16.47,17.18,17.25,16.12,656019,-3.00%
2026-05-25,16.98,17.39,17.4,16.71,729932,-0.99%
2026-05-22,17.15,18.09,18.09,17,579445,-5.25%
2026-05-21,18.1,17,18.51,15.6,8051435,+7.55%
2026-05-20,16.83,17,17.8,16.5,1798875,-0.24%
2026-05-19,16.87,16.61,17.75,16.61,256142,-3.49%
2026-05-18,17.48,17.3,18.99,17.15,1798036,-6.57%
2026-05-15,18.71,18.77,19.74,18.4,4563230,+0.43%
2026-05-14,18.63,16.8,18.66,15.51,7396814,+9.85%
2026-05-13,16.96,16.8,17.9,16.7,4503619,-3.14%
2026-05-12,17.51,18.89,20.42,16.7,18220380,-5.66%
2026-05-11,18.56,16.9,18.56,16.6,3578987,+10.02%
2026-05-08,16.87,16,17.12,15.45,19857860,+8.42%
2026-05-07,15.56,14.8,15.85,14.53,9324582,+1.24%
2026-05-06,15.37,17.5,17.89,15.3,15853860,-9.59%
2026-05-05,17,15.11,17,14.51,13017270,+10.03%
2026-05-04,15.45,14.05,15.77,14.05,3019979,+7.74%
2026-04-30,14.34,13.26,15.49,13.15,7676755,-1.85%
2026-04-29,14.61,16.95,17.85,14.61,3919569,-9.98%
2026-04-28,16.23,15,16.23,15,1930114,+10.03%
2026-04-27,14.75,13,14.75,13,10465240,+9.99%
2026-04-24,13.41,13.99,14.91,12.5,15216010,-1.03%
2026-04-23,13.55,12.96,13.55,11.5,13106350,+9.98%
2026-04-22,12.32,11.94,12.32,11.51,3012515,+10.00%
2026-04-21,11.2,11.2,11.2,10.85,2551159,+10.02%
2026-04-20,10.18,9.25,10.18,9.25,8886674,+10.89%
2026-04-17,9.18,9.87,9.87,8.75,20865370,+3.49%
2026-04-16,8.87,7.91,8.87,7.91,4931633,+12.71%
2026-04-15,7.87,7.5,7.95,6.95,6568304,+13.24%
2026-04-14,6.95,6.01,7.17,6.01,3320838,+12.64%
2026-04-13,6.17,6.19,6.25,5.9,253461,-0.32%
2026-04-10,6.19,6.23,6.4,5.86,719345,+1.48%
2026-04-09,6.1,6.02,6.4,6.01,168441,-2.09%
2026-04-08,6.23,6.01,6.44,6,202791,+4.18%
2026-04-07,5.98,5.87,6.23,5.87,78234,-1.97%
2026-04-06,6.1,5.8,6.2,5.76,205073,+3.04%
2026-04-03,5.92,6,6.2,5.72,193432,-1.50%
2026-04-02,6.01,6.3,6.3,6,273947,-2.59%
2026-04-01,6.17,5.92,6.3,5.92,374299,+2.15%
2026-03-31,6.04,6.01,6.21,5.76,241610,-1.47%
