date,close,open,high,low,volume,change_pct
"Jun 24, 2026",221.94,219,222.4,219,6039710,+1.52%
"Jun 23, 2026",218.62,218.3,220.6,215.81,4223372,+0.94%
"Jun 22, 2026",216.59,217,218.87,214.8,2121691,+0.60%
"Jun 19, 2026",215.29,219,220.2,212,4319271,-1.74%
"Jun 18, 2026",219.1,221.5,223.5,218.4,7324254,-0.30%
"Jun 17, 2026",219.77,219,221.4,216.01,6670714,+1.19%
"Jun 16, 2026",217.19,222.66,222.66,216.51,7680389,-1.75%
"Jun 15, 2026",221.05,224.9,224.9,215.14,14463033,+7.14%
"Jun 12, 2026",206.32,198.9,208.9,197.8,14121963,+6.30%
"Jun 11, 2026",194.1,192,194.9,191.2,2512358,+0.33%
"Jun 10, 2026",193.46,195.48,198.39,193.1,3192528,-1.25%
"Jun 09, 2026",195.91,197,198.9,195.4,2959351,+1.17%
"Jun 08, 2026",193.65,193.09,194.98,190.5,3253432,-1.80%
"Jun 05, 2026",197.2,198.7,200.9,196.25,3541626,-0.14%
"Jun 04, 2026",197.47,195.01,198.6,194.52,4896609,+2.33%
"Jun 03, 2026",192.97,193.55,196.2,191.31,3874914,-1.37%
"Jun 02, 2026",195.66,194.55,199.19,194.5,3867156,+0.92%
"Jun 01, 2026",193.88,202,202,193.01,5302191,-3.43%
"May 29, 2026",200.77,195.01,202.75,195,11702415,+3.85%
"May 25, 2026",193.33,190.25,193.85,187.98,8769852,+5.28%
"May 22, 2026",183.64,187,188.4,182.98,1901518,-1.48%
"May 21, 2026",186.39,185.89,188.66,185.89,5142869,+2.49%
"May 20, 2026",181.87,177.5,183.6,172.01,4319437,+3.08%
"May 19, 2026",176.43,176,178.5,175.52,1662023,+1.02%
"May 18, 2026",174.64,177.98,178,172.76,2764540,-2.45%
"May 15, 2026",179.03,179.99,181,176,3148050,-1.00%
"May 14, 2026",180.84,181,183.84,179.5,2736504,+0.42%
"May 13, 2026",180.08,181,183,179.76,2170769,-0.23%
"May 12, 2026",180.5,186.6,188.9,180.02,5333361,-3.28%
"May 11, 2026",186.62,185,188.53,185,2566857,-1.94%
"May 08, 2026",190.31,188.99,193.45,187.2,6992753,-1.60%
"May 07, 2026",193.41,193,198.44,189.05,15136572,+0.49%
"May 06, 2026",192.46,183.25,193.11,180.52,14956135,+9.63%
"May 05, 2026",175.55,174.01,176.01,171.6,3178670,+0.40%
"May 04, 2026",174.85,180.01,184.89,172,7413294,-0.52%
"Apr 30, 2026",175.76,175,177.4,168.02,8305888,-1.61%
"Apr 29, 2026",178.63,175,184.75,171.6,9132002,+2.57%
"Apr 28, 2026",174.15,173,177.96,171,2537069,-2.10%
"Apr 27, 2026",177.89,184.8,184.84,176.5,4255560,-3.23%
"Apr 24, 2026",183.83,180,186.9,176.03,7494269,+1.61%
"Apr 23, 2026",180.91,186.26,186.8,179.25,3688127,-3.31%
"Apr 22, 2026",187.11,194,194,186.4,6030548,-3.91%
"Apr 21, 2026",194.72,201,201.6,194,3658693,-1.72%
"Apr 20, 2026",198.12,200,202.5,191.6,8579182,-2.32%
"Apr 17, 2026",202.83,198.9,204.3,196.66,8176800,+3.14%
"Apr 16, 2026",196.66,198.51,200.2,194,4163403,+0.17%
"Apr 15, 2026",196.33,198,204.99,195.15,11229359,+3.03%
"Apr 14, 2026",190.56,185,192.5,182.8,12157676,+7.74%
"Apr 13, 2026",176.87,180.2,186.4,175.5,7655935,-7.38%
"Apr 10, 2026",190.97,185.61,193.88,185.61,12126165,+4.23%
"Apr 09, 2026",183.22,175,183.22,175,17929124,+7.64%
"Apr 08, 2026",170.21,170.21,170.21,170.21,1733781,+10.00%
"Apr 07, 2026",154.74,150.8,154.74,150.8,3335493,+1.18%
"Apr 06, 2026",152.94,151.75,152.94,151.75,4364795,+0.97%
"Apr 03, 2026",151.47,152,152,151.47,3185706,-3.21%
"Apr 02, 2026",156.5,159.5,159.5,156.5,3791666,-4.53%
"Apr 01, 2026",163.93,159.9,163.93,159.9,8068838,+8.05%
"Mar 31, 2026",151.71,150,151.71,150,2928916,+1.70%
"Mar 30, 2026",149.18,161.97,161.97,149.18,3626703,-6.75%
"Mar 27, 2026",159.97,162.9,162.9,159.97,2620999,-1.69%
"Mar 26, 2026",162.72,166.45,166.45,162.72,6153714,-4.79%
"Mar 25, 2026",170.91,168.2,170.91,168.2,7354808,+3.82%
"Mar 24, 2026",164.62,165,165,164.62,4048295,+2.91%
"Mar 19, 2026",159.97,159.8,159.97,159.8,3875794,-1.75%
"Mar 18, 2026",162.82,151.77,162.82,151.77,5895271,+8.39%
"Mar 17, 2026",150.22,155.09,155.09,150.22,7298570,-3.14%
"Mar 16, 2026",155.09,165.79,165.79,155.09,5151805,-6.75%
"Mar 13, 2026",166.32,164.75,166.32,164.75,3044806,+0.03%
"Mar 12, 2026",166.27,169.99,169.99,166.27,3393757,-3.56%
"Mar 11, 2026",172.4,176.5,176.5,172.4,3147057,-2.38%
"Mar 10, 2026",176.61,181.5,181.5,176.61,3104738,+7.03%
"Mar 09, 2026",165.01,165.01,165.01,165.01,806765,-10.00%
"Mar 06, 2026",183.34,190,190,183.34,3365749,-3.45%
"Mar 05, 2026",189.9,184.7,189.9,184.7,2908548,+2.78%
"Mar 04, 2026",184.76,189.9,189.9,184.76,1880043,-3.87%
"Mar 03, 2026",192.19,178.62,192.19,178.62,4237741,+4.07%
"Mar 02, 2026",184.67,184.67,184.67,184.67,6493373,-10.00%
"Feb 27, 2026",205.19,203.5,205.19,203.5,2129655,-1.83%
"Feb 26, 2026",209.02,198.94,209.02,198.94,5778303,+5.18%
"Feb 25, 2026",198.72,215,215,198.72,3188471,-6.81%
"Feb 24, 2026",213.24,213,213.24,213,4375501,+0.01%
"Feb 23, 2026",213.21,213.8,213.8,213.21,2805722,-0.57%
"Feb 20, 2026",214.44,211,214.44,211,1567182,+2.24%
"Feb 19, 2026",209.75,219.25,219.25,209.75,1217313,-4.44%
"Feb 18, 2026",219.5,215.9,219.5,215.9,2449734,+2.42%
"Feb 17, 2026",214.31,213,214.31,213,2005915,+0.58%
"Feb 16, 2026",213.07,217.49,217.49,213.07,2278375,-1.16%
"Feb 13, 2026",215.56,216.3,216.3,215.56,1802121,-0.31%
"Feb 12, 2026",216.24,222.97,222.97,216.24,1902465,-2.40%
"Feb 11, 2026",221.55,220,221.55,220,1779735,+1.57%
"Feb 10, 2026",218.13,221,221,218.13,1316224,-1.25%
"Feb 09, 2026",220.89,225,225,220.89,1885094,-1.40%
"Feb 06, 2026",224.02,228,228,224.02,1733507,-1.37%
"Feb 04, 2026",227.14,229.2,229.2,227.14,1155203,-0.37%
