date,close,open,high,low,volume,change_pct
2026-07-01,10.2,9.65,10.48,9.5,3111935,+7.59%
2026-06-30,9.48,10.15,10.25,9.21,2518323,-5.11%
2026-06-29,9.99,10.24,10.24,9.61,430329,-0.20%
2026-06-24,10.01,10.26,10.26,9.56,692474,-0.60%
2026-06-23,10.07,10.39,10.69,9.9,739866,-3.17%
2026-06-22,10.4,10.5,10.8,10.11,694853,+0.58%
2026-06-19,10.34,10.57,10.95,10.24,1408360,-2.08%
2026-06-18,10.56,10.7,10.94,10.49,1210210,-1.40%
2026-06-17,10.71,10.96,11,10.65,706783,-1.38%
2026-06-16,10.86,11,11.28,10.82,1982503,+0.00%
2026-06-15,10.86,11.75,11.75,10.79,2731188,-4.23%
2026-06-12,11.34,12.51,12.6,11.2,4575832,-7.65%
2026-06-11,12.28,11.01,12.32,10.59,11725590,+9.64%
2026-06-10,11.2,11.01,11.6,11.01,1769403,-1.06%
2026-06-09,11.32,12.49,13.13,11.15,16047600,-8.04%
2026-06-08,12.31,11.65,12.31,11.41,20306775,+10.01%
2026-06-05,11.19,10.51,11.19,10.5,8996184,+10.03%
2026-06-04,10.17,10.58,10.69,10.05,398024,-1.55%
2026-06-03,10.33,9.99,10.79,9.9,3381443,+4.77%
2026-06-02,9.86,9.89,10.04,9.51,1296556,+1.54%
2026-06-01,9.71,9.11,9.99,9.02,1080592,+3.41%
2026-05-29,9.39,9.48,9.58,9.26,46745,-0.95%
2026-05-25,9.48,9.4,9.65,9.21,170462,+0.00%
2026-05-22,9.48,9.3,9.7,9.22,692907,+1.83%
2026-05-21,9.31,9.01,9.39,9,591440,+1.09%
2026-05-20,9.21,8.87,9.35,8.52,112979,+0.66%
2026-05-19,9.15,9.15,9.28,8.71,300491,+1.22%
2026-05-18,9.04,9.78,9.78,8.91,551586,-5.34%
2026-05-15,9.55,9.6,9.66,9.15,581431,+1.92%
2026-05-14,9.37,9.5,9.6,9.2,513726,-0.11%
2026-05-13,9.38,9.56,9.84,9.05,688668,-4.29%
2026-05-12,9.8,10.25,10.4,9.6,1899234,-2.87%
2026-05-11,10.09,10,10.42,9.22,2604374,+0.80%
2026-05-08,10.01,10.29,10.43,9.56,4154808,+0.50%
2026-05-07,9.96,9.59,9.96,9.25,4635637,+11.16%
2026-05-06,8.96,8.25,8.96,8.16,1462007,+12.56%
2026-05-05,7.96,7.5,8,7.3,395703,+5.43%
2026-05-04,7.55,7.45,7.85,7.45,864672,+1.34%
2026-04-30,7.45,7.66,7.66,7.21,270725,-2.87%
2026-04-29,7.67,8.33,8.33,7.65,323038,-6.12%
2026-04-28,8.17,8.3,8.64,8.05,876322,-3.88%
2026-04-27,8.5,8.52,8.65,8.21,426340,-0.58%
2026-04-24,8.55,8.88,9.2,8.5,1470218,-1.72%
2026-04-23,8.7,8.32,9.09,8.1,2880608,+4.57%
