date,close,open,high,low,volume,change_pct
2026-07-01,5.32,5.39,5.57,5.3,4855448,+0.00%
2026-06-30,5.32,5.33,5.4,5.3,759178,+0.00%
2026-06-29,5.32,5.43,5.49,5.3,1394673,-0.19%
2026-06-24,5.33,5.44,5.44,5.31,3330234,-0.37%
2026-06-23,5.35,5.53,5.53,5.31,1795118,-1.47%
2026-06-22,5.43,5.45,5.49,5.4,4064761,+0.00%
2026-06-19,5.43,5.56,5.56,5.4,2312170,-1.45%
2026-06-18,5.51,5.48,5.61,5.4,5608672,+1.10%
2026-06-17,5.45,5.57,5.57,5.42,2492337,-1.09%
2026-06-16,5.51,5.53,5.6,5.49,2363983,-0.36%
2026-06-15,5.53,5.65,5.67,5.42,3407912,+1.10%
2026-06-12,5.47,5.85,5.85,5.38,13632370,-3.53%
2026-06-11,5.67,5.7,5.84,5.66,2450577,-1.56%
2026-06-10,5.76,5.73,5.94,5.66,9701042,+1.77%
2026-06-09,5.66,5.59,5.73,5.47,12321360,+2.72%
2026-06-08,5.51,5.4,5.58,5.3,3890758,+1.10%
2026-06-05,5.45,5.52,5.52,5.33,3308911,+0.93%
2026-06-04,5.4,5.3,5.56,5.27,5782272,+1.69%
2026-06-03,5.31,5.29,5.38,5.21,2267471,+1.34%
2026-06-02,5.24,5.23,5.32,5.2,2059572,+0.00%
2026-06-01,5.24,5.16,5.3,5.16,7630384,+1.16%
2026-05-29,5.18,5.16,5.23,5.09,849053,+1.17%
2026-05-25,5.12,5.22,5.36,5.09,9370634,-0.58%
2026-05-22,5.15,5.28,5.28,5.11,1230241,-1.72%
2026-05-21,5.24,5.2,5.29,5.16,2030121,+0.96%
2026-05-20,5.19,5.21,5.24,5.08,6260767,+0.78%
2026-05-19,5.15,5.19,5.35,5.12,5660780,+0.59%
2026-05-18,5.12,5.92,5.99,4.97,40063150,-11.57%
2026-05-15,5.79,5.85,5.95,5.75,675193,+0.35%
2026-05-14,5.77,5.9,5.92,5.75,538755,-0.69%
2026-05-13,5.81,5.81,5.97,5.8,1674728,-0.68%
2026-05-12,5.85,6.05,6.09,5.81,3780800,-1.68%
2026-05-11,5.95,5.93,6.05,5.83,3591103,+0.51%
2026-05-08,5.92,5.94,6.15,5.8,17044790,-0.17%
2026-05-07,5.93,5.8,6.19,5.74,17143820,+4.40%
2026-05-06,5.68,6.2,6.27,5.43,29268200,-7.34%
2026-05-05,6.13,6.45,6.74,5.99,6732749,-7.68%
2026-05-04,6.64,6.76,6.88,6.6,451305,-1.63%
2026-04-30,6.75,6.37,6.88,6.02,992411,+3.05%
2026-04-29,6.55,6.8,6.8,6.4,13033700,-1.50%
2026-04-28,6.65,6.67,6.99,6.62,798334,-1.92%
2026-04-27,6.78,6.82,6.97,6.72,794524,-0.59%
2026-04-24,6.82,7.14,7.25,6.77,1430164,-4.48%
2026-04-23,7.14,6.55,7.4,6.54,7078900,+10.53%
2026-04-22,6.46,6.65,6.65,6.4,7051760,-1.37%
2026-04-21,6.55,6.79,6.94,6.52,1306472,-1.80%
2026-04-20,6.67,5.83,6.85,5.83,7038668,+9.88%
2026-04-17,6.07,6.05,6.2,5.98,1366598,+2.71%
2026-04-16,5.91,6.1,6.15,5.8,6055590,+2.96%
2026-04-15,5.74,5.9,5.98,5.7,4411756,+1.59%
2026-04-14,5.65,5.64,5.82,5.64,6603792,+2.36%
2026-04-13,5.52,5.5,5.59,5.33,7189273,-2.99%
2026-04-10,5.69,5.7,5.74,5.58,387975,+2.52%
2026-04-09,5.55,5.65,5.79,5.51,348108,-4.31%
2026-04-08,5.8,5.7,5.93,5.53,2067102,+8.41%
2026-04-07,5.35,5.45,5.45,5.22,179544,+0.00%
2026-04-06,5.35,5.47,5.47,5.31,491572,+0.00%
2026-04-03,5.35,5.39,5.46,5.32,321153,-0.93%
2026-04-02,5.4,5.33,5.55,5.32,283087,-3.40%
2026-04-01,5.59,5.5,5.68,5.49,1115038,+2.76%
2026-03-31,5.44,5.5,5.73,5.42,36116970,+0.37%
2026-03-30,5.42,5.41,5.57,5.01,31661280,+0.18%
