date,close,open,high,low,volume,change_pct
"Jun 24, 2026",281.07,280.7,281.5,278.75,1023741,+0.70%
"Jun 23, 2026",279.11,284.4,284.5,278,1694083,-0.96%
"Jun 22, 2026",281.81,285,285.6,281,961499,+0.04%
"Jun 19, 2026",281.7,288,290.9,280.1,4852576,-1.95%
"Jun 18, 2026",287.3,285.79,289.7,284.8,18746647,+0.98%
"Jun 17, 2026",284.51,285,286,277.85,21982639,+0.33%
"Jun 16, 2026",283.57,274.99,284.4,271.25,7052685,+3.58%
"Jun 15, 2026",273.76,274,274,266.87,3580890,+2.91%
"Jun 12, 2026",266.02,264.5,267.6,261.9,2743159,+2.64%
"Jun 11, 2026",259.19,256.25,262.39,256,1478663,+0.69%
"Jun 10, 2026",257.42,259.11,260.9,257,958869,-0.95%
"Jun 09, 2026",259.89,262,264,259.02,1130383,+0.34%
"Jun 08, 2026",259,261,263.5,257.8,1868102,-1.22%
"Jun 05, 2026",262.2,263.48,265.5,261.1,1384500,-0.04%
"Jun 04, 2026",262.3,262.1,263.88,261,755126,+0.41%
"Jun 03, 2026",261.22,262.5,267.7,260.1,1455785,-0.65%
"Jun 02, 2026",262.94,265,266.99,262.01,1022689,-0.30%
"Jun 01, 2026",263.74,276.5,277,261.13,3606159,-4.59%
"May 29, 2026",276.44,270,279.97,266.15,3671717,+3.28%
"May 25, 2026",267.67,268,269.99,263,1967029,+2.90%
"May 22, 2026",260.13,264.99,264.99,259,1426825,-0.69%
"May 21, 2026",261.95,259.74,264,258,3224506,+2.19%
"May 20, 2026",256.33,254.39,257.74,252.8,2040587,+1.36%
"May 19, 2026",252.9,258.01,264.4,250.26,22942570,-1.22%
"May 18, 2026",256.02,263.19,269,253,1906417,-2.72%
"May 15, 2026",263.19,269.3,270.9,262,1953764,-2.50%
"May 14, 2026",269.95,272,274,269.1,384082,-0.19%
"May 13, 2026",270.47,273.5,274,269.5,1526760,-0.85%
"May 12, 2026",272.79,278.2,279,272,827316,-1.28%
"May 11, 2026",276.33,278,279,275.9,653084,-1.13%
"May 08, 2026",279.5,283,283.8,278.12,1336327,-1.97%
"May 07, 2026",285.11,286.11,291.22,284.5,7418203,+0.28%
"May 06, 2026",284.32,277.5,284.9,277.5,4203959,+3.49%
"May 05, 2026",274.73,272,275,271.51,575772,+0.10%
"May 04, 2026",274.45,276.49,279.84,269.16,13599445,+0.16%
"Apr 30, 2026",274.02,275,277.95,269,1556503,-1.77%
