date,close,open,high,low,volume,change_pct
2026-07-01,59.28,57.9,59.5,57.55,10591050,+3.01%
2026-06-30,57.55,57.49,58.61,57.05,10224770,+2.42%
2026-06-29,56.19,58.25,59.9,52.52,18052948,-3.72%
2026-06-24,58.36,56.98,58.65,56.6,8448185,+2.84%
2026-06-23,56.75,56.51,57.5,56.3,5229399,+0.46%
2026-06-22,56.49,57.5,57.78,56,2411539,-0.72%
2026-06-19,56.9,58.15,58.45,56.6,4626461,-2.01%
2026-06-18,58.07,58.65,59.6,57.7,13565880,-0.68%
2026-06-17,58.47,57.75,59.4,56.8,13538840,+1.67%
2026-06-16,57.51,57.8,58,56.53,12075960,+0.21%
2026-06-15,57.39,56.87,57.75,55.69,19360870,+5.50%
2026-06-12,54.4,53.2,55.15,53.04,14464280,+4.33%
2026-06-11,52.14,52.05,52.49,51.5,3693795,-0.25%
2026-06-10,52.27,52.89,53.48,52.15,3221257,-1.21%
2026-06-09,52.91,53.55,54.1,52.78,2981234,-0.04%
2026-06-08,52.93,52,53.1,52,1860916,-1.05%
2026-06-05,53.49,54.24,54.5,53.3,4199390,-0.74%
2026-06-04,53.89,53.01,54.17,53.01,7860192,+2.01%
2026-06-03,52.83,52.5,53.25,52.25,5613176,-0.32%
2026-06-02,53,53.1,54.15,52.83,7429244,+0.19%
2026-06-01,52.9,54.8,54.8,52.5,6040217,-3.20%
2026-05-29,54.65,53.74,55.25,53.3,16724530,+2.98%
2026-05-25,53.07,52,53.75,51.48,14519030,+5.53%
2026-05-22,50.29,51.78,51.78,50,2947383,-1.66%
2026-05-21,51.14,50.61,51.49,50.51,9090910,+3.27%
2026-05-20,49.52,47.5,49.85,47.15,6278511,+4.25%
2026-05-19,47.5,47.61,48.48,47,2533373,+0.57%
2026-05-18,47.23,49.4,49.4,46.98,3645459,-4.76%
2026-05-15,49.59,49.88,50,49.08,4106860,-0.58%
2026-05-14,49.88,49,50.2,48.8,4378106,+1.63%
2026-05-13,49.08,49.51,49.95,49,2463915,-0.65%
2026-05-12,49.4,50.8,51.44,49.11,6226744,-2.66%
2026-05-11,50.75,51.51,51.51,50.45,3504150,-2.12%
2026-05-08,51.85,52,52.99,51.62,7722432,-2.99%
2026-05-07,53.45,52.75,53.99,51.37,21421640,+2.14%
2026-05-06,52.33,49.4,52.51,48.65,24901080,+9.61%
2026-05-05,47.74,47.6,48.37,46.25,5400118,-0.35%
2026-05-04,47.91,48,49.86,47.5,4804069,+0.95%
2026-04-30,47.46,47.9,47.9,46,6503956,-2.65%
2026-04-29,48.75,48.94,50,47,7247564,+0.64%
2026-04-28,48.44,48.03,49.19,48.03,3180771,-1.64%
2026-04-27,49.25,49.8,50.25,48.88,3405781,-2.11%
2026-04-24,50.31,48.5,51.1,47.31,8685970,+3.14%
2026-04-23,48.78,49.98,49.98,48.45,4766955,-2.67%
2026-04-22,50.12,51,51.69,50,3990740,-3.13%
2026-04-21,51.74,51.51,52,51.4,4017408,+0.84%
2026-04-20,51.31,52.03,52.48,50.25,7696017,-3.24%
2026-04-17,53.03,52.2,53.29,52.02,10601000,+1.88%
2026-04-16,52.05,52.99,53.24,51.6,8355547,-0.48%
2026-04-15,52.3,53.06,54.5,52,16002380,+1.30%
2026-04-14,51.63,49.62,51.98,49.62,12360520,+7.97%
2026-04-13,47.82,49,50.25,47.25,15664620,-7.22%
2026-04-10,51.54,50.99,53,50.99,13958100,+2.04%
2026-04-09,50.51,49,51.37,47.5,29349300,+7.86%
2026-04-08,46.83,46.83,46.83,46.83,1885209,+10.01%
2026-04-07,42.57,41.8,42.94,41.51,6475775,+0.05%
2026-04-06,42.55,41.12,43.3,40.51,11140520,+3.55%
2026-04-03,41.09,40.5,41.49,39.7,5986342,-1.51%
2026-04-02,41.72,41.8,42.05,40.6,14249030,-3.18%
2026-04-01,43.09,40.25,43.15,40.13,19361110,+9.84%
2026-03-31,39.23,37.65,39.95,37.65,5399018,+3.65%
2026-03-30,37.85,39.88,39.97,36.26,8623647,-5.75%
2026-03-27,40.16,40.65,41.2,39.1,6232619,-0.96%
2026-03-26,40.55,41.1,41.69,40.3,16085730,-3.41%
2026-03-25,41.98,38.75,42,38.13,26066090,+9.95%
2026-03-24,38.18,40.9,40.9,37.8,10858410,-2.05%
2026-03-19,38.98,39.5,39.75,38.06,4777839,-1.91%
2026-03-18,39.74,37.19,40.1,36.9,5429199,+7.78%
2026-03-17,36.87,36.41,37.99,36.41,1670840,-1.92%
2026-03-16,37.59,39.21,39.35,37.26,5492621,-4.08%
2026-03-13,39.19,39.42,39.6,38.01,4872582,-0.56%
2026-03-12,39.41,41.27,41.27,39.25,14527730,-4.51%
2026-03-11,41.27,41.99,42.68,40.5,5109624,-0.22%
2026-03-10,41.36,41.9,43.2,40.8,10464630,+4.82%
