date,close,open,high,low,volume,change_pct
"Jun 24, 2026",112.77,112,114.76,110.5,2494514,+1.42%
"Jun 23, 2026",111.19,111.02,112.5,110.61,1113649,-0.43%
"Jun 22, 2026",111.67,111.48,111.99,109.01,581998,+1.46%
"Jun 19, 2026",110.06,112,112.68,108.25,2524649,-0.94%
"Jun 18, 2026",111.1,107.9,112.2,107,3281279,+3.81%
"Jun 17, 2026",107.02,107.94,108.5,106.5,1022860,-0.03%
"Jun 16, 2026",107.05,110,111.4,106.5,1611030,-2.34%
"Jun 15, 2026",109.62,110,110.5,104.12,3707342,+0.67%
"Jun 12, 2026",108.89,113.25,113.5,108.46,1230895,-2.90%
"Jun 11, 2026",112.14,108.05,112.94,107.05,3135718,+2.38%
"Jun 10, 2026",109.53,106.2,110.15,104.6,2451095,+3.27%
"Jun 09, 2026",106.06,107,107.68,105.7,1242667,+0.09%
"Jun 08, 2026",105.96,108.59,108.59,104,2092791,-3.47%
"Jun 05, 2026",109.77,111.99,112.15,108.75,916914,-1.90%
"Jun 04, 2026",111.9,108.44,112.47,107.25,4121437,+4.16%
"Jun 03, 2026",107.43,109.52,109.99,105.51,3769169,-3.17%
"Jun 02, 2026",110.95,112.9,118.01,108.55,8262078,-1.18%
"Jun 01, 2026",112.27,113.41,114.7,111.51,1987602,-1.01%
"May 29, 2026",113.42,108.98,114,108.11,5022031,+4.44%
"May 25, 2026",108.6,111,111.8,107.16,2953903,-0.63%
"May 22, 2026",109.29,107.01,114.75,106,8838521,+2.62%
"May 21, 2026",106.5,106.55,107.9,104.9,2034001,+2.57%
"May 20, 2026",103.83,105.9,105.9,102.66,1154747,-0.81%
"May 19, 2026",104.68,104.61,105.98,103.6,706218,+0.99%
"May 18, 2026",103.65,105.21,106,103.01,982097,-2.49%
"May 15, 2026",106.3,106.7,108.6,105.72,1015290,-0.68%
"May 14, 2026",107.03,107,107.75,105,1326087,+1.18%
"May 13, 2026",105.78,104.6,106.9,102.06,2554726,+1.81%
"May 12, 2026",103.9,115.79,116.7,103.55,8478892,-9.69%
"May 11, 2026",115.05,103,115.05,102.35,7796096,+10.00%
"May 08, 2026",104.59,102,107,101,2435757,+1.02%
"May 07, 2026",103.53,101,108.74,99,6799191,+3.60%
"May 06, 2026",99.93,99.1,101.5,97.49,4233246,+2.73%
"May 05, 2026",97.27,95.01,98,94.35,1169145,+2.15%
"May 04, 2026",95.22,94.1,99.5,94,3010424,+2.94%
"Apr 30, 2026",92.5,91,92.85,90.1,1186663,-1.03%
"Apr 29, 2026",93.46,96.89,98.2,93.03,1682008,-2.97%
"Apr 28, 2026",96.32,96.25,98.5,94.12,4931973,+1.97%
"Apr 27, 2026",94.46,94.46,94.46,93,4743695,+10.00%
"Apr 24, 2026",85.87,78.06,85.87,76.2,1842353,+10.01%
"Apr 23, 2026",78.06,78,78.93,77.12,654430,-0.36%
"Apr 22, 2026",78.34,79,79.43,77.06,929573,+0.56%
"Apr 21, 2026",77.9,77.8,79.19,77.5,540604,+0.44%
"Apr 20, 2026",77.56,78,79.95,75.45,1078343,-2.51%
"Apr 17, 2026",79.56,80.55,80.55,79.01,408513,-0.35%
"Apr 16, 2026",79.84,81.1,81.44,79.72,1133577,-5.34%
"Apr 15, 2026",84.34,86,86,83.5,1477191,+1.54%
"Apr 14, 2026",83.06,81.01,83.5,81.01,1261975,+4.60%
"Apr 13, 2026",79.41,77.5,81.5,77.5,1971382,+0.48%
"Apr 10, 2026",79.03,77.95,79.39,77.95,504248,+1.42%
"Apr 09, 2026",77.92,78.99,78.99,77.92,444856,-2.66%
"Apr 08, 2026",80.05,79.8,80.05,79.8,1053369,+7.16%
"Apr 07, 2026",74.7,73.24,74.7,73.24,78620,+1.21%
"Apr 06, 2026",73.81,74.9,74.9,73.81,116973,-0.08%
"Apr 03, 2026",73.87,71.1,73.87,71.1,272312,+0.24%
"Apr 02, 2026",73.69,72.9,73.69,72.9,72202,-0.59%
"Apr 01, 2026",74.13,71.5,74.13,71.5,551981,+4.85%
"Mar 31, 2026",70.7,70.16,70.7,70.16,81130,+0.80%
"Mar 30, 2026",70.14,72,72,70.14,213309,-3.04%
"Mar 27, 2026",72.34,73.9,73.9,72.34,249213,-1.28%
"Mar 26, 2026",73.28,76.85,76.85,73.28,505184,-3.16%
"Mar 25, 2026",75.67,75.01,75.67,75.01,1900428,+1.11%
"Mar 24, 2026",74.84,75.8,75.8,74.84,399430,+2.14%
"Mar 19, 2026",73.27,73.01,73.27,73.01,45455,-0.39%
"Mar 18, 2026",73.56,71.4,73.56,71.4,255734,+3.94%
"Mar 17, 2026",70.77,70,70.77,70,103108,+0.78%
"Mar 16, 2026",70.22,73,73,70.22,108235,-4.25%
"Mar 13, 2026",73.34,73,73.34,73,56812,+0.91%
"Mar 12, 2026",72.68,72.97,72.97,72.68,79826,-0.40%
"Mar 11, 2026",72.97,70.48,72.97,70.48,197391,+2.85%
"Mar 10, 2026",70.95,68.25,70.95,68.25,185266,+8.40%
"Mar 09, 2026",65.45,69,69,65.45,282691,-7.75%
"Mar 06, 2026",70.95,72.05,72.05,70.95,98278,-2.39%
"Mar 05, 2026",72.69,70.9,72.69,70.9,499143,+3.65%
"Mar 04, 2026",70.13,70.31,70.31,70.13,288685,-0.45%
"Mar 03, 2026",70.45,71.89,71.89,70.45,316883,-2.15%
"Mar 02, 2026",72,75,75,72,325938,-10.00%
"Feb 27, 2026",80,79.98,80,79.98,332138,-1.10%
"Feb 26, 2026",80.89,80.2,80.89,80.2,234935,+1.81%
"Feb 25, 2026",79.45,81.07,81.07,79.45,483470,-0.56%
"Feb 24, 2026",79.9,81.89,81.89,79.9,198655,-1.11%
"Feb 23, 2026",80.8,82.98,82.98,80.8,216863,-2.67%
"Feb 20, 2026",83.02,83.01,83.02,83.01,278568,+0.36%
"Feb 19, 2026",82.72,86.33,86.33,82.72,239825,-3.43%
"Feb 18, 2026",85.66,87,87,85.66,438810,-1.10%
"Feb 17, 2026",86.61,85.32,86.61,85.32,1863493,+2.62%
"Feb 16, 2026",84.4,86.5,86.5,84.4,210431,-2.07%
"Feb 13, 2026",86.18,85,86.18,85,705400,+1.96%
"Feb 12, 2026",84.52,87,87,84.52,866112,-2.75%
"Feb 11, 2026",86.91,86.2,86.91,86.2,666928,+1.02%
"Feb 10, 2026",86.03,86.25,86.25,86.03,597994,-0.16%
"Feb 09, 2026",86.17,88.6,88.6,86.17,679710,-1.58%
"Feb 06, 2026",87.55,90.15,90.15,87.55,876158,-2.18%
"Feb 04, 2026",89.5,87,89.5,87,1410854,+2.91%
"Feb 03, 2026",86.97,86.5,86.97,86.5,787770,+0.98%
"Feb 02, 2026",86.13,86,86.13,86,220578,+0.45%
"Jan 30, 2026",85.74,86.38,86.38,85.74,1669928,+0.09%
"Jan 29, 2026",85.66,88.21,88.21,85.66,491132,-3.18%
"Jan 28, 2026",88.47,90,90,88.47,1017020,+0.01%
"Jan 27, 2026",88.46,89.02,89.02,88.46,372863,-0.90%
"Jan 26, 2026",89.26,87.95,89.26,87.95,1649880,+1.93%
"Jan 23, 2026",87.57,87.74,87.74,87.57,531680,-0.19%
"Jan 22, 2026",87.74,90,90,87.74,804009,-2.30%
"Jan 21, 2026",89.81,90.48,90.48,89.81,1054823,-1.23%
"Jan 20, 2026",90.93,88.99,90.93,88.99,1179715,+2.99%
"Jan 19, 2026",88.29,88.85,88.85,88.29,452192,-0.73%
"Jan 16, 2026",88.94,89.85,89.85,88.94,683891,-0.18%
"Jan 15, 2026",89.1,90.5,90.5,89.1,1136965,-0.75%
"Jan 14, 2026",89.77,94.5,94.5,89.77,1604557,-4.54%
"Jan 13, 2026",94.04,95.5,95.5,94.04,2985515,-1.21%
"Jan 12, 2026",95.19,92.71,95.19,92.71,3818657,+2.68%
"Jan 09, 2026",92.71,92.01,92.71,92.01,1822680,+0.42%
"Jan 08, 2026",92.32,96,96,92.32,2114920,-1.57%
"Jan 07, 2026",93.79,87.5,93.79,87.5,7830067,+8.24%
"Jan 06, 2026",86.65,86.25,86.65,86.25,810246,+0.63%
"Jan 05, 2026",86.11,87.75,87.75,86.11,1186858,-0.84%
"Jan 02, 2026",86.84,87.32,87.32,86.84,390863,-0.08%
"Jan 01, 2026",86.91,86.51,86.91,86.51,206844,+0.52%
"Dec 31, 2025",86.46,87.1,87.1,86.46,96599,-0.69%
"Dec 30, 2025",87.06,86,87.06,86,1545572,+0.88%
"Dec 29, 2025",86.3,85.3,86.3,85.3,1181827,+1.77%
"Dec 26, 2025",84.8,85.5,85.5,84.8,242720,-0.08%
"Dec 24, 2025",84.87,85.75,85.75,84.87,356852,-0.28%
"Dec 23, 2025",85.11,86,86,85.11,269495,-1.12%
"Dec 22, 2025",86.07,87.35,87.35,86.07,353845,-0.69%
"Dec 19, 2025",86.67,86.82,86.82,86.67,529170,+0.20%
"Dec 18, 2025",86.5,86.01,86.5,86.01,744323,+0.59%
"Dec 17, 2025",85.99,86,86,85.99,273004,+0.10%
"Dec 16, 2025",85.9,86.8,86.8,85.9,236129,-0.38%
"Dec 15, 2025",86.23,87,87,86.23,413334,-0.58%
"Dec 12, 2025",86.73,87.98,87.98,86.73,271081,-1.42%
"Dec 11, 2025",87.98,90.3,90.3,87.98,958183,-1.64%
"Dec 10, 2025",89.45,85.5,89.45,85.5,2788900,+4.79%
"Dec 09, 2025",85.36,84.9,85.36,84.9,300188,+1.43%
"Dec 08, 2025",84.16,84.21,84.21,84.16,348442,-0.18%
"Dec 05, 2025",84.31,85.2,85.2,84.31,89732,-0.62%
"Dec 04, 2025",84.84,85.5,85.5,84.84,159631,-0.28%
"Dec 03, 2025",85.08,84.51,85.08,84.51,467238,+0.66%
"Dec 02, 2025",84.52,85.8,85.8,84.52,103591,-1.46%
"Dec 01, 2025",85.77,85.01,85.77,85.01,244970,+1.16%
"Nov 28, 2025",84.79,85,85,84.79,252741,-0.04%
"Nov 27, 2025",84.82,85,85,84.82,256150,+0.75%
"Nov 26, 2025",84.19,84.5,84.5,84.19,152579,-0.23%
"Nov 25, 2025",84.38,84.7,84.7,84.38,190999,+0.40%
"Nov 24, 2025",84.04,84.2,84.2,84.04,140789,-0.18%
"Nov 21, 2025",84.19,84.84,84.84,84.19,66799,-0.45%
"Nov 20, 2025",84.57,84.7,84.7,84.57,160752,-0.18%
"Nov 19, 2025",84.72,85.8,85.8,84.72,130268,-0.35%
"Nov 18, 2025",85.02,85.6,85.6,85.02,171301,-0.81%
"Nov 17, 2025",85.71,86.34,86.34,85.71,138846,-0.35%
"Nov 14, 2025",86.01,86.3,86.3,86.01,426653,+0.39%
"Nov 13, 2025",85.68,85.15,85.68,85.15,179269,+0.95%
"Nov 12, 2025",84.87,84.9,84.9,84.87,1797870,+0.34%
"Nov 11, 2025",84.58,86.31,86.31,84.58,456624,-2.56%
"Nov 10, 2025",86.8,86.99,86.99,86.8,142020,+0.49%
"Nov 07, 2025",86.38,88.05,88.05,86.38,274764,-0.85%
"Nov 06, 2025",87.12,87.3,87.3,87.12,108751,-0.13%
"Nov 05, 2025",87.23,87.05,87.23,87.05,300515,-0.94%
"Nov 04, 2025",88.06,92.99,92.99,88.06,655735,-4.77%
"Nov 03, 2025",92.47,90.99,92.47,90.99,1902724,+2.48%
"Oct 31, 2025",90.23,88.4,90.23,88.4,2340033,+2.45%
"Oct 30, 2025",88.07,86.65,88.07,86.65,1399744,+1.25%
"Oct 29, 2025",86.98,86,86.98,86,1604024,+1.17%
"Oct 28, 2025",85.97,87.85,87.85,85.97,917253,-1.46%
"Oct 27, 2025",87.24,86.5,87.24,86.5,3923907,+1.47%
"Oct 24, 2025",85.98,83.25,85.98,83.25,4002299,+3.14%
"Oct 23, 2025",83.36,84.48,84.48,83.36,497831,-0.89%
"Oct 22, 2025",84.11,84.05,84.11,84.05,305345,-0.13%
"Oct 21, 2025",84.22,85.5,85.5,84.22,273175,-1.03%
"Oct 20, 2025",85.1,83.32,85.1,83.32,2663714,+2.69%
"Oct 17, 2025",82.87,84.55,84.55,82.87,1694611,-2.32%
"Oct 16, 2025",84.84,85,85,84.84,865692,+0.17%
"Oct 15, 2025",84.7,83.78,84.7,83.78,938663,+1.74%
"Oct 14, 2025",83.25,83.78,83.78,83.25,1597489,+0.84%
"Oct 13, 2025",82.56,84.21,84.21,82.56,818973,-2.47%
"Oct 10, 2025",84.65,84.89,84.89,84.65,632034,+1.17%
"Oct 09, 2025",83.67,84.25,84.25,83.67,1313323,-0.64%
"Oct 08, 2025",84.21,86,86,84.21,726958,-2.49%
"Oct 07, 2025",86.36,87.06,87.06,86.36,325369,-1.13%
"Oct 06, 2025",87.35,87.7,87.7,87.35,908525,-0.91%
"Oct 03, 2025",88.15,88.54,88.54,88.15,1396832,-0.63%
"Oct 02, 2025",88.71,89.8,89.8,88.71,516989,-0.93%
"Oct 01, 2025",89.54,88.6,89.54,88.6,558237,+1.36%
"Sep 30, 2025",88.34,88.9,88.9,88.34,392091,-0.60%
"Sep 29, 2025",88.87,91.52,91.52,88.87,1411789,-2.08%
"Sep 26, 2025",90.76,89.25,90.76,89.25,1523718,+1.51%
"Sep 25, 2025",89.41,91.7,91.7,89.41,1810139,-1.91%
"Sep 24, 2025",91.15,92.49,92.49,91.15,1476085,-1.13%
"Sep 23, 2025",92.19,93.47,93.47,92.19,1186345,-0.82%
"Sep 22, 2025",92.95,92.44,92.95,92.44,3001425,+1.47%
"Sep 19, 2025",91.6,91.3,91.6,91.3,4113995,+0.57%
"Sep 18, 2025",91.08,86.49,91.08,86.49,5434468,+5.62%
"Sep 17, 2025",86.23,86,86.23,86,1200177,+0.29%
"Sep 16, 2025",85.98,86,86,85.98,222981,+0.13%
"Sep 15, 2025",85.87,84.97,85.87,84.97,446025,+1.06%
"Sep 12, 2025",84.97,86.1,86.1,84.97,632081,-1.45%
"Sep 11, 2025",86.22,87.85,87.85,86.22,580398,-0.83%
"Sep 10, 2025",86.94,87.01,87.01,86.94,262963,-0.29%
"Sep 09, 2025",87.19,89,89,87.19,663096,-1.50%
"Sep 08, 2025",88.52,90.2,90.2,88.52,1756217,-0.66%
"Sep 05, 2025",89.11,87.5,89.11,87.5,2137458,+2.17%
"Sep 04, 2025",87.22,86.35,87.22,86.35,1590811,+1.20%
"Sep 03, 2025",86.19,85.55,86.19,85.55,916465,+0.74%
"Sep 02, 2025",85.56,85.15,85.56,85.15,426213,+0.39%
"Sep 01, 2025",85.23,85.88,85.88,85.23,662966,-0.46%
"Aug 29, 2025",85.62,85.35,85.62,85.35,741260,+0.32%
"Aug 28, 2025",85.35,86.15,86.15,85.35,561006,-1.47%
"Aug 27, 2025",86.62,85.6,86.62,85.6,3213629,+1.65%
"Aug 26, 2025",85.21,85.46,85.46,85.21,1043529,-0.29%
"Aug 25, 2025",85.46,83.9,85.46,83.9,1321333,+1.87%
"Aug 22, 2025",83.89,84.1,84.1,83.89,590800,-0.07%
