date,close,open,high,low,volume,change_pct
2026-07-01,24.87,24.2,25.65,24.2,7290591,+2.81%
2026-06-30,24.19,24.39,24.47,24.03,1224211,+0.37%
2026-06-29,24.1,24.5,24.64,24,3014382,-1.51%
2026-06-24,24.47,24.28,24.7,24.12,5176453,+1.62%
2026-06-23,24.08,24.49,24.53,24.01,2088605,-0.66%
2026-06-22,24.24,24.25,24.5,24.21,851473,+0.12%
2026-06-19,24.21,24.89,24.89,23.95,2616160,-1.75%
2026-06-18,24.64,24.8,24.99,24.59,1795502,-0.73%
2026-06-17,24.82,25.31,25.4,24.7,2870817,-2.24%
2026-06-16,25.39,24.55,25.48,24.52,10043740,+4.31%
2026-06-15,24.34,24.5,24.54,24.05,1801988,+1.37%
2026-06-12,24.01,24.21,24.39,23.87,1630515,-0.12%
2026-06-11,24.04,23.75,24.38,23.75,715168,-0.33%
2026-06-10,24.12,24.49,24.65,24.06,1243089,-1.67%
2026-06-09,24.53,23.96,24.7,23.96,3074417,+2.68%
2026-06-08,23.89,23.9,24.01,23.78,482376,-0.95%
2026-06-05,24.12,24.4,24.48,24.03,846980,-0.66%
2026-06-04,24.28,24.44,24.66,24.22,3409554,+0.46%
2026-06-03,24.17,23.72,24.32,23.55,1637133,+1.73%
2026-06-02,23.76,23.61,23.9,23.25,553897,+0.08%
2026-06-01,23.74,24,24,23.7,592492,-1.08%
2026-05-29,24,24.18,24.2,23.8,2438694,+0.13%
2026-05-25,23.97,24.02,24.3,23.88,1567934,+0.63%
2026-05-22,23.82,24.01,24.32,23.71,2055865,-1.20%
2026-05-21,24.11,23.99,24.25,23.6,3037366,+2.16%
2026-05-20,23.6,23.2,23.69,23.16,1115030,+0.60%
2026-05-19,23.46,23.35,23.53,23,1669053,+2.45%
2026-05-18,22.9,23.4,23.4,22.55,2086060,-2.76%
2026-05-15,23.55,23.5,23.72,23.2,1553296,+0.94%
2026-05-14,23.33,23.48,23.7,23.15,869540,-0.43%
2026-05-13,23.43,23.4,23.76,23.2,1278109,+0.90%
2026-05-12,23.22,23.89,24.2,23.11,2067208,-2.11%
2026-05-11,23.72,23.25,23.9,23,2410306,+1.37%
2026-05-08,23.4,23.66,23.66,23.23,1563415,-2.21%
2026-05-07,23.93,24,24.65,23.83,5082054,-0.04%
2026-05-06,23.94,22.11,24.12,22.11,12612960,+8.77%
2026-05-05,22.01,21.75,22.19,21.55,2034336,+0.23%
2026-05-04,21.96,21.75,22.18,21.66,2108211,+2.62%
2026-04-30,21.4,21.9,21.9,21.11,1135325,-2.86%
2026-04-29,22.03,22.35,22.7,21.95,2290315,-0.68%
2026-04-28,22.18,22.2,22.5,22.03,1340886,-0.22%
2026-04-27,22.23,22.45,22.99,22.03,4092114,+0.14%
2026-04-24,22.2,22.19,22.35,21.86,1800136,+0.09%
2026-04-23,22.18,22.35,22.51,22.05,1269509,-0.36%
2026-04-22,22.26,22.48,22.74,22.07,1790303,-0.04%
2026-04-21,22.27,22.39,22.56,22.2,1253757,+0.36%
2026-04-20,22.19,22.39,22.82,21.9,2232244,-1.77%
2026-04-17,22.59,22.5,22.76,22.42,1580985,+0.76%
2026-04-16,22.42,22.35,22.69,22.15,1313466,+1.22%
2026-04-15,22.15,22.1,22.69,22.07,2582989,+1.33%
2026-04-14,21.86,21.48,22,21.31,1527877,+3.70%
2026-04-13,21.08,21.28,21.45,20.9,1591011,-3.52%
2026-04-10,21.85,21.68,22,21.6,2024501,+1.63%
2026-04-09,21.5,22.89,22.89,21.25,3904287,-6.24%
2026-04-08,22.93,22.6,23.05,22.03,3470989,+9.09%
2026-04-07,21.02,20.9,21.16,20.62,529097,+0.38%
2026-04-06,20.94,20.67,21.43,20.57,775284,+1.31%
2026-04-03,20.67,20.2,20.93,20.2,613759,-0.86%
2026-04-02,20.85,20.94,20.94,20.11,702506,-1.84%
2026-04-01,21.24,20.7,21.74,20.6,1996573,+4.22%
2026-03-31,20.38,20.35,20.55,20.16,929921,+1.44%
2026-03-30,20.09,20.49,20.75,19.86,1060103,-2.33%
2026-03-27,20.57,20.65,20.99,20.4,2478745,-1.53%
2026-03-26,20.89,21.76,21.89,20.8,1875037,-5.09%
2026-03-25,22.01,20.85,22.21,20.7,2956222,+6.95%
2026-03-24,20.58,20.85,20.88,20.41,1119212,+0.93%
2026-03-19,20.39,20.54,20.59,20,1057392,-0.59%
2026-03-18,20.51,20.63,21,20.4,815665,+0.98%
2026-03-17,20.31,20.49,20.7,20,633883,-0.29%
2026-03-16,20.37,20.6,20.88,20.3,421630,-1.36%
2026-03-13,20.65,20.76,20.96,20.4,382338,-0.53%
2026-03-12,20.76,20.88,21.14,20.51,676703,-0.57%
2026-03-11,20.88,20.88,21.2,20.56,707566,+2.55%
2026-03-10,20.36,21,21.99,20,1608099,+1.44%
2026-03-09,20.07,21.02,21.6,19.65,551702,-7.43%
2026-03-06,21.68,22.45,22.45,21.4,461919,-2.65%
2026-03-05,22.27,21.78,22.5,21.45,792041,+4.36%
2026-03-04,21.34,21.52,21.99,21.24,993725,-0.56%
2026-03-03,21.46,21,21.75,20.65,900277,+1.04%
2026-03-02,21.24,21.24,24.25,21.24,1518632,-10.00%
2026-02-27,23.6,23.84,24,23.41,1511230,-1.46%
2026-02-26,23.95,23.5,24,23,514084,+1.27%
2026-02-25,23.65,23.99,24,23.6,592097,+0.55%
