date,close,open,high,low,volume,change_pct
"Jun 24, 2026",4.88,4.95,5.07,4.86,427847,-1.41%
"Jun 23, 2026",4.95,5,5.05,4.95,228666,-1.79%
"Jun 22, 2026",5.04,5,5.13,5,246895,+0.80%
"Jun 19, 2026",5,5.18,5.23,4.99,948946,-3.47%
"Jun 18, 2026",5.18,5.1,5.3,5.01,1026015,+1.77%
"Jun 17, 2026",5.09,5.18,5.25,5.08,611098,-2.12%
"Jun 16, 2026",5.2,5.4,5.4,5.15,862581,-1.14%
"Jun 15, 2026",5.26,5.5,5.5,5.22,710969,-0.57%
"Jun 12, 2026",5.29,5.35,5.48,5.2,1322713,-0.56%
"Jun 11, 2026",5.32,5.4,5.6,5.16,2033857,-1.85%
"Jun 10, 2026",5.42,5.79,5.79,5.3,2889073,-3.21%
"Jun 09, 2026",5.6,5.37,6.12,5.34,16241622,+5.86%
"Jun 08, 2026",5.29,5,5.67,4.66,6695455,+5.59%
"Jun 05, 2026",5.01,5.2,5.23,4.98,1633529,-3.47%
"Jun 04, 2026",5.19,4.66,5.42,4.66,9991469,+13.57%
"Jun 03, 2026",4.57,4.35,4.64,4.35,160209,+3.39%
"Jun 02, 2026",4.42,4.31,4.64,4.31,37412,-1.34%
"Jun 01, 2026",4.48,4.44,4.68,4.44,162495,-0.44%
"May 29, 2026",4.5,4.44,4.69,4.44,114753,-1.75%
"May 25, 2026",4.58,4.31,4.74,4.31,129517,+2.00%
"May 22, 2026",4.49,4.67,4.74,4.32,207727,-3.85%
"May 21, 2026",4.67,4.29,4.73,4.29,1404362,+8.86%
"May 20, 2026",4.29,4.39,4.39,4.22,109806,-2.05%
"May 19, 2026",4.38,4.54,4.54,4.06,247547,+0.00%
"May 18, 2026",4.38,4.31,4.5,4.3,73285,-0.45%
"May 15, 2026",4.4,4.58,4.58,4.4,202123,-0.45%
"May 14, 2026",4.42,4.65,4.65,4.4,385164,-2.00%
"May 13, 2026",4.51,4.46,4.7,4.46,451867,+0.45%
"May 12, 2026",4.49,4.59,4.7,4.45,525228,-2.18%
"May 11, 2026",4.59,4.43,4.71,4.43,443231,+1.32%
"May 08, 2026",4.53,4.5,4.69,4.46,756295,-1.31%
"May 07, 2026",4.59,4.59,4.72,4.5,445246,+0.88%
"May 06, 2026",4.55,4.21,4.67,4.21,1528733,+6.81%
"May 05, 2026",4.26,4.25,4.47,4.16,198103,+0.00%
"May 04, 2026",4.26,4.17,4.51,4.17,290250,-2.29%
"Apr 30, 2026",4.36,4.41,4.69,4.31,431724,-3.33%
"Apr 29, 2026",4.51,4.81,4.95,4.45,810898,-6.04%
"Apr 28, 2026",4.8,4.85,4.92,4.76,473213,-2.24%
"Apr 27, 2026",4.91,4.96,4.99,4.8,294508,-1.01%
"Apr 24, 2026",4.96,5.02,5.1,4.9,710297,-2.55%
"Apr 23, 2026",5.09,4.98,5.23,4.9,2398565,+4.52%
"Apr 22, 2026",4.87,5.15,5.19,4.81,859668,-6.35%
"Apr 21, 2026",5.2,5.28,5.44,5.12,3133538,+0.78%
"Apr 20, 2026",5.16,4.6,5.5,4.6,9638442,+13.91%
"Apr 17, 2026",4.53,4.49,4.84,4.3,2010612,+2.95%
"Apr 16, 2026",4.4,4.4,4.55,4.2,1339667,+1.38%
"Apr 15, 2026",4.34,4.16,4.4,4.16,306156,+2.84%
"Apr 14, 2026",4.22,4.12,4.35,4.12,166852,+1.69%
"Apr 13, 2026",4.15,4.28,4.28,4.11,202211,-4.38%
"Apr 10, 2026",4.34,4.03,4.49,4.03,532462,+6.11%
"Apr 09, 2026",4.09,4.25,4.25,4.09,305713,-4.88%
"Apr 08, 2026",4.3,4.11,4.3,4.11,730492,+10.54%
"Apr 07, 2026",3.89,4,4,3.89,381100,-3.47%
"Apr 06, 2026",4.03,4.03,4.03,4.03,62635,+1.00%
"Apr 03, 2026",3.99,3.9,3.99,3.9,151257,+0.00%
"Apr 02, 2026",3.99,4,4,3.99,18175,-0.50%
"Apr 01, 2026",4.01,3.9,4.01,3.9,84633,+2.56%
"Mar 31, 2026",3.91,3.76,3.91,3.76,369090,+3.99%
"Mar 30, 2026",3.76,4.13,4.13,3.76,407324,-8.96%
"Mar 27, 2026",4.13,4,4.13,4,210037,+2.48%
"Mar 26, 2026",4.03,4.4,4.4,4.03,210040,-7.14%
"Mar 25, 2026",4.34,4.01,4.34,4.01,853664,+8.50%
"Mar 24, 2026",4,4.01,4.01,4,386167,+0.00%
"Mar 19, 2026",4,3.96,4,3.96,119177,+0.76%
"Mar 18, 2026",3.97,3.95,3.97,3.95,130750,+0.00%
"Mar 17, 2026",3.97,4.01,4.01,3.97,182119,+0.00%
"Mar 16, 2026",3.97,4.22,4.22,3.97,438880,-5.92%
"Mar 13, 2026",4.22,4,4.22,4,439033,+5.50%
"Mar 12, 2026",4,4.03,4.03,4,163455,-0.25%
"Mar 11, 2026",4.01,4.15,4.15,4.01,109678,-3.37%
"Mar 10, 2026",4.15,3.6,4.15,3.6,123225,+13.70%
"Mar 09, 2026",3.65,4.05,4.05,3.65,358973,-10.76%
"Mar 06, 2026",4.09,4.37,4.37,4.09,301086,-3.54%
"Mar 05, 2026",4.24,3.87,4.24,3.87,540158,+14.29%
"Mar 04, 2026",3.71,3.5,3.71,3.5,118669,+3.63%
"Mar 03, 2026",3.58,3.2,3.58,3.2,346530,+7.83%
"Mar 02, 2026",3.32,3.35,3.35,3.32,321868,-17.62%
"Feb 27, 2026",4.03,4.35,4.35,4.03,260068,-0.98%
"Feb 26, 2026",4.07,4.11,4.11,4.07,366272,+0.49%
"Feb 25, 2026",4.05,4.02,4.05,4.02,127836,-3.34%
"Feb 24, 2026",4.19,4.21,4.21,4.19,501141,-3.01%
"Feb 23, 2026",4.32,4.41,4.41,4.32,463334,-3.57%
"Feb 20, 2026",4.48,4.75,4.75,4.48,360709,-5.68%
"Feb 19, 2026",4.75,5.1,5.1,4.75,405923,-6.68%
"Feb 18, 2026",5.09,5.01,5.09,5.01,323786,+1.60%
"Feb 17, 2026",5.01,5.18,5.18,5.01,960618,-2.91%
"Feb 16, 2026",5.16,5.41,5.41,5.16,710134,-6.35%
"Feb 13, 2026",5.51,5.15,5.51,5.15,2011047,+6.58%
"Feb 12, 2026",5.17,5.29,5.29,5.17,350769,-2.08%
"Feb 11, 2026",5.28,5.36,5.36,5.28,338642,-2.94%
"Feb 10, 2026",5.44,5.7,5.7,5.44,510082,-4.06%
"Feb 09, 2026",5.67,5.88,5.88,5.67,349024,-3.57%
"Feb 06, 2026",5.88,5.85,5.88,5.85,485969,+1.38%
"Feb 04, 2026",5.8,5.25,5.8,5.25,1177252,+9.85%
"Feb 03, 2026",5.28,5.46,5.46,5.28,1370143,-3.30%
"Feb 02, 2026",5.46,5.73,5.73,5.46,659748,-4.71%
"Jan 30, 2026",5.73,5.73,5.73,5.73,298115,-1.55%
"Jan 29, 2026",5.82,6,6,5.82,605173,-4.28%
"Jan 28, 2026",6.08,6.01,6.08,6.01,215335,+1.00%
"Jan 27, 2026",6.02,5.99,6.02,5.99,477060,-1.15%
"Jan 26, 2026",6.09,6.08,6.09,6.08,332731,-0.98%
"Jan 23, 2026",6.15,6.16,6.16,6.15,204914,-0.49%
"Jan 22, 2026",6.18,6.15,6.18,6.15,319450,+0.49%
"Jan 21, 2026",6.15,6.17,6.17,6.15,400398,-1.76%
"Jan 20, 2026",6.26,6.48,6.48,6.26,337513,+1.46%
"Jan 19, 2026",6.17,6.3,6.3,6.17,482943,-2.06%
"Jan 16, 2026",6.3,6.06,6.3,6.06,1246494,+2.44%
"Jan 15, 2026",6.15,6.16,6.16,6.15,779472,-0.49%
