date,close,open,high,low,volume,change_pct
"Jun 24, 2026",558.68,555.64,562,554,1280000,+0.55%
"Jun 23, 2026",555.64,561.0,561.5,553.9,1280000,-0.41%
"Jun 22, 2026",557.94,562.01,564,556.65,823980,-0.50%
"Jun 19, 2026",560.74,568.0,571,552.05,1970000,-1.27%
"Jun 18, 2026",567.93,564.95,574.79,564.2,1870000,+0.70%
"Jun 17, 2026",563.96,568.89,568.99,562,1790000,-0.52%
"Jun 16, 2026",566.89,565.1,569.9,565.1,2590000,+0.58%
"Jun 15, 2026",563.61,565.0,567,556.4,2240000,+1.29%
"Jun 12, 2026",556.45,557.99,559,552.51,1130000,+0.90%
"Jun 11, 2026",551.47,551.02,553.58,550.11,780430,-0.38%
"Jun 10, 2026",553.58,552.99,557.75,552,476440,-0.23%
"Jun 09, 2026",554.86,559.0,562.9,554,880390,+0.12%
"Jun 08, 2026",554.2,553.0,556.4,550.11,955350,-0.69%
"Jun 05, 2026",558.07,560.5,563.9,556,1020000,-0.23%
"Jun 04, 2026",559.35,557.5,560.5,554,1610000,+0.85%
"Jun 03, 2026",554.63,550.0,563.4,550,1790000,-0.22%
"Jun 02, 2026",555.86,552.3,559.4,545,2009999,+0.64%
"Jun 01, 2026",552.3,563.5,566.9,549.6,3780000,-1.98%
"May 29, 2026",563.48,550.0,569.44,545.1,6660000,+4.01%
"May 25, 2026",541.73,538.0,543.8,536,1660000,+1.98%
"May 22, 2026",531.21,535.0,535,528.1,1160000,0.00%
"May 21, 2026",531.21,525.0,532.5,525,2220000,+2.55%
"May 20, 2026",518.0,510.0,520.9,509.84,977560,+1.60%
"May 19, 2026",509.84,506.0,511.99,506,762430,+1.01%
"May 18, 2026",504.75,510.0,511.89,503,665290,-1.44%
"May 15, 2026",512.11,516.0,518,511.02,976590,-0.95%
"May 14, 2026",517.03,521.0,522.6,516.55,469740,-0.44%
"May 13, 2026",519.3,521.0,524,516.55,582010,-0.51%
"May 12, 2026",521.96,523.25,525.24,520.01,494610,-0.25%
"May 11, 2026",523.25,525.0,525.9,521,440260,-1.82%
"May 08, 2026",532.94,530.0,537,528,1480000,-0.53%
"May 07, 2026",535.76,532.99,538,529.65,2000000,+1.19%
"May 06, 2026",529.45,525.0,531,519.25,2330000,+2.72%
"May 05, 2026",515.42,506.0,516.5,505.1,1790000,+1.23%
"May 04, 2026",509.16,510.0,521.2,506,1740000,+0.97%
"Apr 30, 2026",504.27,511.0,512,500.2,1490000,-1.80%
"Apr 29, 2026",513.52,517.0,522,511.5,1680000,-0.68%
"Apr 28, 2026",517.02,520.0,524,515.5,910080,-1.50%
"Apr 27, 2026",524.89,524.24,531.99,520.03,777860,+0.03%
"Apr 24, 2026",524.75,522.0,533,516.11,959100,+0.19%
"Apr 23, 2026",523.76,531.94,531.94,521.5,996250,-1.61%
"Apr 22, 2026",532.35,531.0,537,526,1110000,+0.26%
"Apr 21, 2026",530.95,534.0,536.39,530,1050000,+0.26%
"Apr 20, 2026",529.59,536.06,538.25,528,2340000,-1.82%
"Apr 17, 2026",539.38,541.0,542.5,537.91,3380000,-0.09%
"Apr 16, 2026",539.86,540.49,544.98,537,1170000,+0.59%
"Apr 15, 2026",536.67,536.0,549.45,535,3060000,+1.89%
"Apr 14, 2026",526.69,525.0,530,522,1050000,+2.45%
"Apr 13, 2026",514.08,517.0,525,512,2089999,-4.36%
"Apr 10, 2026",537.53,537.0,545.5,535,2230000,+0.24%
"Apr 09, 2026",536.22,543.0,543.49,519.99,3090000,-0.97%
"Apr 08, 2026",541.49,536.0,541.49,525.55,4970000,+10.00%
"Apr 07, 2026",492.26,489.0,494.75,484.0,1830000,+0.62%
"Apr 06, 2026",489.22,486.0,490.8,479.99,2009999,+0.64%
"Apr 03, 2026",486.1,483.36,489.9,477.0,994140,-1.03%
"Apr 02, 2026",491.16,490.77,494.0,483.01,1020000,-1.72%
"Apr 01, 2026",499.77,491.25,508.45,491.25,3190000,+2.89%
"Mar 31, 2026",485.73,485.11,494.4,482.01,2310000,+0.41%
"Mar 30, 2026",483.74,498.0,499.74,481.01,1990000,-2.95%
"Mar 27, 2026",498.44,500.0,506.45,496.0,2390000,-0.04%
"Mar 26, 2026",498.63,509.98,511.98,496.0,1890000,-2.84%
"Mar 25, 2026",513.19,506.1,514.9,504.0,2430000,+2.18%
"Mar 24, 2026",502.25,525.0,525.0,498.5,2370000,+1.68%
"Mar 19, 2026",493.96,488.0,499.0,477.0,2190000,+0.07%
"Mar 18, 2026",493.61,483.4,495.99,479.0,1420000,+2.54%
"Mar 17, 2026",481.36,487.0,495.0,473.0,1890000,+0.09%
"Mar 16, 2026",480.94,501.02,501.2,473.0,1180000,-4.01%
"Mar 13, 2026",501.02,503.99,505.0,496.0,1030000,-0.75%
"Mar 12, 2026",504.79,500.0,514.27,500.0,2310000,-0.55%
"Mar 11, 2026",507.56,506.1,517.98,506.1,1070000,-0.47%
"Mar 10, 2026",509.94,500.0,518.0,498.0,2260000,+8.18%
"Mar 09, 2026",471.4,498.0,498.0,470.06,6140000,-9.74%
"Mar 06, 2026",522.29,532.0,534.0,516.0,1260000,-3.34%
"Mar 05, 2026",540.36,525.0,545.0,525.0,2590000,+2.93%
"Mar 04, 2026",525.0,525.0,532.0,516.05,2820000,-0.29%
"Mar 03, 2026",526.53,497.5,547.24,497.5,4220000,+5.84%
"Mar 02, 2026",497.5,497.34,530.0,497.34,5320000,-9.97%
"Feb 27, 2026",552.6,553.0,561.0,540.0,1440000,-0.59%
"Feb 26, 2026",555.88,532.0,572.0,525.0,2250000,+4.53%
"Feb 25, 2026",531.79,534.0,539.0,530.0,1610000,-0.42%
