date,close,open,high,low,volume,change_pct
"Jun 24, 2026",17.84,17.99,18.24,17.8,7540010,-0.22%
"Jun 23, 2026",17.88,18.07,18.16,17.7,5018173,-0.94%
"Jun 22, 2026",18.05,18.13,18.35,18.03,3429755,-0.44%
"Jun 19, 2026",18.13,18.37,18.58,18.09,8658398,-1.31%
"Jun 18, 2026",18.37,18.4,18.73,18.31,13687216,+0.38%
"Jun 17, 2026",18.3,18.1,18.47,18.05,11306178,+1.39%
"Jun 16, 2026",18.05,18.15,18.21,18,5429759,+0.11%
"Jun 15, 2026",18.03,18.26,18.39,17.9,11437212,-0.11%
"Jun 12, 2026",18.05,18.26,18.4,18,4575552,+0.22%
"Jun 11, 2026",18.01,17.75,18.18,17.6,7056213,+1.64%
"Jun 10, 2026",17.72,17.6,17.95,17.55,1650193,-0.45%
"Jun 09, 2026",17.8,17.71,17.93,17.71,1655312,+1.08%
"Jun 08, 2026",17.61,17.75,17.75,17.4,2124834,-1.29%
"Jun 05, 2026",17.84,18.1,18.2,17.78,2937344,-1.05%
"Jun 04, 2026",18.03,18,18.19,18,3331116,+0.45%
"Jun 03, 2026",17.95,18.1,18.1,17.8,3248907,-1.05%
"Jun 02, 2026",18.14,18.12,18.57,18.09,11390231,-0.49%
"Jun 01, 2026",18.23,18.05,18.76,17.89,18742145,+1.11%
"May 29, 2026",18.03,18,18.17,17.75,3751259,+0.28%
"May 25, 2026",17.98,18.03,18.18,17.81,4252744,+1.64%
"May 22, 2026",17.69,17.7,18.18,17.5,6873080,+0.57%
"May 21, 2026",17.59,17.7,17.84,17.4,3669424,+1.32%
"May 20, 2026",17.36,17.28,17.45,17.04,2006560,+0.99%
"May 19, 2026",17.19,17.11,17.56,17.11,2089977,+0.82%
"May 18, 2026",17.05,17.6,17.6,17.01,3205230,-3.73%
"May 15, 2026",17.71,17.8,17.86,17.6,2005939,-0.34%
"May 14, 2026",17.77,18,18.15,17.73,2325821,-0.67%
"May 13, 2026",17.89,17.88,18.45,17.5,11657500,-0.39%
"May 12, 2026",17.96,18.81,19,17.9,20914638,-4.32%
"May 11, 2026",18.77,17.5,19.05,17.26,47004839,+7.56%
"May 08, 2026",17.45,17.6,17.75,17.27,3449303,-1.58%
"May 07, 2026",17.73,17.5,18.25,17.25,11728349,+2.96%
"May 06, 2026",17.22,16.71,17.35,16.71,5119020,+4.81%
"May 05, 2026",16.43,16.29,16.49,16.02,1984774,-0.18%
"May 04, 2026",16.46,16.5,17.25,16.26,5186857,-0.06%
"Apr 30, 2026",16.47,16.81,16.81,16.01,4144668,-2.72%
"Apr 29, 2026",16.93,17.6,17.78,16.7,3681113,-3.86%
"Apr 28, 2026",17.61,17.8,17.98,17.51,3688845,-2.92%
"Apr 27, 2026",18.14,17.99,18.61,17.75,9012789,+0.78%
"Apr 24, 2026",18,17.5,18.1,16.88,9576021,+2.56%
"Apr 23, 2026",17.55,17.65,18.05,17.45,4360818,-0.51%
"Apr 22, 2026",17.64,17.97,17.98,17.54,3727663,-1.84%
"Apr 21, 2026",17.97,18.3,18.39,17.89,6656809,-0.33%
"Apr 20, 2026",18.03,18.5,18.69,17.32,20801044,-4.55%
"Apr 17, 2026",18.89,18.55,19.3,18.22,24980981,+4.13%
"Apr 16, 2026",18.14,17.5,18.5,17.26,22121380,+4.01%
"Apr 15, 2026",17.44,17.37,18.1,17.1,15450065,+4.43%
"Apr 14, 2026",16.7,15.77,16.92,15.77,12853491,+7.81%
"Apr 13, 2026",15.49,15.3,15.75,15.25,4440469,-4.97%
"Apr 10, 2026",16.3,16.1,16.46,16.1,7380302,+1.81%
"Apr 09, 2026",16.01,16.42,16.42,16.01,8622386,-2.26%
"Apr 08, 2026",16.38,16.38,16.38,16.38,9556126,+10.01%
"Apr 07, 2026",14.89,14.8,14.89,14.8,1592798,+0.20%
"Apr 06, 2026",14.86,14.6,14.86,14.6,2539356,+2.06%
"Apr 03, 2026",14.56,14.1,14.56,14.1,2712152,-1.82%
"Apr 02, 2026",14.83,14.76,14.83,14.76,1377467,-2.63%
"Apr 01, 2026",15.23,15,15.23,15,4389691,+3.75%
"Mar 31, 2026",14.68,14.6,14.68,14.6,1320787,+0.82%
"Mar 30, 2026",14.56,15.07,15.07,14.56,3108594,-3.13%
