date,close,open,high,low,volume,change_pct
2026-07-01,1.26,1.27,1.28,1.24,11674530,+0.80%
2026-06-30,1.25,1.27,1.27,1.24,13574990,+0.81%
2026-06-29,1.24,1.26,1.27,1.23,17421750,-0.80%
2026-06-24,1.25,1.25,1.3,1.23,15610050,+0.00%
2026-06-23,1.25,1.3,1.32,1.23,30725462,-3.10%
2026-06-22,1.29,1.31,1.32,1.28,11175540,-1.53%
2026-06-19,1.31,1.32,1.35,1.29,18470290,-0.76%
2026-06-18,1.32,1.3,1.36,1.3,18038400,+0.00%
2026-06-17,1.32,1.34,1.35,1.31,12773860,-1.49%
2026-06-16,1.34,1.41,1.41,1.32,17163620,-0.74%
2026-06-15,1.35,1.38,1.39,1.32,19429350,+1.50%
2026-06-12,1.33,1.4,1.43,1.32,28855010,-1.48%
2026-06-11,1.35,1.31,1.45,1.29,118360800,+3.05%
2026-06-10,1.31,1.3,1.33,1.28,12549650,+0.77%
2026-06-09,1.3,1.3,1.33,1.29,13726860,-0.76%
2026-06-08,1.31,1.28,1.39,1.26,16176687,+0.77%
2026-06-05,1.3,1.32,1.33,1.29,7252599,+0.00%
2026-06-04,1.3,1.31,1.33,1.28,8715917,+0.78%
2026-06-03,1.29,1.32,1.32,1.28,9822359,-2.27%
2026-06-02,1.32,1.3,1.34,1.3,6852192,+0.76%
2026-06-01,1.31,1.32,1.34,1.3,6064607,-0.76%
2026-05-29,1.32,1.31,1.35,1.31,10869390,+0.76%
2026-05-25,1.31,1.35,1.35,1.3,13336608,+0.00%
2026-05-22,1.31,1.38,1.38,1.3,7804748,-2.96%
2026-05-21,1.35,1.37,1.39,1.34,12002010,+1.50%
2026-05-20,1.33,1.31,1.35,1.27,9134529,+2.31%
2026-05-19,1.3,1.34,1.37,1.28,14848180,-1.52%
2026-05-18,1.32,1.39,1.39,1.31,13096450,-4.35%
2026-05-15,1.38,1.4,1.4,1.36,14608340,+0.00%
2026-05-14,1.38,1.44,1.44,1.37,14625980,-1.43%
2026-05-13,1.4,1.4,1.44,1.38,10622830,+0.00%
2026-05-12,1.4,1.45,1.47,1.39,14326370,-2.78%
2026-05-11,1.44,1.42,1.5,1.4,19026330,+0.00%
2026-05-08,1.44,1.46,1.51,1.42,12904300,-2.04%
2026-05-07,1.47,1.45,1.55,1.41,65965070,+2.08%
2026-05-06,1.44,1.44,1.46,1.41,25577910,+3.60%
2026-05-05,1.39,1.38,1.44,1.37,7954760,-1.42%
2026-05-04,1.41,1.41,1.46,1.4,9480298,+0.71%
2026-04-30,1.4,1.36,1.47,1.31,28873900,+1.45%
2026-04-29,1.38,1.45,1.47,1.37,53576290,-4.17%
2026-04-28,1.44,1.5,1.51,1.4,59594350,-2.04%
2026-04-27,1.47,1.51,1.55,1.45,38850240,-2.65%
2026-04-24,1.51,1.73,1.74,1.49,128291500,-11.18%
2026-04-23,1.7,1.39,1.74,1.37,286823300,+23.19%
2026-04-22,1.38,1.38,1.47,1.35,34293460,+0.00%
2026-04-21,1.38,1.43,1.43,1.36,28006990,-0.72%
2026-04-20,1.39,1.45,1.45,1.31,38950230,-4.79%
2026-04-17,1.46,1.42,1.47,1.42,30513310,+3.55%
2026-04-16,1.41,1.44,1.44,1.4,21110110,+1.44%
2026-04-15,1.39,1.44,1.44,1.38,35645470,+4.51%
2026-04-14,1.33,1.34,1.45,1.32,62630230,+1.53%
2026-04-13,1.31,1.39,1.39,1.3,33604330,-9.03%
2026-04-10,1.44,1.45,1.52,1.4,43189840,-2.04%
2026-04-09,1.47,1.61,1.61,1.41,81609570,-6.96%
2026-04-08,1.58,1.3,1.6,1.22,212312400,+36.21%
2026-04-07,1.16,1.13,1.18,1.13,3913268,+0.00%
2026-04-06,1.16,1.12,1.17,1.12,7294295,+1.75%
2026-04-03,1.14,1.15,1.16,1.11,6415726,+0.88%
2026-04-02,1.13,1.12,1.17,1.11,13756710,-5.04%
2026-04-01,1.19,1.17,1.25,1.16,10178490,+3.48%
2026-03-31,1.15,1.14,1.16,1.11,7605115,+3.60%
2026-03-30,1.11,1.16,1.16,1.1,19802680,-3.48%
2026-03-27,1.15,1.19,1.19,1.14,27181360,-2.54%
2026-03-26,1.18,1.23,1.24,1.17,33024720,-4.07%
2026-03-25,1.23,1.25,1.29,1.2,24816040,-1.60%
2026-03-24,1.25,1.31,1.31,1.22,8168773,+0.00%
2026-03-19,1.25,1.2,1.31,1.15,22028800,+4.17%
2026-03-18,1.2,1.19,1.23,1.16,8832641,+3.45%
2026-03-17,1.16,1.18,1.2,1.14,11254330,-0.85%
2026-03-16,1.17,1.19,1.21,1.14,11094280,-1.68%
2026-03-13,1.19,1.18,1.22,1.14,15933540,+0.00%
2026-03-12,1.19,1.22,1.26,1.16,14753950,-2.46%
2026-03-11,1.22,1.31,1.33,1.2,17023350,-3.94%
2026-03-10,1.27,1.29,1.32,1.25,15499890,+10.43%
2026-03-09,1.15,1.3,1.3,1.14,33608420,-12.21%
2026-03-06,1.31,1.36,1.36,1.3,7756355,-2.96%
2026-03-05,1.35,1.35,1.38,1.31,19282090,+1.50%
2026-03-04,1.33,1.39,1.39,1.28,11758050,-0.75%
2026-03-03,1.34,1.2,1.39,1.2,14780100,+8.94%
2026-03-02,1.23,1.11,1.46,1.1,41849350,-20.13%
2026-02-27,1.54,1.64,1.64,1.45,36245680,+1.32%
2026-02-26,1.52,1.48,1.56,1.36,20007340,+2.70%
2026-02-25,1.48,1.5,1.64,1.45,33421270,+0.68%
2026-02-24,1.47,1.39,1.49,1.35,27444310,+9.70%
2026-02-23,1.34,1.26,1.4,1.2,24647531,+6.35%
2026-02-20,1.26,1.29,1.33,1.16,22787240,-2.33%
2026-02-19,1.29,1.44,1.44,1.2,12420700,-7.86%
2026-02-18,1.4,1.42,1.42,1.37,10240560,+1.45%
2026-02-17,1.38,1.45,1.45,1.35,20184610,-2.13%
2026-02-16,1.41,1.55,1.55,1.4,26673400,-6.62%
2026-02-13,1.51,1.5,1.54,1.49,15882860,+0.67%
2026-02-12,1.5,1.55,1.59,1.46,30912530,-3.85%
2026-02-11,1.56,1.54,1.66,1.5,51954240,+0.00%
2026-02-10,1.56,1.6,1.62,1.54,29726170,-1.89%
2026-02-09,1.59,1.63,1.68,1.57,26090740,-2.45%
2026-02-06,1.63,1.72,1.76,1.61,50264390,-5.23%
2026-02-04,1.72,1.75,1.81,1.7,32938140,-1.15%
2026-02-03,1.74,1.7,1.76,1.62,91350750,+5.45%
2026-02-02,1.65,1.65,1.93,1.6,191182600,-6.78%
2026-01-30,1.77,1.8,1.84,1.741,167072700,-2.26%
2026-01-29,1.811,1.874,1.9,1.782,138460600,+0.61%
2026-01-28,1.8,1.828,1.86,1.786,122750400,-0.50%
2026-01-27,1.809,1.84,1.92,1.793,110668600,-1.36%
2026-01-26,1.834,1.909,1.93,1.782,103880000,-2.65%
2026-01-23,1.884,1.766,1.94,1.746,235322000,+6.80%
2026-01-22,1.764,1.74,1.848,1.7,131002100,+2.02%
2026-01-21,1.729,1.784,1.785,1.719,43076710,-2.04%
2026-01-20,1.765,1.997,2,1.745,197910100,-7.54%
2026-01-19,1.909,1.8,1.909,1.75,80487980,+10.03%
2026-01-16,1.735,1.71,1.824,1.71,102428900,+2.42%
2026-01-15,1.694,1.713,1.769,1.65,48383750,-0.47%
2026-01-14,1.702,1.835,1.845,1.675,72441130,-7.30%
2026-01-13,1.836,1.901,1.937,1.821,158043700,-1.08%
2026-01-12,1.856,1.849,1.917,1.83,89580560,+1.75%
2026-01-09,1.824,1.89,1.944,1.802,107174400,-3.13%
2026-01-08,1.883,1.982,2.042,1.86,210497200,-4.99%
2026-01-07,1.982,1.829,1.982,1.811,205667200,+9.99%
2026-01-06,1.802,1.852,1.862,1.781,58167800,-1.64%
2026-01-05,1.832,1.799,1.85,1.771,104048300,+3.10%
2026-01-02,1.777,1.824,1.828,1.77,63260290,-1.77%
2026-01-01,1.809,1.832,1.874,1.765,128449200,-0.44%
2025-12-31,1.817,1.75,1.872,1.715,281673200,+6.76%
2025-12-30,1.702,1.697,1.748,1.681,67142110,+1.25%
2025-12-29,1.681,1.7,1.75,1.665,58514170,-0.59%
2025-12-26,1.691,1.73,1.795,1.675,67882000,-2.59%
2025-12-24,1.736,1.797,1.824,1.651,223887000,-4.09%
2025-12-23,1.81,2.024,2.049,1.81,139904700,-10.00%
2025-12-22,2.011,1.98,2.081,1.98,149786400,+1.93%
2025-12-19,1.973,2.037,2.069,1.96,84541100,-2.28%
2025-12-18,2.019,2.052,2.11,1.99,106575800,-1.46%
2025-12-17,2.049,1.905,2.144,1.88,368632700,+0.24%
2025-12-16,2.044,2.28,2.319,2.044,241795600,-10.00%
2025-12-15,2.271,2.474,2.485,2.23,361630300,-3.07%
2025-12-12,2.343,2.299,2.374,2.26,247305400,+3.99%
2025-12-11,2.253,2.325,2.378,2.17,299111600,-3.59%
2025-12-10,2.337,2.26,2.448,2.211,503378600,+4.75%
2025-12-09,2.231,2.191,2.27,2.155,292742800,+3.19%
2025-12-08,2.162,2.087,2.195,2.051,287349700,+3.20%
2025-12-05,2.095,2.068,2.16,2.001,445791300,+3.76%
2025-12-04,2.019,1.95,2.097,1.85,285253400,+4.13%
2025-12-03,1.939,2.049,2.12,1.901,307774400,-4.76%
2025-12-02,2.036,1.951,2.036,1.876,371545300,+9.99%
2025-12-01,1.851,1.551,1.851,1.515,700357900,+9.98%
2025-11-28,1.683,1.683,1.683,1.683,41864960,-10.00%
2025-11-27,1.87,1.927,1.94,1.87,58634220,-10.01%
2025-11-26,2.078,2.289,2.294,2.078,267228100,-10.00%
2025-11-25,2.309,2.426,2.49,2.28,133783400,-4.82%
2025-11-24,2.426,2.465,2.48,2.357,166531900,-1.46%
2025-11-21,2.462,2.4,2.52,2.251,484052200,+1.86%
2025-11-20,2.417,2.319,2.448,2.262,379502100,+6.01%
2025-11-19,2.28,2.351,2.39,2.233,159911300,-2.10%
2025-11-18,2.329,2.35,2.438,2.265,527203700,+0.43%
2025-11-17,2.319,2.15,2.319,2.129,386646700,+10.01%
2025-11-14,2.108,1.998,2.155,1.996,376735700,+7.39%
2025-11-13,1.963,2.099,2.1,1.881,403543600,-4.99%
2025-11-12,2.066,2.261,2.45,2.036,893663200,-8.62%
2025-11-11,2.261,2.122,2.334,2.076,771738000,+6.55%
2025-11-10,2.122,1.976,2.122,1.881,737099800,+10.01%
2025-11-07,1.929,2.033,2.08,1.835,859077700,-5.12%
2025-11-06,2.033,1.9,2.033,1.86,436142400,+10.01%
2025-11-05,1.848,1.699,1.848,1.698,377400000,+10.00%
2025-11-04,1.68,1.85,1.85,1.68,432021400,-10.02%
2025-11-03,1.867,1.799,1.867,1.775,91769430,+10.02%
2025-10-31,1.697,1.631,1.697,1.62,124722400,+9.98%
2025-10-30,1.543,1.667,1.667,1.47,262147100,-1.53%
2025-10-29,1.567,1.605,1.719,1.522,399201300,+0.06%
2025-10-28,1.566,1.68,1.72,1.472,550564800,-3.51%
2025-10-27,1.623,1.499,1.623,1.495,275537600,+10.03%
2025-10-24,1.475,1.33,1.475,1.311,293001400,+9.99%
2025-10-23,1.341,1.445,1.513,1.3,422366200,-5.89%
2025-10-22,1.425,1.291,1.425,1.276,447608000,+10.04%
2025-10-21,1.295,1.292,1.334,1.267,260982400,+3.19%
2025-10-20,1.255,1.23,1.272,1.21,169026100,+4.32%
2025-10-17,1.203,1.249,1.29,1.189,219965800,-0.50%
2025-10-16,1.209,1.25,1.295,1.2,145249900,-2.26%
2025-10-15,1.237,1.242,1.309,1.203,304202700,+2.57%
2025-10-14,1.206,1.15,1.224,1.15,332377300,+5.60%
2025-10-13,1.142,1.32,1.35,1.136,483823800,-9.51%
2025-10-10,1.262,1.19,1.262,1.19,77123490,+10.03%
2025-10-09,1.147,1.044,1.147,1.01,470441300,+9.97%
2025-10-08,1.043,0.969,1.062,0.928,636504500,+6.76%
