date,close,open,high,low,volume,change_pct
"Jun 24, 2026",30.85,30.6,32,30.02,7793920,+5.40%
"Jun 23, 2026",29.27,30.5,30.5,29.01,1452403,-3.05%
"Jun 22, 2026",30.19,29.45,31.7,29.1,4772171,+4.07%
"Jun 19, 2026",29.01,30.51,31.4,28.71,7837790,-3.69%
"Jun 18, 2026",30.12,27.93,30.12,27.8,5059551,+10.01%
"Jun 17, 2026",27.38,25.4,27.65,25.39,5426004,+6.70%
"Jun 16, 2026",25.66,25.25,25.94,25.01,1827313,+1.70%
"Jun 15, 2026",25.23,26,26.19,24.9,1748088,+2.15%
"Jun 12, 2026",24.7,24.97,24.97,24,1062260,+0.78%
"Jun 11, 2026",24.51,24.8,24.8,24.16,529464,-1.21%
"Jun 10, 2026",24.81,25.3,26.2,24.7,1513865,-2.13%
"Jun 09, 2026",25.35,24.97,25.99,24.51,3012818,+3.81%
"Jun 08, 2026",24.42,23.32,25.4,23.32,3212390,+4.72%
"Jun 05, 2026",23.32,23.22,23.8,22.98,420871,+0.47%
"Jun 04, 2026",23.21,22.89,23.57,22.57,286073,+2.43%
"Jun 03, 2026",22.66,22.92,22.96,22.51,93664,-1.13%
"Jun 02, 2026",22.92,22.9,23.05,22.7,260756,+1.28%
"Jun 01, 2026",22.63,22.57,22.79,22.53,33308,-1.01%
"May 29, 2026",22.86,22.99,22.99,22.26,81262,+0.26%
"May 25, 2026",22.8,22.8,23,22.5,152235,+1.33%
"May 22, 2026",22.5,22.8,22.98,22.25,66510,-0.88%
"May 21, 2026",22.7,22.74,23,22.06,182696,+1.98%
"May 20, 2026",22.26,21.95,23.1,21.2,284817,+3.06%
"May 19, 2026",21.6,21.84,21.9,21.51,94511,-0.05%
"May 18, 2026",21.61,22.01,22.48,21.5,239208,-3.05%
"May 15, 2026",22.29,23.01,23.01,21.87,690353,-1.89%
"May 14, 2026",22.72,23.34,23.34,22.6,158562,-0.35%
"May 13, 2026",22.8,23.27,23.36,22.75,129275,-1.98%
"May 12, 2026",23.26,23.15,23.5,23.02,356298,+0.52%
"May 11, 2026",23.14,23,23.24,22.77,251572,+0.52%
"May 08, 2026",23.02,23.04,23.34,22.95,206787,-0.95%
"May 07, 2026",23.24,23.01,23.44,22.9,429247,+0.13%
"May 06, 2026",23.21,22.75,24.21,22.16,2669249,+5.45%
"May 05, 2026",22.01,22.35,22.95,21.86,331654,-2.52%
"May 04, 2026",22.58,21.92,23.4,21.92,535936,+3.06%
"Apr 30, 2026",21.91,22.87,22.87,21.11,830116,-6.17%
"Apr 29, 2026",23.35,24.49,24.99,23.25,281298,-3.91%
"Apr 28, 2026",24.3,24.02,24.51,23.75,73852,-1.30%
"Apr 27, 2026",24.62,24.25,24.97,24,267570,+0.33%
"Apr 24, 2026",24.54,24.15,24.65,23.25,606516,+1.53%
"Apr 23, 2026",24.17,24.6,24.83,23.71,755766,-1.91%
"Apr 22, 2026",24.64,24.55,25.3,24.1,505588,+0.78%
"Apr 21, 2026",24.45,25.44,26,23.55,1222759,-3.05%
"Apr 20, 2026",25.22,25.52,26.5,25,1368826,-3.41%
"Apr 17, 2026",26.11,25.51,26.49,25.01,1597312,+3.28%
"Apr 16, 2026",25.28,24.33,26,24.33,1181087,+3.90%
"Apr 15, 2026",24.33,24,24.68,23.55,1636171,+3.05%
"Apr 14, 2026",23.61,22.9,23.8,22.9,1645451,+3.73%
"Apr 13, 2026",22.76,23.01,23.3,22.25,2276279,-3.48%
"Apr 10, 2026",23.58,21.8,23.58,21.45,3233681,+9.98%
"Apr 09, 2026",21.44,19.97,21.44,19.97,2234521,+8.72%
"Apr 08, 2026",19.72,19.72,19.72,19.72,965305,+9.98%
"Apr 07, 2026",17.93,18.02,18.02,17.93,650614,-1.16%
"Apr 06, 2026",18.14,18.58,18.58,18.14,830506,-0.87%
"Apr 03, 2026",18.3,18.5,18.5,18.3,93862,-0.92%
"Apr 02, 2026",18.47,18.49,18.49,18.47,89771,-1.39%
"Apr 01, 2026",18.73,17.75,18.73,17.75,587974,+7.21%
"Mar 31, 2026",17.47,18.3,18.3,17.47,591020,-3.59%
"Mar 30, 2026",18.12,19.44,19.44,18.12,569270,-3.82%
"Mar 27, 2026",18.84,19.48,19.48,18.84,2206485,-1.00%
"Mar 26, 2026",19.03,20.19,20.19,19.03,1133923,-5.79%
"Mar 25, 2026",20.2,19.07,20.2,19.07,3142619,+5.93%
"Mar 24, 2026",19.07,19.01,19.07,19.01,354493,+1.44%
"Mar 19, 2026",18.8,18.87,18.87,18.8,201810,-0.37%
"Mar 18, 2026",18.87,18.97,18.97,18.87,3285797,-0.53%
"Mar 17, 2026",18.97,18.86,18.97,18.86,117451,+0.58%
"Mar 16, 2026",18.86,18.87,18.87,18.86,79344,-0.11%
