date,close,open,high,low,volume,change_pct
"Jun 24, 2026",34.79,34.5,34.79,34.5,7638911,+0.96%
"Jun 23, 2026",34.46,35,35,34.46,15876110,+0.23%
"Jun 22, 2026",34.38,31.99,34.38,31.99,30194155,+10.02%
"Jun 19, 2026",31.25,31.7,31.7,31.25,3183648,-0.45%
"Jun 18, 2026",31.39,31.75,31.75,31.39,1412795,-0.92%
"Jun 17, 2026",31.68,32.5,32.5,31.68,1675573,-2.19%
"Jun 16, 2026",32.39,30.5,32.39,30.5,4887501,+6.65%
"Jun 15, 2026",30.37,31,31,30.37,1255736,+1.33%
"Jun 12, 2026",29.97,29.21,29.97,29.21,1077412,+3.03%
"Jun 11, 2026",29.09,29.4,29.4,29.09,1140160,-1.79%
"Jun 10, 2026",29.62,29.49,29.62,29.49,521890,-0.60%
"Jun 09, 2026",29.8,29.6,29.8,29.6,798963,+2.34%
"Jun 08, 2026",29.12,29.95,29.95,29.12,631937,-3.26%
"Jun 05, 2026",30.1,29.9,30.1,29.9,2119373,+0.87%
"Jun 04, 2026",29.84,29.5,29.84,29.5,712960,+1.19%
"Jun 03, 2026",29.49,29.6,29.6,29.49,657232,-0.07%
"Jun 02, 2026",29.51,29,29.51,29,2567575,+2.22%
"Jun 01, 2026",28.87,29,29,28.87,1274695,-0.07%
"May 29, 2026",28.89,27.93,28.89,27.93,1067948,+3.44%
"May 25, 2026",27.93,27.81,27.93,27.81,950358,+2.57%
"May 22, 2026",27.23,27.85,27.85,27.23,347754,-0.77%
"May 21, 2026",27.44,27.86,27.86,27.44,1024369,+1.97%
"May 20, 2026",26.91,26.4,26.91,26.4,754197,+2.05%
"May 19, 2026",26.37,26.98,26.98,26.37,1361471,-0.04%
"May 18, 2026",26.38,27.89,27.89,26.38,1479549,-5.28%
"May 15, 2026",27.85,28.11,28.11,27.85,1155001,-0.75%
"May 14, 2026",28.06,28.4,28.4,28.06,491433,-0.81%
"May 13, 2026",28.29,28.93,28.93,28.29,497416,-1.33%
"May 12, 2026",28.67,28.8,28.8,28.67,367556,-0.49%
"May 11, 2026",28.81,28.5,28.81,28.5,1567768,-0.96%
"May 08, 2026",29.09,29.26,29.26,29.09,2143688,-2.22%
"May 07, 2026",29.75,29.5,29.75,29.5,1957523,+1.16%
"May 06, 2026",29.41,28.56,29.41,28.56,1141091,+4.92%
"May 05, 2026",28.03,28.48,28.48,28.03,562369,-0.74%
"May 04, 2026",28.24,28.26,28.26,28.24,713952,+0.00%
"Apr 30, 2026",28.24,29.34,29.34,28.24,2100696,-4.63%
"Apr 29, 2026",29.61,30.49,30.49,29.61,626249,-1.27%
"Apr 28, 2026",29.99,29.75,29.99,29.75,1045549,-1.80%
"Apr 27, 2026",30.54,30.49,30.54,30.49,585420,+0.23%
"Apr 24, 2026",30.47,30,30.47,30,1105905,+1.33%
"Apr 23, 2026",30.07,30.5,30.5,30.07,2036148,-2.05%
"Apr 22, 2026",30.7,30.4,30.7,30.4,5068855,+0.43%
"Apr 21, 2026",30.57,31.4,31.4,30.57,1099393,-1.00%
"Apr 20, 2026",30.88,30.74,30.88,30.74,2078121,-2.40%
"Apr 17, 2026",31.64,31.5,31.64,31.5,3265722,+1.35%
"Apr 16, 2026",31.22,29.76,31.22,29.76,2067504,+5.05%
"Apr 15, 2026",29.72,29.8,29.8,29.72,1719605,+2.62%
"Apr 14, 2026",28.96,28.41,28.96,28.41,1600289,+4.55%
"Apr 13, 2026",27.7,28.5,28.5,27.7,2888506,-7.79%
"Apr 10, 2026",30.04,29.49,30.04,29.49,1726040,+3.44%
"Apr 09, 2026",29.04,30.5,30.5,29.04,2370101,-3.23%
"Apr 08, 2026",30.01,30.01,30.01,30.01,2113827,+10.01%
"Apr 07, 2026",27.28,26.54,27.28,26.54,1108320,+1.37%
"Apr 06, 2026",26.91,26.5,26.91,26.5,945840,+2.48%
"Apr 03, 2026",26.26,26.5,26.5,26.26,1393908,-2.96%
