date,close,open,high,low,volume,change_pct
"Jun 24, 2026",23.54,23.75,23.81,23.2,2032065,-0.51%
"Jun 23, 2026",23.66,24.44,24.48,23.3,4596030,-1.46%
"Jun 22, 2026",24.01,22.6,24.45,21.8,12992869,+5.82%
"Jun 19, 2026",22.69,23.01,24.12,22.5,8323215,-1.18%
"Jun 18, 2026",22.96,23.15,23.49,22.6,3035906,-0.82%
"Jun 17, 2026",23.15,23.21,23.8,23.06,5039393,+0.13%
"Jun 16, 2026",23.12,21.05,23.13,20.57,8500654,+9.94%
"Jun 15, 2026",21.03,21.48,21.48,20.91,1564980,+1.11%
"Jun 12, 2026",20.8,20.86,21.2,20.7,1128971,+0.63%
"Jun 11, 2026",20.67,20.45,20.85,20.25,1385783,+1.08%
"Jun 10, 2026",20.45,20.96,20.96,20.3,891208,-1.21%
"Jun 09, 2026",20.7,20.5,20.98,20.37,1644639,+2.32%
"Jun 08, 2026",20.23,20,20.44,19.8,1077151,-0.59%
"Jun 05, 2026",20.35,20.01,20.82,20.01,2905739,+2.78%
"Jun 04, 2026",19.8,18.8,19.95,18.8,1946104,+4.38%
"Jun 03, 2026",18.97,19.1,19.29,18.61,761536,-0.89%
"Jun 02, 2026",19.14,18.53,19.4,18.53,1526098,+3.29%
"Jun 01, 2026",18.53,18.99,18.99,18.3,657104,-1.75%
"May 29, 2026",18.86,17.62,19.11,17.62,2258377,+6.25%
"May 25, 2026",17.75,17.75,17.89,17.52,510966,+3.02%
"May 22, 2026",17.23,17.55,17.69,17.15,592904,-0.86%
"May 21, 2026",17.38,17.58,17.58,17.15,400577,+1.16%
"May 20, 2026",17.18,17.47,17.47,17.01,673673,-0.12%
"May 19, 2026",17.2,17.48,17.69,17.01,867251,+0.58%
"May 18, 2026",17.1,18,18,17.01,578751,-3.93%
"May 15, 2026",17.8,18.23,18.23,17.49,308345,-0.67%
"May 14, 2026",17.92,18.14,18.3,17.52,587815,-0.50%
"May 13, 2026",18.01,18.84,18.84,17.94,722066,-2.91%
"May 12, 2026",18.55,18.57,19,18.5,352080,-1.07%
"May 11, 2026",18.75,18.51,19.48,18.51,426439,-1.11%
"May 08, 2026",18.96,18.9,19.51,18.55,584702,-0.21%
"May 07, 2026",19,19,19.6,18.86,1435005,+1.28%
"May 06, 2026",18.76,18.31,18.87,18.25,781052,+5.04%
"May 05, 2026",17.86,17.9,18.38,17.66,243784,-1.16%
"May 04, 2026",18.07,18.49,18.85,17.9,311248,-0.17%
"Apr 30, 2026",18.1,18.49,18.49,17,1986610,-2.22%
"Apr 29, 2026",18.51,19.95,19.95,18.3,1441184,-3.24%
"Apr 28, 2026",19.13,18.7,19.45,18.68,1047125,+1.76%
"Apr 27, 2026",18.8,18.9,19.15,18.12,1310775,+0.75%
"Apr 24, 2026",18.66,18.55,19.2,18.01,1132085,+0.59%
"Apr 23, 2026",18.55,18.4,18.69,18.12,2074746,+0.71%
"Apr 22, 2026",18.42,18.75,18.97,17.8,1791451,-1.39%
"Apr 21, 2026",18.68,19.09,19.2,18.55,784262,-0.74%
"Apr 20, 2026",18.82,18.57,19.19,18.1,1224689,-2.44%
"Apr 17, 2026",19.29,19.14,19.65,19,1443898,+0.57%
"Apr 16, 2026",19.18,19.25,19.65,18.72,2197059,+2.57%
"Apr 15, 2026",18.7,18.5,19.39,18.3,3701691,+4.35%
"Apr 14, 2026",17.92,17.59,18.1,17.44,1497163,+4.00%
"Apr 13, 2026",17.23,17.15,17.78,17.11,913943,-4.49%
"Apr 10, 2026",18.04,17.48,18.35,17.2,1419695,+5.07%
"Apr 09, 2026",17.17,17.2,17.2,17.17,1948630,+0.18%
"Apr 08, 2026",17.14,17.14,17.14,17.14,1789599,+10.01%
"Apr 07, 2026",15.58,15.52,15.58,15.52,2097210,-1.45%
"Apr 06, 2026",15.81,15.26,15.81,15.26,1150647,+1.80%
"Apr 03, 2026",15.53,15.55,15.55,15.53,525266,-0.58%
"Apr 02, 2026",15.62,15.4,15.62,15.4,465528,-2.31%
"Apr 01, 2026",15.99,15.35,15.99,15.35,1371847,+7.46%
"Mar 31, 2026",14.88,14.99,14.99,14.88,371229,+2.69%
"Mar 30, 2026",14.49,15.85,15.85,14.49,1384410,-6.15%
"Mar 27, 2026",15.44,15.71,15.71,15.44,987928,-1.28%
"Mar 26, 2026",15.64,15.99,15.99,15.64,1076730,-2.25%
"Mar 25, 2026",16,15.69,16,15.69,1237637,+3.43%
"Mar 24, 2026",15.47,15.79,15.79,15.47,747360,+0.85%
"Mar 19, 2026",15.34,15.9,15.9,15.34,1423952,-3.88%
"Mar 18, 2026",15.96,15.59,15.96,15.59,701382,+3.50%
"Mar 17, 2026",15.42,15.48,15.48,15.42,329322,+0.98%
"Mar 16, 2026",15.27,16.01,16.01,15.27,608141,-4.20%
"Mar 13, 2026",15.94,16.43,16.43,15.94,1119106,-1.42%
"Mar 12, 2026",16.17,16.62,16.62,16.17,493565,-2.71%
"Mar 11, 2026",16.62,16.39,16.62,16.39,986602,+1.47%
"Mar 10, 2026",16.38,15.88,16.38,15.88,586487,+9.27%
"Mar 09, 2026",14.99,15.01,15.01,14.99,1028970,-9.92%
"Mar 06, 2026",16.64,17.5,17.5,16.64,996021,-4.26%
"Mar 05, 2026",17.38,16.3,17.38,16.3,1553373,+7.35%
"Mar 04, 2026",16.19,16.31,16.31,16.19,690958,-3.92%
"Mar 03, 2026",16.85,15.97,16.85,15.97,2017843,+4.40%
"Mar 02, 2026",16.14,16.5,16.5,16.14,1570116,-9.98%
"Feb 27, 2026",17.93,17.1,17.93,17.1,1903836,+4.61%
"Feb 26, 2026",17.14,16.4,17.14,16.4,2616246,+5.02%
"Feb 25, 2026",16.32,17.07,17.07,16.32,5397531,-4.73%
"Feb 24, 2026",17.13,17.5,17.5,17.13,3888041,-0.81%
"Feb 23, 2026",17.27,18.99,18.99,17.27,3743815,-9.34%
"Feb 20, 2026",19.05,20.3,20.3,19.05,2626825,-6.25%
