date,close,open,high,low,volume,change_pct
"Jun 24, 2026",38.78,38,38.95,36.82,2682566,+4.28%
"Jun 23, 2026",37.19,39.5,39.97,36,9655909,-5.42%
"Jun 22, 2026",39.32,39.5,39.9,38.75,206020,-0.15%
"Jun 19, 2026",39.38,39.89,40.14,38,676487,+0.46%
"Jun 18, 2026",39.2,38.99,40.9,38.3,783948,+1.92%
"Jun 17, 2026",38.46,39.75,39.75,38.27,507072,-2.34%
"Jun 16, 2026",39.38,38.5,40.25,38.25,1225931,+3.36%
"Jun 15, 2026",38.1,37.02,39,37.02,1263072,+5.60%
"Jun 12, 2026",36.08,34.6,36.9,34.6,851541,+2.30%
"Jun 11, 2026",35.27,35.6,35.8,35.22,58733,-0.93%
"Jun 10, 2026",35.6,35.4,35.9,35.07,182258,+1.22%
"Jun 09, 2026",35.17,34.99,35.49,34.64,168713,+0.83%
"Jun 08, 2026",34.88,34.3,35,34.29,197506,+0.14%
"Jun 05, 2026",34.83,34.41,35.2,34.41,259542,+1.25%
"Jun 04, 2026",34.4,34.59,34.85,33.8,881239,+0.12%
"Jun 03, 2026",34.36,34.4,34.98,34,195761,-1.32%
"Jun 02, 2026",34.82,34.68,35.2,33.5,202096,+0.40%
"Jun 01, 2026",34.68,36.82,36.88,34,891562,-5.81%
"May 29, 2026",36.82,36,37.37,35.6,282763,+3.28%
"May 25, 2026",35.65,36.22,36.48,35.5,95721,+1.68%
"May 22, 2026",35.06,35.46,35.46,34.62,50231,-1.13%
"May 21, 2026",35.46,34.9,35.5,34.9,30864,+3.71%
"May 20, 2026",34.19,35.39,35.4,34.12,49447,-2.31%
"May 19, 2026",35,34.89,35.69,34.89,192527,+0.81%
"May 18, 2026",34.72,36,36.49,34.5,105703,-3.48%
"May 15, 2026",35.97,36.1,36.99,35.61,22306,-1.45%
"May 14, 2026",36.5,36.98,37,36.12,56840,+0.47%
"May 13, 2026",36.33,36.45,37.1,35.5,259126,+0.22%
"May 12, 2026",36.25,36.62,37.3,36.13,105239,-2.61%
"May 11, 2026",37.22,37,37.57,36.51,117917,+0.19%
"May 08, 2026",37.15,37.55,37.79,36.66,115813,-1.09%
"May 07, 2026",37.56,37.82,37.93,37.35,216683,-0.90%
"May 06, 2026",37.9,36.85,38.1,36.53,1012996,+4.04%
"May 05, 2026",36.43,36.22,37.25,35.5,30284,-0.44%
"May 04, 2026",36.59,37.48,37.98,36.11,129790,-2.35%
"Apr 30, 2026",37.47,37,37.94,36.51,327759,-1.24%
"Apr 29, 2026",37.94,38.16,38.76,37.66,585005,-0.37%
"Apr 28, 2026",38.08,36.5,38.5,35.9,839343,+2.81%
