date,close,open,high,low,volume,change_pct
"Jun 24, 2026",19.95,19.84,20,19.66,296649,+0.91%
"Jun 23, 2026",19.77,19.75,20,19.58,4524461,+0.76%
"Jun 22, 2026",19.62,19.62,19.74,19.51,1262806,+0.00%
"Jun 19, 2026",19.62,19.76,19.76,19.56,3020754,-0.66%
"Jun 18, 2026",19.75,19.65,19.9,19.62,2064005,+0.66%
"Jun 17, 2026",19.62,19.74,19.99,19.6,5334165,-1.80%
"Jun 16, 2026",19.98,20.05,20.05,19.51,532753,+0.45%
"Jun 15, 2026",19.89,19.98,20.16,19.66,1694243,+1.17%
"Jun 12, 2026",19.66,19.5,19.91,19.49,1085915,+0.92%
"Jun 11, 2026",19.48,19.6,19.6,19.4,1084082,-0.26%
"Jun 10, 2026",19.53,19.48,19.65,19.48,682993,-0.10%
"Jun 09, 2026",19.55,19.62,19.75,19.31,599307,-0.56%
"Jun 08, 2026",19.66,19.65,19.75,19.52,1193635,+0.00%
"Jun 05, 2026",19.66,19.9,20.22,19.63,448281,-0.30%
"Jun 04, 2026",19.72,19.83,19.94,19.59,342397,+0.61%
"Jun 03, 2026",19.6,19.52,19.66,19.52,754672,-0.61%
"Jun 02, 2026",19.72,20,20,19.6,391729,-1.05%
"Jun 01, 2026",19.93,20,20.4,19.54,377561,-0.35%
"May 29, 2026",20,19.7,20.8,19.25,13971188,+3.90%
"May 25, 2026",19.25,19.45,19.45,19.16,442015,+0.21%
"May 22, 2026",19.21,19.13,19.45,19.03,139550,+0.05%
"May 21, 2026",19.2,19.49,19.51,19.06,20824967,+0.79%
"May 20, 2026",19.05,19.49,19.49,18.92,10018336,-0.31%
"May 19, 2026",19.11,19.49,19.5,18.12,152799,-0.83%
"May 18, 2026",19.27,19.93,19.93,19.2,66129,-0.46%
"May 15, 2026",19.36,19.6,19.6,19.33,90941,-0.36%
"May 14, 2026",19.43,19.99,19.99,19.31,127817,-0.05%
"May 13, 2026",19.44,19.35,19.59,19.05,266821,+0.88%
"May 12, 2026",19.27,19.51,19.6,19,13135743,-1.68%
"May 11, 2026",19.6,19.75,19.75,19.46,292416,-0.10%
"May 08, 2026",19.62,19.79,19.79,19.55,160863,+0.10%
"May 07, 2026",19.6,19.82,19.97,18.03,283095,-1.11%
"May 06, 2026",19.82,20,20,19.73,297801,-0.30%
"May 05, 2026",19.88,20,20.2,19.8,281954,-1.58%
"May 04, 2026",20.2,19.62,20.35,19.5,202104,+2.96%
"Apr 30, 2026",19.62,19.65,19.8,18,98359,-0.10%
"Apr 29, 2026",19.64,19.8,19.8,19.51,74594,+0.05%
"Apr 28, 2026",19.63,19.6,19.85,19.46,65093,+0.67%
"Apr 27, 2026",19.5,19.64,19.64,19.45,245206,+0.31%
"Apr 24, 2026",19.44,19.7,19.7,19.24,147349,-0.31%
"Apr 23, 2026",19.5,19.49,19.57,19.4,153357,+0.21%
"Apr 22, 2026",19.46,19.5,19.6,19.41,175305,-0.21%
"Apr 21, 2026",19.5,19.6,19.6,19.4,162239,+0.00%
"Apr 20, 2026",19.5,19.59,19.6,19.4,143717,-0.36%
"Apr 17, 2026",19.57,19.52,19.73,19.45,836151,-0.10%
"Apr 16, 2026",19.59,19.52,19.62,19.37,7156860,+0.00%
"Apr 15, 2026",19.59,19.69,19.75,19.32,316740,-0.05%
"Apr 14, 2026",19.6,19.5,19.71,19.4,193492,+1.19%
"Apr 13, 2026",19.37,19.31,19.64,19.31,55305,-1.37%
