date,close,open,high,low,volume,change_pct
2026-07-01,20.56,21.02,21.4,20.48,23061700,-1.01%
2026-06-30,20.77,19.25,20.96,19.25,22590090,+9.03%
2026-06-29,19.05,20.1,20.2,19,15811360,-6.30%
2026-06-24,20.33,20.81,20.9,20.29,6740353,-1.98%
2026-06-23,20.74,21.2,21.4,20.56,6435414,-1.33%
2026-06-22,21.02,21.51,21.51,20.9,5433895,-0.85%
2026-06-19,21.2,21.8,21.81,21.14,12575330,-2.35%
2026-06-18,21.71,21.95,22,21.6,7543332,-0.55%
2026-06-17,21.83,22.1,22.28,21.8,11508710,-0.95%
2026-06-16,22.04,21.99,22.48,21.95,21962390,+0.23%
2026-06-15,21.99,21.98,22.17,21.66,11361150,+2.23%
2026-06-12,21.51,21.99,22.15,21.35,8008970,-0.32%
2026-06-11,21.58,21.67,21.8,21.4,5926789,-1.01%
2026-06-10,21.8,22.01,22.37,21.7,12512110,-1.76%
2026-06-09,22.19,22.37,22.66,22.11,8234848,+0.18%
2026-06-08,22.15,22.58,22.71,22.1,10010873,-2.81%
2026-06-05,22.79,22.97,23.65,22.71,23842880,-0.04%
2026-06-04,22.8,22.29,23.33,22.05,29686500,+4.06%
2026-06-03,21.91,22,22.6,21.84,12025770,-1.66%
2026-06-02,22.28,22.75,22.92,22.08,9935339,-1.37%
2026-06-01,22.59,22.78,23.24,22.41,17746220,-0.79%
2026-05-29,22.77,23.04,23.2,22.51,10546670,-1.26%
2026-05-25,23.06,23.75,23.8,22.97,14001580,-0.39%
2026-05-22,23.15,23.9,23.9,22.94,22134010,-3.42%
2026-05-21,23.97,23.44,24.39,23.28,57001570,+4.22%
2026-05-20,23,22.7,23.19,22.48,15284910,+1.72%
2026-05-19,22.61,22.9,23.14,22.45,13141100,+1.30%
2026-05-18,22.32,23.25,23.79,22.1,24162330,-4.90%
2026-05-15,23.47,22.29,23.88,22.1,86253710,+6.25%
2026-05-14,22.09,22.84,22.84,22,12620480,-0.54%
2026-05-13,22.21,22.26,22.85,21.25,34794550,-0.49%
2026-05-12,22.32,25,25.15,22.26,113570900,-9.75%
2026-05-11,24.73,24.33,25.34,24.28,35395970,+0.69%
2026-05-08,24.56,23.15,25.39,22.88,100747400,+5.63%
2026-05-07,23.25,22.88,23.6,22.4,44741870,+2.47%
2026-05-06,22.69,22.16,23.71,22.07,103469700,+5.29%
2026-05-05,21.55,21.2,21.84,21,22184330,+1.03%
2026-05-04,21.33,21.8,22.7,20.95,51509050,+0.76%
2026-04-30,21.17,20.6,21.68,20.11,40925370,+1.73%
2026-04-29,20.81,20.5,21.78,20.5,65847020,+2.61%
2026-04-28,20.28,19.9,20.94,19.85,20681210,+0.50%
2026-04-27,20.18,20.46,21.13,20.07,25154260,-1.22%
2026-04-24,20.43,20.56,21.2,20.1,38441630,-0.39%
2026-04-23,20.51,19.49,20.93,19.4,77776960,+5.78%
2026-04-22,19.39,18.65,19.65,18.21,36280500,+4.14%
2026-04-21,18.62,18.8,19.2,18.55,17165460,+0.38%
2026-04-20,18.55,19,19.21,17.75,30277810,-4.53%
2026-04-17,19.43,19.49,20.15,19.16,37291910,+2.26%
2026-04-16,19,17.4,19,17.27,46288360,+10.02%
2026-04-15,17.27,17.57,17.9,17.11,15179060,+1.29%
2026-04-14,17.05,17.05,17.34,16.79,7081670,+2.65%
2026-04-13,16.61,17.01,17.19,16.56,7359858,-6.42%
2026-04-10,17.75,17.4,17.99,17.4,9787425,+2.01%
2026-04-09,17.4,17.95,18,17.26,11712690,-3.65%
2026-04-08,18.06,18.08,18.08,17.6,18942340,+9.85%
2026-04-07,16.44,16.01,16.59,16.01,5248513,+0.92%
2026-04-06,16.29,16.15,16.58,16.1,6234075,+0.87%
2026-04-03,16.15,15.71,16.74,15.61,12019260,+0.06%
2026-04-02,16.14,16,16.34,15.6,5341979,-3.35%
2026-04-01,16.7,15.99,17.11,15.9,23953990,+6.57%
2026-03-31,15.67,15.35,16.68,15.35,8861667,+2.69%
2026-03-30,15.26,16.37,16.37,14.9,5884958,-6.78%
2026-03-27,16.37,16.68,17.08,16.2,7731717,-1.86%
2026-03-26,16.68,17.5,17.5,16.6,4912528,-5.55%
2026-03-25,17.66,17.54,17.99,17.3,10246210,+2.02%
2026-03-24,17.31,18.2,18.4,17.2,8993260,-1.09%
2026-03-19,17.5,17.8,17.91,17.26,5780501,-2.78%
2026-03-18,18,17.33,18.2,17.33,13452410,+4.11%
2026-03-17,17.29,17.2,17.7,16.85,5966684,-0.29%
2026-03-16,17.34,17.99,18.45,17.2,10671110,-3.61%
2026-03-13,17.99,17.59,18.56,17.5,25429776,+3.04%
2026-03-12,17.46,15.8,17.7,15.7,38337773,+7.71%
2026-03-11,16.21,15.57,17,15.41,23177510,+3.45%
