date,close,open,high,low,volume,change_pct
"Jun 24, 2026",240.45,241.97,244.5,238.49,635606,-0.36%
"Jun 23, 2026",241.33,248,251,240.01,559370,-2.62%
"Jun 22, 2026",247.83,249,252.5,247,289295,+0.01%
"Jun 19, 2026",247.8,262,262,245,822938,-4.56%
"Jun 18, 2026",259.64,261,264.82,259,595835,-0.56%
"Jun 17, 2026",261.1,265.33,266.33,260,614260,-1.46%
"Jun 16, 2026",264.98,265,269,261,1367338,+0.92%
"Jun 15, 2026",262.57,270,270,260,928514,-2.85%
"Jun 12, 2026",270.27,278.01,280,268.75,1181463,-2.56%
"Jun 11, 2026",277.36,279.99,282.25,274.2,2770758,-0.20%
"Jun 10, 2026",277.91,268,281.7,265.15,3900499,+3.66%
"Jun 09, 2026",268.1,266,274,264.5,1300981,+2.42%
"Jun 08, 2026",261.77,266,267.86,261,577937,-2.73%
"Jun 05, 2026",269.12,277.9,278.9,267.5,1201405,-2.50%
"Jun 04, 2026",276.02,280,286,275.01,5049125,-1.12%
"Jun 03, 2026",279.16,255,284,250.01,6289189,+8.08%
"Jun 02, 2026",258.29,268.5,276.99,255,3831993,-2.61%
"Jun 01, 2026",265.2,255,265.21,251.25,3975819,+10.00%
"May 29, 2026",241.1,226,248.41,225.85,1728198,+6.76%
"May 25, 2026",225.83,224,227.8,223,345451,+1.41%
"May 22, 2026",222.69,227.95,227.95,221.9,475078,-1.12%
"May 21, 2026",225.22,228,229.01,224,611217,-1.06%
"May 20, 2026",227.63,234,239.5,225.65,1605050,-0.38%
"May 19, 2026",228.5,208.06,228.5,208.06,1064466,+10.00%
"May 18, 2026",207.73,219,219,206.05,223101,-5.83%
"May 15, 2026",220.59,220.02,224,219,250396,-1.00%
"May 14, 2026",222.82,226.5,228,222.25,272506,-0.60%
"May 13, 2026",224.16,224.95,227,220.1,538379,+1.73%
"May 12, 2026",220.34,232,233.98,217.22,636830,-4.36%
"May 11, 2026",230.39,232,238.99,229,852044,-1.55%
"May 08, 2026",234.02,224,239.9,220,2580241,+3.71%
"May 07, 2026",225.64,230.05,236,224.99,2268282,-0.56%
"May 06, 2026",226.9,210,226.9,210,1698699,+10.00%
"May 05, 2026",206.27,204.95,209.4,200,561714,-1.55%
"May 04, 2026",209.52,230.1,235.99,205.97,1731767,-8.45%
"Apr 30, 2026",228.85,219,239.8,213.05,4778218,+4.09%
"Apr 29, 2026",219.85,213,219.85,209,1668636,+10.00%
"Apr 28, 2026",199.86,179.97,199.86,178.5,453825,+10.00%
"Apr 27, 2026",181.69,182.68,185.95,181,83310,-0.54%
"Apr 24, 2026",182.68,180.81,185.15,176.05,109084,+1.03%
"Apr 23, 2026",180.81,181,182.5,180,142319,-1.32%
"Apr 22, 2026",183.23,186,187.99,182.5,183136,-2.50%
"Apr 21, 2026",187.92,191.9,192,187,241983,-0.07%
"Apr 20, 2026",188.05,186.49,193.98,182,784973,+0.65%
"Apr 17, 2026",186.83,188,188.99,185.01,520170,-0.07%
"Apr 16, 2026",186.96,188,190,185.51,216115,+0.48%
"Apr 15, 2026",186.07,190.25,195,184,811740,+0.11%
"Apr 14, 2026",185.86,173,185.86,173,505988,+10.00%
"Apr 13, 2026",168.96,174.98,174.98,168.12,134653,-5.61%
"Apr 10, 2026",179,172,179.8,172,318384,+4.06%
"Apr 09, 2026",172.01,170.12,172.01,170.12,238605,-1.19%
"Apr 08, 2026",174.09,168,174.09,168,411524,+9.39%
"Apr 07, 2026",159.15,157.5,159.15,157.5,40991,+0.33%
"Apr 06, 2026",158.63,157.98,158.63,157.98,167200,-0.09%
"Apr 03, 2026",158.77,162,162,158.77,276947,-5.67%
"Apr 02, 2026",168.32,151.41,168.32,151.41,307236,+6.22%
"Apr 01, 2026",158.47,155,158.47,155,106021,+4.56%
"Mar 31, 2026",151.56,150,151.56,150,57646,+1.34%
"Mar 30, 2026",149.56,155.9,155.9,149.56,194140,-4.12%
"Mar 27, 2026",155.99,164.9,164.9,155.99,184631,-4.99%
"Mar 26, 2026",164.19,167,167,164.19,89118,-2.23%
"Mar 25, 2026",167.93,164.01,167.93,164.01,165859,+2.77%
"Mar 24, 2026",163.41,168.45,168.45,163.41,124954,-1.11%
"Mar 19, 2026",165.24,162.01,165.24,162.01,79176,+0.65%
"Mar 18, 2026",164.18,163,164.18,163,78919,+0.63%
"Mar 17, 2026",163.15,164.01,164.01,163.15,64914,-0.52%
"Mar 16, 2026",164.01,166,166,164.01,48420,-1.22%
"Mar 13, 2026",166.04,164.74,166.04,164.74,57239,+0.67%
"Mar 12, 2026",164.94,166.1,166.1,164.94,68957,-1.01%
"Mar 11, 2026",166.62,164.99,166.62,164.99,84753,+0.99%
