date,close,open,high,low,volume,change_pct
"Jun 24, 2026",6.66,6.55,6.85,6.5,551152,+1.99%
"Jun 23, 2026",6.53,6.77,6.85,6.5,793108,-1.80%
"Jun 22, 2026",6.65,6.77,6.79,6.6,102843,+0.45%
"Jun 19, 2026",6.62,6.8,6.89,6.51,489692,-1.93%
"Jun 18, 2026",6.75,6.65,6.99,6.65,691464,-0.15%
"Jun 17, 2026",6.76,6.9,6.9,6.7,398287,+0.15%
"Jun 16, 2026",6.75,6.98,6.98,6.67,578696,-0.88%
"Jun 15, 2026",6.81,6.9,7.1,6.7,344668,-0.87%
"Jun 12, 2026",6.87,7,7.11,6.83,630598,-0.72%
"Jun 11, 2026",6.92,7.18,7.18,6.85,505833,-0.43%
"Jun 10, 2026",6.95,7.17,7.25,6.93,1164623,-3.07%
"Jun 09, 2026",7.17,7.07,7.22,6.96,895927,+1.99%
"Jun 08, 2026",7.03,7.15,7.33,6.85,638323,-0.42%
"Jun 05, 2026",7.06,6.95,7.4,6.85,1884913,+3.37%
"Jun 04, 2026",6.83,6.6,6.99,6.6,586415,+1.49%
"Jun 03, 2026",6.73,6.94,6.96,6.65,568743,-1.32%
"Jun 02, 2026",6.82,7.1,7.1,6.31,859815,-2.43%
"Jun 01, 2026",6.99,7.12,7.28,6.97,1236202,-1.83%
"May 29, 2026",7.12,7.1,7.48,6.6,1912606,-0.56%
"May 25, 2026",7.16,7.25,7.61,7.07,1496130,+1.56%
"May 22, 2026",7.05,6.89,7.6,6.7,4134003,+1.15%
"May 21, 2026",6.97,7.3,7.59,6.85,3306039,-3.99%
"May 20, 2026",7.26,7.61,8.25,7.17,18881215,-11.14%
"May 19, 2026",8.17,8.17,8.79,8.17,9330629,-10.91%
"May 18, 2026",9.17,10.19,10.19,9.17,1860267,-10.01%
"May 15, 2026",10.19,10.19,10.19,9.5,2458132,+10.88%
"May 14, 2026",9.19,7.19,9.19,7.19,9125178,+12.21%
"May 13, 2026",8.19,8.19,8.19,8.19,2095495,-10.88%
"May 12, 2026",9.19,9.19,9.19,9.19,2327533,+12.21%
"May 11, 2026",8.19,8.19,8.19,8.19,1157914,+13.91%
"May 08, 2026",7.19,7.19,7.19,7.19,5424148,+16.16%
"May 07, 2026",6.19,5.7,6.19,5.7,2947807,+19.27%
"May 06, 2026",5.19,4.34,5.19,4.21,7801546,+23.87%
"May 05, 2026",4.19,4.2,4.25,4.12,198822,+0.00%
"May 04, 2026",4.19,4.13,4.39,4.13,517871,+2.44%
"Apr 30, 2026",4.09,4.39,4.39,4.05,772878,-7.26%
"Apr 29, 2026",4.41,4.78,4.8,4.39,1014392,-5.36%
"Apr 28, 2026",4.66,4.64,4.9,4.5,906787,-0.64%
"Apr 27, 2026",4.69,4.42,5.09,4.41,2274894,+5.16%
"Apr 24, 2026",4.46,4.78,4.78,4.41,762885,-5.71%
"Apr 23, 2026",4.73,4.55,4.95,4.5,4953511,+5.11%
"Apr 22, 2026",4.5,4.4,4.74,4.1,582660,+3.21%
"Apr 21, 2026",4.36,4.39,4.74,4.25,1370131,+2.83%
"Apr 20, 2026",4.24,4.3,4.5,4.07,777168,+1.68%
"Apr 17, 2026",4.17,4.02,4.5,4.02,2064113,-8.35%
"Apr 16, 2026",4.55,4.69,4.99,4.49,7063814,+1.34%
"Apr 15, 2026",4.49,3.41,4.49,3.41,3031694,+28.65%
"Apr 14, 2026",3.49,3.33,3.58,3.33,151822,+3.87%
"Apr 13, 2026",3.36,3.5,3.5,3.2,66146,-4.55%
"Apr 10, 2026",3.52,3.32,3.74,3.26,210663,+2.62%
"Apr 09, 2026",3.43,3.48,3.48,3.43,122950,-3.11%
"Apr 08, 2026",3.54,3.54,3.54,3.54,739608,+9.94%
"Apr 07, 2026",3.22,3.15,3.22,3.15,61744,-1.23%
"Apr 06, 2026",3.26,3.05,3.26,3.05,19295,+0.31%
"Apr 03, 2026",3.25,3.15,3.25,3.15,9664,+0.93%
"Apr 02, 2026",3.22,3.22,3.22,3.22,40423,-2.42%
"Apr 01, 2026",3.3,3.45,3.45,3.3,28402,+2.80%
"Mar 31, 2026",3.21,3.1,3.21,3.1,7313,+0.31%
"Mar 30, 2026",3.2,3.37,3.37,3.2,99294,-8.31%
"Mar 27, 2026",3.49,3.3,3.49,3.3,10580,+4.18%
"Mar 26, 2026",3.35,3.32,3.35,3.32,52968,-2.90%
"Mar 25, 2026",3.45,3.35,3.45,3.35,159106,+2.99%
"Mar 24, 2026",3.35,3.43,3.43,3.35,64206,+2.76%
"Mar 19, 2026",3.26,3.16,3.26,3.16,19023,+1.56%
"Mar 18, 2026",3.21,3.15,3.21,3.15,24081,-0.93%
"Mar 17, 2026",3.24,3.34,3.34,3.24,17065,-0.61%
"Mar 16, 2026",3.26,3.44,3.44,3.26,27129,-3.26%
"Mar 13, 2026",3.37,2.95,3.37,2.95,109387,+7.32%
"Mar 12, 2026",3.14,3.1,3.14,3.1,28743,+1.29%
"Mar 11, 2026",3.1,3.28,3.28,3.1,58584,-2.52%
"Mar 10, 2026",3.18,2.82,3.18,2.82,33625,+11.19%
"Mar 09, 2026",2.86,3.1,3.1,2.86,163819,-11.18%
