date,close,open,high,low,volume,change_pct
"Jun 24, 2026",231.41,232.63,233,230.49,3198012,-0.17%
"Jun 23, 2026",231.81,232.97,234.24,231.1,3438583,-0.07%
"Jun 22, 2026",231.98,234.49,234.9,228.8,4049122,+0.29%
"Jun 19, 2026",231.3,234.49,238.75,230.4,13325239,-0.92%
"Jun 18, 2026",233.45,226.95,234.3,226.95,9542272,+3.14%
"Jun 17, 2026",226.35,231.1,232.85,225.11,10435153,-1.63%
"Jun 16, 2026",230.11,229,235,227,7678902,+0.59%
"Jun 15, 2026",228.76,228,230.89,225,10737010,+4.18%
"Jun 12, 2026",219.59,214.95,222,214.48,5743151,+3.35%
"Jun 11, 2026",212.48,212,215.9,212,1491851,-0.46%
"Jun 10, 2026",213.46,214,214.7,213,1060969,-0.69%
"Jun 09, 2026",214.95,213.3,215.4,213.3,1176116,+1.46%
"Jun 08, 2026",211.85,211.51,213,210.6,1420530,-1.06%
"Jun 05, 2026",214.12,215.97,217.5,213.5,2263682,-0.59%
"Jun 04, 2026",215.4,214.3,216,214.25,1185541,+0.48%
"Jun 03, 2026",214.38,215,217.4,213.45,1537009,-0.73%
"Jun 02, 2026",215.95,215,217.1,215,1255341,+0.47%
"Jun 01, 2026",214.95,220.9,220.9,214.5,3331075,-2.85%
"May 29, 2026",221.26,218,222,217.5,3968035,+0.80%
"May 25, 2026",219.5,218.85,221,215.91,3362653,+1.89%
"May 22, 2026",215.42,217,218.49,214.74,2866128,-0.26%
"May 21, 2026",215.99,211.12,216.98,211.12,5649761,+3.01%
"May 20, 2026",209.68,207.01,210,206.63,3104740,+1.48%
"May 19, 2026",206.62,205.9,207.47,205.01,2717629,+1.14%
"May 18, 2026",204.29,209,209,203.86,2500108,-2.64%
"May 15, 2026",209.82,210.74,211.3,208.89,2814950,-0.44%
"May 14, 2026",210.75,212.4,213.55,210.1,1992449,-0.32%
"May 13, 2026",211.43,213.2,215.95,210.8,1661164,-1.11%
"May 12, 2026",213.81,215,216.47,213,1320599,-0.78%
"May 11, 2026",215.49,216.01,216.39,214,861027,-0.48%
"May 08, 2026",216.53,216,218.24,215,2336464,-0.50%
"May 07, 2026",217.62,221.49,221.75,215.6,5452878,-1.34%
"May 06, 2026",220.57,216.92,221.99,216,6402549,+2.86%
"May 05, 2026",214.43,216.75,216.89,212.51,3237624,-3.75%
"May 04, 2026",222.79,222.51,226,221.8,3573076,+1.04%
"Apr 30, 2026",220.49,220.5,221.85,216.3,4421406,-1.09%
"Apr 29, 2026",222.92,225,226,222.22,2104863,-0.70%
"Apr 28, 2026",224.5,224,226,223.75,3475920,-0.44%
"Apr 27, 2026",225.49,227,227.47,225,2463577,-0.87%
"Apr 24, 2026",227.47,226,228.25,223.3,3819748,+0.46%
"Apr 23, 2026",226.43,227.88,229.5,224.21,3327782,-0.69%
"Apr 22, 2026",228,224,230.8,220.25,10044486,+1.62%
"Apr 21, 2026",224.37,226,227.4,223,3302340,-0.28%
"Apr 20, 2026",224.99,227.1,229.97,219.51,7241128,-2.39%
"Apr 17, 2026",230.49,227.89,232.5,226,7131310,+1.92%
"Apr 16, 2026",226.15,223,228.74,223,8861351,+2.20%
"Apr 15, 2026",221.29,217.99,224.75,216.11,11148884,+3.92%
"Apr 14, 2026",212.94,209.5,214.3,209.5,4673994,+3.12%
"Apr 13, 2026",206.5,208,210.98,205.26,4407238,-3.57%
"Apr 10, 2026",214.15,214.89,216.9,213.5,4891533,+0.23%
"Apr 09, 2026",213.66,217,217,213.66,6991700,-2.25%
"Apr 08, 2026",218.57,218.57,218.57,218.57,11591956,+10.00%
"Apr 07, 2026",198.7,198.5,198.7,198.5,3921445,+0.14%
"Apr 06, 2026",198.42,196.5,198.42,196.5,4338807,+1.64%
"Apr 03, 2026",195.21,192.51,195.21,192.51,2261899,-0.25%
"Apr 02, 2026",195.69,197,197,195.69,3118514,-2.92%
