date,close,open,high,low,volume,change_pct
2026-06-30,11.17,10.95,11.28,10.95,901044,+2.20%
2026-06-29,10.93,11.1,11.18,10.9,3076302,-1.26%
2026-06-24,11.07,11.2,11.2,11,3846674,-0.45%
2026-06-23,11.12,11.15,11.3,11.01,444287,-0.63%
2026-06-22,11.19,11.4,11.4,11.15,1839987,+0.09%
2026-06-19,11.18,11.5,11.55,11.1,5312512,-2.78%
2026-06-18,11.5,11.69,11.69,11.44,1157141,-0.43%
2026-06-17,11.55,11.71,11.79,11.53,1605702,-1.03%
2026-06-16,11.67,11.79,11.85,11.61,6035116,+0.09%
2026-06-15,11.66,11.4,11.77,11.11,7968352,+5.33%
2026-06-12,11.07,11.2,11.4,11.01,1557904,+0.27%
2026-06-11,11.04,11.18,11.33,11,2046013,-1.25%
2026-06-10,11.18,11.32,11.32,11.12,1256251,-0.53%
2026-06-09,11.24,11.1,11.3,11.1,1283308,+1.08%
2026-06-08,11.12,11.09,11.24,10.8,1416698,+0.09%
2026-06-05,11.11,11.15,11.45,11.05,4476409,+1.00%
2026-06-04,11,10.76,11.05,10.76,1235699,+1.10%
2026-06-03,10.88,11.1,11.1,10.8,367979,-1.09%
2026-06-02,11,11,11.1,10.92,1464754,+0.00%
2026-06-01,11,11.07,11.17,10.94,886486,-0.54%
2026-05-29,11.06,11.03,11.3,10.86,3715903,+0.82%
2026-05-25,10.97,11,11.14,10.75,4804946,+3.20%
2026-05-22,10.63,11,11,10.51,829585,-1.57%
2026-05-21,10.8,10.89,11,10.71,804558,+1.31%
2026-05-20,10.66,10.99,10.99,10.6,880326,-0.65%
2026-05-19,10.73,10.89,10.94,10.62,850178,+0.66%
2026-05-18,10.66,10.83,10.89,10.6,6061882,-1.57%
2026-05-15,10.83,10.94,11,10.71,222985,+0.19%
2026-05-14,10.81,10.95,11.1,10.78,1423229,-0.64%
2026-05-13,10.88,11,11.09,10.85,1715783,-0.64%
2026-05-12,10.95,11.38,11.4,10.9,2352702,-1.53%
2026-05-11,11.12,11.41,11.41,11.03,5507636,-0.71%
2026-05-08,11.7,11.37,11.8,11.28,8114239,+2.99%
2026-05-07,11.36,11.74,11.74,11.3,6131478,-1.05%
2026-05-06,11.48,11.11,11.69,11,13149380,+3.33%
2026-05-05,11.11,11.09,11.19,10.8,4912253,+0.54%
2026-05-04,11.05,11.1,11.35,11,4001281,+0.09%
2026-04-30,11.04,10.95,11.7,10.8,14850690,-1.87%
2026-04-29,11.25,11.25,11.9,11.13,30469960,+2.65%
2026-04-28,10.96,10.89,11.09,10.8,13586380,+0.27%
2026-04-27,10.93,10.9,11,10.85,804974,+0.09%
2026-04-24,10.92,10.93,11.1,10.75,1637475,+0.00%
2026-04-23,10.92,11,11.24,10.81,4636351,-0.73%
2026-04-22,11,11.12,11.17,10.97,1044885,-1.08%
2026-04-21,11.12,11.2,11.27,11.03,1603234,+0.82%
2026-04-20,11.03,11.28,11.46,10.61,3218650,-3.25%
2026-04-17,11.4,11.2,11.55,11.08,4470663,+2.06%
2026-04-16,11.17,11.28,11.44,11.07,4034895,+0.72%
2026-04-15,11.09,11.2,11.4,10.98,4805976,+2.31%
2026-04-14,10.84,10.94,11,10.75,1229562,+1.69%
2026-04-13,10.66,10.76,11.19,10.6,3550881,-5.83%
2026-04-10,11.32,11,11.4,10.94,9749433,+3.47%
2026-04-09,10.94,11.35,11.35,10.76,8463090,-4.20%
2026-04-08,11.42,11,11.44,10.9,14560950,+9.70%
2026-04-07,10.41,10.5,10.7,10.29,1277300,+0.29%
2026-04-06,10.38,10.7,10.71,10.2,2101909,-1.70%
2026-04-03,10.56,10.01,11,10.01,1447788,-1.03%
2026-04-02,10.67,10.75,10.88,10.6,2495645,-1.93%
2026-04-01,10.88,10.77,11,10.75,4032651,+2.45%
2026-03-31,10.62,10.59,10.9,10.4,12706150,+2.12%
2026-03-30,10.4,11,11,10.2,12988050,-5.54%
2026-03-27,11.01,11.38,11.38,10.9,398860,-0.54%
2026-03-26,11.07,11.71,11.79,11,6686809,-6.19%
2026-03-25,11.8,11.69,11.85,11.47,1650296,+2.79%
2026-03-24,11.48,12,12,11.4,3910720,-1.12%
2026-03-19,11.61,11.51,11.65,11.5,396167,-1.02%
2026-03-18,11.73,11.74,11.9,11.5,915711,+0.95%
2026-03-17,11.62,11.75,11.8,11.46,1179467,+0.87%
2026-03-16,11.52,11.9,11.9,11.46,1891599,-3.19%
2026-03-13,11.9,11.67,12,11.41,2779868,+2.15%
2026-03-12,11.65,11.5,12,11.02,4277214,+1.22%
2026-03-11,11.51,11.25,11.75,11.25,2907584,-0.69%
2026-03-10,11.59,11,11.67,11,7067284,+9.03%
