date,close,open,high,low,volume,change_pct
2026-07-01,106.18,108.2,108.5,103,3212821,-1.26%
2026-06-30,107.54,109.36,110.5,107.13,2492615,-0.77%
2026-06-29,108.37,101.4,109.54,101.4,8329966,+8.83%
2026-06-24,99.58,97.47,101.38,96.2,9687570,+7.29%
2026-06-23,92.81,94.7,94.7,92.6,1589064,-1.21%
2026-06-22,93.95,95.25,95.9,93.5,1128191,-0.32%
2026-06-19,94.25,94.75,96.59,92.5,1931157,-0.50%
2026-06-18,94.72,95,96.49,94.5,2306933,-0.37%
2026-06-17,95.07,93.3,95.5,92,3516541,+1.97%
2026-06-16,93.23,94.5,96.25,92.56,3926816,-1.27%
2026-06-15,94.43,95.5,95.96,91,7502709,+8.14%
2026-06-12,87.32,84.02,88,84.02,2092821,+3.94%
2026-06-11,84.01,84.49,84.49,83.53,787888,-0.57%
2026-06-10,84.49,82.99,84.57,82.51,853636,+2.03%
2026-06-09,82.81,81.49,83.99,81.49,2202330,+1.62%
2026-06-08,81.49,81,82,80.23,193134,-0.02%
2026-06-05,81.51,81.99,82.8,81.25,349690,-0.20%
2026-06-04,81.67,80.7,84,80.6,5507939,+0.79%
2026-06-03,81.03,80.99,81.92,80.9,80846,+0.05%
2026-06-02,80.99,80.75,81.92,79.01,142065,-0.39%
2026-06-01,81.31,82.97,82.97,81,127810,-0.82%
2026-05-29,81.98,82.27,83,81.46,276098,-1.10%
2026-05-25,82.89,82,83.5,81,463141,+3.20%
2026-05-22,80.32,80,80.99,79.5,156547,+1.06%
2026-05-21,79.48,81,81.64,78.99,543326,-0.69%
2026-05-20,80.03,79.9,80.55,78.55,37038,+1.06%
2026-05-19,79.19,80.94,80.94,78,165695,-0.38%
2026-05-18,79.49,81.04,81.48,78.51,87647,-1.91%
2026-05-15,81.04,80.98,81.9,79.7,214889,+0.56%
2026-05-14,80.59,82,83,80.01,733743,-1.55%
2026-05-13,81.86,83.85,83.85,81.52,66873,-0.74%
2026-05-12,82.47,82.83,83.95,81.66,116000,-0.71%
2026-05-11,83.06,80.1,83.5,80.1,415197,-0.69%
2026-05-08,83.64,83,84.5,82.02,118355,-0.43%
2026-05-07,84,85,85.5,82.12,588653,-1.58%
2026-05-06,85.35,81.9,86,81.8,1707758,+4.88%
2026-05-05,81.38,81.68,82.5,80.52,46468,-0.37%
2026-05-04,81.68,81.61,83.99,81.1,302447,+0.09%
2026-04-30,81.61,81.99,82.1,80.01,425123,-0.91%
2026-04-29,82.36,83.01,84.5,82.01,1165320,-1.95%
2026-04-28,84,81,84.1,81,989903,+0.06%
2026-04-27,83.95,80.02,85,80.02,645050,+4.77%
2026-04-24,80.13,80,81,79.01,193104,-0.29%
2026-04-23,80.36,81.06,81.55,79.92,178594,-0.86%
2026-04-22,81.06,83.88,83.88,80.8,246550,-1.52%
2026-04-21,82.31,82.3,83.49,81.7,978355,+0.38%
2026-04-20,82,83.44,84.48,80,523184,-2.36%
2026-04-17,83.98,86,86,83.12,878399,-0.31%
2026-04-16,84.24,84.98,85.99,83.02,172395,-0.11%
2026-04-15,84.33,82.49,85.85,82.49,1078934,+4.10%
2026-04-14,81.01,80.71,82,80.7,558438,+2.08%
2026-04-13,79.36,82,82,78.3,440859,-4.39%
2026-04-10,83,85.75,86.5,82,1193931,-2.47%
2026-04-09,85.1,80.4,86.1,79.01,1434602,+3.03%
2026-04-08,82.6,82.6,82.6,80,521854,+10.00%
2026-04-07,75.09,75.74,75.89,73.1,110100,+0.79%
