date,close,open,high,low,volume,change_pct
2026-07-01,20.49,19.95,21.79,19.1,562557,+2.50%
2026-06-30,19.99,20.73,20.73,19.95,188562,-1.72%
2026-06-29,20.34,20.66,20.9,19.9,281997,-1.55%
2026-06-24,20.66,20.7,20.99,20.05,376024,+2.28%
2026-06-23,20.2,20.85,22.2,19.81,4017341,-1.70%
2026-06-22,20.55,21.38,22,20.3,1763836,-5.04%
2026-06-19,21.64,20.58,22.09,20.5,5989714,+7.77%
2026-06-18,20.08,18.5,20.08,18.25,3093712,+10.03%
2026-06-17,18.25,17,18.79,17,2613553,+5.61%
2026-06-16,17.28,17.14,17.47,16.5,902314,+0.88%
2026-06-15,17.13,17.5,17.9,17,406185,-0.35%
2026-06-12,17.19,17.5,17.5,17,357477,+0.00%
2026-06-11,17.19,17.24,17.25,16.81,4463,-0.35%
2026-06-10,17.25,17,17.51,16.8,219063,+1.41%
2026-06-09,17.01,16.6,17.5,16.59,187715,+3.15%
2026-06-08,16.49,16.02,16.8,16,71315,-0.60%
2026-06-05,16.59,16,16.8,16,108576,+3.43%
2026-06-04,16.04,16.01,16.29,15.4,21189,+0.82%
2026-06-03,15.91,16.2,16.2,15.9,18946,-1.18%
2026-06-02,16.1,16.37,16.7,15.95,57817,-0.86%
2026-06-01,16.24,16.2,16.7,15.8,42719,-2.46%
2026-05-29,16.65,16.79,17.5,16.25,100648,+0.18%
2026-05-25,16.62,16.5,17.48,16.3,383969,+0.30%
2026-05-22,16.57,16.49,16.7,16.05,41520,+0.24%
2026-05-21,16.53,16.25,16.86,14.8,488982,+5.69%
2026-05-20,15.64,16.53,16.79,15.12,272944,-4.75%
2026-05-19,16.42,15.6,17.15,14.5,10564480,+5.26%
2026-05-18,15.6,15.39,15.95,15.25,6553,-2.01%
2026-05-15,15.92,16.03,16.6,15.53,9729,-0.50%
2026-05-14,16,16.15,16.9,15,840327,-0.44%
2026-05-13,16.07,16.26,16.9,16,137680,-3.19%
2026-05-12,16.6,17.7,17.7,16.52,550743,-2.58%
2026-05-11,17.04,17.03,17.7,16.9,140095,-2.85%
2026-05-08,17.54,17.98,17.98,17,85850,+0.29%
2026-05-07,17.49,17.98,18,17.01,94546,-0.11%
2026-05-06,17.51,16.27,17.65,16.27,147171,+5.55%
2026-05-05,16.59,16.6,16.89,16.2,79596,+0.61%
2026-05-04,16.49,16.8,16.93,16.25,71523,+1.54%
2026-04-30,16.24,16.49,16.99,16,45711,-2.93%
2026-04-29,16.73,17.31,17.32,16.51,26061,-5.10%
2026-04-28,17.63,17,17.8,16.55,630405,+4.94%
2026-04-27,16.8,17.04,17.5,16.7,63099,-3.17%
2026-04-24,17.35,17.76,19,16.9,1015570,-3.34%
2026-04-23,17.95,19.19,19.19,17.9,142867,-7.90%
2026-04-22,19.49,18.7,19.79,18.36,1396750,+6.15%
2026-04-21,18.36,16.71,18.36,16.71,1475031,+10.01%
2026-04-20,16.69,17.12,17.48,16.11,169469,-4.68%
2026-04-17,17.51,17.7,18.3,17.15,416505,+0.75%
2026-04-16,17.38,17.4,17.6,16.8,624509,+1.16%
2026-04-15,17.18,16.99,17.49,16.4,383820,+3.74%
2026-04-14,16.56,16.97,16.97,16.15,89511,+1.53%
2026-04-13,16.31,16.75,17.05,15.9,48184,-4.23%
2026-04-10,17.03,17.5,17.5,16.81,146986,-2.41%
2026-04-09,17.45,16.32,17.83,16.12,388216,+0.98%
2026-04-08,17.28,16.95,17.31,16,638936,+9.78%
