date,close,open,high,low,volume,change_pct
"Jun 24, 2026",43.42,43.98,43.98,43.42,2829926,-0.39%
"Jun 23, 2026",43.59,45.54,45.54,43.59,950163,-4.26%
"Jun 22, 2026",45.53,47.99,47.99,45.53,2228147,-4.87%
"Jun 19, 2026",47.86,49.99,49.99,47.86,1547127,-3.97%
"Jun 18, 2026",49.84,51,51,49.84,3498380,+1.12%
"Jun 17, 2026",49.29,48.5,49.29,48.5,3151216,+1.86%
"Jun 16, 2026",48.39,49,49,48.39,1322676,-0.96%
"Jun 15, 2026",48.86,49.99,49.99,48.86,2452876,+2.28%
"Jun 12, 2026",47.77,53.5,53.5,47.77,10238651,-5.05%
"Jun 11, 2026",50.31,46.75,50.31,46.75,6229648,+5.01%
"Jun 10, 2026",47.91,47.56,47.91,47.56,3053720,-1.09%
"Jun 09, 2026",48.44,50,50,48.44,3086809,-0.29%
"Jun 08, 2026",48.58,49.85,49.85,48.58,9781975,+2.17%
"Jun 05, 2026",47.55,43.65,47.55,43.65,7589155,+7.65%
"Jun 04, 2026",44.17,42.76,44.17,42.76,3321944,+0.91%
"Jun 03, 2026",43.77,40.11,43.77,40.11,6424519,+3.65%
"Jun 02, 2026",42.23,48.89,48.89,42.23,13474600,-9.32%
"Jun 01, 2026",46.57,46.57,46.57,46.57,1688416,+9.99%
"May 29, 2026",42.34,39.01,42.34,39.01,1981958,+10.00%
"May 25, 2026",38.49,36.81,38.49,36.81,6726074,+8.91%
"May 22, 2026",35.34,33.9,35.34,33.9,4208686,+5.27%
"May 21, 2026",33.57,33.11,33.57,33.11,1456964,+1.45%
"May 20, 2026",33.09,33.4,33.4,33.09,1215117,-0.39%
"May 19, 2026",33.22,32.9,33.22,32.9,1709116,+4.01%
"May 18, 2026",31.94,32.76,32.76,31.94,1639151,-2.47%
"May 15, 2026",32.75,33,33,32.75,2347028,-3.36%
"May 14, 2026",33.89,37.51,37.51,33.89,3909484,-9.99%
"May 13, 2026",37.65,34.6,37.65,34.6,10223135,+6.21%
"May 12, 2026",35.45,36.64,36.64,35.45,7283379,+6.42%
"May 11, 2026",33.31,32.4,33.31,32.4,2939699,+10.01%
"May 08, 2026",30.28,30.6,30.6,30.28,97308,-0.46%
"May 07, 2026",30.42,31.5,31.5,30.42,525702,-1.49%
"May 06, 2026",30.88,29.6,30.88,29.6,436369,+4.89%
"May 05, 2026",29.44,29.41,29.44,29.41,79943,+1.66%
"May 04, 2026",28.96,29.61,29.61,28.96,114571,-1.23%
"Apr 30, 2026",29.32,29.05,29.32,29.05,139311,-1.81%
"Apr 29, 2026",29.86,30.89,30.89,29.86,372393,-1.55%
"Apr 28, 2026",30.33,30.27,30.33,30.27,112399,-1.08%
"Apr 27, 2026",30.66,31.15,31.15,30.66,594472,-1.35%
"Apr 24, 2026",31.08,31.25,31.25,31.08,145765,-0.06%
"Apr 23, 2026",31.1,35.4,35.4,31.1,994631,-9.22%
"Apr 22, 2026",34.26,31.99,34.26,31.99,602274,+8.59%
"Apr 21, 2026",31.55,34.5,34.5,31.55,546077,-8.60%
"Apr 20, 2026",34.52,37.79,37.79,34.52,537122,-9.21%
"Apr 17, 2026",38.02,38.01,38.02,38.01,1617003,+3.48%
"Apr 16, 2026",36.74,34,36.74,34,1407216,+10.00%
"Apr 15, 2026",33.4,32.5,33.4,32.5,415351,+5.66%
"Apr 14, 2026",31.61,29.72,31.61,29.72,369516,+9.80%
"Apr 13, 2026",28.79,28.99,28.99,28.79,117036,-3.29%
"Apr 10, 2026",29.77,30.55,30.55,29.77,155244,-3.72%
"Apr 09, 2026",30.92,33.49,33.49,30.92,69934,-3.92%
"Apr 08, 2026",32.18,33,33,32.18,296197,+2.84%
"Apr 07, 2026",31.29,31.98,31.98,31.29,429471,+1.13%
"Apr 06, 2026",30.94,31.5,31.5,30.94,42091,-1.93%
"Apr 03, 2026",31.55,31.3,31.55,31.3,45823,-4.31%
"Apr 02, 2026",32.97,30.9,32.97,30.9,38084,+0.40%
"Apr 01, 2026",32.84,33.83,33.83,32.84,705654,+0.06%
"Mar 31, 2026",32.82,30,32.82,30,64706,+7.40%
"Mar 30, 2026",30.56,32,32,30.56,87644,-5.42%
"Mar 27, 2026",32.31,35,35,32.31,250060,-9.95%
"Mar 26, 2026",35.88,37.49,37.49,35.88,565598,-0.64%
"Mar 25, 2026",36.11,34,36.11,34,116724,+9.96%
"Mar 24, 2026",32.84,30,32.84,30,116738,+10.02%
"Mar 19, 2026",29.85,30.05,30.05,29.85,91294,-9.41%
"Mar 18, 2026",32.95,32.96,32.96,32.95,121193,-10.00%
"Mar 17, 2026",36.61,39,39,36.61,83905,-10.00%
"Mar 16, 2026",40.68,43.99,43.99,40.68,119288,-3.94%
"Mar 13, 2026",42.35,42.75,42.75,42.35,179690,+4.00%
"Mar 12, 2026",40.72,44.48,44.48,40.72,109167,-3.05%
"Mar 11, 2026",42,42.36,42.36,42,261148,+9.06%
"Mar 10, 2026",38.51,38.51,38.51,38.51,50501,+10.00%
"Mar 09, 2026",35.01,35.01,35.01,35.01,69415,+9.99%
"Mar 06, 2026",31.83,31.83,31.83,31.83,36611,+9.99%
"Mar 05, 2026",28.94,29.95,29.95,28.94,301,+6.28%
"Mar 04, 2026",27.23,27.23,27.23,27.23,10200,+10.02%
"Mar 03, 2026",24.75,24.75,24.75,24.75,1100,+10.00%
"Mar 02, 2026",22.5,22.5,22.5,22.5,109900,+10.02%
"Feb 27, 2026",20.45,20.45,20.45,20.45,30000,+10.01%
"Feb 26, 2026",18.59,18.59,18.59,18.59,5000,+10.07%
"Feb 25, 2026",16.89,16.9,16.9,16.89,5000,+9.96%
"Feb 24, 2026",15.36,15.36,15.36,15.36,1000,+10.03%
"Feb 23, 2026",13.96,13.96,13.96,13.96,1900,+10.01%
"Feb 20, 2026",12.69,12.69,12.69,12.69,10000,+9.97%
"Feb 19, 2026",11.54,11.54,11.54,11.54,3000,+10.01%
"Feb 18, 2026",10.49,10.49,10.49,10.49,2200,+10.54%
"Feb 17, 2026",9.49,9.49,9.49,9.49,3000,
