date,close,open,high,low,volume,change_pct
"Jun 24, 2026",8.65,8.97,8.98,8.49,1901678,-1.70%
"Jun 23, 2026",8.8,9,9.25,8.64,1585701,-1.57%
"Jun 22, 2026",8.94,9,9.1,8.36,711608,+0.34%
"Jun 19, 2026",8.91,9.12,9.39,8.85,1345307,-1.55%
"Jun 18, 2026",9.05,8.79,9.19,8.79,1109160,+2.84%
"Jun 17, 2026",8.8,8.97,8.97,8.66,687796,-0.34%
"Jun 16, 2026",8.83,9.02,9.02,8.72,679523,-1.01%
"Jun 15, 2026",8.92,8.85,9.14,8.66,1746005,+3.84%
"Jun 12, 2026",8.59,8.68,8.9,8.56,658767,-1.04%
"Jun 11, 2026",8.68,8.9,8.9,8.55,1420544,-1.36%
"Jun 10, 2026",8.8,8.79,9.27,8.6,6064799,+2.33%
"Jun 09, 2026",8.6,8.33,8.78,8.3,2209833,+3.99%
"Jun 08, 2026",8.27,8.38,8.47,8.25,324288,-1.31%
"Jun 05, 2026",8.38,8.24,8.49,8.17,587056,+1.70%
"Jun 04, 2026",8.24,8.25,8.4,8.18,409464,+0.73%
"Jun 03, 2026",8.18,8.16,8.3,8.12,297787,+0.25%
"Jun 02, 2026",8.16,8.19,8.28,8.12,368364,-0.37%
"Jun 01, 2026",8.19,8.35,8.46,8.16,116874,-0.49%
"May 29, 2026",8.23,8.32,8.49,8.02,639049,+1.48%
"May 25, 2026",8.11,8.12,8.17,8.05,1188011,+1.25%
"May 22, 2026",8.01,8.01,8.09,7.95,234841,-0.99%
"May 21, 2026",8.09,8.11,8.24,8,507677,+0.37%
"May 20, 2026",8.06,8.05,8.13,7.98,243375,-0.62%
"May 19, 2026",8.11,8.25,8.25,7.93,389748,+1.12%
"May 18, 2026",8.02,8.33,8.47,8.01,400822,-2.43%
"May 15, 2026",8.22,8.42,8.49,8.13,326591,-1.91%
"May 14, 2026",8.38,8.39,8.77,8.12,3178388,+2.07%
"May 13, 2026",8.21,8.2,8.44,8.1,990375,+0.24%
"May 12, 2026",8.19,8.61,9.2,8.1,10932630,-3.87%
"May 11, 2026",8.52,7.9,8.87,7.89,5714759,+7.30%
"May 08, 2026",7.94,7.91,8.01,7.81,900065,-0.75%
"May 07, 2026",8,7.99,8.2,7.97,903929,+0.25%
"May 06, 2026",7.98,7.71,8.2,7.71,1144260,+3.23%
"May 05, 2026",7.73,7.43,8.4,7.41,4312734,+1.05%
"May 04, 2026",7.65,7.77,7.93,7.56,283945,+1.59%
"Apr 30, 2026",7.53,7.92,7.92,7.41,552917,-2.84%
"Apr 29, 2026",7.75,7.99,8.04,7.72,452619,-1.90%
"Apr 28, 2026",7.9,7.99,8.13,7.86,1086205,-2.83%
"Apr 27, 2026",8.13,8.17,8.35,8.08,1397898,+0.25%
"Apr 24, 2026",8.11,8.07,8.2,8.03,777285,-1.70%
"Apr 23, 2026",8.25,8.36,8.58,8.12,1962669,-0.12%
"Apr 22, 2026",8.26,8.08,8.7,7.87,4413430,+2.23%
"Apr 21, 2026",8.08,8.19,8.3,8.03,1205442,-1.34%
"Apr 20, 2026",8.19,8.08,8.6,7.8,2606074,+0.24%
"Apr 17, 2026",8.17,8.12,8.36,8.02,1403644,+0.49%
"Apr 16, 2026",8.13,8.12,8.2,7.85,810583,+1.63%
"Apr 15, 2026",8,8.02,8.17,7.97,1135397,+0.88%
"Apr 14, 2026",7.93,7.88,8.25,7.66,4162105,+3.52%
"Apr 13, 2026",7.66,7.85,7.87,7.6,651534,-4.49%
"Apr 10, 2026",8.02,8,8.38,7.85,1863022,+1.01%
"Apr 09, 2026",7.94,8.1,8.1,7.94,589158,-3.29%
"Apr 08, 2026",8.21,7.99,8.21,7.99,2186664,+10.95%
"Apr 07, 2026",7.4,7.44,7.44,7.4,139523,+1.23%
"Apr 06, 2026",7.31,7.21,7.31,7.21,207106,+1.81%
"Apr 03, 2026",7.18,7.15,7.18,7.15,498249,-0.83%
"Apr 02, 2026",7.24,7.42,7.42,7.24,410900,-3.85%
"Apr 01, 2026",7.53,7.29,7.53,7.29,1697964,+6.06%
"Mar 31, 2026",7.1,7,7.1,7,1317230,-0.42%
"Mar 30, 2026",7.13,8.1,8.1,7.13,7166501,-11.21%
"Mar 27, 2026",8.03,9.4,9.4,8.03,12223874,-10.88%
"Mar 26, 2026",9.01,8.6,9.01,8.6,2187153,+12.48%
"Mar 25, 2026",8.01,7.24,8.01,7.24,2460574,+14.27%
"Mar 24, 2026",7.01,7.3,7.3,7.01,93071,-0.43%
"Mar 19, 2026",7.04,6.82,7.04,6.82,1634822,+3.07%
"Mar 18, 2026",6.83,6.7,6.83,6.7,158951,+1.94%
"Mar 17, 2026",6.7,6.79,6.79,6.7,89462,+1.98%
"Mar 16, 2026",6.57,6.82,6.82,6.57,291479,-3.67%
"Mar 13, 2026",6.82,6.74,6.82,6.74,831246,+4.12%
"Mar 12, 2026",6.55,6.6,6.6,6.55,124824,-2.09%
"Mar 11, 2026",6.69,6.89,6.89,6.69,147915,+2.61%
"Mar 10, 2026",6.52,6.98,6.98,6.52,3123998,+7.77%
"Mar 09, 2026",6.05,6.21,6.21,6.05,631407,-9.97%
"Mar 06, 2026",6.72,7.09,7.09,6.72,142847,-3.31%
"Mar 05, 2026",6.95,6.6,6.95,6.6,290646,+6.11%
"Mar 04, 2026",6.55,6.6,6.6,6.55,554426,-0.76%
"Mar 03, 2026",6.6,6.62,6.62,6.6,326736,-1.20%
"Mar 02, 2026",6.68,6.76,6.76,6.68,1233057,-13.02%
"Feb 27, 2026",7.68,7.79,7.79,7.68,245341,-2.78%
"Feb 26, 2026",7.9,7.84,7.9,7.84,187577,+2.46%
"Feb 25, 2026",7.71,8.39,8.39,7.71,941124,-4.93%
"Feb 24, 2026",8.11,7.32,8.11,7.32,1840521,+10.49%
"Feb 23, 2026",7.34,7.9,7.9,7.34,259041,-3.17%
"Feb 20, 2026",7.58,8.1,8.1,7.58,842220,-5.49%
"Feb 19, 2026",8.02,8.6,8.6,8.02,392907,-6.74%
"Feb 18, 2026",8.6,8.47,8.6,8.47,689801,+1.53%
"Feb 17, 2026",8.47,9,9,8.47,1454008,-5.89%
"Feb 16, 2026",9,9.19,9.19,9,1285697,-0.99%
"Feb 13, 2026",9.09,9.21,9.21,9.09,711603,-1.30%
"Feb 12, 2026",9.21,9.33,9.33,9.21,339262,-1.29%
"Feb 11, 2026",9.33,9.51,9.51,9.33,596427,-1.89%
"Feb 10, 2026",9.51,9.61,9.61,9.51,465662,-1.04%
"Feb 09, 2026",9.61,9.88,9.88,9.61,186384,-0.21%
"Feb 06, 2026",9.63,9.7,9.7,9.63,289189,-0.21%
"Feb 04, 2026",9.65,9.64,9.65,9.64,329732,-0.31%
"Feb 03, 2026",9.68,9.6,9.68,9.6,339506,-0.51%
"Feb 02, 2026",9.73,9.79,9.79,9.73,222243,+1.57%
"Jan 30, 2026",9.58,9.58,9.58,9.58,2274036,+0.63%
"Jan 29, 2026",9.52,10.14,10.14,9.52,688467,-4.13%
"Jan 28, 2026",9.93,9.9,9.93,9.9,599139,-0.60%
"Jan 27, 2026",9.99,10,10,9.99,295652,-0.30%
"Jan 26, 2026",10.02,10.14,10.14,10.02,519521,-0.60%
"Jan 23, 2026",10.08,10.17,10.17,10.08,335184,-1.27%
"Jan 22, 2026",10.21,10.25,10.25,10.21,795739,+1.19%
"Jan 21, 2026",10.09,10.25,10.25,10.09,1028916,-1.37%
"Jan 20, 2026",10.23,10.5,10.5,10.23,912453,-1.25%
"Jan 19, 2026",10.36,10.32,10.36,10.32,603023,+0.10%
"Jan 16, 2026",10.35,10.16,10.35,10.16,770720,+1.57%
"Jan 15, 2026",10.19,10.25,10.25,10.19,1122819,-0.68%
"Jan 14, 2026",10.26,10.53,10.53,10.26,1007899,-3.02%
"Jan 13, 2026",10.58,10.6,10.6,10.58,4074343,+0.09%
"Jan 12, 2026",10.57,10.54,10.57,10.54,6100346,+0.38%
"Jan 09, 2026",10.53,10.9,10.9,10.53,1241071,-2.68%
"Jan 08, 2026",10.82,10.4,10.82,10.4,6277705,+5.05%
"Jan 07, 2026",10.3,10.33,10.33,10.3,831979,-0.19%
"Jan 06, 2026",10.32,10.65,10.65,10.32,1641418,-1.81%
"Jan 05, 2026",10.51,10.81,10.81,10.51,5775392,-0.47%
"Jan 02, 2026",10.56,9.94,10.56,9.94,8790214,+7.32%
"Jan 01, 2026",9.84,9.93,9.93,9.84,1583112,-0.91%
"Dec 31, 2025",9.93,9.81,9.93,9.81,1416261,+1.33%
"Dec 30, 2025",9.8,9.75,9.8,9.75,1527739,+1.34%
"Dec 29, 2025",9.67,9.67,9.67,9.67,7467181,+1.58%
"Dec 26, 2025",9.52,9.71,9.71,9.52,913027,-1.75%
"Dec 24, 2025",9.69,9.97,9.97,9.69,1282343,-1.72%
"Dec 23, 2025",9.86,10.18,10.18,9.86,7759620,-2.67%
"Dec 22, 2025",10.13,10.15,10.15,10.13,4740480,+0.60%
"Dec 19, 2025",10.07,10.41,10.41,10.07,3484245,-2.99%
"Dec 18, 2025",10.38,11.35,11.35,10.38,22913247,+0.58%
