date,close,open,high,low,volume,change_pct
2026-07-01,12.37,12.18,12.4,12,366168,+1.64%
2026-06-30,12.17,12.12,12.38,12.03,370021,+0.58%
2026-06-29,12.1,12.5,12.6,11.7,1668587,-3.35%
2026-06-24,12.52,12.5,12.68,12.4,212568,+0.89%
2026-06-23,12.41,12.5,12.74,12.38,322372,-0.80%
2026-06-22,12.51,12.8,12.85,12.31,632951,-0.64%
2026-06-19,12.59,12.8,13.02,12.51,532011,-1.64%
2026-06-18,12.8,12.71,13,12.7,1620543,-0.23%
2026-06-17,12.83,12.81,13.12,12.7,772724,-1.16%
2026-06-16,12.98,12.71,13.1,12.71,1694401,+2.29%
2026-06-15,12.69,12.79,13,12.5,3587303,+0.71%
2026-06-12,12.6,12.72,12.72,12.4,581323,+1.45%
2026-06-11,12.42,12.5,12.74,12.36,412123,-1.04%
2026-06-10,12.55,12.67,12.75,12.5,294582,-0.95%
2026-06-09,12.67,12.9,12.9,12.6,418565,+0.24%
2026-06-08,12.64,12.89,13.12,12.25,945175,-2.17%
2026-06-05,12.92,12.85,13.49,12.8,1308905,+0.00%
2026-06-04,12.92,13.35,13.8,12.8,3517542,-3.15%
2026-06-03,13.34,13.5,14.2,13.01,2488933,-3.19%
2026-06-02,13.78,14.5,15.2,13.66,5115442,-2.13%
2026-06-01,14.08,13.15,14.08,12.8,7227746,+10.00%
2026-05-29,12.8,11.64,12.8,11.5,4782136,+9.97%
2026-05-25,11.64,11.43,11.75,11.43,298249,+1.84%
2026-05-22,11.43,11.55,11.55,11.3,247282,-0.95%
2026-05-21,11.54,11.46,11.75,11.35,336994,+0.79%
2026-05-20,11.45,11.41,11.61,11.3,85264,+0.44%
2026-05-19,11.4,11.78,11.78,11.21,228634,-0.70%
2026-05-18,11.48,11.8,11.8,11.45,199991,-1.54%
2026-05-15,11.66,11.79,11.79,11.51,344761,+0.78%
2026-05-14,11.57,11.86,11.86,11.55,926640,-0.34%
2026-05-13,11.61,11.79,11.91,11.4,10093860,+0.35%
2026-05-12,11.57,12,12.19,11.49,4180113,-3.26%
2026-05-11,11.96,12.1,12.23,11.94,887067,-0.33%
2026-05-08,12,12.25,12.36,11.98,1078193,-1.80%
2026-05-07,12.22,12.44,12.58,12.11,1506130,-0.57%
2026-05-06,12.29,13.75,14,12.29,9298677,-9.96%
2026-05-05,13.65,13.01,13.8,13,46882,-0.07%
2026-05-04,13.66,14.47,14.5,12.35,98832,+0.29%
2026-04-30,13.62,13.49,13.94,12.5,490735,+0.81%
2026-04-29,13.51,14.97,14.97,13.4,1728247,-9.27%
2026-04-28,14.89,15.34,15.34,14.58,28028,+0.74%
2026-04-27,14.78,15.3,15.3,14.5,124699,-2.25%
2026-04-24,15.12,14.57,15.25,14.05,701740,+5.15%
2026-04-23,14.38,15.12,15.34,14.28,133548,-4.83%
2026-04-22,15.11,16.29,16.3,14.9,493252,-5.50%
2026-04-21,15.99,16.19,16.3,15.95,191120,+0.00%
2026-04-20,15.99,15.1,16.4,15.1,204218,-1.84%
2026-04-17,16.29,15.86,16.8,15.3,151937,+4.56%
2026-04-16,15.58,15.63,16,15.05,133487,-0.26%
2026-04-15,15.62,15.7,16.28,14.11,165269,+3.86%
2026-04-14,15.04,14.6,15.42,14.06,235642,+4.95%
2026-04-13,14.33,13.66,14.5,13.66,140763,+0.49%
2026-04-10,14.26,13,14.29,13,849562,+9.78%
2026-04-09,12.99,14.44,14.44,12.65,952336,-7.61%
2026-04-08,14.06,14.49,14.97,13.9,1205054,+3.00%
2026-04-07,13.65,13.93,13.93,12.63,73106,-0.36%
2026-04-06,13.7,15.6,15.8,13.43,1256995,-8.18%
2026-04-03,14.92,13.3,14.92,13.03,284515,+10.03%
2026-04-02,13.56,12.5,13.56,11.52,991189,+9.98%
