date,close,open,high,low,volume,change_pct
2026-07-01,10.92,10.84,10.93,10.75,2030500,+1.02%
2026-06-30,10.81,10.78,10.9,10.72,1483000,+0.93%
2026-06-29,10.71,10.8,10.84,10.7,1847500,-0.83%
2026-06-24,10.8,10.59,10.81,10.59,2196000,+4.15%
2026-06-23,10.37,10.6,10.69,9.56,2935000,-1.98%
2026-06-22,10.58,10.8,10.8,10.55,668000,-0.38%
2026-06-19,10.62,10.81,10.88,10.55,2473500,-1.76%
2026-06-18,10.81,10.79,10.88,10.79,8997500,+0.93%
2026-06-17,10.71,10.73,10.77,10.63,15617000,+0.28%
2026-06-16,10.68,10.75,10.75,10.59,3254000,+0.75%
2026-06-15,10.6,10.4,10.63,10.4,2816500,+3.62%
2026-06-12,10.23,10,10.28,10,646500,+2.30%
2026-06-11,10,10.13,10.13,9.92,770500,+0.00%
2026-06-10,10,10.18,10.18,9.99,614500,-0.79%
2026-06-09,10.08,10.33,10.33,10.06,638500,-0.20%
2026-06-08,10.1,10.25,10.25,9.95,2186500,-2.04%
2026-06-05,10.31,10.41,10.41,10.2,299000,+0.78%
2026-06-04,10.23,10.26,10.37,10.2,295000,+0.20%
2026-06-03,10.21,10.2,10.26,10.14,384000,-0.39%
2026-06-02,10.25,10.26,10.31,10.21,772000,-0.19%
2026-06-01,10.27,10.6,10.78,10.26,2022500,-5.52%
2026-05-29,10.87,10.37,11.35,10.29,2463500,+4.72%
2026-05-25,10.38,10.28,10.49,10.28,5466500,+1.86%
2026-05-22,10.19,10.26,10.3,10.17,247000,-0.68%
2026-05-21,10.26,10.12,10.28,10.12,802000,+1.79%
2026-05-20,10.08,9.95,10.08,9.93,327000,+1.10%
2026-05-19,9.97,10,10.04,9.94,341500,+1.01%
2026-05-18,9.87,10.06,10.08,9.85,1203500,-2.66%
2026-05-15,10.14,10.1,10.2,10.02,562000,+0.60%
2026-05-14,10.08,10.26,10.26,10.07,880000,-1.27%
2026-05-13,10.21,10.45,10.45,10.15,821000,-1.16%
2026-05-12,10.33,10.54,10.54,10.3,762000,-1.43%
2026-05-11,10.48,10.87,10.87,10.41,876500,-1.96%
2026-05-08,10.69,10.52,10.78,10.47,1069000,+1.52%
2026-05-07,10.53,10.54,10.72,10.3,3653500,-0.19%
2026-05-06,10.55,10.35,10.64,10.35,1256000,+3.94%
2026-05-05,10.15,10.01,10.2,10,246500,+0.10%
2026-05-04,10.14,10.3,10.3,10.1,471000,+0.20%
2026-04-30,10.12,10.3,10.3,9.94,768000,-1.94%
2026-04-29,10.32,10.58,10.58,10.3,405500,-1.43%
2026-04-28,10.47,10.49,10.5,10.42,3139000,-0.38%
2026-04-27,10.51,10.5,10.68,10.5,332000,-0.57%
2026-04-24,10.57,10.37,10.78,10.24,6302000,+1.25%
2026-04-23,10.44,10.49,10.55,10.38,777000,-1.14%
2026-04-22,10.56,10.6,10.66,10.53,541500,-0.94%
2026-04-21,10.66,10.67,10.74,10.57,24270000,+1.04%
2026-04-20,10.55,10.64,10.7,10.4,2481000,-1.22%
2026-04-17,10.68,10.4,10.8,10.4,1077000,+2.79%
2026-04-16,10.39,10.24,10.45,10.24,23605500,+1.37%
2026-04-15,10.25,10.15,10.36,10.11,12151000,+1.38%
2026-04-14,10.11,10.26,10.28,10.09,1574000,+1.20%
2026-04-13,9.99,10.26,10.26,9.95,1189000,-2.82%
2026-04-10,10.28,10.37,10.49,10.25,18866000,-0.10%
2026-04-09,10.29,10.57,10.57,10.2,1801000,-3.29%
2026-04-08,10.64,10.61,10.64,10.17,6234500,+8.79%
2026-04-07,9.78,9.69,9.89,9.56,228000,+0.93%
2026-04-06,9.69,9.73,9.83,9.51,552000,+0.41%
2026-04-03,9.65,9.88,9.89,9.55,479000,-1.43%
2026-04-02,9.79,10,10,9.6,1229000,-2.10%
2026-04-01,10,9.72,10.16,9.72,5694500,+3.73%
2026-03-31,9.64,9.73,9.73,9.45,796000,+2.23%
2026-03-30,9.43,9.84,9.84,9.22,2687500,-3.08%
2026-03-27,9.73,9.98,9.98,9.72,12856000,-1.72%
2026-03-26,9.9,10.29,10.29,9.88,1251500,-3.98%
2026-03-25,10.31,10.07,10.33,10.07,1673000,+2.28%
2026-03-24,10.08,10.01,10.34,10.01,2123500,+1.20%
2026-03-19,9.96,10.18,10.18,9.79,1223000,-0.90%
2026-03-18,10.05,9.75,10.1,9.75,2691000,+5.46%
2026-03-17,9.53,10.19,10.19,9.48,4769000,-3.93%
2026-03-16,9.92,10.4,10.4,9.85,2110000,-3.97%
2026-03-13,10.33,10.46,10.73,10.25,11513500,-0.77%
2026-03-12,10.41,10.76,10.76,10.31,1000000,-0.86%
2026-03-11,10.5,10.97,10.97,10.47,1951500,-2.42%
2026-03-10,10.76,10,10.76,10,680500,+10.02%
2026-03-09,9.78,10.89,11.75,9.7,3257500,-9.61%
2026-03-06,10.82,10.97,11,10.62,345000,-1.37%
2026-03-05,10.97,10.47,11,10.44,774500,+6.30%
2026-03-04,10.32,10.57,10.57,10.19,1323500,-0.58%
2026-03-03,10.38,10.24,11,9.97,1832500,+2.47%
2026-03-02,10.13,10.51,12,10.09,2440000,-10.12%
2026-02-27,11.27,11,11.3,11,929500,+0.81%
2026-02-26,11.18,11,11.2,10.59,2316000,+3.52%
2026-02-25,10.8,11,11.07,10.75,2258500,-0.92%
2026-02-24,10.9,11,11.08,10.52,2259500,-0.82%
2026-02-23,10.99,11.59,11.59,10.9,5806000,-3.09%
2026-02-20,11.34,11.45,11.52,10.93,1114500,+0.00%
