date,close,open,high,low,volume,change_pct
"Jun 24, 2026",144.51,142,145.45,141.5,1377543,+1.54%
"Jun 23, 2026",142.32,144.7,145.57,142,838553,-1.69%
"Jun 22, 2026",144.77,147,147.75,143.99,865584,-0.28%
"Jun 19, 2026",145.18,149.98,149.98,142.5,2287289,-2.10%
"Jun 18, 2026",148.3,146.51,149.25,144.8,2225103,+1.51%
"Jun 17, 2026",146.09,148.5,151,145.01,2708198,-1.56%
"Jun 16, 2026",148.41,152.75,156.72,146.9,5317823,-2.90%
"Jun 15, 2026",152.85,158.97,159.5,151.2,9737085,-0.20%
"Jun 12, 2026",153.16,148,158.21,147.36,6474308,+4.95%
"Jun 11, 2026",145.94,147.95,148.2,144.25,743617,-1.56%
"Jun 10, 2026",148.26,148.1,153,147.25,3324116,-1.26%
"Jun 09, 2026",150.15,150.01,156.89,149,6719808,+2.41%
"Jun 08, 2026",146.62,136.4,150.48,133,5859349,+7.18%
"Jun 05, 2026",136.8,134.25,138.1,132.5,1283675,+2.57%
"Jun 04, 2026",133.37,132.01,134.9,132.01,348984,+1.08%
"Jun 03, 2026",131.94,133.5,134.43,130,477157,-2.04%
"Jun 02, 2026",134.69,133.7,135.99,131,596610,+1.68%
"Jun 01, 2026",132.47,133.99,136.69,132,710572,-1.21%
"May 29, 2026",134.09,134.27,135.8,133.21,346190,-0.67%
"May 25, 2026",134.99,137.23,137.23,132.99,491434,+2.16%
"May 22, 2026",132.13,135.49,135.49,131.52,215918,-1.63%
"May 21, 2026",134.32,133.5,136.38,133.5,644667,+1.21%
"May 20, 2026",132.71,132.9,133,130.12,376037,+1.74%
"May 19, 2026",130.44,128,132,128,282305,+2.98%
"May 18, 2026",126.67,133,134.4,126.01,685654,-5.09%
"May 15, 2026",133.47,135.65,135.65,131.99,559660,-0.81%
"May 14, 2026",134.56,131.85,136.5,129.25,1317973,+3.46%
"May 13, 2026",130.06,132.39,133.95,129.5,266323,-1.80%
"May 12, 2026",132.44,135.5,137.9,131.25,748399,-1.99%
"May 11, 2026",135.13,135.5,139,134.61,756696,-2.29%
"May 08, 2026",138.3,135,142.3,133.03,2758354,+1.56%
"May 07, 2026",136.18,134.02,137.05,133.38,1472810,+2.12%
"May 06, 2026",133.35,129.44,134.5,129.44,1071849,+4.78%
"May 05, 2026",127.27,121,128,116.33,748208,+3.96%
"May 04, 2026",122.42,119.05,128.88,119.05,948190,+2.84%
"Apr 30, 2026",119.04,126.5,126.5,114.8,1445325,-6.67%
"Apr 29, 2026",127.55,137.4,138,124,1131736,-5.25%
"Apr 28, 2026",134.62,134.25,138.48,134.02,669605,-1.96%
"Apr 27, 2026",137.31,134.8,140.89,133.5,1164864,+1.93%
"Apr 24, 2026",134.71,132.16,136.25,132,916823,-1.41%
"Apr 23, 2026",136.63,134.81,138.1,133.06,1066711,+1.35%
"Apr 22, 2026",134.81,138,138,133.55,918145,-2.66%
"Apr 21, 2026",138.5,139,142.49,137,1541838,+0.75%
"Apr 20, 2026",137.47,129.5,141.7,126.5,3958116,+4.60%
"Apr 17, 2026",131.43,128,132.54,125.3,1428631,+3.11%
"Apr 16, 2026",127.46,129.5,129.5,126,533177,-0.01%
"Apr 15, 2026",127.47,131,133.99,127,1801853,+0.89%
"Apr 14, 2026",126.35,121.25,127.4,120.5,1606213,+7.02%
"Apr 13, 2026",118.06,116,122.78,116,1494470,-4.44%
"Apr 10, 2026",123.55,113.28,124.61,113.28,1778288,+9.07%
"Apr 09, 2026",113.28,112.89,113.28,112.89,2117014,-0.12%
"Apr 08, 2026",113.42,113,113.42,113,947488,+10.00%
"Apr 07, 2026",103.11,103.88,103.88,103.11,435414,-1.53%
"Apr 06, 2026",104.71,102.9,104.71,102.9,1298639,+4.11%
"Apr 03, 2026",100.58,96.1,100.58,96.1,292362,-1.31%
"Apr 02, 2026",101.91,101.99,101.99,101.91,260441,-4.45%
"Apr 01, 2026",106.66,104.99,106.66,104.99,787875,+5.11%
"Mar 31, 2026",101.47,98.5,101.47,98.5,385352,+4.58%
"Mar 30, 2026",97.03,102.9,102.9,97.03,320280,-5.69%
"Mar 27, 2026",102.88,104.25,104.25,102.88,186805,+0.31%
"Mar 26, 2026",102.56,109.38,109.38,102.56,556200,-6.24%
"Mar 25, 2026",109.38,106.13,109.38,106.13,746993,+4.27%
"Mar 24, 2026",104.9,107.9,107.9,104.9,302071,+0.82%
"Mar 19, 2026",104.05,105.88,105.88,104.05,145940,-2.58%
"Mar 18, 2026",106.81,104.49,106.81,104.49,497450,+3.53%
"Mar 17, 2026",103.17,100,103.17,100,500858,+4.63%
"Mar 16, 2026",98.6,103.99,103.99,98.6,225224,-4.04%
"Mar 13, 2026",102.75,100.5,102.75,100.5,125261,-0.11%
"Mar 12, 2026",102.86,99.31,102.86,99.31,339634,-2.01%
"Mar 11, 2026",104.97,99.4,104.97,99.4,681653,+4.59%
"Mar 10, 2026",100.36,99.4,100.36,99.4,666187,+8.27%
"Mar 09, 2026",92.69,93.07,93.07,92.69,824837,-9.92%
"Mar 06, 2026",102.9,110.5,110.5,102.9,1080146,-10.00%
"Mar 05, 2026",114.33,110.02,114.33,110.02,563978,+3.47%
"Mar 04, 2026",110.5,109.77,110.5,109.77,225572,+0.55%
"Mar 03, 2026",109.9,105.26,109.9,105.26,804366,-4.85%
"Mar 02, 2026",115.5,115.5,115.5,115.5,598155,-10.00%
"Feb 27, 2026",128.33,126,128.33,126,728166,+3.70%
"Feb 26, 2026",123.75,122,123.75,122,1449316,+0.67%
"Feb 25, 2026",122.93,132,132,122.93,400524,-4.36%
"Feb 24, 2026",128.53,136.38,136.38,128.53,1162669,-5.76%
"Feb 23, 2026",136.38,145,145,136.38,285222,-4.78%
"Feb 20, 2026",143.22,138.21,143.22,138.21,823674,+2.78%
"Feb 19, 2026",139.34,148.94,148.94,139.34,490985,-6.45%
"Feb 18, 2026",148.94,145.5,148.94,145.5,529570,+3.35%
"Feb 17, 2026",144.11,148.43,148.43,144.11,705642,-2.91%
"Feb 16, 2026",148.43,152.8,152.8,148.43,702584,-3.90%
"Feb 13, 2026",154.46,156,156,154.46,645660,+1.20%
"Feb 12, 2026",152.63,153.2,153.2,152.63,2423757,-0.45%
"Feb 11, 2026",153.32,158.7,158.7,153.32,1173327,-3.02%
"Feb 10, 2026",158.1,158.21,158.21,158.1,3540650,+1.22%
"Feb 09, 2026",156.19,157.25,157.25,156.19,2244210,+0.10%
"Feb 06, 2026",156.03,152,156.03,152,2487326,+2.65%
"Feb 04, 2026",152,154.8,154.8,152,1323992,-1.18%
"Feb 03, 2026",153.81,157,157,153.81,1375747,-1.79%
"Feb 02, 2026",156.61,160,160,156.61,2128588,-2.22%
"Jan 30, 2026",160.16,148.5,160.16,148.5,6495789,+8.42%
"Jan 29, 2026",147.72,152,152,147.72,2663247,-2.42%
"Jan 28, 2026",151.38,149.4,151.38,149.4,4184623,+1.98%
"Jan 27, 2026",148.44,151,151,148.44,3130665,-1.49%
"Jan 26, 2026",150.69,145,150.69,145,10020341,+6.69%
"Jan 23, 2026",141.24,141.2,141.24,141.2,10806604,+0.60%
"Jan 22, 2026",140.4,142,142,140.4,7857999,-0.34%
"Jan 21, 2026",140.88,138.9,140.88,138.9,2655166,+1.65%
"Jan 20, 2026",138.59,138.5,138.59,138.5,772628,-0.27%
"Jan 19, 2026",138.97,144,144,138.97,3846172,+4.32%
"Jan 16, 2026",133.22,125.5,133.22,125.5,1778735,+10.00%
"Jan 15, 2026",121.11,115.5,121.11,115.5,859375,+4.84%
"Jan 14, 2026",115.52,119.4,119.4,115.52,79046,-2.22%
"Jan 13, 2026",118.14,117,118.14,117,116589,+0.97%
"Jan 12, 2026",117,119.99,119.99,117,283105,-2.80%
"Jan 09, 2026",120.37,117.03,120.37,117.03,351861,+1.49%
"Jan 08, 2026",118.6,118.95,118.95,118.6,771542,-0.29%
"Jan 07, 2026",118.95,121,121,118.95,498837,-1.55%
"Jan 06, 2026",120.82,124,124,120.82,778233,-1.25%
