date,close,open,high,low,volume,change_pct
2026-07-01,28.36,28.35,28.6,28.18,807153,+0.14%
2026-06-30,28.32,28.15,28.45,28.08,713485,+1.03%
2026-06-29,28.03,28.27,28.44,27.9,924516,-0.88%
2026-06-24,28.28,28.06,28.61,28.05,1144184,+0.07%
2026-06-23,28.26,28.5,28.65,28.16,703829,-0.42%
2026-06-22,28.38,28.16,28.95,28.16,1977801,+0.78%
2026-06-19,28.16,28.12,28.65,27.9,2232548,+0.18%
2026-06-18,28.11,28.2,28.48,28.05,919721,-0.32%
2026-06-17,28.2,28.48,28.6,28.07,1111013,-0.63%
2026-06-16,28.38,27.8,28.48,27.75,1904666,+2.09%
2026-06-15,27.8,27.9,28,27.51,1279079,+0.47%
2026-06-12,27.67,27.55,27.89,27.5,337371,+0.73%
2026-06-11,27.47,27.5,27.6,27.32,315738,-0.51%
2026-06-10,27.61,27.69,27.73,27.3,393377,+0.66%
2026-06-09,27.43,27.41,27.59,27.4,414349,+0.07%
2026-06-08,27.41,27.5,27.55,27.34,418207,-0.90%
2026-06-05,27.66,27.8,27.84,27.5,659073,-0.50%
2026-06-04,27.8,27.89,27.97,27.57,942964,+0.22%
2026-06-03,27.74,27.89,27.97,27.6,980318,-0.54%
2026-06-02,27.89,27.7,28.1,27.7,1147964,+0.69%
2026-06-01,27.7,27.42,27.88,27,1100004,+1.24%
2026-05-29,27.36,27.39,27.5,27,636973,-0.11%
2026-05-25,27.39,27.44,27.99,27.2,661741,+1.07%
2026-05-22,27.1,27.13,27.21,27.02,207112,-0.11%
2026-05-21,27.13,27.25,27.4,27,442438,+0.15%
2026-05-20,27.09,27.09,27.25,26.97,348283,+0.52%
2026-05-19,26.95,26.89,27.17,26.89,342278,+0.34%
2026-05-18,26.86,27.07,27.15,26.7,1002916,-0.78%
2026-05-15,27.07,27.2,27.2,26.72,485058,+0.45%
2026-05-14,26.95,27.1,27.22,26.9,411125,-0.55%
2026-05-13,27.1,27.02,27.34,27.02,346712,-0.22%
2026-05-12,27.16,27.42,27.5,27.04,428036,-0.95%
2026-05-11,27.42,27.3,27.52,27.22,493716,+0.07%
2026-05-08,27.4,27.2,27.6,27.1,1557763,+0.26%
2026-05-07,27.33,27.28,27.51,27.2,1815290,+0.18%
2026-05-06,27.28,27.05,27.5,27,1092077,+1.07%
2026-05-05,26.99,27.32,27.5,26.7,994642,-1.24%
2026-05-04,27.33,27.31,28.25,27.2,797988,+0.07%
2026-04-30,27.31,27.39,27.5,27.1,5129781,-1.80%
2026-04-29,27.81,27.71,28.39,27.52,13761410,+0.40%
2026-04-28,27.7,27.79,28.1,27.5,3459218,-0.61%
2026-04-27,27.87,28,28.15,27.83,581626,+0.22%
2026-04-24,27.81,27.85,27.94,27.1,633735,-0.11%
2026-04-23,27.84,28.25,28.25,27.62,319971,-0.71%
2026-04-22,28.04,28.05,28.25,27.88,774428,+0.25%
2026-04-21,27.97,28.1,28.5,27.8,1148411,-0.60%
2026-04-20,28.14,28.52,28.83,27.8,1764454,-3.03%
2026-04-17,29.02,29.46,29.5,28.94,1710919,-0.14%
2026-04-16,29.06,29,29.2,28.8,686959,+0.80%
2026-04-15,28.83,28.49,29.5,28.49,2138537,+1.37%
2026-04-14,28.44,28.2,28.49,28.2,902597,+0.96%
2026-04-13,28.17,28,28.33,27.77,1131346,-1.68%
2026-04-10,28.65,27.75,28.75,27.5,1346380,+3.28%
2026-04-09,27.74,28.5,28.5,27.5,1289064,-3.14%
2026-04-08,28.64,28,28.8,27.5,2513153,+8.36%
2026-04-07,26.43,26.02,26.55,25.95,536930,+0.95%
2026-04-06,26.18,26.31,26.34,25.88,610233,-0.30%
2026-04-03,26.26,26,26.33,25.52,253623,-0.11%
2026-04-02,26.29,26.02,26.4,25.89,556664,-0.83%
2026-04-01,26.51,26.23,27,26.21,1233756,+2.00%
2026-03-31,25.99,25.05,26.18,25.05,1035319,+3.59%
2026-03-30,25.09,26.7,26.95,24.01,2220971,-5.96%
2026-03-27,26.68,26.7,26.9,26.6,387126,-0.07%
2026-03-26,26.7,27.34,27.34,26.55,679086,-2.34%
2026-03-25,27.34,27.06,27.43,27.01,979792,+0.92%
2026-03-24,27.09,27.03,27.5,27.03,376968,+0.67%
