date,close,open,high,low,volume,change_pct
"Jun 24, 2026",8.75,8.5,8.84,8.5,112892122,+3.92%
"Jun 23, 2026",8.42,8.2,8.6,8.2,83430084,+2.81%
"Jun 22, 2026",8.19,8.25,8.36,8.12,15781351,+0.49%
"Jun 19, 2026",8.15,7.7,8.45,7.7,31689766,-3.44%
"Jun 18, 2026",8.44,8.4,8.55,8.36,57393719,+0.96%
"Jun 17, 2026",8.36,8.16,8.45,8.15,53633860,+2.70%
"Jun 16, 2026",8.14,8.12,8.26,8.08,40115690,+0.87%
"Jun 15, 2026",8.07,8.29,8.29,8,28576614,+0.25%
"Jun 12, 2026",8.05,7.92,8.1,7.91,16201950,+2.68%
"Jun 11, 2026",7.84,7.8,7.9,7.75,9008812,-0.25%
"Jun 10, 2026",7.86,7.97,8,7.8,7852724,-1.38%
"Jun 09, 2026",7.97,7.95,8.05,7.95,9528635,+1.01%
"Jun 08, 2026",7.89,8.02,8.02,7.78,15817390,-1.62%
"Jun 05, 2026",8.02,8.18,8.22,7.99,11560365,-1.11%
"Jun 04, 2026",8.11,8.03,8.23,8.01,11328146,+1.12%
"Jun 03, 2026",8.02,8.12,8.2,8,13876959,-1.47%
"Jun 02, 2026",8.14,8.15,8.27,8.11,7268063,-0.49%
"Jun 01, 2026",8.18,8.32,8.48,8.14,15503210,-2.15%
"May 29, 2026",8.36,8.41,8.43,8.32,12760492,-0.48%
"May 25, 2026",8.4,8.5,8.55,8.36,18562096,+0.72%
"May 22, 2026",8.34,8.39,8.4,8.22,14214828,+0.00%
"May 21, 2026",8.34,8.33,8.56,8.32,26485553,+0.72%
"May 20, 2026",8.28,8.17,8.33,8.15,11444017,+1.22%
"May 19, 2026",8.18,8.21,8.39,8.14,18359469,+0.37%
"May 18, 2026",8.15,8.36,8.57,8.1,32512543,-3.66%
"May 15, 2026",8.46,8.5,8.72,8.3,78244579,+0.00%
"May 14, 2026",8.46,8.5,8.6,8.38,19654071,-0.47%
"May 13, 2026",8.5,8.6,8.71,8.45,31748282,-0.82%
"May 12, 2026",8.57,9,9.24,8.53,107548005,-4.14%
"May 11, 2026",8.94,8.01,9.12,7.96,376827777,+10.23%
"May 08, 2026",8.11,7.8,8.37,7.7,144424938,+2.40%
"May 07, 2026",7.92,8,8.14,7.85,35619036,-0.88%
"May 06, 2026",7.99,7.81,8.05,7.81,80513955,+4.44%
"May 05, 2026",7.65,7.6,7.7,7.45,17095874,+0.92%
"May 04, 2026",7.58,7.7,7.79,7.52,24524743,+0.26%
"Apr 30, 2026",7.56,7.5,7.65,7.34,20153350,-1.56%
"Apr 29, 2026",7.68,7.7,7.79,7.54,26711003,+0.66%
"Apr 28, 2026",7.63,7.6,7.75,7.6,14960176,-0.78%
"Apr 27, 2026",7.69,7.7,7.88,7.65,21052340,-1.41%
"Apr 24, 2026",7.8,7.53,7.93,7.45,44641845,+3.04%
"Apr 23, 2026",7.57,7.74,7.76,7.48,36128312,-1.69%
"Apr 22, 2026",7.7,7.9,7.91,7.65,31467236,-2.53%
"Apr 21, 2026",7.9,7.98,8.11,7.86,56317557,+0.13%
"Apr 20, 2026",7.89,8.14,8.19,7.7,85682190,-3.90%
"Apr 17, 2026",8.21,7.85,8.25,7.85,134423902,+5.12%
"Apr 16, 2026",7.81,7.86,7.97,7.78,53102169,+0.51%
"Apr 15, 2026",7.77,7.8,7.98,7.68,124915407,+2.37%
"Apr 14, 2026",7.59,7.5,7.64,7.4,30284783,+4.55%
"Apr 13, 2026",7.26,7.25,7.55,7.21,25468082,-4.22%
"Apr 10, 2026",7.58,7.75,7.85,7.53,42831099,-1.17%
"Apr 09, 2026",7.67,7.9,7.9,7.67,63973031,-3.64%
"Apr 08, 2026",7.96,7.84,7.96,7.84,127318813,+13.88%
"Apr 07, 2026",6.99,7.05,7.05,6.99,53600605,-1.69%
"Apr 06, 2026",7.11,7,7.11,7,25438178,+0.42%
"Apr 03, 2026",7.08,7,7.08,7,23241207,-0.42%
"Apr 02, 2026",7.11,6.9,7.11,6.9,56144297,-1.52%
"Apr 01, 2026",7.22,7.07,7.22,7.07,78566008,+4.79%
"Mar 31, 2026",6.89,6.64,6.89,6.64,46922698,+4.08%
"Mar 30, 2026",6.62,6.82,6.82,6.62,56526172,-4.47%
"Mar 27, 2026",6.93,7.06,7.06,6.93,56993072,-1.84%
"Mar 26, 2026",7.06,7.75,7.75,7.06,96740260,-9.49%
"Mar 25, 2026",7.8,7.7,7.8,7.7,36662106,+2.09%
"Mar 24, 2026",7.64,7.9,7.9,7.64,35830953,+0.26%
"Mar 19, 2026",7.62,7.65,7.65,7.62,16576278,-1.42%
"Mar 18, 2026",7.73,7.41,7.73,7.41,26433608,+4.32%
"Mar 17, 2026",7.41,7.27,7.41,7.27,18076305,+1.93%
"Mar 16, 2026",7.27,7.6,7.6,7.27,18424455,-4.22%
"Mar 13, 2026",7.59,7.51,7.59,7.51,15069947,+0.00%
"Mar 12, 2026",7.59,7.48,7.59,7.48,38053693,+1.34%
"Mar 11, 2026",7.49,7.6,7.6,7.49,37690039,-3.10%
"Mar 10, 2026",7.73,7.6,7.73,7.6,53265424,+7.36%
"Mar 09, 2026",7.2,7.39,7.39,7.2,127469387,-7.81%
"Mar 06, 2026",7.81,7.99,7.99,7.81,36917726,-2.98%
"Mar 05, 2026",8.05,7.5,8.05,7.5,115631474,+8.20%
"Mar 04, 2026",7.44,7.4,7.44,7.4,64935841,+2.06%
"Mar 03, 2026",7.29,6.99,7.29,6.99,74401539,+8.81%
