date,close,open,high,low,volume,change_pct
"Jun 24, 2026",10.68,9.9,10.89,9.9,8624082,+7.77%
"Jun 23, 2026",9.91,10.19,10.2,9.6,1988001,-3.03%
"Jun 22, 2026",10.22,10.93,11.19,9.82,12741006,-5.02%
"Jun 19, 2026",10.76,10.76,10.76,10.1,3757433,+10.25%
"Jun 18, 2026",9.76,8.83,9.76,8.74,7588995,+11.42%
"Jun 17, 2026",8.76,8.86,8.93,8.61,694835,-0.57%
"Jun 16, 2026",8.81,8.89,8.93,8.67,480749,+1.38%
"Jun 15, 2026",8.69,8.95,8.95,8.6,400564,+0.58%
"Jun 12, 2026",8.64,8.83,8.88,8.56,359432,+0.00%
"Jun 11, 2026",8.64,8.84,8.84,8.53,405770,-0.58%
"Jun 10, 2026",8.69,8.96,8.96,8.67,406306,-3.01%
"Jun 09, 2026",8.96,9.25,9.3,8.9,2390929,+1.70%
"Jun 08, 2026",8.81,8.49,9.08,8.32,1121255,+4.88%
"Jun 05, 2026",8.4,8.35,8.43,8.22,463325,+2.56%
"Jun 04, 2026",8.19,8.23,8.4,8,1145600,+0.00%
"Jun 03, 2026",8.19,8.32,8.4,8.17,671835,+0.00%
"Jun 02, 2026",8.19,8.39,8.39,8.18,405834,-0.97%
"Jun 01, 2026",8.27,8.3,8.5,8.2,303323,-0.60%
"May 29, 2026",8.32,8.25,8.54,8.16,468016,+0.73%
"May 25, 2026",8.26,8.34,8.35,8.2,46025,+1.47%
"May 22, 2026",8.14,8.3,8.3,8.1,96441,-1.09%
"May 21, 2026",8.23,8.29,8.39,8.2,346281,+0.49%
"May 20, 2026",8.19,8.37,8.37,8.07,59698,+0.24%
"May 19, 2026",8.17,8.55,8.55,8.1,194128,-1.80%
"May 18, 2026",8.32,8.5,8.61,8.1,103844,-2.46%
"May 15, 2026",8.53,8.67,8.7,8.5,359694,-0.35%
"May 14, 2026",8.56,8.52,8.79,8.45,257593,+0.35%
"May 13, 2026",8.53,8.6,8.86,8.45,254212,-2.51%
"May 12, 2026",8.75,8.9,8.95,8.66,351855,-0.57%
"May 11, 2026",8.8,8.95,8.97,8.76,542980,-0.45%
"May 08, 2026",8.84,8.71,9.18,8.65,1148942,+0.23%
"May 07, 2026",8.82,8.61,9.25,8.52,1312511,+1.03%
"May 06, 2026",8.73,8.42,8.98,8.42,1351517,+5.18%
"May 05, 2026",8.3,8.3,8.42,8.2,199314,-0.36%
"May 04, 2026",8.33,8.45,8.65,8.21,512479,+0.12%
"Apr 30, 2026",8.32,8.78,8.78,8.12,1939830,-7.25%
"Apr 29, 2026",8.97,10.15,10.4,8.82,9155528,-7.33%
"Apr 28, 2026",9.68,8.98,9.68,8.76,11271642,+11.52%
"Apr 27, 2026",8.68,8.61,9,8.55,1445594,-2.80%
"Apr 24, 2026",8.93,8.68,9.19,8.55,1038379,+1.36%
"Apr 23, 2026",8.81,8.4,9.4,8.4,2743404,+2.92%
"Apr 22, 2026",8.56,8.75,8.98,8.5,1197835,-2.51%
"Apr 21, 2026",8.78,8.69,9.33,8.55,1479046,+1.04%
"Apr 20, 2026",8.69,8.85,9.03,8.61,450064,-1.70%
"Apr 17, 2026",8.84,9.03,9.1,8.62,336075,+0.68%
"Apr 16, 2026",8.78,8.97,9,8.64,450811,+0.57%
"Apr 15, 2026",8.73,8.9,9.2,8.5,1914849,+2.71%
"Apr 14, 2026",8.5,8.36,8.62,8.36,239927,+1.67%
"Apr 13, 2026",8.36,8.49,8.74,8.25,344334,-6.17%
"Apr 10, 2026",8.91,8.75,9.09,8.67,967836,+3.60%
"Apr 09, 2026",8.6,8.8,8.8,8.6,363331,-5.08%
"Apr 08, 2026",9.06,9.01,9.06,9.01,1141158,+4.62%
"Apr 07, 2026",8.66,8.95,8.95,8.66,2314415,-1.81%
"Apr 06, 2026",8.82,7.94,8.82,7.94,677501,+12.07%
"Apr 03, 2026",7.87,7.69,7.87,7.69,25591,+2.34%
"Apr 02, 2026",7.69,8.05,8.05,7.69,84047,-4.59%
"Apr 01, 2026",8.06,8.25,8.25,8.06,201536,+0.75%
"Mar 31, 2026",8,8,8,8,39385,+0.00%
"Mar 30, 2026",8,8.29,8.29,8,65612,-2.20%
"Mar 27, 2026",8.18,8.31,8.31,8.18,23593,-1.56%
"Mar 26, 2026",8.31,8.5,8.5,8.31,28738,-4.37%
"Mar 25, 2026",8.69,8.44,8.69,8.44,18959,+4.70%
"Mar 24, 2026",8.3,8.48,8.48,8.3,10438,+0.97%
"Mar 19, 2026",8.22,8.47,8.47,8.22,16821,-1.44%
"Mar 18, 2026",8.34,8.5,8.5,8.34,7748,-0.48%
"Mar 17, 2026",8.38,8.25,8.38,8.25,10964,+1.58%
"Mar 16, 2026",8.25,8.59,8.59,8.25,9469,-1.90%
"Mar 13, 2026",8.41,8.12,8.41,8.12,21620,+1.33%
"Mar 12, 2026",8.3,8.45,8.45,8.3,26465,+0.48%
"Mar 11, 2026",8.26,8.4,8.4,8.26,17277,+2.61%
"Mar 10, 2026",8.05,7.82,8.05,7.82,47515,+0.63%
"Mar 09, 2026",8,9,9,8,43677,-8.26%
"Mar 06, 2026",8.72,8.6,8.72,8.6,26500,+4.06%
"Mar 05, 2026",8.38,8.4,8.4,8.38,92239,+3.71%
"Mar 04, 2026",8.08,7.7,8.08,7.7,64215,+4.94%
"Mar 03, 2026",7.7,8,8,7.7,45970,-4.94%
"Mar 02, 2026",8.1,8.22,8.22,8.1,60110,-10.99%
"Feb 27, 2026",9.1,9.08,9.1,9.08,44322,+0.33%
"Feb 26, 2026",9.07,9.79,9.79,9.07,239406,-5.22%
"Feb 25, 2026",9.57,9.84,9.84,9.57,35461,-1.85%
"Feb 24, 2026",9.75,9.91,9.91,9.75,73434,-3.47%
"Feb 23, 2026",10.1,10.8,10.8,10.1,59226,-1.17%
"Feb 20, 2026",10.22,11.25,11.25,10.22,275199,-8.75%
"Feb 19, 2026",11.2,11.89,11.89,11.2,120804,-2.61%
"Feb 18, 2026",11.5,12.35,12.35,11.5,293218,-1.88%
"Feb 17, 2026",11.72,12.1,12.1,11.72,75978,-3.22%
"Feb 16, 2026",12.11,12.5,12.5,12.11,110955,-4.04%
"Feb 13, 2026",12.62,12.53,12.62,12.53,128319,-1.02%
"Feb 12, 2026",12.75,13.17,13.17,12.75,466622,-2.30%
"Feb 11, 2026",13.05,11.85,13.05,11.85,638674,+9.66%
"Feb 10, 2026",11.9,12.04,12.04,11.9,111706,-3.57%
"Feb 09, 2026",12.34,12.38,12.38,12.34,69981,+0.82%
"Feb 06, 2026",12.24,12.7,12.7,12.24,60593,-2.31%
"Feb 04, 2026",12.53,12.53,12.53,12.53,126869,+0.00%
"Feb 03, 2026",12.53,12.52,12.53,12.52,92367,+0.89%
"Feb 02, 2026",12.42,12.59,12.59,12.42,57342,-0.48%
"Jan 30, 2026",12.48,12.34,12.48,12.34,120643,+3.23%
"Jan 29, 2026",12.09,12.8,12.8,12.09,393770,-4.95%
"Jan 28, 2026",12.72,13.4,13.4,12.72,368740,-3.85%
"Jan 27, 2026",13.23,13.55,13.55,13.23,170318,-0.68%
"Jan 26, 2026",13.32,13.6,13.6,13.32,344647,-2.06%
"Jan 23, 2026",13.6,13.8,13.8,13.6,59007,-0.22%
"Jan 22, 2026",13.63,13.82,13.82,13.63,75437,+0.59%
"Jan 21, 2026",13.55,13.8,13.8,13.55,341885,-1.38%
"Jan 20, 2026",13.74,14,14,13.74,287336,-1.08%
"Jan 19, 2026",13.89,14,14,13.89,164287,-0.93%
"Jan 16, 2026",14.02,14,14.02,14,47850,+1.01%
"Jan 15, 2026",13.88,14.08,14.08,13.88,159411,-1.42%
"Jan 14, 2026",14.08,14.4,14.4,14.08,160435,-2.09%
"Jan 13, 2026",14.38,14.6,14.6,14.38,156988,-0.62%
"Jan 12, 2026",14.47,14.6,14.6,14.47,275663,-0.41%
"Jan 09, 2026",14.53,14.36,14.53,14.36,271484,-1.02%
"Jan 08, 2026",14.68,14.56,14.68,14.56,160111,-1.28%
"Jan 07, 2026",14.87,15,15,14.87,405416,-0.47%
"Jan 06, 2026",14.94,15.1,15.1,14.94,1020170,+0.47%
"Jan 05, 2026",14.87,14.79,14.87,14.79,380019,+0.88%
"Jan 02, 2026",14.74,14.75,14.75,14.74,142512,+0.07%
