date,close,open,high,low,volume,change_pct
2026-07-01,49.85,50.99,50.99,49.55,376843,-1.58%
2026-06-30,50.65,49.22,51,49.22,472411,+3.33%
2026-06-29,49.02,48.13,50.98,48.04,508934,+2.04%
2026-06-24,48.04,48.02,48.6,47.5,195279,+0.57%
2026-06-23,47.77,48.64,48.64,47.4,357430,-1.83%
2026-06-22,48.66,51.54,51.56,48.14,690455,-5.59%
2026-06-19,51.54,52.7,54.06,50.5,3112559,+2.63%
2026-06-18,50.22,46.23,50.85,41.66,2674013,+8.63%
2026-06-17,46.23,46.78,46.78,46.07,221812,-1.20%
2026-06-16,46.79,47.3,47.78,46.7,254139,-0.66%
2026-06-15,47.1,46.32,48.1,46.32,316204,+2.06%
2026-06-12,46.15,46.64,47,46,178318,+0.65%
2026-06-11,45.85,44.11,46.08,44.11,197602,-0.54%
2026-06-10,46.1,46.39,46.99,46,125069,-0.63%
2026-06-09,46.39,46,46.8,46,182610,+1.80%
2026-06-08,45.57,46.5,46.5,42.1,218365,-2.46%
2026-06-05,46.72,46.76,47.39,46.6,215076,-0.09%
2026-06-04,46.76,46.6,47.75,46.3,338917,+0.65%
2026-06-03,46.46,46.51,47.3,46.27,157788,-0.85%
2026-06-02,46.86,47.05,47.4,46.05,161619,-0.59%
2026-06-01,47.14,47.46,48.99,47.01,411680,-0.67%
2026-05-29,47.46,47.25,47.99,46.9,332663,-0.40%
2026-05-25,47.65,47.2,48.5,47.2,354225,+1.45%
2026-05-22,46.97,49,49,46.4,337273,-3.67%
2026-05-21,48.76,46.79,49.99,46.41,754872,+5.75%
2026-05-20,46.11,46.8,46.85,45.01,610643,-1.68%
2026-05-19,46.9,48.25,48.8,46.5,439716,-1.35%
2026-05-18,47.54,51.01,51.01,46.11,472173,-6.49%
2026-05-15,50.84,50.52,52.48,50,738535,-0.64%
2026-05-14,51.17,51.75,52.88,50.9,745296,-0.72%
2026-05-13,51.54,53.3,53.89,51.05,986478,-2.33%
2026-05-12,52.77,50.56,54.63,50.5,3353926,+4.37%
2026-05-11,50.56,49.89,52.88,49.3,1775224,+0.90%
2026-05-08,50.11,49.5,51.99,48.52,1606712,+1.33%
2026-05-07,49.45,47.25,50.8,47.02,1479955,+5.37%
2026-05-06,46.93,46.02,48.04,45.5,756485,+1.87%
2026-05-05,46.07,47.2,47.2,45.5,416738,-3.19%
2026-05-04,47.59,49.5,50.46,46.52,756566,-1.67%
2026-04-30,48.4,47.49,49.5,44.01,1642993,+1.30%
2026-04-29,47.78,50.16,50.78,47.4,695026,-4.74%
2026-04-28,50.16,51.4,53,49,1221437,-0.99%
2026-04-27,50.66,50.4,52.6,47.01,1933605,+0.28%
2026-04-24,50.52,56.89,59.66,49.82,6847229,-8.73%
2026-04-23,55.35,49.5,55.35,48.61,8886782,+10.00%
2026-04-22,50.32,52.4,58.47,50.32,6653358,-10.00%
2026-04-21,55.91,57.66,58.65,55.91,5949765,-10.00%
2026-04-20,62.12,66,67,62.12,3202209,-10.00%
2026-04-17,69.02,72,73,68.57,9077176,-9.41%
2026-04-16,76.19,78.1,84.66,76.19,3292964,-10.00%
2026-04-15,84.66,88.01,89.97,84.66,2770551,-10.00%
2026-04-14,94.07,106,110,94.07,939895,-10.00%
2026-04-13,104.52,95.4,104.52,95.4,1495065,+10.00%
2026-04-10,95.02,94.02,95.02,87.26,434489,+10.00%
2026-04-09,86.38,80.1,86.38,77,827849,+10.00%
2026-04-08,78.53,73.88,78.53,72,299688,+10.00%
2026-04-07,71.39,73.52,79,68.11,386075,-1.71%
2026-04-06,72.63,68.2,72.63,67.01,404944,+10.00%
2026-04-03,66.03,59,68.7,59,47743,+1.52%
2026-04-02,65.04,65,66.9,63.5,36279,-4.40%
2026-04-01,68.03,65.9,72.44,65.9,259186,+3.31%
2026-03-31,65.85,63,66.39,63,149127,+4.46%
2026-03-30,63.04,71.38,75,62.98,696257,-9.92%
2026-03-27,69.98,64,69.98,63.15,818469,+10.00%
2026-03-26,63.62,62.49,64.5,61.5,116337,+3.35%
2026-03-25,61.56,60.99,61.75,60.02,91766,+2.57%
2026-03-24,60.02,59.2,63,59.15,76374,+1.21%
2026-03-19,59.3,59.89,60.5,59,44229,-0.85%
2026-03-18,59.81,62.27,62.27,59.7,56970,-0.93%
2026-03-17,60.37,61,63.5,59.85,46554,+0.55%
2026-03-16,60.04,60.5,61.5,59.65,63902,-0.28%
2026-03-13,60.21,60.28,61.99,59.9,67546,-1.52%
2026-03-12,61.14,62.2,63.5,60,184152,-1.99%
2026-03-11,62.38,64.89,65,62.1,256547,+2.75%
2026-03-10,60.71,56.99,60.71,56.99,191224,+10.00%
2026-03-09,55.19,59.25,61,54.56,124873,-8.96%
2026-03-06,60.62,58.3,61.8,57.9,499203,+5.61%
2026-03-05,57.4,57.06,58.3,57.06,210297,+3.31%
2026-03-04,55.56,50.51,55.56,50.3,107529,+10.00%
2026-03-03,50.51,47.03,51.99,47.03,54052,-1.35%
2026-03-02,51.2,51.2,53,51.2,197490,-10.00%
2026-02-27,56.89,56.02,58.9,55.7,196127,+1.79%
2026-02-26,55.89,52,56.16,47.5,372510,+9.48%
2026-02-25,51.05,52.2,52.79,50.5,127494,-1.28%
2026-02-24,51.71,50.65,54,50,142873,+2.19%
2026-02-23,50.6,46,50.6,46,343481,+10.00%
2026-02-20,46,50,50,44.5,43871,-6.28%
2026-02-19,49.08,52,52,48.75,99707,-2.83%
2026-02-18,50.51,51,52.3,49.2,162671,-0.18%
2026-02-17,50.6,49.1,52.5,47.05,1002263,+0.66%
2026-02-16,50.27,57,57.9,50.27,2535310,-10.01%
2026-02-13,55.86,52,55.86,51,520261,+10.00%
2026-02-12,50.78,55.3,56.99,50.15,832291,-8.12%
2026-02-11,55.27,57.9,60.6,53.07,727725,+0.22%
2026-02-10,55.15,58.01,60.5,54.15,336492,-7.85%
2026-02-09,59.85,68,68,59.85,864902,-10.00%
2026-02-06,66.5,68.99,69.8,63.2,154998,-1.51%
2026-02-04,67.52,65.3,71.59,63,532892,+0.09%
2026-02-03,67.46,74.49,74.89,67.46,1039994,-10.01%
2026-02-02,74.96,71.25,76,71.25,956521,+8.06%
2026-01-30,69.37,57.51,69.37,56.75,1828992,+10.01%
2026-01-29,63.06,70,70,63.06,679693,-10.00%
2026-01-28,70.07,80.99,80.99,70.07,726810,-9.99%
2026-01-27,77.85,73.96,80.99,73.96,572140,+5.26%
2026-01-26,73.96,62.6,73.96,62.6,1393188,+9.99%
2026-01-23,67.24,67.24,67.24,61.3,679128,+10.00%
2026-01-22,61.13,61.8,65,60.05,268505,-4.54%
2026-01-21,64.04,65.57,68.49,62.1,701781,-6.65%
2026-01-20,68.6,74,74,67.9,656880,-5.67%
2026-01-19,72.72,71,74.5,63,2824698,+6.93%
2026-01-16,68.01,63,68.01,63,2482720,+10.00%
2026-01-15,61.83,57.8,61.83,57.2,2750434,+10.00%
2026-01-14,56.21,53,56.21,51.5,3155658,+10.00%
2026-01-13,51.1,47,51.1,47,2106407,+10.01%
2026-01-12,46.45,45.45,46.45,43.6,1884085,+9.99%
2026-01-09,42.23,39.4,42.23,39.22,1475860,+10.00%
2026-01-08,38.39,35.49,38.39,34.21,1154278,+10.00%
2026-01-07,34.9,36.15,36.15,34.01,147970,-3.24%
2026-01-06,36.07,38.8,38.8,34.4,1024262,+0.90%
2026-01-05,35.75,32.75,35.75,32.11,1449332,+10.00%
2026-01-02,32.5,34.5,34.5,32.01,885713,-6.72%
2026-01-01,34.84,32,35.2,31.61,4094457,+8.88%
2025-12-31,32,32.2,32.2,31.01,79850,-0.16%
2025-12-30,32.05,31.32,32.4,31.31,303825,+0.56%
2025-12-29,31.87,31.5,32.49,31.5,397936,-0.25%
2025-12-26,31.95,32.95,32.95,31.5,325675,-0.84%
2025-12-24,32.22,31.9,32.38,31.2,328395,+0.85%
2025-12-23,31.95,33,33,31.16,427692,-2.50%
2025-12-22,32.77,33.35,33.5,32.6,161515,-1.77%
2025-12-19,33.36,33.5,34.3,33.07,526046,+0.66%
2025-12-18,33.14,33.31,33.91,33.07,219075,-0.51%
2025-12-17,33.31,33.52,33.85,33.2,236391,-0.63%
2025-12-16,33.52,33.98,35.38,33.33,957058,-0.68%
2025-12-15,33.75,34.33,34.34,33.51,321165,-0.85%
2025-12-12,34.04,34.21,34.25,33.5,192562,-0.50%
2025-12-11,34.21,34.1,34.85,33.01,537511,+0.47%
2025-12-10,34.05,34.4,34.85,33.8,718532,-0.38%
2025-12-09,34.18,35.05,35.49,34.01,530473,-2.57%
2025-12-08,35.08,34.99,36.48,34.51,3325928,+1.04%
2025-12-05,34.72,34.01,35.8,33.75,1156655,+1.46%
2025-12-04,34.22,35.7,35.7,33.5,1175066,-2.37%
2025-12-03,35.05,36.2,36.72,34.6,2167203,-2.75%
2025-12-02,36.04,38.15,39.75,34.8,6459440,-5.53%
2025-12-01,38.15,37,39.94,34.5,2439942,+4.21%
2025-11-28,36.61,36.61,39.5,36.61,3870837,-10.00%
2025-11-27,40.68,40.68,40.68,40.68,263696,-10.00%
2025-11-26,45.2,49.99,49.99,45.2,531328,-10.00%
2025-11-25,50.22,56,56.97,50.02,1153185,-9.64%
2025-11-24,55.58,59.3,59.3,53.15,135629,-4.96%
2025-11-21,58.48,61.98,62.48,57.23,659944,-6.78%
2025-11-20,62.73,63,65,61.5,1510457,+4.29%
2025-11-19,60.15,55,60.15,55,1473041,+10.00%
2025-11-18,54.68,59.31,61,54.68,2533037,-10.01%
2025-11-17,60.76,70,71.75,60.76,2487331,-10.00%
2025-11-14,67.51,62.96,67.51,61,1847900,+10.00%
2025-11-13,61.37,62.5,65.9,60.8,696576,+0.25%
2025-11-12,61.22,62.05,65,60.36,1129082,-8.72%
2025-11-11,67.07,73.5,73.5,67.07,1312625,-10.00%
2025-11-10,74.52,68.31,75.14,62.1,1786252,+9.09%
2025-11-07,68.31,65.5,68.31,64,1074241,+10.00%
2025-11-06,62.1,57.5,62.1,57.5,1008392,+10.01%
2025-11-05,56.45,56.44,56.47,54,1408985,+9.95%
2025-11-04,51.34,47.9,51.34,44.1,1053751,+10.01%
2025-11-03,46.67,48.11,50.5,45,1013060,-2.59%
