date,close,open,high,low,volume,change_pct
2026-07-01,6.63,6.75,6.79,6.59,5900283,-1.49%
2026-06-30,6.73,6.55,6.93,6.42,38743100,+3.70%
2026-06-29,6.49,6.65,6.89,6.45,9171853,-2.99%
2026-06-24,6.69,6.6,6.92,6.56,20610130,+1.67%
2026-06-23,6.58,6.7,6.75,6.51,12415649,-1.35%
2026-06-22,6.67,7.13,7.13,6.64,21866440,-4.17%
2026-06-19,6.96,7,7.29,6.8,80623560,-0.29%
2026-06-18,6.98,6.59,7.18,6.43,230182300,+7.72%
2026-06-17,6.48,6.15,6.71,6.07,72276010,+6.93%
2026-06-16,6.06,6.36,6.45,6.02,14732020,-3.19%
2026-06-15,6.26,6.1,6.46,5.92,64128720,+6.46%
2026-06-12,5.88,5.84,6.17,5.75,57747470,+2.62%
2026-06-11,5.73,5.64,5.94,5.63,24398070,+1.60%
2026-06-10,5.64,5.53,5.72,5.41,9106658,+3.68%
2026-06-09,5.44,5.39,5.58,5.37,4201542,+2.06%
2026-06-08,5.33,5.45,5.45,5.26,2484764,-2.20%
2026-06-05,5.45,5.38,5.53,5.38,7089343,+1.30%
2026-06-04,5.38,5.55,5.57,5.24,20175460,-2.54%
2026-06-03,5.52,5.68,5.68,5.5,1984390,-1.08%
2026-06-02,5.58,5.5,5.65,5.45,3291068,+1.82%
2026-06-01,5.48,5.51,5.59,5.44,6329986,+0.55%
2026-05-29,5.45,5.56,5.63,5.4,5061567,-1.98%
2026-05-25,5.56,5.52,5.69,5.52,1186527,+1.09%
2026-05-22,5.5,5.75,5.76,5.45,2135395,-2.31%
2026-05-21,5.63,5.7,5.8,5.6,3088245,-0.35%
2026-05-20,5.65,5.59,5.7,5.56,2155273,+1.07%
2026-05-19,5.59,5.82,5.82,5.57,3250406,-1.06%
2026-05-18,5.65,5.85,6.04,5.6,12341140,-2.25%
2026-05-15,5.78,5.8,5.91,5.74,2171336,-0.34%
2026-05-14,5.8,5.82,6.04,5.7,5657822,+0.00%
2026-05-13,5.8,6,6.1,5.75,3498046,-2.52%
2026-05-12,5.95,5.85,6.22,5.85,19721310,+1.71%
2026-05-11,5.85,5.7,5.89,5.6,5989665,+1.92%
2026-05-08,5.74,5.7,5.9,5.65,5218707,-1.03%
2026-05-07,5.8,5.8,5.94,5.77,2419614,+0.00%
2026-05-06,5.8,5.56,5.86,5.56,7507564,+6.03%
2026-05-05,5.47,5.4,5.58,5.35,2462789,-0.36%
2026-05-04,5.49,5.4,5.79,5.37,5062407,+2.04%
2026-04-30,5.38,5.7,5.7,5.33,5965352,-6.43%
2026-04-29,5.75,6.1,6.18,5.65,7648449,-4.80%
2026-04-28,6.04,6.15,6.27,6.02,6645064,-3.36%
2026-04-27,6.25,6.02,6.45,5.97,19051320,+2.46%
2026-04-24,6.1,6.46,6.46,6.02,18495800,-5.13%
2026-04-23,6.43,6.26,6.72,6.01,69436820,+3.88%
2026-04-22,6.19,5.8,6.29,5.8,48900150,+5.99%
2026-04-21,5.84,5.36,6.15,5.36,48867480,+9.36%
2026-04-20,5.34,5.43,5.64,5.15,8480332,-4.47%
2026-04-17,5.59,5.65,5.72,5.53,6489437,+0.18%
2026-04-16,5.58,5.64,5.85,5.51,15235150,+0.00%
2026-04-15,5.58,5.4,5.87,5.4,17697070,+4.30%
2026-04-14,5.35,5.25,5.4,5.25,7490018,+4.70%
2026-04-13,5.11,5.44,5.49,5.04,19447320,-9.88%
2026-04-10,5.67,4.92,5.88,4.92,35750020,+15.48%
2026-04-09,4.91,5.05,5.1,4.8,7698681,-3.35%
2026-04-08,5.08,4.9,5.11,4.79,11968320,+13.39%
2026-04-07,4.48,4.45,4.5,4.31,1848576,+0.22%
2026-04-06,4.47,4.32,4.54,4.25,3401266,+3.71%
2026-04-03,4.31,4.21,4.44,4.15,2369378,+0.94%
2026-04-02,4.27,4.39,4.4,4.2,1703598,-4.69%
2026-04-01,4.48,4.3,4.6,4.3,3527891,+6.41%
2026-03-31,4.21,4.13,4.33,4.13,1847745,+0.48%
2026-03-30,4.19,4.48,4.48,4.11,2224300,-4.34%
2026-03-27,4.38,4.5,4.54,4.36,2010930,-1.57%
2026-03-26,4.45,4.66,4.66,4.43,2334753,-4.71%
2026-03-25,4.67,4.6,4.84,4.52,3113140,+3.55%
2026-03-24,4.51,4.8,4.8,4.47,3531786,-1.10%
2026-03-19,4.56,4.68,4.68,4.5,1511646,-2.56%
2026-03-18,4.68,4.49,4.76,4.45,3408257,+5.41%
2026-03-17,4.44,4.53,4.8,4.4,3005305,-4.31%
2026-03-16,4.64,4.79,5.12,4.52,14642770,-3.13%
2026-03-13,4.79,4.05,4.97,3.95,14203870,+19.75%
2026-03-12,4,3.91,4.05,3.87,1230719,+0.50%
2026-03-11,3.98,3.99,4.06,3.89,2474571,+1.02%
2026-03-10,3.94,3.99,4.07,3.81,3194179,+12.89%
2026-03-09,3.49,3.9,3.91,3.41,5294808,-13.40%
2026-03-06,4.03,4.18,4.18,3.9,3438820,-1.95%
2026-03-05,4.11,3.84,4.19,3.83,3883850,+7.31%
2026-03-04,3.83,3.93,3.93,3.65,3443475,+1.86%
2026-03-03,3.76,3.4,3.82,3.4,6501408,+10.59%
2026-03-02,3.4,3.5,3.83,3.31,6351415,-18.85%
2026-02-27,4.19,4.25,4.25,4.03,4030034,-2.10%
2026-02-26,4.28,4.17,4.34,4.06,6034749,+3.38%
2026-02-25,4.14,4.02,4.27,4.02,6568174,+3.50%
2026-02-24,4,4,4.17,3.82,5708944,-0.50%
2026-02-23,4.02,4.5,4.5,3.87,4988437,-8.84%
2026-02-20,4.41,4.8,4.85,4.35,9164196,-8.12%
2026-02-19,4.8,5.26,5.39,4.59,4581957,-8.75%
2026-02-18,5.26,5.08,5.3,5.03,2576221,+4.16%
2026-02-17,5.05,5.35,5.47,5.01,5431599,-6.83%
2026-02-16,5.42,5.85,5.87,5.35,4642682,-6.87%
2026-02-13,5.82,6.02,6.02,5.8,2296495,-1.36%
2026-02-12,5.9,6.11,6.24,5.83,3922360,-3.28%
2026-02-11,6.1,6.06,6.16,6,2319385,+1.50%
2026-02-10,6.01,6.13,6.13,6,3572257,-1.31%
2026-02-09,6.09,6.13,6.25,6.05,3252897,-0.33%
2026-02-06,6.11,6.3,6.4,6.08,4803270,-2.40%
2026-02-04,6.26,6.19,6.31,6.11,3167348,+3.47%
2026-02-03,6.05,6.33,6.47,6,11458840,-0.66%
2026-02-02,6.09,6.07,6.2,5.9,5638400,+0.50%
2026-01-30,6.06,6.21,6.36,6.03,6525093,-2.42%
2026-01-29,6.21,6.5,6.5,6.12,2662307,-4.31%
2026-01-28,6.49,6.42,6.55,6.35,5873810,+1.56%
2026-01-27,6.39,6.41,6.6,6.38,4804527,-1.24%
2026-01-26,6.47,6.52,6.61,6.46,3240632,-1.37%
2026-01-23,6.56,6.76,6.85,6.53,2534067,-2.24%
2026-01-22,6.71,6.76,6.89,6.68,2157232,-0.30%
2026-01-21,6.73,6.69,6.88,6.54,10898980,+1.66%
2026-01-20,6.62,6.6,6.66,6.48,5477536,+1.38%
2026-01-19,6.53,6.5,6.68,6.5,3951087,+0.00%
2026-01-16,6.53,6.61,6.64,6.5,2573401,-0.61%
2026-01-15,6.57,6.72,6.72,6.51,1827117,+0.31%
2026-01-14,6.55,6.85,6.85,6.53,3216261,-2.24%
2026-01-13,6.7,6.95,6.95,6.66,4013995,-2.05%
