date,close,open,high,low,volume,change_pct
2026-07-01,14.48,14.51,14.61,14.43,3150488,+0.98%
2026-06-30,14.34,14.49,14.7,14.3,1661069,+0.07%
2026-06-29,14.33,14.6,14.74,14.28,2512977,-2.05%
2026-06-24,14.63,14.68,14.75,14.5,3282577,+0.21%
2026-06-23,14.6,15.01,15.01,14.44,7638939,-1.35%
2026-06-22,14.8,14.68,15.69,14.68,23907490,+2.21%
2026-06-19,14.48,14.85,14.99,14.25,5937087,-1.70%
2026-06-18,14.73,14.75,15.25,14.69,11029300,-0.07%
2026-06-17,14.74,15.2,15.25,14.69,7428193,-1.67%
2026-06-16,14.99,15.15,15.4,14.87,11428560,+0.33%
2026-06-15,14.94,15.64,15.64,14.86,11742390,-0.73%
2026-06-12,15.05,15.1,15.7,14.69,16194850,+0.67%
2026-06-11,14.95,14.21,15.24,13.91,30774930,+5.50%
2026-06-10,14.17,13.48,14.76,13.4,33992370,+4.42%
2026-06-09,13.57,13.44,13.68,13.25,3986683,+2.57%
2026-06-08,13.23,13.26,13.37,13.19,1670407,-1.93%
2026-06-05,13.49,13.57,13.69,13.26,2582242,+0.45%
2026-06-04,13.43,13.49,13.59,13.35,979408,+0.30%
2026-06-03,13.39,13.46,13.54,13.31,1193498,-1.18%
2026-06-02,13.55,13.6,13.8,13.5,2762213,-0.51%
2026-06-01,13.62,13.59,14.04,13.45,7257176,+0.15%
2026-05-29,13.6,13.45,13.7,13.3,2314594,+1.87%
2026-05-25,13.35,13.41,13.49,13.25,1228162,+1.44%
2026-05-22,13.16,13.3,13.3,13.1,566838,-0.60%
2026-05-21,13.24,13.26,13.45,13.15,1330118,+1.61%
2026-05-20,13.03,13.1,13.1,12.76,962429,+1.40%
2026-05-19,12.85,12.77,13.1,12.77,1707234,+0.39%
2026-05-18,12.8,13.25,13.35,12.75,1940559,-3.61%
2026-05-15,13.28,13.26,13.53,13.16,1533872,+0.15%
2026-05-14,13.26,13.6,13.69,13.2,2010878,-1.19%
2026-05-13,13.42,13.57,13.69,13.36,1871135,-0.81%
2026-05-12,13.53,13.91,14.1,13.46,6351249,-1.46%
2026-05-11,13.73,13.5,13.99,13.4,5904492,+0.37%
2026-05-08,13.68,13.49,13.9,13.35,5474258,+0.07%
2026-05-07,13.67,13.98,14.15,13.57,6519995,-1.51%
2026-05-06,13.88,13.66,14.25,13.44,23129300,+4.36%
2026-05-05,13.3,13.05,13.44,13.01,2998894,+0.83%
2026-05-04,13.19,13.31,13.84,13.02,11670120,+0.53%
2026-04-30,13.12,13.49,13.49,12.65,13039120,-4.44%
2026-04-29,13.73,15.08,15.4,13.6,45343500,-7.10%
2026-04-28,14.78,13.29,14.78,13.29,60112940,+9.97%
