date,close,open,high,low,volume,change_pct
"Jun 24, 2026",28.07,28.3,28.53,28.01,4843195,-0.53%
"Jun 23, 2026",28.22,28.86,28.86,28,4181030,-1.16%
"Jun 22, 2026",28.55,28.79,29.1,28.25,10743831,+0.32%
"Jun 19, 2026",28.46,29.05,29.95,28.1,31177846,-0.87%
"Jun 18, 2026",28.71,28.5,29.15,28.25,7846104,+1.23%
"Jun 17, 2026",28.36,28.73,28.93,28.3,12578099,-0.56%
"Jun 16, 2026",28.52,28.56,29,27.87,108119661,-0.59%
"Jun 15, 2026",28.69,29.05,29.25,28.6,1463175,-0.28%
"Jun 12, 2026",28.77,29.19,29.51,28.56,1508376,-0.66%
"Jun 11, 2026",28.96,28.5,29.1,28.21,1299551,+0.66%
"Jun 10, 2026",28.77,29.15,29.37,28.56,1954284,-1.44%
"Jun 09, 2026",29.19,29.25,30.2,28.99,13722895,+1.14%
"Jun 08, 2026",28.86,27.8,29,27.65,3759977,+2.89%
"Jun 05, 2026",28.05,27.51,28.8,27.51,2209838,+2.22%
"Jun 04, 2026",27.44,27.89,28.23,27.3,1722024,-1.61%
"Jun 03, 2026",27.89,28.11,28.57,27.75,1152281,-2.14%
"Jun 02, 2026",28.5,28.07,29.21,28.05,4877130,+0.32%
"Jun 01, 2026",28.41,29,29.1,28.25,1222607,-2.03%
"May 29, 2026",29,28.15,30.32,28.15,15413819,+3.57%
"May 25, 2026",28,27.11,28.1,26.9,2688764,+3.82%
"May 22, 2026",26.97,27.15,27.35,26.85,639651,-0.19%
"May 21, 2026",27.02,26.66,27.15,26.35,833108,+1.85%
"May 20, 2026",26.53,26.5,26.79,26.1,837757,+1.14%
"May 19, 2026",26.23,26.45,26.6,25.6,531875,+0.81%
"May 18, 2026",26.02,26.84,26.84,26,656513,-2.47%
"May 15, 2026",26.68,26.99,27.45,26.5,1376199,-1.15%
"May 14, 2026",26.99,27.27,27.3,26.85,677212,-0.04%
"May 13, 2026",27,27.35,27.4,26.9,1133988,-0.99%
"May 12, 2026",27.27,27.38,27.7,27.07,890442,-0.58%
"May 11, 2026",27.43,27.2,27.65,27,449776,+0.11%
"May 08, 2026",27.4,27.31,27.99,27.16,481072,-1.37%
"May 07, 2026",27.78,28.45,28.45,27.51,1936954,-0.68%
"May 06, 2026",27.97,26.56,28.1,26.56,4264197,+7.00%
"May 05, 2026",26.14,26,26.44,25.91,299678,-0.42%
"May 04, 2026",26.25,27,27.1,26,900584,-0.11%
"Apr 30, 2026",26.28,26.03,26.7,25.8,2536013,-0.94%
"Apr 29, 2026",26.53,26.9,27.45,26.02,4011758,-1.19%
"Apr 28, 2026",26.85,27,28,26.7,2485121,-2.75%
"Apr 27, 2026",27.61,28.9,28.9,27.16,3178283,-4.13%
"Apr 24, 2026",28.8,27.52,30.6,27.25,4115920,+3.52%
"Apr 23, 2026",27.82,27.7,28,27.52,1249375,+0.25%
"Apr 22, 2026",27.75,28.24,28.8,27.6,1714219,-1.74%
"Apr 21, 2026",28.24,29.04,29.49,27.61,6172953,-2.72%
"Apr 20, 2026",29.03,29.9,30.89,28.05,14654320,-2.91%
"Apr 17, 2026",29.9,28.34,30.84,28.15,29770494,+6.63%
"Apr 16, 2026",28.04,25.62,28.04,25.49,31238568,+10.00%
"Apr 15, 2026",25.49,25.01,26.15,24.9,13111629,+2.49%
"Apr 14, 2026",24.87,24.71,25.1,24.5,6209308,+3.24%
"Apr 13, 2026",24.09,24,24.95,23.61,5645035,-2.55%
"Apr 10, 2026",24.72,24.1,24.89,23.9,3584056,+2.70%
"Apr 09, 2026",24.07,24.99,24.99,24.07,1077736,-4.71%
"Apr 08, 2026",25.26,25.01,25.26,25.01,4175080,+7.49%
"Apr 07, 2026",23.5,23.8,23.8,23.5,414499,-1.34%
"Apr 06, 2026",23.82,23.61,23.82,23.61,1026146,+0.93%
"Apr 03, 2026",23.6,22.5,23.6,22.5,403819,-1.17%
"Apr 02, 2026",23.88,24,24,23.88,787017,-2.17%
"Apr 01, 2026",24.41,23.65,24.41,23.65,2580492,+3.56%
"Mar 31, 2026",23.57,23.71,23.71,23.57,764888,-0.63%
"Mar 30, 2026",23.72,24,24,23.72,1746212,-1.50%
"Mar 27, 2026",24.08,23.01,24.08,23.01,6282869,+2.64%
"Mar 26, 2026",23.46,23.8,23.8,23.46,3203461,-2.09%
"Mar 25, 2026",23.96,23.28,23.96,23.28,8227292,+4.13%
"Mar 24, 2026",23.01,23.85,23.85,23.01,726300,-0.82%
"Mar 19, 2026",23.2,23.12,23.2,23.12,1012532,+0.35%
"Mar 18, 2026",23.12,22.5,23.12,22.5,749409,+2.71%
"Mar 17, 2026",22.51,22.7,22.7,22.51,404023,-0.18%
"Mar 16, 2026",22.55,21.98,22.55,21.98,2549030,+1.17%
"Mar 13, 2026",22.29,22.6,22.6,22.29,2320970,-1.11%
"Mar 12, 2026",22.54,23.49,23.49,22.54,5317536,-0.22%
"Mar 11, 2026",22.59,21.72,22.59,21.72,2056735,+9.98%
"Mar 10, 2026",20.54,19.2,20.54,19.2,499799,+10.02%
"Mar 09, 2026",18.67,20.3,20.3,18.67,2336563,-8.70%
"Mar 06, 2026",20.45,21,21,20.45,344237,-2.57%
"Mar 05, 2026",20.99,20.01,20.99,20.01,3794897,+4.90%
"Mar 04, 2026",20.01,20.53,20.53,20.01,1418219,-4.12%
"Mar 03, 2026",20.87,19.8,20.87,19.8,2115693,+4.45%
"Mar 02, 2026",19.98,20.75,20.75,19.98,2161529,-10.00%
"Feb 27, 2026",22.2,21.5,22.2,21.5,2743022,+2.87%
"Feb 26, 2026",21.58,20.8,21.58,20.8,1286158,+2.96%
"Feb 25, 2026",20.96,21.6,21.6,20.96,833207,-1.83%
"Feb 24, 2026",21.35,21.07,21.35,21.07,2157395,+1.67%
"Feb 23, 2026",21,22.78,22.78,21,631503,-7.65%
"Feb 20, 2026",22.74,23.5,23.5,22.74,537418,-1.90%
"Feb 19, 2026",23.18,24.15,24.15,23.18,963646,-3.34%
"Feb 18, 2026",23.98,23.8,23.98,23.8,1631747,+0.80%
"Feb 17, 2026",23.79,23.5,23.79,23.5,3580963,+1.49%
"Feb 16, 2026",23.44,23.44,23.44,23.44,3798706,+1.52%
"Feb 13, 2026",23.09,23.65,23.65,23.09,2043571,-0.73%
"Feb 12, 2026",23.26,24.1,24.1,23.26,982988,-3.20%
"Feb 11, 2026",24.03,24.25,24.25,24.03,3578983,-0.37%
"Feb 10, 2026",24.12,22.9,24.12,22.9,5155457,+5.33%
"Feb 09, 2026",22.9,24.2,24.2,22.9,5179445,-5.18%
"Feb 06, 2026",24.15,25.03,25.03,24.15,6952944,-3.55%
