date,close,open,high,low,volume,change_pct
2026-07-01,5.57,5.58,5.73,5.55,1471691,-1.07%
2026-06-30,5.63,5.48,5.76,5.37,2310797,+4.07%
2026-06-29,5.41,5.51,5.55,5.39,1197462,-1.81%
2026-06-24,5.51,5.5,5.63,5.4,1128100,+1.29%
2026-06-23,5.44,5.44,5.8,5.4,1925796,+0.00%
2026-06-22,5.44,5.57,5.58,5.37,2138654,-1.63%
2026-06-19,5.53,5.67,5.74,5.5,1509673,-1.78%
2026-06-18,5.63,5.9,5.94,5.61,2233915,-3.26%
2026-06-17,5.82,5.7,6.08,5.7,17209990,+3.56%
2026-06-16,5.62,5.57,5.83,5.5,4949466,+1.81%
2026-06-15,5.52,5.56,5.61,5.45,729822,+0.55%
2026-06-12,5.49,5.5,5.64,5.47,1739449,+0.00%
2026-06-11,5.49,5.58,5.6,5.45,655210,+0.00%
2026-06-10,5.49,5.6,5.63,5.48,982565,-0.90%
2026-06-09,5.54,5.62,5.75,5.51,4337416,+0.73%
2026-06-08,5.5,5.45,5.7,5.31,2852848,+0.92%
2026-06-05,5.45,5.54,5.54,5.41,1027886,+0.00%
2026-06-04,5.45,5.45,5.55,5.32,1369348,+1.49%
2026-06-03,5.37,5.4,5.45,5.3,1264085,-0.37%
2026-06-02,5.39,5.4,5.49,5.35,610051,-0.74%
2026-06-01,5.43,5.55,5.55,5.42,604390,-1.09%
2026-05-29,5.49,5.62,5.63,5.42,1552097,-1.08%
2026-05-25,5.55,5.71,5.73,5.52,739276,-0.18%
2026-05-22,5.56,5.66,5.79,5.51,2021555,-1.07%
2026-05-21,5.62,5.65,5.83,5.51,3714266,+2.18%
2026-05-20,5.5,5.43,5.65,5.41,850864,+1.29%
2026-05-19,5.43,5.35,5.64,5.35,2195897,+0.37%
2026-05-18,5.41,5.75,5.78,5.3,1791385,-4.08%
2026-05-15,5.64,5.77,5.9,5.6,5957550,-1.74%
2026-05-14,5.74,5.81,6.15,5.65,23586230,+2.32%
2026-05-13,5.61,5.4,6.09,5.27,21686020,+4.47%
2026-05-12,5.37,5.47,5.6,5.35,730027,-0.92%
2026-05-11,5.42,5.32,5.48,5.27,363674,+0.93%
2026-05-08,5.37,5.35,5.46,5.35,1348965,-0.56%
2026-05-07,5.4,5.55,5.55,5.36,877292,-1.46%
2026-05-06,5.48,5.55,5.59,5.35,1098857,+2.43%
2026-05-05,5.35,5.25,5.45,5.2,889588,+1.13%
2026-05-04,5.29,5.46,5.53,5.25,1926550,+0.95%
2026-04-30,5.24,5.3,5.32,5.16,1277568,-1.69%
2026-04-29,5.33,5.64,5.64,5.28,1428880,-4.14%
2026-04-28,5.56,5.59,6,5.5,4417177,-0.54%
2026-04-27,5.59,5.55,5.75,5.43,228428,+0.72%
2026-04-24,5.55,5.58,5.6,5.42,707516,-0.36%
2026-04-23,5.57,5.4,5.6,5.35,827578,+3.53%
2026-04-22,5.38,5.7,5.7,5.3,1357783,-3.76%
2026-04-21,5.59,5.6,5.8,5.55,1220034,-0.89%
2026-04-20,5.64,5.85,5.87,5.4,1617899,-2.76%
2026-04-17,5.8,5.88,5.9,5.75,6520380,+1.05%
2026-04-16,5.74,5.43,5.88,5.4,7029582,+6.89%
2026-04-15,5.37,5.44,5.54,5.35,1799372,+1.32%
2026-04-14,5.3,5.3,5.55,5.28,2129990,+1.53%
2026-04-13,5.22,5.33,5.33,5.2,357630,-4.57%
2026-04-10,5.47,5.32,5.56,5.3,1690828,+1.86%
