date,close,open,high,low,volume,change_pct
2026-07-01,11.37,11.24,11.6,11.2,4021642,+2.16%
2026-06-30,11.13,10.6,11.4,10.35,5232377,+7.02%
2026-06-29,10.4,10.69,10.69,10.15,1317527,-1.42%
2026-06-24,10.55,10.69,10.7,10.4,783650,+0.76%
2026-06-23,10.47,10.58,10.79,10.3,1586695,+1.65%
2026-06-22,10.3,10.79,10.79,10.2,1881733,-1.72%
2026-06-19,10.48,10.7,11,10.35,4164633,-1.96%
2026-06-18,10.69,10.84,10.85,10.63,1634449,-2.11%
2026-06-17,10.92,10.1,11.21,10.1,12448260,+7.16%
2026-06-16,10.19,10.19,10.39,9.86,1385567,+2.41%
2026-06-15,9.95,10.13,10.13,9.84,1062918,+1.32%
2026-06-12,9.82,10.15,10.15,9.76,505635,-0.71%
2026-06-11,9.89,10.08,10.08,9.85,616103,-0.40%
2026-06-10,9.93,10.01,10.4,9.85,604155,-0.80%
2026-06-09,10.01,10.2,10.48,9.83,1622342,+1.93%
2026-06-08,9.82,9.65,10.25,9.4,2869730,+2.72%
2026-06-05,9.56,9.56,9.59,9.2,675846,+1.38%
2026-06-04,9.43,9.35,9.6,9.26,851158,+0.96%
2026-06-03,9.34,9.21,9.47,9.12,112786,+1.41%
2026-06-02,9.21,9.5,9.5,9.01,320626,+1.54%
2026-06-01,9.07,9.25,9.25,9,253540,-1.09%
2026-05-29,9.17,9.25,9.3,9.01,492425,-0.86%
2026-05-25,9.25,9.01,9.34,9.01,528328,-0.22%
2026-05-22,9.27,9.29,9.45,9.05,920413,+1.31%
2026-05-21,9.15,9.1,9.35,8.94,1566476,+2.58%
2026-05-20,8.92,9,9.1,8.84,330331,-0.11%
2026-05-19,8.93,9.21,9.21,8.9,304299,+0.45%
2026-05-18,8.89,9.1,9.19,8.82,494322,-1.88%
2026-05-15,9.06,9,9.19,9,749364,-0.44%
2026-05-14,9.1,9.41,9.57,9.05,1460396,-2.26%
2026-05-13,9.31,9.14,9.7,8.93,2555848,+3.44%
2026-05-12,9,9.09,9.14,8.93,310842,-0.66%
2026-05-11,9.06,8.7,9.2,8.7,618013,+1.34%
2026-05-08,8.94,9,9.09,8.8,315165,-1.43%
2026-05-07,9.07,9.36,9.36,9.01,577356,-1.31%
2026-05-06,9.19,9,9.4,8.95,1726770,+4.31%
2026-05-05,8.81,8.75,8.95,8.7,222982,-1.67%
2026-05-04,8.96,8.75,9.2,8.7,1208641,+3.58%
2026-04-30,8.65,8.7,8.78,8.31,902533,-1.70%
2026-04-29,8.8,9.18,9.33,8.7,1472692,-3.61%
2026-04-28,9.13,9.08,9.95,9.08,6020631,+1.33%
2026-04-27,9.01,8.92,9.45,8.62,3552792,+1.01%
2026-04-24,8.92,8.75,9.1,8.61,1744725,+0.68%
2026-04-23,8.86,8.39,9,8.39,1981974,+5.85%
2026-04-22,8.37,8.25,8.48,8.25,623072,-0.24%
2026-04-21,8.39,8.5,8.65,8.35,951830,+0.00%
2026-04-20,8.39,9.13,9.13,8.25,3874753,-6.15%
2026-04-17,8.94,9.3,9.45,8.8,3614322,-1.97%
2026-04-16,9.12,8.56,9.45,8.25,8969630,+6.79%
2026-04-15,8.54,8.5,9,8.44,2260848,+2.77%
2026-04-14,8.31,8.38,8.38,8.01,968545,+5.19%
2026-04-13,7.9,7.71,8,7.7,474309,-1.25%
2026-04-10,8,7.83,8.08,7.83,519927,+2.30%
2026-04-09,7.82,8.44,8.45,7.74,1667986,-6.35%
2026-04-08,8.35,8.2,8.49,8,2073518,+7.19%
2026-04-07,7.79,7.61,7.9,7.61,930443,+1.30%
2026-04-06,7.69,7.74,7.85,7.6,901627,+2.12%
2026-04-03,7.53,7.49,7.87,7.48,943049,+0.67%
2026-04-02,7.48,7.48,7.7,7.4,740802,-2.48%
2026-04-01,7.67,7.56,7.9,7.56,1223670,+2.27%
2026-03-31,7.5,7.8,7.8,7.45,1106123,-0.13%
2026-03-30,7.51,7.22,7.9,7.22,2171895,+4.02%
2026-03-27,7.22,7.63,7.63,7.05,175625,-2.43%
2026-03-26,7.4,7.6,7.79,7.39,463111,-2.50%
2026-03-25,7.59,7.4,7.98,7.4,1529224,+3.97%
2026-03-24,7.3,6.94,7.39,6.86,1387327,+7.35%
2026-03-19,6.8,6.9,6.9,6.63,595537,+1.19%
2026-03-18,6.72,7,7,6.65,844754,-1.75%
2026-03-17,6.84,6.9,6.9,6.61,89546,+0.44%
2026-03-16,6.81,6.89,6.98,6.76,358253,-2.71%
2026-03-13,7,6.9,7.09,6.66,256912,+0.29%
2026-03-12,6.98,6.59,7.26,6.41,1481916,+5.92%
2026-03-11,6.59,6.9,6.96,6.44,1053055,-2.95%
2026-03-10,6.79,7,7.53,6.2,1612599,+2.11%
2026-03-09,6.65,7.3,7.68,6.6,812049,-10.98%
2026-03-06,7.47,7.52,7.89,7.35,571889,-2.61%
2026-03-05,7.67,7.82,8.04,7.55,1306926,-1.16%
2026-03-04,7.76,7.41,7.95,7.41,290537,+3.74%
2026-03-03,7.48,7.25,8.2,7.21,1325937,-6.27%
2026-03-02,7.98,7.98,8.49,7.98,923277,-11.14%
2026-02-27,8.98,8.5,9.18,8.11,1450464,+6.15%
2026-02-26,8.46,8.4,8.8,8.3,569089,-0.70%
2026-02-25,8.52,8.49,9,8.35,2853256,+3.78%
