date,close,open,high,low,volume,change_pct
"Jun 24, 2026",467.75,458.02,469,458.02,1991650,+2.25%
"Jun 23, 2026",457.47,460.01,462.9,455,1694484,-0.35%
"Jun 22, 2026",459.06,465.11,467.9,457.5,1538353,-0.85%
"Jun 19, 2026",462.98,471,472.99,459,2737636,-1.82%
"Jun 18, 2026",471.57,472,477,469.99,2098556,+0.20%
"Jun 17, 2026",470.61,470,475,464.16,3055536,+0.17%
"Jun 16, 2026",469.82,472.5,475.9,463.63,4277608,+0.10%
"Jun 15, 2026",469.36,470,472.4,460.9,6516394,+4.51%
"Jun 12, 2026",449.11,438.88,454.01,436.52,5436081,+3.70%
"Jun 11, 2026",433.09,427,434.9,422,3275763,+0.87%
"Jun 10, 2026",429.35,431,435,427,1587252,-0.65%
"Jun 09, 2026",432.15,432.99,438,431,3790348,+1.33%
"Jun 08, 2026",426.49,426,429.9,423.5,1162090,-1.16%
"Jun 05, 2026",431.5,435.6,437.67,430.2,850824,-0.67%
"Jun 04, 2026",434.4,434.95,436.36,430,937132,+1.06%
"Jun 03, 2026",429.83,435,435,427,1560670,-1.34%
"Jun 02, 2026",435.67,437.14,441.5,432,1596078,-0.34%
"Jun 01, 2026",437.14,451.9,452.15,434,2214263,-3.59%
"May 29, 2026",453.43,440,454.5,437.8,4073832,+3.81%
"May 25, 2026",436.77,435,438.5,430,1913466,+3.47%
"May 22, 2026",422.13,430.48,431.5,420.16,1107759,-1.10%
"May 21, 2026",426.82,418,434,418,4012991,+3.88%
"May 20, 2026",410.88,410.01,412.25,405.01,3983677,+0.73%
"May 19, 2026",407.89,408.11,415.49,406.11,628912,+0.34%
"May 18, 2026",406.51,413.15,414.99,405,949984,-2.69%
"May 15, 2026",417.75,429,429,416,1174717,-1.19%
"May 14, 2026",422.8,422.36,429.9,421,531442,+0.10%
"May 13, 2026",422.36,428.02,431.4,421,767836,-1.39%
"May 12, 2026",428.3,436.13,440,427,708151,-1.80%
"May 11, 2026",436.13,440.26,441.4,435,1302881,-2.15%
"May 08, 2026",445.73,442,448.97,438,1727932,-0.86%
"May 07, 2026",449.6,445.25,457,436,3840933,+2.27%
"May 06, 2026",439.61,420.1,444,418.11,5101180,+7.46%
"May 05, 2026",409.1,405,411.9,405,964827,-0.51%
"May 04, 2026",411.18,411,425,406.81,1757797,+0.78%
"Apr 30, 2026",407.99,413.94,413.94,400.51,2247520,-2.49%
"Apr 29, 2026",418.41,418.01,425.9,410.5,1767142,-0.05%
