date,close,open,high,low,volume,change_pct
"Jun 24, 2026",70.08,70,71.8,69.5,368166,-0.90%
"Jun 23, 2026",70.72,72,72.4,69.5,51336,-1.02%
"Jun 22, 2026",71.45,73.01,73.01,70.57,529333,-2.10%
"Jun 19, 2026",72.98,75.54,75.54,72.5,790846,-4.00%
"Jun 18, 2026",76.02,75,77,73.3,649036,+0.53%
"Jun 17, 2026",75.62,73.99,80,72.8,1256295,+3.97%
"Jun 16, 2026",72.73,68,72.74,67.02,621756,+9.98%
"Jun 15, 2026",66.13,61,66.13,60.3,1116994,+10.00%
"Jun 12, 2026",60.12,59.51,61.48,59.51,90279,+0.70%
"Jun 11, 2026",59.7,60,61.24,57.85,376437,+0.40%
"Jun 10, 2026",59.46,60.8,61.8,59.25,1667147,-2.33%
"Jun 09, 2026",60.88,61.65,62,60.02,460644,+0.10%
"Jun 08, 2026",60.82,59.5,61.5,58.5,761202,+1.45%
"Jun 05, 2026",59.95,58,63.15,57.95,1783906,+4.42%
"Jun 04, 2026",57.41,57.01,58.4,55.16,85535,-0.10%
"Jun 03, 2026",57.47,58.26,59.26,57.1,183517,-1.36%
"Jun 02, 2026",58.26,59.1,61.2,57.5,1231334,-1.42%
"Jun 01, 2026",59.1,58.66,61.8,56,939109,+0.75%
"May 29, 2026",58.66,59.9,60,58.21,439625,-0.59%
"May 25, 2026",59.01,61,61,57.84,449477,+0.02%
"May 22, 2026",59,61.4,62.97,58.51,1331783,-2.61%
"May 21, 2026",60.58,59.93,64.41,55,3560831,+3.47%
"May 20, 2026",58.55,61.19,62,57.4,780845,-2.77%
"May 19, 2026",60.22,61.84,63,55.6,2368818,+4.68%
"May 18, 2026",57.53,54.8,57.53,54,442895,+10.00%
"May 15, 2026",52.3,52.3,60.5,50.99,1717846,-7.68%
"May 14, 2026",56.65,63,68,56.65,7031257,-9.99%
"May 13, 2026",62.94,58,62.94,57.2,2613131,+10.00%
"May 12, 2026",57.22,52.9,57.22,47,6882829,+10.00%
"May 11, 2026",52.02,49.89,52.02,46.01,4292827,+10.00%
"May 08, 2026",47.29,46,47.29,44.5,3985929,+10.00%
"May 07, 2026",42.99,42.99,42.99,41.81,3290954,+10.01%
"May 06, 2026",39.08,38.48,39.08,37.7,3361332,+9.99%
"May 05, 2026",35.53,35.53,35.53,35.53,947887,+10.03%
"May 04, 2026",32.29,32.29,32.3,30.5,1936109,+9.98%
"Apr 30, 2026",29.36,27,29.36,26.83,14098121,+10.00%
"Apr 29, 2026",26.69,26.69,26.69,26,1314767,+10.02%
"Apr 28, 2026",24.26,23.99,26.28,23.25,3749944,+1.55%
"Apr 27, 2026",23.89,23.4,23.99,23,438040,+1.01%
"Apr 24, 2026",23.65,22.98,23.76,22.51,196896,+1.85%
"Apr 23, 2026",23.22,23.99,23.99,22.9,215958,-0.85%
"Apr 22, 2026",23.42,23.52,23.98,23.35,113396,-1.06%
"Apr 21, 2026",23.67,23.48,24.5,22.91,565971,+2.91%
"Apr 20, 2026",23,23.75,23.95,22.73,504423,-3.04%
"Apr 17, 2026",23.72,24.25,24.5,23.6,673041,-2.19%
"Apr 16, 2026",24.25,22.8,25,22.8,1219509,+6.69%
"Apr 15, 2026",22.73,22.98,23.5,22.66,411256,+1.02%
"Apr 14, 2026",22.5,21.9,22.99,21.5,354588,+5.44%
"Apr 13, 2026",21.34,21.1,21.88,21.1,201960,-5.16%
"Apr 10, 2026",22.5,21.5,23.1,21.5,346390,+2.41%
"Apr 09, 2026",21.97,22.8,22.8,21.97,305516,-3.56%
"Apr 08, 2026",22.78,22.18,22.78,22.18,736102,+10.00%
"Apr 07, 2026",20.71,20.45,20.71,20.45,67754,+0.88%
"Apr 06, 2026",20.53,20.08,20.53,20.08,225159,+1.13%
"Apr 03, 2026",20.3,20.1,20.3,20.1,39241,+0.00%
"Apr 02, 2026",20.3,21.3,21.3,20.3,190844,-3.15%
"Apr 01, 2026",20.96,19.99,20.96,19.99,389946,+6.72%
"Mar 31, 2026",19.64,20.9,20.9,19.64,257351,-1.80%
"Mar 30, 2026",20,21.24,21.24,20,114115,-5.39%
"Mar 27, 2026",21.14,21.23,21.23,21.14,64874,-0.42%
"Mar 26, 2026",21.23,22.65,22.65,21.23,340031,-5.27%
"Mar 25, 2026",22.41,21.87,22.41,21.87,465095,+6.16%
"Mar 24, 2026",21.11,22.1,22.1,21.11,51240,-2.22%
"Mar 19, 2026",21.59,21.9,21.9,21.59,72633,-2.22%
"Mar 18, 2026",22.08,21.49,22.08,21.49,371169,+3.52%
"Mar 17, 2026",21.33,21.6,21.6,21.33,58094,+2.06%
"Mar 16, 2026",20.9,21.5,21.5,20.9,35768,-1.97%
"Mar 13, 2026",21.32,22.59,22.59,21.32,204921,-0.98%
"Mar 12, 2026",21.53,22.14,22.14,21.53,34100,-1.91%
"Mar 11, 2026",21.95,21.89,21.95,21.89,199328,+1.86%
"Mar 10, 2026",21.55,20.5,21.55,20.5,307440,+9.95%
"Mar 09, 2026",19.6,20.95,20.95,19.6,119432,-10.01%
"Mar 06, 2026",21.78,22.69,22.69,21.78,142647,-2.55%
"Mar 05, 2026",22.35,21.69,22.35,21.69,242142,+4.98%
"Mar 04, 2026",21.29,21.75,21.75,21.29,218240,-0.28%
"Mar 03, 2026",21.35,22,22,21.35,139074,-1.39%
"Mar 02, 2026",21.65,21.62,21.65,21.62,311360,-9.87%
"Feb 27, 2026",24.02,23.8,24.02,23.8,262273,-1.64%
"Feb 26, 2026",24.42,23,24.42,23,480448,+5.30%
"Feb 25, 2026",23.19,23.8,23.8,23.19,150656,-0.56%
"Feb 24, 2026",23.32,24.4,24.4,23.32,725338,-0.72%
"Feb 23, 2026",23.49,26.2,26.2,23.49,514639,-9.72%
"Feb 20, 2026",26.02,27,27,26.02,525068,-3.77%
